track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"1, 2, 3",https://open.spotify.com/track/4LxKdotqcHAb0S7skugKIz,We Go Up,https://open.spotify.com/album/0pIWpPef8UFx8iQ5KSZsYj,NCT DREAM,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,2022-03-28,181186,2022-04-20,"To The World, Here is NCT! Hi we are NCT DREAM!",This Is NCT DREAM
119,https://open.spotify.com/track/0AHpMhCdgaz00aMkoEZTXd,We Boom - The 3rd Mini Album,https://open.spotify.com/album/31ln9LpD1WyhFlOvDp9YJc,NCT DREAM,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,2022-03-28,239335,2022-04-20,"To The World, Here is NCT! Hi we are NCT DREAM!",This Is NCT DREAM
7 Days,https://open.spotify.com/track/0nsL0AalAUFNCi7DYhnihQ,Reload,https://open.spotify.com/album/1V5ilz8ghPl1PZJA1hbw3r,NCT DREAM,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,2022-03-28,197280,2022-04-20,"To The World, Here is NCT! Hi we are NCT DREAM!",This Is NCT DREAM
ANL,https://open.spotify.com/track/5W2Xm974d6afrssOV1FrtK,Hello Future - The 1st Album Repackage,https://open.spotify.com/album/1fRqXYwoLDxG3EwP70qnjM,NCT DREAM,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,2022-03-28,225533,2022-04-20,"To The World, Here is NCT! Hi we are NCT DREAM!",This Is NCT DREAM
Arcade,https://open.spotify.com/track/4T9hw59r85ZkesNoYWQIJg,Glitch Mode - The 2nd Album,https://open.spotify.com/album/4cAcTMGFjTBufC7Eu0FizU,NCT DREAM,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,2022-03-28,207720,2022-04-20,"To The World, Here is NCT! Hi we are NCT DREAM!",This Is NCT DREAM
Be There For You,https://open.spotify.com/track/1aViQtkIHMLX5nh8g6Tckh,Hello Future - The 1st Album Repackage,https://open.spotify.com/album/1fRqXYwoLDxG3EwP70qnjM,NCT DREAM,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,2022-03-28,223880,2022-04-20,"To The World, Here is NCT! Hi we are NCT DREAM!",This Is NCT DREAM
Beatbox,https://open.spotify.com/track/0CatzXH85XWyBqqdB6qPMB,Beatbox - The 2nd Album Repackage,https://open.spotify.com/album/4sM1qNxjzxOvoH6jeFHx3W,NCT DREAM,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,2022-05-30,205133,2022-04-20,"To The World, Here is NCT! Hi we are NCT DREAM!",This Is NCT DREAM
Beatbox - English Version,https://open.spotify.com/track/6q7sF4ctWUSf76T6VJ6Bu9,Beatbox (English Version),https://open.spotify.com/album/2tGDgitrzA7E4jaSlbD2p0,NCT DREAM,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,2023-03-24,205120,2022-04-20,"To The World, Here is NCT! Hi we are NCT DREAM!",This Is NCT DREAM
Beautiful Time,https://open.spotify.com/track/12YCzgLIK66nMNz4IpPTuL,We Go Up,https://open.spotify.com/album/0pIWpPef8UFx8iQ5KSZsYj,NCT DREAM,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,2022-03-28,207773,2022-04-20,"To The World, Here is NCT! Hi we are NCT DREAM!",This Is NCT DREAM
Best Friend,https://open.spotify.com/track/6YMy6nuK53ZSKOLlt2ytiY,We Boom - The 3rd Mini Album,https://open.spotify.com/album/31ln9LpD1WyhFlOvDp9YJc,NCT DREAM,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,2022-03-28,204253,2022-04-20,"To The World, Here is NCT! Hi we are NCT DREAM!",This Is NCT DREAM
Best Friend Ever,https://open.spotify.com/track/1Z5Dmg7Dvu0X4oSdqLZ3Lu,Best Friend Ever,https://open.spotify.com/album/4cT6f8tGzBtybpBNYPEQoX,NCT DREAM,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,2023-02-08,201440,2022-04-20,"To The World, Here is NCT! Hi we are NCT DREAM!",This Is NCT DREAM
Best of Me,https://open.spotify.com/track/5YcObTMhFsctXssOTxfqZ1,DREAMSCAPE,https://open.spotify.com/album/4iF9sRunhefmp2zO5ys0AB,NCT DREAM,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,2024-11-11,190813,2022-04-20,"To The World, Here is NCT! Hi we are NCT DREAM!",This Is NCT DREAM
Better Than Gold,https://open.spotify.com/track/0tIkUSA5njpsBaTAx3z25z,Glitch Mode - The 2nd Album,https://open.spotify.com/album/4cAcTMGFjTBufC7Eu0FizU,NCT DREAM,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,2022-03-28,200746,2022-04-20,"To The World, Here is NCT! Hi we are NCT DREAM!",This Is NCT DREAM
Blue Wave,https://open.spotify.com/track/4qJYwbYkxvijEEbTk5uF4m,ISTJ - The 3rd Album,https://open.spotify.com/album/6RJlrKu60DPF6BMXVdotY7,NCT DREAM,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,2023-07-17,190866,2022-04-20,"To The World, Here is NCT! Hi we are NCT DREAM!",This Is NCT DREAM
BOOM,https://open.spotify.com/track/6rcn967QN5JtkPOBDwYIuT,We Boom - The 3rd Mini Album,https://open.spotify.com/album/31ln9LpD1WyhFlOvDp9YJc,NCT DREAM,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,2022-03-28,195080,2022-04-20,"To The World, Here is NCT! Hi we are NCT DREAM!",This Is NCT DREAM
BOX,https://open.spotify.com/track/41jXJkAfryMVJ1kRILtGSG,DREAM( )SCAPE,https://open.spotify.com/album/7aIpspBgbsrUgU7nWvz5sp,NCT DREAM,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,2024-03-25,170360,2022-04-20,"To The World, Here is NCT! Hi we are NCT DREAM!",This Is NCT DREAM
BOX,https://open.spotify.com/track/4I95uQMtIwg7779WEDy8Mc,DREAM( )SCAPE,https://open.spotify.com/album/2urIpiAu1CySTyyNuQQxcz,NCT DREAM,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,2024-03-25,170360,2022-04-20,"To The World, Here is NCT! Hi we are NCT DREAM!",This Is NCT DREAM
Breathing,https://open.spotify.com/track/0PXc6KmjeUEc39MOTmjEMq,DREAM( )SCAPE,https://open.spotify.com/album/2urIpiAu1CySTyyNuQQxcz,NCT DREAM,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,2024-03-25,253240,2022-04-20,"To The World, Here is NCT! Hi we are NCT DREAM!",This Is NCT DREAM
Breathing,https://open.spotify.com/track/5Ste2DlfHsoyV9zZO0e5eQ,DREAM( )SCAPE,https://open.spotify.com/album/7aIpspBgbsrUgU7nWvz5sp,NCT DREAM,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,2024-03-25,253240,2022-04-20,"To The World, Here is NCT! Hi we are NCT DREAM!",This Is NCT DREAM
Broken Melodies,https://open.spotify.com/track/5OehhztxLfJeCxUMbFfPy6,Broken Melodies,https://open.spotify.com/album/54rCRVcg8v1yA9MFCYol8W,NCT DREAM,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,2023-06-19,226160,2022-04-20,"To The World, Here is NCT! Hi we are NCT DREAM!",This Is NCT DREAM
Broken Melodies - JVKE Remix,https://open.spotify.com/track/2LqesWzQTXoMv01fZTz0rh,Broken Melodies (JVKE Remix),https://open.spotify.com/album/3YnDJuzNXU0pT9g1CniODn,"NCT DREAM, JVKE","https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02, https://open.spotify.com/artist/164Uj4eKjl6zTBKfJLFKKK",2023-11-22,226173,2022-04-20,"To The World, Here is NCT! Hi we are NCT DREAM!",This Is NCT DREAM
Broken Melodies - JVKE Remix,https://open.spotify.com/track/7AmSps0gp4XpMMBk1jfJj2,Broken Melodies (JVKE Remix),https://open.spotify.com/album/2be4q7fxWyk7JXu71G381W,"NCT DREAM, JVKE","https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02, https://open.spotify.com/artist/164Uj4eKjl6zTBKfJLFKKK",2024-03-25,226173,2022-04-20,"To The World, Here is NCT! Hi we are NCT DREAM!",This Is NCT DREAM
Bungee,https://open.spotify.com/track/2dRiyL82K8xPV3gLBDJZMx,Hello Future - The 1st Album Repackage,https://open.spotify.com/album/1fRqXYwoLDxG3EwP70qnjM,NCT DREAM,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,2022-03-28,208893,2022-04-20,"To The World, Here is NCT! Hi we are NCT DREAM!",This Is NCT DREAM
Bye My First…,https://open.spotify.com/track/0qhTNlYrAJBXpHHzay7qvM,We Boom - The 3rd Mini Album,https://open.spotify.com/album/31ln9LpD1WyhFlOvDp9YJc,NCT DREAM,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,2022-03-28,207155,2022-04-20,"To The World, Here is NCT! Hi we are NCT DREAM!",This Is NCT DREAM
Candle Light,https://open.spotify.com/track/6nUpdTLUSel3Zp6lhHZRbX,Candle Light - SM STATION,https://open.spotify.com/album/077Bz6P3dTrhGjYx2vF0yY,NCT DREAM,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,2022-03-28,236536,2022-04-20,"To The World, Here is NCT! Hi we are NCT DREAM!",This Is NCT DREAM
Candy,https://open.spotify.com/track/27bIik73QCu8Xzt3xpG1bI,Candy - Winter Special Mini Album,https://open.spotify.com/album/6lqazNXadymQLwUh41qW2K,NCT DREAM,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,2022-12-16,217066,2022-04-20,"To The World, Here is NCT! Hi we are NCT DREAM!",This Is NCT DREAM
Carat Cake,https://open.spotify.com/track/1rmfuohSVfLQF3nPiSd1ja,DREAM( )SCAPE,https://open.spotify.com/album/2urIpiAu1CySTyyNuQQxcz,NCT DREAM,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,2024-03-25,152493,2022-04-20,"To The World, Here is NCT! Hi we are NCT DREAM!",This Is NCT DREAM
Carat Cake,https://open.spotify.com/track/6faWGD7zkW7L1r9gKxTqF0,DREAM( )SCAPE,https://open.spotify.com/album/7aIpspBgbsrUgU7nWvz5sp,NCT DREAM,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,2024-03-25,152493,2022-04-20,"To The World, Here is NCT! Hi we are NCT DREAM!",This Is NCT DREAM
Chewing Gum,https://open.spotify.com/track/1oacrRLAurXf6ylXFhF2YT,Chewing Gum,https://open.spotify.com/album/53wPhgvCnPI6QMvF7SABkX,NCT DREAM,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,2022-03-28,197462,2022-04-20,"To The World, Here is NCT! Hi we are NCT DREAM!",This Is NCT DREAM
"Countdown (3, 2, 1)",https://open.spotify.com/track/5ngy93w3QaZl3mN9YinIux,Hot Sauce - The 1st Album,https://open.spotify.com/album/1miTgxRTUje9Jqml1aOSUi,NCT DREAM,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,2022-03-28,214666,2022-04-20,"To The World, Here is NCT! Hi we are NCT DREAM!",This Is NCT DREAM
Dear DREAM,https://open.spotify.com/track/42HB7NqTtooRK7Lrwvwrq2,We Go Up,https://open.spotify.com/album/0pIWpPef8UFx8iQ5KSZsYj,NCT DREAM,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,2022-03-28,189546,2022-04-20,"To The World, Here is NCT! Hi we are NCT DREAM!",This Is NCT DREAM
Diggity,https://open.spotify.com/track/2JEaSgRiEra5OQrZlnyqXG,Hot Sauce - The 1st Album,https://open.spotify.com/album/1miTgxRTUje9Jqml1aOSUi,NCT DREAM,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,2022-03-28,209373,2022-04-20,"To The World, Here is NCT! Hi we are NCT DREAM!",This Is NCT DREAM
Dive Into You,https://open.spotify.com/track/0z3ZZ2JKusRpapstADTxVf,Hot Sauce - The 1st Album,https://open.spotify.com/album/1miTgxRTUje9Jqml1aOSUi,NCT DREAM,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,2022-03-28,192826,2022-04-20,"To The World, Here is NCT! Hi we are NCT DREAM!",This Is NCT DREAM
Don’t Need Your Love,https://open.spotify.com/track/7oEm5Q1virEUB9H0XjWZzF,Don’t Need Your Love,https://open.spotify.com/album/2e3TvxplnFh1HcFUcSe39u,"NCT DREAM, HRVY","https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02, https://open.spotify.com/artist/28y6CyJNkGNjJQKrlx4AmN",2022-03-28,201880,2022-04-20,"To The World, Here is NCT! Hi we are NCT DREAM!",This Is NCT DREAM
Dream Run,https://open.spotify.com/track/6ByGZGm5Y5VwrQheIUlw1N,We Boom - The 3rd Mini Album,https://open.spotify.com/album/31ln9LpD1WyhFlOvDp9YJc,NCT DREAM,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,2022-03-28,224192,2022-04-20,"To The World, Here is NCT! Hi we are NCT DREAM!",This Is NCT DREAM
Dreaming,https://open.spotify.com/track/00Qg5kk0QM1UtQMXPEPo7j,Universe - The 3rd Album,https://open.spotify.com/album/3oc1LdV5V128z8fCtAX3Xs,NCT DREAM,https://open.spotify.com/artist/1gBUSTR3TyDdTVFIaQnc02,2022-03-28,190480,2022-04-20,"To The World, Here is NCT! Hi we are NCT DREAM!",This Is NCT DREAM
