track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"A Village Romeo and Juliet - Music drama in six scenes from Gottfried Keller's novel, Scene IV. Interior of Marti's house: Ah, the darkness has come (Vrenchen, Sali)",https://open.spotify.com/track/21xDAmPAhhz47uKqOwZUBP,Delius: A Village Romeo and Juliet,https://open.spotify.com/album/3V9DfFJh95db3R08Hd8gZy,"Frederick Delius, Robert Tear/Elizabeth Harwood/Royal Philharmonic Orchestra/Meredith Davies, Meredith Davies, Royal Philharmonic Orchestra","https://open.spotify.com/artist/65YhYi4Fz5Ibgq7ueev2Rm, https://open.spotify.com/artist/06aZQqoObaOrXLgM2FGq0L, https://open.spotify.com/artist/1FIZsdfMuV3hsQxrIrzd1Y, https://open.spotify.com/artist/0MvSBMGRQJY3mRwIbJsqF1",2017-05-02,180546,2021-12-21,Masterpieces from the world of opera.,Opera Classics
Act 1 sc iv: Strohmian!,https://open.spotify.com/track/6eGrI7OrtT1JJPRTM08ppo,Judith Weir: Blond Eckbert/ Ancora,https://open.spotify.com/album/3iU1LdXYQXBjTpsedOyIUY,"Christopher Ventris, Orchestra of English National Opera, Sian Edwards, Nicholas Folwell, Anne-Marie Owens","https://open.spotify.com/artist/2uK84VigbPZNDCDRg1CbX8, https://open.spotify.com/artist/0zIXWSm95vWgxrfrVqyyw0, https://open.spotify.com/artist/1AEBcVvK0365RWUgw1YfNr, https://open.spotify.com/artist/0bh94yVJXEZ3MPAUm4tGPX, https://open.spotify.com/artist/0G6TgjiWS9qS995iqcjZZL",2017-05-02,322760,2021-12-21,Masterpieces from the world of opera.,Opera Classics
"Adams: The Death of Klinghoffer, Prologue: Chorus of Exiled Palestinians",https://open.spotify.com/track/5L9bEvb3CdE9LQWe5hAhD2,John Adams: The Death Of Klinghoffer,https://open.spotify.com/album/79BL8ogezvJYVXJuqA4RK4,"John Adams, Kent Nagano, The Opera De Lyon, London Opera Chorus","https://open.spotify.com/artist/0SASbHPbp0WqMmW7nWxxt2, https://open.spotify.com/artist/3JzgNB1Kzlc17zuSzrC51x, https://open.spotify.com/artist/31eNNSo1PmVOgDDQchpBKC, https://open.spotify.com/artist/2VBTR9N71WjQFGQYk80x5q",2017-05-02,520000,2021-12-21,Masterpieces from the world of opera.,Opera Classics
Aida / Act 2: Marcia,https://open.spotify.com/track/0hpa9TlngvM5ODZDE2epdI,Verdi: Aida (2 CDs),https://open.spotify.com/album/1vY9oGEVfFjPu9j8wra9PX,"Giuseppe Verdi, Wiener Philharmoniker, Herbert von Karajan","https://open.spotify.com/artist/1JOQXgYdQV2yfrhewqx96o, https://open.spotify.com/artist/003f4bk13c6Q3gAUXv7dGJ, https://open.spotify.com/artist/5zCaQxjl110XTrm4LQ1CxY",2017-05-02,379666,2021-12-21,Masterpieces from the world of opera.,Opera Classics
Aniara: Act II Scene 4: Jag anar dödens skugga …,https://open.spotify.com/track/2VxItoS2Zw3hytTbVkle85,Aniara,https://open.spotify.com/album/1fbOKMrgb1xV2it4nE41jm,"Karl-Birger Blomdahl, Lena Hoel, Viveca Anderberg, Erik Saeden, Jerker Arvidson, Bjorn Haugan, Stefan Parkman, Mikael Samuelson, Thomas Sunnegardh, Radio Chorus, Swedish Radio Symphony Orchestra, Stig Westerberg","https://open.spotify.com/artist/0zqOzoVbIJ0lVElM6v56ij, https://open.spotify.com/artist/2VsbjGocRJQI2cI1xlTdZh, https://open.spotify.com/artist/6ry7MqbQkFzydonOHoGYc3, https://open.spotify.com/artist/2oIhBHgCKrWk1miUcAgFB1, https://open.spotify.com/artist/0Tin6i7cHNKShWXqT71eJu, https://open.spotify.com/artist/4kSnzCb74efOKS6zSReltF, https://open.spotify.com/artist/3Hp0UEUyC4PGYiTARirh3F, https://open.spotify.com/artist/6uZ5IDLoo9qEQLW7aY7zdM, https://open.spotify.com/artist/6IWMIx2adUHwlhB1yLcBVa, https://open.spotify.com/artist/52PzHxiafWqb4ow1mMp5Ga, https://open.spotify.com/artist/0K6ufQj8JzIZPPkvZrEwJS, https://open.spotify.com/artist/6Bym2eI2jHz3Y4pWz4gddx",2017-05-02,185933,2021-12-21,Masterpieces from the world of opera.,Opera Classics
Atto secondo: Scena VII,https://open.spotify.com/track/1Add5yTZ7CGHRX1vxuj6EQ,Sciarrino: Luci mie traditrici,https://open.spotify.com/album/2MQPVBmiYnQQCLPoibqsLs,"Salvatore Sciarrino, Ensemble Algoritmo, Marco Angius","https://open.spotify.com/artist/3X2fwmmbjJ9V42SLAtl12X, https://open.spotify.com/artist/7eY0YIS3RvjbM7fJrOijZ5, https://open.spotify.com/artist/2LBV8uZh8FUJS7ViFSTHCs",2017-05-02,316986,2021-12-21,Masterpieces from the world of opera.,Opera Classics
"Bellini: Norma, Act 1: ""Casta diva"" (Norma, Coro)",https://open.spotify.com/track/1V5D041R5QxHpRJJABvBgl,Maria Callas Sings Bellini,https://open.spotify.com/album/7LCvvDCTAmPwwQppFXmRRE,"Vincenzo Bellini, Maria Callas, Coro Del Teatro Alla Scala Di Milano, Tullio Serafin, Orchestra Del Teatro Alla Scala, Milano","https://open.spotify.com/artist/6AphpMkKDU4I3Z6XaGu1UV, https://open.spotify.com/artist/0bjdfjE8XbLa2Odstu6E1E, https://open.spotify.com/artist/7FMCfu4mkrKZd36Pj4lZla, https://open.spotify.com/artist/3UYZxxxrntUxxEeRycqHvq, https://open.spotify.com/artist/7JdPe4gzrYmbcko3FTav57",2023-12-01,340226,2021-12-21,Masterpieces from the world of opera.,Opera Classics
"Betrothal in a Monastery, Op. 86, Act I Tableau 1 Scene 8: ""Druzya, ukhodite""",https://open.spotify.com/track/1GhIGedE1Jf8IkmmBHoYH7,"Prokofiev: Betrothal in a Monastery, Op. 86",https://open.spotify.com/album/68u2i5065IWlAQSDB68tYt,"Sergei Prokofiev, Anatoly Mishchevsky, Kemal Abdullayev, Stanislavsky and Nemirovich-Danchenko Moscow Music Theatre Orchestra","https://open.spotify.com/artist/4kHtgiRnpmFIV5Tm4BIs8l, https://open.spotify.com/artist/4JBFuBl7EpzvXZrcF70QFd, https://open.spotify.com/artist/0N0tTsKVeftHfUtfB8G5Ep, https://open.spotify.com/artist/07T4KuhCZwUsHrtHjKIsAS",2022-07-04,199160,2021-12-21,Masterpieces from the world of opera.,Opera Classics
"Betrothal in a Monastery, Op. 86, Act I, Tableau 1, Scene 8: ""Друзья, уходите""",https://open.spotify.com/track/4gSReSG7whtyRzI2pEHNeE,Prokofiev: Betrothal in a Monastery,https://open.spotify.com/album/3UAQoJ37E7jtmMfVX1h9dx,"Sergei Prokofiev, Mira Mendelson-Prokofieva, Richard Brinsley Sheridan, Anatoly Mishchevsky, Kemal Abdullayev, Orchestra of the Stanislavski and Nemirovich-Danchenko Music Theatre","https://open.spotify.com/artist/4kHtgiRnpmFIV5Tm4BIs8l, https://open.spotify.com/artist/307ubugm9ICFuz0r0XkvHN, https://open.spotify.com/artist/6N6pRTuf0D7TkVkE3g9m64, https://open.spotify.com/artist/3xqxSstnKs8RLZb2FIkOXp, https://open.spotify.com/artist/0Dy2FZWDvZAwNollbgHpxD, https://open.spotify.com/artist/1dYnXQBvvsneGYJ1USaNHm",2017-05-02,199160,2021-12-21,Masterpieces from the world of opera.,Opera Classics
"Bizet: Carmen, WD 31, Act 1: Habanera. ""L'amour est un oiseau rebelle"" (Carmen, Chœur)",https://open.spotify.com/track/3pzBD8BVdrv7VJ7glRYshl,Bizet: Carmen,https://open.spotify.com/album/249X9ZjhWATM2KlkcCh9pt,"Georges Bizet, Michel Plasson, Angela Gheorghiu, Les Éléments, Orchestre National Du Capitole De Toulouse","https://open.spotify.com/artist/2D7RkvtKKb6E5UmbjQM1Jd, https://open.spotify.com/artist/2fzmIYnCPAZ9LeJFpYcHob, https://open.spotify.com/artist/5pLMWE1tVs9C7F9Qqauo44, https://open.spotify.com/artist/3M6UtjNuBdRuHaxcWH3EM3, https://open.spotify.com/artist/75ehLoOSz7elHefmAk5QWa",2017-05-02,275466,2021-12-21,Masterpieces from the world of opera.,Opera Classics
