track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
,https://open.spotify.com/track/2FfrdvaIfa9rTf1DnBs6aX,,https://open.spotify.com/album/7JgDv3Hv4QlA6w6v9yYq2m,,https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of,2021-11-19,0,2021-12-28,Traditional carols and hymns for a classic Christmas feeling.,Instrumental Christmas Hymns
,https://open.spotify.com/track/3U9kUtbt96KdmmGtt1c6EI,,https://open.spotify.com/album/2RarOAXZmYHWw3Zk23vyDa,,https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of,2021-11-19,0,2021-12-28,Traditional carols and hymns for a classic Christmas feeling.,Instrumental Christmas Hymns
,https://open.spotify.com/track/7KlSdIDCajVZgAHpMTMV8Y,,https://open.spotify.com/album/4aBHuJfciuVyOcgAXX2NvJ,,https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of,2021-11-19,0,2021-12-28,Traditional carols and hymns for a classic Christmas feeling.,Instrumental Christmas Hymns
'Tis So Sweet To Trust In Jesus,https://open.spotify.com/track/60w2O8kbSpNmDI1pZmDNaD,'Tis So Sweet To Trust In Jesus,https://open.spotify.com/album/2q0nCyvwCrqlKhj5PK2JG4,Everlasting Harmony,https://open.spotify.com/artist/1cImd7ASALUaW3myp7bcAx,2023-11-13,146233,2021-12-28,Traditional carols and hymns for a classic Christmas feeling.,Instrumental Christmas Hymns
A Baby Changes Everything,https://open.spotify.com/track/7JlChhx7Srvi2bOveY2HOI,A Baby Changes Everything,https://open.spotify.com/album/1YHiGXAmqHP3ykTBezP5FV,Ivan Clarke,https://open.spotify.com/artist/6CDPO2Fvp4FmhIuopGwy2W,2021-11-19,213500,2021-12-28,Traditional carols and hymns for a classic Christmas feeling.,Instrumental Christmas Hymns
A Cradle in Bethlehem,https://open.spotify.com/track/2Jpfg8Ad1ETuHtOgmUXIb7,A Cradle in Bethlehem,https://open.spotify.com/album/0VOw1vFXbhrB5E5XbRq0MU,Amy Krampf,https://open.spotify.com/artist/0XSMCDhwttU0Drh3z9Gk0i,2021-11-19,197871,2021-12-28,Traditional carols and hymns for a classic Christmas feeling.,Instrumental Christmas Hymns
A Virgin Unspotted,https://open.spotify.com/track/78Lpph0ArlWZDYkKoFTxZU,Sans Day Carol,https://open.spotify.com/album/6YCxlwZdYsYNKIoMZAWtM7,Ken Dorset,https://open.spotify.com/artist/4x1bewuiV50ZFHLh6Jy3ZI,2021-11-19,133403,2021-12-28,Traditional carols and hymns for a classic Christmas feeling.,Instrumental Christmas Hymns
Adeste fideles (O Come All Ye Faithful) (arr. A. Delmoni),https://open.spotify.com/track/6qR5mHYq1pVlBWDdrpmR90,A String Quartet Christmas,https://open.spotify.com/album/2PJKHy7JwR6vhlget6oZuU,"Traditional, Arturo Delmoni, Alexander Romanul, Katherine Murdock, Nathaniel Rosen","https://open.spotify.com/artist/1U5zgr455OGyIkLNXvDdrf, https://open.spotify.com/artist/66ggVPZBWW6c7XFicO6lpv, https://open.spotify.com/artist/4PlVtpuMdsJFAN49f7Bxji, https://open.spotify.com/artist/5VBEOdleCWJQq05zXhuQzl, https://open.spotify.com/artist/27Uojc5MCLUmrCVZE3EL9O",2021-11-19,168760,2021-12-28,Traditional carols and hymns for a classic Christmas feeling.,Instrumental Christmas Hymns
All My Heart This Night Rejoices,https://open.spotify.com/track/2VUHg50B1h0dTrUwZo6029,All My Heart This Night Rejoices,https://open.spotify.com/album/2kmqYiJSs6Ua9WG3Hdlwtx,Ron Adelaar,https://open.spotify.com/artist/09L72oOms1QBoALUSLqx8u,2023-11-13,118171,2021-12-28,Traditional carols and hymns for a classic Christmas feeling.,Instrumental Christmas Hymns
Angels from the Realms of Glory,https://open.spotify.com/track/38WmvPWqMctDv2VytIJ6tU,Instrumental Songs for Catholic Mass,https://open.spotify.com/album/3bAQGBMaThSyKZwjAWgmyJ,Catholic Mass Musicians,https://open.spotify.com/artist/6VwcjDM3q7Q9oJit6VoqYz,2021-11-19,265373,2021-12-28,Traditional carols and hymns for a classic Christmas feeling.,Instrumental Christmas Hymns
