track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"""Was mir behagt, ist nur die muntre Jagd"" Cantata, BWV 208: 9. Schafe können sicher weiden (Arr. For Piano Four Hands by Mary Howe)",https://open.spotify.com/track/4JWVkr5jUjylM3hMG5zvXw,Bach,https://open.spotify.com/album/5kKkGS4pzAehXKcvrZEF9M,"Johann Sebastian Bach, Lucas Jussen, Arthur Jussen","https://open.spotify.com/artist/5aIqB5nVVvmFsvSdExz408, https://open.spotify.com/artist/37L0Uo5R9LbpeCQDtlAgtI, https://open.spotify.com/artist/6VLXCeUjBgCPBwa58xUars",2022-05-24,255266,2022-06-10,Relaxing classical music to soothe your baby.,Classical Music for Babies
"18 Pieces, Op. 72: No. 2, Berceuse. Andante mosso in A-Flat Major",https://open.spotify.com/track/5abcKGcgJyKniWDH3hMfhK,"Tchaikovsky: 18 Pieces, Op. 72: No. 2, Berceuse. Andante mosso in A-Flat Major",https://open.spotify.com/album/5oHuhHIb6bntzdGsFVgd8V,"Pyotr Ilyich Tchaikovsky, Pascal Amoyel","https://open.spotify.com/artist/3MKCzCnpzw3TjUYs2v7vDA, https://open.spotify.com/artist/4fvlcfNCJlvOwe4rhUhlPv",2025-01-02,414506,2022-06-10,Relaxing classical music to soothe your baby.,Classical Music for Babies
"5 Lieder, Op. 49: No. 4, Wiegenlied",https://open.spotify.com/track/0h4em6VTiai5Kse54QuQtF,LIFE (Extended),https://open.spotify.com/album/1MRWSzwrKNFSruanlpBYGS,"Johannes Brahms, Mari Samuelsen, Julien Quentin","https://open.spotify.com/artist/5wTAi7QkpP6kp8a54lmTOq, https://open.spotify.com/artist/670EXb4x6t2MAvRvqCixyx, https://open.spotify.com/artist/374U7fciZF54RvuwwZY3bR",2025-01-02,121360,2022-06-10,Relaxing classical music to soothe your baby.,Classical Music for Babies
"6 Piano Pieces, Op. 26: No. 2, Pastoral Atmosphere",https://open.spotify.com/track/2jgbIBve4VfgQREVKnINEO,Kuula: Complete Works for Solo Piano,https://open.spotify.com/album/5ZhCzOuYyL2QXfUXSYypqi,"Toivo Kuula, Adam Johnson","https://open.spotify.com/artist/2QEZLBp41V3t2Ua0bNIiBG, https://open.spotify.com/artist/4lMEnbAPKP5qkZM9CJXBq5",2024-03-26,224480,2022-06-10,Relaxing classical music to soothe your baby.,Classical Music for Babies
"Abendlied, Op. 85, No. 12 (Arr. for String Orchestra by Johan Svendsen)",https://open.spotify.com/track/0QbizI8RErYJIi9ROgRM8Z,"Abendlied, Op. 85, No. 12 (Arr. for String Orchestra by Johan Svendsen)",https://open.spotify.com/album/1lEgngrSglgOHxOM2AnRqZ,"Robert Schumann, Lucerne Festival Strings, Daniel Dodds","https://open.spotify.com/artist/2UqjDAXnDxejEyE0CzfUrZ, https://open.spotify.com/artist/0sABleOLUMLgjJa6mpIaVc, https://open.spotify.com/artist/6o63U8OvSH1UfxT7xEbnEY",2024-03-26,202306,2022-06-10,Relaxing classical music to soothe your baby.,Classical Music for Babies
"Adagio in E Major, K. 261",https://open.spotify.com/track/2vBuaUzWANdghLfM1nF0Yw,Mozart: Works for Violin & Orchestra,https://open.spotify.com/album/4zETVNxxf0HT4iHXV0he0F,"Wolfgang Amadeus Mozart, Pinchas Zukerman, Saint Paul Chamber Orchestra","https://open.spotify.com/artist/4NJhFmfw43RLBLjQvxDuRS, https://open.spotify.com/artist/57J4DccKLul7z7kqfRPiER, https://open.spotify.com/artist/0QjKu8W5tafMCDKKw3xHYT",2022-05-24,517360,2022-06-10,Relaxing classical music to soothe your baby.,Classical Music for Babies
Adieux,https://open.spotify.com/track/1ymzdmQYjO3ThdlToYZnTq,Adieux,https://open.spotify.com/album/5PPK24qrJdeoZBb8pVNWF6,Ludovico Einaudi,https://open.spotify.com/artist/2uFUBdaVGtyMqckSeCl0Qj,2024-03-26,175492,2022-06-10,Relaxing classical music to soothe your baby.,Classical Music for Babies
"Album for the Young, Op. 39: No. 3. Mamma (Maman)",https://open.spotify.com/track/4GjfVYoUJ0OCmDiL869kUJ,"Piano Recital: Rosenberger, Carol - Kabalevsky, D. / Tchaikovsky, P. (Perchance To Dream - A Lullaby Album for Children and Adults)",https://open.spotify.com/album/2wiv4F0IkUWwFkv453uEkT,"Pyotr Ilyich Tchaikovsky, Carol Rosenberger","https://open.spotify.com/artist/3MKCzCnpzw3TjUYs2v7vDA, https://open.spotify.com/artist/3lYDYx5OUgPVrVvFLCCRB7",2022-05-24,93506,2022-06-10,Relaxing classical music to soothe your baby.,Classical Music for Babies
Aria de la Pastorale en ut mineur BWV 590,https://open.spotify.com/track/2Dt58ytXNrRFtMz3rODSkX,Alexandre Tharaud: Baroque,https://open.spotify.com/album/43QScdpgNzcF9vw3dcSWmn,"Johann Sebastian Bach, Alexandre Tharaud","https://open.spotify.com/artist/5aIqB5nVVvmFsvSdExz408, https://open.spotify.com/artist/5HG9Eg7Ik8ZuNtMyGYTxLG",2022-05-24,156160,2022-06-10,Relaxing classical music to soothe your baby.,Classical Music for Babies
"Bach: Arioso (Arr. Cortot After Harpsichord Concerto No. 5 in F Minor, BWV 1056)",https://open.spotify.com/track/5xfujtIVvNc4ieq441J8NJ,"Bach: Arioso (Arr. Cortot After Harpsichord Concerto No. 5 in F Minor, BWV 1056)",https://open.spotify.com/album/4HgNY10OgAjf7mKvcLPRDA,"Johann Sebastian Bach, Dong Hyek Lim","https://open.spotify.com/artist/5aIqB5nVVvmFsvSdExz408, https://open.spotify.com/artist/3Iu4Pq63V1WcBWrNNthgPP",2022-07-21,174383,2022-06-10,Relaxing classical music to soothe your baby.,Classical Music for Babies
