track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"10,000ft.",https://open.spotify.com/track/0B7Bmgk2EIogEnhLz6gqRI,CHILI T,https://open.spotify.com/album/6zyVqxhbcRIa7nCyUobInO,Kiri T,https://open.spotify.com/artist/1gpUtHqrKRAEy8w7ojs8l5,2022-07-28,221210,2022-06-09,愛本來就係自由嘅事！想愛就愛吧！,想愛就愛
99% Angel,https://open.spotify.com/track/3uxSM3Ciu05sNWUoSJRbER,99% Angel,https://open.spotify.com/album/3wgrIUZWIjkempUhkuVDLK,Karencici,https://open.spotify.com/artist/6v6qfXRvTRGGsmGfDvtMIK,2022-04-07,165720,2022-06-09,愛本來就係自由嘅事！想愛就愛吧！,想愛就愛
@princejoyce,https://open.spotify.com/track/0MCuH8pcS50dyNTfr30xoQ,Joyce To The World,https://open.spotify.com/album/7cFAV4DrbsYVLtLxVknIQF,Joyce Cheng,https://open.spotify.com/artist/1y4HuOPsPuo8bBIzk5CXsV,2022-04-07,194000,2022-06-09,愛本來就係自由嘅事！想愛就愛吧！,想愛就愛
all my ghosts,https://open.spotify.com/track/2tEfW1QMddoTWIIgHtHiPV,five seconds flat,https://open.spotify.com/album/7vh3nkUP7HlDQIeSm7Ht6N,Lizzy McAlpine,https://open.spotify.com/artist/1GmsPCcpKgF9OhlNXjOsbS,2022-07-28,197032,2022-06-09,愛本來就係自由嘅事！想愛就愛吧！,想愛就愛
all my ghosts,https://open.spotify.com/track/46BHP7nFOrGQPLW8mCxzZr,five seconds flat,https://open.spotify.com/album/68L5xVV9wydotfDXEik7eD,Lizzy McAlpine,https://open.spotify.com/artist/1GmsPCcpKgF9OhlNXjOsbS,2022-07-28,197032,2022-06-09,愛本來就係自由嘅事！想愛就愛吧！,想愛就愛
altar,https://open.spotify.com/track/1GaMFbWeBZeSwgyAEr1s4m,blue water road,https://open.spotify.com/album/2WfV3cpI2BUuIxMISh9nqF,Kehlani,https://open.spotify.com/artist/0cGUm45nv7Z6M6qdXYQGTX,2022-07-28,244635,2022-06-09,愛本來就係自由嘅事！想愛就愛吧！,想愛就愛
Blinding Lights,https://open.spotify.com/track/6qYkmqFsXbj8CQjAdbYz07,Blinding Lights,https://open.spotify.com/album/3sL9Myf7JF1k9TbrXE46ou,The Weeknd,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,2022-04-07,200045,2022-06-09,愛本來就係自由嘅事！想愛就愛吧！,想愛就愛
Boss Bitch,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k,Boss Bitch,https://open.spotify.com/album/4pmyFpGicLLIgNPc1TQXKc,Doja Cat,https://open.spotify.com/artist/5cj0lLjcoR7YOSnhnX0Po5,2022-04-07,134239,2022-06-09,愛本來就係自由嘅事！想愛就愛吧！,想愛就愛
Closer (feat. H.E.R.),https://open.spotify.com/track/1dKe9VEGUSNfzn5MDvm6SJ,Closer (feat. H.E.R.),https://open.spotify.com/album/5IZ3qMtXKXAleWBxB7vWen,"Saweetie, H.E.R.","https://open.spotify.com/artist/6cK3NBO6uP7hh0oyuVELFl, https://open.spotify.com/artist/3Y7RZ31TRPVadSFVy1o8os",2022-04-07,168873,2022-06-09,愛本來就係自由嘅事！想愛就愛吧！,想愛就愛
Cocktail,https://open.spotify.com/track/3fpZCgUe70u50OJMbpM84S,好風光,https://open.spotify.com/album/2olyf0rTeI1FNoU8mSTPAx,Pong Nan,https://open.spotify.com/artist/6G7bdG4rBz6OQgKudNjoGL,2022-06-23,274090,2022-06-09,愛本來就係自由嘅事！想愛就愛吧！,想愛就愛
Come With Me,https://open.spotify.com/track/35MCt0BeMs2pWtYNhMR92l,Come With Me,https://open.spotify.com/album/7GboJALajHDdhgqetBTZRU,"Kary Ng, AF","https://open.spotify.com/artist/3B9ZmIcte26paTCaI1PFKE, https://open.spotify.com/artist/6CygVJXs3ziiuKWNA4TkF9",2022-06-23,194548,2022-06-09,愛本來就係自由嘅事！想愛就愛吧！,想愛就愛
