track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
(I Can't Get No) Satisfaction - Mono Version,https://open.spotify.com/track/2PzU4IB8Dr6mxV3lHuaG34,Out Of Our Heads,https://open.spotify.com/album/2Q5MwpTmtjscaS34mJFXQQ,The Rolling Stones,https://open.spotify.com/artist/22bE4uQ6baNwSHPVcDxLCe,2020-10-27,222813,2022-01-21,Música motivacional para ir a darlo todo al gym.,Maldita Hamburguesa
A La Carga Mi Rock'n Roll,https://open.spotify.com/track/3TzZQH8K4sA0JsAFMXI5Kc,Despedazado Por Mil Partes,https://open.spotify.com/album/0eH6ICTcUbNqjplgRISQEg,La Renga,https://open.spotify.com/artist/30fEdZPXgWfC4sNttcyB3C,2020-10-27,226200,2022-01-21,Música motivacional para ir a darlo todo al gym.,Maldita Hamburguesa
A Tout Le Monde - Remastered 2004,https://open.spotify.com/track/6olS0TmHmsGr0hXtcBsiVM,Youthanasia (Expanded Edition),https://open.spotify.com/album/5UvUjC3G4UKSrwOeBA0qob,Megadeth,https://open.spotify.com/artist/1Yox196W7bzVNZI7RBaPnf,2020-10-27,262133,2022-01-21,Música motivacional para ir a darlo todo al gym.,Maldita Hamburguesa
Ace of Spades,https://open.spotify.com/track/6EPRKhUOdiFSQwGBRBbvsZ,Ace of Spades (Expanded Edition),https://open.spotify.com/album/3rxF05Aux0QTrN533Kjc91,Motörhead,https://open.spotify.com/artist/1DFr97A9HnbV3SKTJFu62M,2022-07-05,166360,2022-01-21,Música motivacional para ir a darlo todo al gym.,Maldita Hamburguesa
Ace Of Spades,https://open.spotify.com/track/3RkS5epxKd1SFlDdLuKJMJ,The Best Of Motorhead: All The Aces/ The Muggers Tapes,https://open.spotify.com/album/2RF8wMQYGk14b8PeiInqSp,Motörhead,https://open.spotify.com/artist/1DFr97A9HnbV3SKTJFu62M,2020-10-27,167053,2022-01-21,Música motivacional para ir a darlo todo al gym.,Maldita Hamburguesa
Ace of Spades,https://open.spotify.com/track/3CIOopLwvyMvXk97ZEksKO,Ace of Spades (Expanded Edition),https://open.spotify.com/album/619d4uJE3h2rOlw7kmSlD6,Motörhead,https://open.spotify.com/artist/1DFr97A9HnbV3SKTJFu62M,2023-05-15,168320,2022-01-21,Música motivacional para ir a darlo todo al gym.,Maldita Hamburguesa
Ala Delta,https://open.spotify.com/track/0LTCld7MYVKCAGpi05szyV,Acariciando Lo Aspero,https://open.spotify.com/album/5UmrOPpQ3VmXmBRSvXMbcR,Divididos,https://open.spotify.com/artist/6ZIgPKHzpcswB8zh7sRIhx,2020-10-27,354746,2022-01-21,Música motivacional para ir a darlo todo al gym.,Maldita Hamburguesa
Alive,https://open.spotify.com/track/1L94M3KIu7QluZe63g64rv,Ten,https://open.spotify.com/album/5B4PYA7wNN4WdEXdIJu58a,Pearl Jam,https://open.spotify.com/artist/1w5Kfo2jwwIPruYS2UWh56,2020-10-27,340907,2022-01-21,Música motivacional para ir a darlo todo al gym.,Maldita Hamburguesa
Another One Bites The Dust - Remastered 2011,https://open.spotify.com/track/57JVGBtBLCfHw2muk5416J,The Game (Deluxe Remastered Version),https://open.spotify.com/album/6wPXUmYJ9mOWrKlLzZ5cCa,Queen,https://open.spotify.com/artist/1dfeR4HaWDbWqFHLkxsg1d,2020-10-27,214653,2022-01-21,Música motivacional para ir a darlo todo al gym.,Maldita Hamburguesa
Another One Bites The Dust - Remastered 2011,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7,The Game (2011 Remaster),https://open.spotify.com/album/58alCatewkjNm9IM1Ucj67,Queen,https://open.spotify.com/artist/1dfeR4HaWDbWqFHLkxsg1d,2020-10-27,214653,2022-01-21,Música motivacional para ir a darlo todo al gym.,Maldita Hamburguesa
