track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
100 Pound a Kali,https://open.spotify.com/track/4ueCKMfynKI8B2SzoPJaTr,100 Pound a Kali (feat. Kali Blaxx) - Single,https://open.spotify.com/album/2gpLJUMuesqNvhRWastDjC,"Green Lion Crew, Cut Stone, Kali Blaxx","https://open.spotify.com/artist/7iA6sxOMDOu5MnyfmKQv6m, https://open.spotify.com/artist/2n90OvLEoTFhRC0AT0bS48, https://open.spotify.com/artist/6847AhFVSj1r1KknNDt6uz",2021-10-24,159705,2021-12-21,"Come on, man. Just smile!",Just Smile
A Vibe (feat. Wiz Khalifa),https://open.spotify.com/track/6gkepFIH72ZdSIAjtvS7ZV,A Vibe (feat. Wiz Khalifa),https://open.spotify.com/album/6bTB8c23Zg98mJNN5wx5bw,"Protoje, Wiz Khalifa","https://open.spotify.com/artist/7BGR8y1VZAWK2oR4zD9COr, https://open.spotify.com/artist/137W8MRPWKqSmrBGDBFSop",2021-10-24,163853,2021-12-21,"Come on, man. Just smile!",Just Smile
Beach In Hawaii,https://open.spotify.com/track/1ZPsdTkzhDeHjA5c2Rnt2I,Love Is My Religion,https://open.spotify.com/album/1r2BhDNMDn9BszceZZ7wVI,Ziggy Marley,https://open.spotify.com/artist/0o0rlxlC3ApLWsxFkUjMXc,2021-10-24,220413,2021-12-21,"Come on, man. Just smile!",Just Smile
Beach in Hawaii,https://open.spotify.com/track/45JFUzpVO7pvS2bApjj8d0,Love Is My Religion,https://open.spotify.com/album/2dEIytIxbKk4ykAMfIOxFX,Ziggy Marley,https://open.spotify.com/artist/0o0rlxlC3ApLWsxFkUjMXc,2022-10-13,224413,2021-12-21,"Come on, man. Just smile!",Just Smile
Beach In Hawaii,https://open.spotify.com/track/4jKapTvg2oCpikdt0oFqf6,Love Is My Religion,https://open.spotify.com/album/6gbz6snf68aII9mDozVdkp,Ziggy Marley,https://open.spotify.com/artist/0o0rlxlC3ApLWsxFkUjMXc,2022-10-13,224413,2021-12-21,"Come on, man. Just smile!",Just Smile
Beach in Hawaii,https://open.spotify.com/track/7nCQ6Q6HJeHnwDHydc7x05,Love Is My Religion,https://open.spotify.com/album/3DbhHwKGkBX7OEUzmYlgbu,Ziggy Marley,https://open.spotify.com/artist/0o0rlxlC3ApLWsxFkUjMXc,2022-06-20,224413,2021-12-21,"Come on, man. Just smile!",Just Smile
Blessed (feat. Damian Marley),https://open.spotify.com/track/3QO1m6i0nsrp8aOnapvbkx,Made In Lagos,https://open.spotify.com/album/6HpMdN52TfJAwVbmkrFeBN,"Wizkid, Damian Marley","https://open.spotify.com/artist/3tVQdUvClmAT7URs9V3rsp, https://open.spotify.com/artist/3QJzdZJYIAcoET1GcfpNGi",2021-10-24,262973,2021-12-21,"Come on, man. Just smile!",Just Smile
Blessings,https://open.spotify.com/track/28XBIzpPzfgXwrno4B8U1f,Blessings,https://open.spotify.com/album/6YvdsRy3lNHkjwK7L4ojMi,Angel,https://open.spotify.com/artist/6RIJu05yhEIYskbVgxmk3R,2021-10-24,188935,2021-12-21,"Come on, man. Just smile!",Just Smile
Burning,https://open.spotify.com/track/2ur8F1rb1lsxpZA9UJEDfl,Burning,https://open.spotify.com/album/1gCBAfrnTTAFRthxRqp0Rj,Koffee,https://open.spotify.com/artist/1gWjcmBsveEYMxOZ0VRi32,2021-10-24,181434,2021-12-21,"Come on, man. Just smile!",Just Smile
Burning,https://open.spotify.com/track/4y6JNAtj1M3pEScdp3II5n,Burning,https://open.spotify.com/album/5HuUgDJo1huBlghzPrKRyO,Koffee,https://open.spotify.com/artist/1gWjcmBsveEYMxOZ0VRi32,2022-10-13,181434,2021-12-21,"Come on, man. Just smile!",Just Smile
Chance,https://open.spotify.com/track/5rCFLQB74RmHwiDe6YL7qx,Sounds of My World,https://open.spotify.com/album/2Mju5QRHhBPkUQajYKTUSH,"Juls, Projexx, Tay Iwar","https://open.spotify.com/artist/7BIkk865pwBrSZetA8Izic, https://open.spotify.com/artist/2DFzMI8SSWPYBBSxVF7b2N, https://open.spotify.com/artist/0iqznAW9pzZ7KOjx8aCMWo",2022-06-20,225384,2021-12-21,"Come on, man. Just smile!",Just Smile
Chance,https://open.spotify.com/track/6RdojpAhP5ch1SznHxVyjC,Chance,https://open.spotify.com/album/2JU83LnIrQS9kb3YS1B1ns,"Juls, Projexx, Tay Iwar","https://open.spotify.com/artist/7BIkk865pwBrSZetA8Izic, https://open.spotify.com/artist/2DFzMI8SSWPYBBSxVF7b2N, https://open.spotify.com/artist/0iqznAW9pzZ7KOjx8aCMWo",2021-10-24,225384,2021-12-21,"Come on, man. Just smile!",Just Smile
Come Around,https://open.spotify.com/track/1a64u7QtJ9yDwpNyfDrZTj,Collie Buddz,https://open.spotify.com/album/2BGWnHTib774X9f7RPoato,Collie Buddz,https://open.spotify.com/artist/5Ayl2bJtN5mdCsxZoxs9n1,2021-10-24,221506,2021-12-21,"Come on, man. Just smile!",Just Smile
Dinero,https://open.spotify.com/track/0QSpm9D61ncQtoDjKNemBK,Dinero,https://open.spotify.com/album/7HhFor3YfnUxzOkNIjVGxj,Lila Iké,https://open.spotify.com/artist/0uAUrmEQbwcDFzg0v7VicO,2022-10-13,173251,2021-12-21,"Come on, man. Just smile!",Just Smile
Do You See,https://open.spotify.com/track/5YRQDSlUCBFcevXm3CMpr8,Do You See,https://open.spotify.com/album/2k8B3PeBWVB1y2RQx0ADav,"Bounty Killer, Pop Style","https://open.spotify.com/artist/6UuT0BJZ9vF8Y1sxXnJl2s, https://open.spotify.com/artist/5pzWFizoqhuhkImntBH12H",2021-10-24,235160,2021-12-21,"Come on, man. Just smile!",Just Smile
Energy,https://open.spotify.com/track/6C76s0vqIxMnVH7ZOsdtS2,The Kalling,https://open.spotify.com/album/2IL0ko13l6DhK4gUebZXd9,"Kabaka Pyramid, Jemere Morgan","https://open.spotify.com/artist/10p1CDVyRIkR2ybAu7SbVH, https://open.spotify.com/artist/7t3wkXOe1VYGzhIbhSPEV3",2022-10-13,212267,2021-12-21,"Come on, man. Just smile!",Just Smile
Feeling Irie,https://open.spotify.com/track/1P5GpSSraTkxFOYVwsxMXw,Feeling Irie,https://open.spotify.com/album/5wZuvylSpV0QEwV52Zz5jH,General Degree,https://open.spotify.com/artist/0CwVuGmnkIBc5uitBWkplO,2021-10-24,191253,2021-12-21,"Come on, man. Just smile!",Just Smile
Fix It,https://open.spotify.com/track/2FmD1oi2Wna2jcQcYEEYn5,Fix It,https://open.spotify.com/album/0UIcpuZ7MGsGOSzv5RFB2p,Clinton Fearon,https://open.spotify.com/artist/2mSiPzmzBCGS7p6tEuRuTd,2021-10-24,182533,2021-12-21,"Come on, man. Just smile!",Just Smile
Funky Kingston,https://open.spotify.com/track/0bJ4nQojefjNpeuZNkiLrX,20th Century Masters: The Millennium Collection: Best Of Toots & The Maytals,https://open.spotify.com/album/4LqckZIG3vtFVGIeY3Q5Yz,Toots & The Maytals,https://open.spotify.com/artist/6ZFv3wQwwWPiVDWhv0mjQK,2021-10-24,290200,2021-12-21,"Come on, man. Just smile!",Just Smile
Grateful,https://open.spotify.com/track/1wslSV8ppr83jS3fWHHYQT,Grateful,https://open.spotify.com/album/5tU3ADncFHfdDScnuzWTXa,"Agent Sasco (Assassin), Stephen Marley","https://open.spotify.com/artist/0CiLVKp7LJTm0c8jdUmQNy, https://open.spotify.com/artist/0CIwCGmQMqHqiblnZlFia1",2021-10-24,273792,2021-12-21,"Come on, man. Just smile!",Just Smile
Hey Now Now,https://open.spotify.com/track/2kftb6UA1jan9BaDnYt6Xa,Yell Fire!,https://open.spotify.com/album/5qYW0P0YKnMBOvbpIJWB51,"Michael Franti, Spearhead","https://open.spotify.com/artist/4vCYwGCNg2XUsdi9IVMzwo, https://open.spotify.com/artist/19hpf6aLV5qwTfGOGptzA3",2021-10-24,336040,2021-12-21,"Come on, man. Just smile!",Just Smile
Hey Now Now,https://open.spotify.com/track/1drYKDGEhW39HP3emCSiFF,Yell Fire!,https://open.spotify.com/album/50ErftNBsKknqcgWGZIEVF,Michael Franti & Spearhead,https://open.spotify.com/artist/1mHuZMOP8FG5ip4yAb1vrB,2022-06-20,336040,2021-12-21,"Come on, man. Just smile!",Just Smile
Higher Place,https://open.spotify.com/track/6jQB97LaIftgb81KhkisXl,Higher Place,https://open.spotify.com/album/3LrRzezQmsqxC2eyqVvdAr,"Skip Marley, Bob Marley & The Wailers","https://open.spotify.com/artist/4ryoUS0W8qXokfMxrlJt6O, https://open.spotify.com/artist/2QsynagSdAqZj3U9HgDzjD",2021-10-24,203077,2021-12-21,"Come on, man. Just smile!",Just Smile
I Can See Clearly Now,https://open.spotify.com/track/7aJZxI6TVdIvQSuWxQ4rqp,We All Are One: The Best Of Jimmy Cliff,https://open.spotify.com/album/0g0F1l0hQ1nZTelBbmlmB5,Jimmy Cliff,https://open.spotify.com/artist/3rJ3m1tM6vUgiWLjfV8sRf,2021-10-24,196000,2021-12-21,"Come on, man. Just smile!",Just Smile
I Got You,https://open.spotify.com/track/5WjDmjD39LsFCRRALhorjd,From Here To Now To You,https://open.spotify.com/album/61427AKV7p3p30uvrniI4L,Jack Johnson,https://open.spotify.com/artist/3GBPw9NK25X1Wt2OUvOwY3,2021-10-24,179346,2021-12-21,"Come on, man. Just smile!",Just Smile
If You Know,https://open.spotify.com/track/2PMXhooCONyFAJCcepLCph,Better Must Come Riddim,https://open.spotify.com/album/5D2lB57hqgT7MHXPk7qltd,"Pop Style, Romain Virgo","https://open.spotify.com/artist/5pzWFizoqhuhkImntBH12H, https://open.spotify.com/artist/6HCIRVlJ8tvmKPAtFnxyFg",2021-10-24,232413,2021-12-21,"Come on, man. Just smile!",Just Smile
