track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
1000hp,https://open.spotify.com/track/2DpLoT8qfJdZhsLGFg413r,1000hp,https://open.spotify.com/album/23nOachDR5dUA2iLlvvwT3,Godsmack,https://open.spotify.com/artist/6gZq1Q6bdOxsUPUG1TaFbF,2021-11-25,226466,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
45,https://open.spotify.com/track/3yAv8odZcXu8yzKxYgeagf,Leave a Whisper,https://open.spotify.com/album/3qJzm1DF5P92CaVzgUNKu4,Shinedown,https://open.spotify.com/artist/70BYFdaZbEKbeauJ670ysI,2021-11-25,250093,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
45,https://open.spotify.com/track/420JGkyLfLUZcgBHKiIK9v,Leave a Whisper (Deluxe Edition),https://open.spotify.com/album/0gLVNSNAW4ghjFqHMDFA3l,Shinedown,https://open.spotify.com/artist/70BYFdaZbEKbeauJ670ysI,2022-06-28,250093,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Abuse Me,https://open.spotify.com/track/6lgsxp4M1RmnkivCqp6kPa,Freak Show,https://open.spotify.com/album/511p6iaCuK8Sr0BYdpcfkq,Silverchair,https://open.spotify.com/artist/4iudEcmuPlYNdbP3e1bdn1,2021-12-31,239893,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Addicted,https://open.spotify.com/track/3pxCXv0NACYfYnLjFcQW5D,Saving Abel,https://open.spotify.com/album/6Nft5QnHcxYvLwAQc3mo8O,Saving Abel,https://open.spotify.com/artist/2AVVj8ezW2mJ0v8u7XydiF,2021-11-25,222826,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Angel,https://open.spotify.com/track/2qJkesdHu9sMMVFgkRkqhQ,Savages,https://open.spotify.com/album/6SfhyLVugAsXYDvs966WBn,Theory of a Deadman,https://open.spotify.com/artist/74eX4C98E4FCrAMl39qRsJ,2022-06-28,202213,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Animal I Have Become,https://open.spotify.com/track/56sk7jBpZV0CD31G9hEU3b,One-X,https://open.spotify.com/album/4ZDwEvXIKxWdwhAQK8ndBU,Three Days Grace,https://open.spotify.com/artist/2xiIXseIJcq3nG7C8fHeBj,2022-06-28,231400,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Animal I Have Become,https://open.spotify.com/track/5eFxwmqKrHpSQDOEIFYlgY,One-X,https://open.spotify.com/album/4ohPMPeZukCChC6xNJpeYx,Three Days Grace,https://open.spotify.com/artist/2xiIXseIJcq3nG7C8fHeBj,2021-11-25,231400,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Anthem For The Underdog,https://open.spotify.com/track/6FFwt1ea9hJ4MfMQLywahm,Anthem For The Underdog (Bonus Track Version),https://open.spotify.com/album/2Qp0yu0Uaw3C83YNYqfgdv,12 Stones,https://open.spotify.com/artist/0DrXhci3WAyo0WJv1RBOG6,2022-06-28,184426,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Ashtray,https://open.spotify.com/track/1AmVWLPhCqTMt4y5t0cB8T,Satisfaction,https://open.spotify.com/album/0m3hGU2BkS3t3zBdavqmNg,Narrow Head,https://open.spotify.com/artist/4g6ODwOQYRZLsP89kEoBIu,2022-09-20,176621,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Astounded,https://open.spotify.com/track/0WBL72ulf4mkcflIO0W5cq,Tantric (U.S. Version-Enh'd),https://open.spotify.com/album/08nOgpgThrvOYlvM6nUOmJ,Tantric,https://open.spotify.com/artist/4tMZahYVKJdjbC1GHVtNnV,2021-11-25,261760,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Awake,https://open.spotify.com/track/6xXlurslWqFuyqTCBlErzX,Awake,https://open.spotify.com/album/4uNwpYU5QyX2u0kkkEFLR4,Godsmack,https://open.spotify.com/artist/6gZq1Q6bdOxsUPUG1TaFbF,2021-11-25,304373,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Away From The Sun,https://open.spotify.com/track/3THdexHRmED4euIY91Zrxc,Away From The Sun,https://open.spotify.com/album/72olNArm75vOycSziqIX9Y,3 Doors Down,https://open.spotify.com/artist/2RTUTCvo6onsAnheUk3aL9,2021-11-25,232066,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Better Place,https://open.spotify.com/track/7zEjlLTAVkJImpHA8Lc1we,Better Place,https://open.spotify.com/album/7zSxpZVzRfWepp4Uxk100C,Saint Asonia,https://open.spotify.com/artist/6Fwq3TDWpMhcL1KTKVQiI8,2021-11-25,215493,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Bittersweet,https://open.spotify.com/track/5fSUg1WcGIi4zoujPhB2Kz,Sunburn,https://open.spotify.com/album/4Gwwl4Om12HKjYgYs3mIj2,Fuel,https://open.spotify.com/artist/0EyuKHE1AeE9lWUF8mzKVp,2021-11-25,232066,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Blurry,https://open.spotify.com/track/0FLBNqc5oAiTt4J2e3fe3y,Come Clean,https://open.spotify.com/album/4oWz3E9jTrBe9sVkiX2sJ5,Puddle Of Mudd,https://open.spotify.com/artist/3dXaa6jwM7B52GZpaJEIr5,2022-01-19,303920,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Boring,https://open.spotify.com/track/3FfxSDPqcaUuisrMQmiheD,Boring,https://open.spotify.com/album/6ScocnQZ8S77TH9iOKPY1o,Daisy Brain,https://open.spotify.com/artist/5WuDKeWph4EKsyy9e56Mz4,2022-06-02,208281,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Bottom of a Bottle,https://open.spotify.com/track/1XZrMIHtCVJPqK29Mzm44G,Shapeshifter,https://open.spotify.com/album/46FpO86s3MM3X6DlHVZsL3,Smile Empty Soul,https://open.spotify.com/artist/1KEUVZo7CMTSJoM8doulOT,2021-11-25,221826,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Bottom of a Bottle,https://open.spotify.com/track/3EmNjy3zFszmAOCikiKxCd,Shapeshifter,https://open.spotify.com/album/4t8bZNqNroLlMNj8p908VL,Smile Empty Soul,https://open.spotify.com/artist/1KEUVZo7CMTSJoM8doulOT,2022-06-28,221826,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Bound For The Floor,https://open.spotify.com/track/3cbTV3IZZvSBYVcl0xuZbY,As Good As Dead,https://open.spotify.com/album/4DY4LZwEjx7zZ3tYtJG5Pl,Local H,https://open.spotify.com/artist/415JrPfN7ukaTu8JV8BLE8,2021-11-25,222960,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Breakdown,https://open.spotify.com/track/6tpGF2kYnrqO0S44jKxduZ,Tantric (U.S. Version-Enh'd),https://open.spotify.com/album/08nOgpgThrvOYlvM6nUOmJ,Tantric,https://open.spotify.com/artist/4tMZahYVKJdjbC1GHVtNnV,2021-11-25,190666,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Broken,https://open.spotify.com/track/4h6DKQXRY2zxFHlEqYuaax,Disclaimer,https://open.spotify.com/album/1RdojFmis1TIOyZgV4KjaU,Seether,https://open.spotify.com/artist/6B5c4sch27tWHAGdarpPaW,2021-11-25,257600,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Broken,https://open.spotify.com/track/5nakPOknHu3XkeeHoVvhCd,Disclaimer,https://open.spotify.com/album/5u0UdiircjbveLg8cs39iw,Seether,https://open.spotify.com/artist/6B5c4sch27tWHAGdarpPaW,2022-06-28,257600,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Bulletproof Skin,https://open.spotify.com/track/1E5ftzZvJLOICYQ0oYDHID,Distort Yourself,https://open.spotify.com/album/5oKTgRe1bSLIkZ39pwHqrj,Institute,https://open.spotify.com/artist/5dw20y4c03uTJPC7rKoDtS,2022-09-20,265106,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Bulletproof Skin,https://open.spotify.com/track/6JJ8dMD8ZHo9RQbZfKUTyK,Distort Yourself,https://open.spotify.com/album/39NUMGNHvB1k3VWzujcCPv,Institute,https://open.spotify.com/artist/5dw20y4c03uTJPC7rKoDtS,2021-11-25,265106,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Caught In The Rain,https://open.spotify.com/track/1aWjCUq4KU7wCdQ2AuGeB7,Places For Breathing,https://open.spotify.com/album/5IuW2X71vJlkLVua4Fd2wX,Revis,https://open.spotify.com/artist/4e27lOSzk1nvSxpw2BrrwT,2021-11-25,210093,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Chew Me Up (feat. Terrible Johnny),https://open.spotify.com/track/5VE9fM3rSpbFrqqgWJYgbk,Introvert,https://open.spotify.com/album/1UB0WV9UwC1xaQY95c5md6,"Saint Asonia, Terrible Johnny","https://open.spotify.com/artist/6Fwq3TDWpMhcL1KTKVQiI8, https://open.spotify.com/artist/4ekKTR0gTosJEoEcLd5RSZ",2022-09-20,219551,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Cold,https://open.spotify.com/track/6ZxrUCaynLgKSUudACOTwj,Crossfade,https://open.spotify.com/album/1namjaJZ23ozXXB7X2d4hy,Crossfade,https://open.spotify.com/artist/4IR8ZkpbyyKrqsIzchF3NB,2021-11-25,194226,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Comedown - 2014 Remastered,https://open.spotify.com/track/2ox1STg6AbcEHoHWlFtFwr,Sixteen Stone (2014 Remastered),https://open.spotify.com/album/5IJm0boSQuEBLiYNZJKV2Y,Bush,https://open.spotify.com/artist/78SHxLdtysAXgywQ4vE0Oa,2022-06-28,326666,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Comedown - Remastered,https://open.spotify.com/track/7KgVUnGCMEXBwY2EeqGlaI,Sixteen Stone (Remastered),https://open.spotify.com/album/2EVR73AnIDeYLxVDJIqObQ,Bush,https://open.spotify.com/artist/78SHxLdtysAXgywQ4vE0Oa,2022-06-28,326666,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Control,https://open.spotify.com/track/575Sz3R4xOhueUstPObylF,Come Clean,https://open.spotify.com/album/4oWz3E9jTrBe9sVkiX2sJ5,Puddle Of Mudd,https://open.spotify.com/artist/3dXaa6jwM7B52GZpaJEIr5,2021-11-25,230066,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Crawling Into You,https://open.spotify.com/track/2EVVaTiZFIXwkV74McpZy5,Promo 2019,https://open.spotify.com/album/6DKO5xmgzhet0tQD8zXMZ5,Soul Blind,https://open.spotify.com/artist/4u8phrcaIdvRzcGq5DcQJa,2022-11-04,203293,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Cumbersome,https://open.spotify.com/track/6XmpvInnm4EgCUgXMTqIRR,Churn,https://open.spotify.com/album/6vnsykSsmiy1etv3krbC5T,Seven Mary Three,https://open.spotify.com/artist/2zsLaQhHFdQPdFXqG1nRmM,2021-11-25,362200,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Daisy,https://open.spotify.com/track/6142Em0cjiYUz2GjnG1Epw,Life's a Blur,https://open.spotify.com/album/7t00JaebsFO1LI5mPNMXm8,Superbloom,https://open.spotify.com/artist/3xdggitmc1vFAChxAwhIIL,2024-01-22,189917,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Didn't Want It,https://open.spotify.com/track/1vznlLp8uSjB4fyd81NoXE,Didn't Want It,https://open.spotify.com/album/7oNKlDqNz3XriU4RJNbLOk,Glitterer,https://open.spotify.com/artist/2bTjArGDYivNxnYFH5jUcj,2022-03-20,119370,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Die Born,https://open.spotify.com/track/5yA7AoyGWSUoxALn0RxCfb,Days Of The New (Red Album),https://open.spotify.com/album/36anDuZI1duEjJ1rXmKeHP,Days Of The New,https://open.spotify.com/artist/07jc1IMGtecDZzOL9cP50t,2022-09-20,236573,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Die Born,https://open.spotify.com/track/3E8tOvQnlxRg5U9AtEqYPP,The Definitive Collection,https://open.spotify.com/album/4jMvOGmPkg1LoUwAENluAH,Days Of The New,https://open.spotify.com/artist/07jc1IMGtecDZzOL9cP50t,2021-11-25,237573,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Doesn't Remind Me,https://open.spotify.com/track/0o995gJCGebaza0LWybToU,Out of Exile,https://open.spotify.com/album/0HQhToIjonHnJRRPN4jeJU,Audioslave,https://open.spotify.com/artist/2ziB7fzrXBoh1HUPS6sVFn,2021-11-25,255000,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Don't Wake Me,https://open.spotify.com/track/13heJXQpJsfROWJpNR22e0,Not The Same,https://open.spotify.com/album/5IUoKMmB607UsJmfzKhAhh,Aranda,https://open.spotify.com/artist/6l0DPGloCYFvs6dM7Y8Wmw,2021-12-31,207973,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Down,https://open.spotify.com/track/0Im8piS5MwtQAnpWVla5iw,No. 4,https://open.spotify.com/album/0NgdZp0Z9HGsowYxPBYQSV,Stone Temple Pilots,https://open.spotify.com/artist/2UazAtjfzqBF0Nho2awK4z,2021-11-25,228960,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Echo,https://open.spotify.com/track/5en6cRkRnuE3U59QX6DAJh,Trapt,https://open.spotify.com/album/4jd0qgZ4gaHW6b0lgpZKWk,Trapt,https://open.spotify.com/artist/1UdQqCUR7RwB9YYJONwbdM,2022-11-04,251520,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Empty Spaces,https://open.spotify.com/track/0NfWezPk0Xdab6CC2JfH3u,Something Like Human,https://open.spotify.com/album/1OmZcrLO7y9cL7pq8Ge0LL,Fuel,https://open.spotify.com/artist/0EyuKHE1AeE9lWUF8mzKVp,2021-12-31,205093,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Everlong,https://open.spotify.com/track/5UWwZ5lm5PKu6eKsHAGxOk,The Colour And The Shape,https://open.spotify.com/album/30ly6F6Xl0TKmyBCU50Khv,Foo Fighters,https://open.spotify.com/artist/7jy3rLJdDQY21OgRLCZ9sD,2021-11-25,250546,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Fake It,https://open.spotify.com/track/4eAwB5pnKFTmsgc3zWoYO0,Finding Beauty In Negative Spaces (Bonus Track Version),https://open.spotify.com/album/59Tni3gA1OczshFWTMxmbo,Seether,https://open.spotify.com/artist/6B5c4sch27tWHAGdarpPaW,2022-11-04,193893,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Fight,https://open.spotify.com/track/3zfVj6UVenatGKid6QirRW,Something Beautiful,https://open.spotify.com/album/12gGF8RinPYXZ5eqCFjhFg,Oleander,https://open.spotify.com/artist/7038Bglq6YmpBu6wPvQJiz,2021-11-25,212950,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Fine Again,https://open.spotify.com/track/4eTIe5eqds88bA9ua6p5p6,Disclaimer,https://open.spotify.com/album/5u0UdiircjbveLg8cs39iw,Seether,https://open.spotify.com/artist/6B5c4sch27tWHAGdarpPaW,2021-11-25,243640,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Flowers On A Grave,https://open.spotify.com/track/4TcYGnt7qcBuDoGTWHJ36E,The Kingdom,https://open.spotify.com/album/1IduB3mfHISAtpV1zQHpef,Bush,https://open.spotify.com/artist/78SHxLdtysAXgywQ4vE0Oa,2021-11-25,225149,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
For You,https://open.spotify.com/track/3gAZuCwnlRkAjcnP1Q4yzu,Break the Cycle,https://open.spotify.com/album/0HogGfosAvj4tF3GTv2KIE,Staind,https://open.spotify.com/artist/5KDIH2gF0VpelTqyQS7udb,2024-01-22,206200,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
For You,https://open.spotify.com/track/464HG7mt7NNKtKY0Hco8Y8,Break the Cycle,https://open.spotify.com/album/0OwSOrPWyP9batKOhOnaPt,Staind,https://open.spotify.com/artist/5KDIH2gF0VpelTqyQS7udb,2023-05-17,206200,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Freak,https://open.spotify.com/track/2RDgs05sg2vrpwiAEUkWd0,Freak Show,https://open.spotify.com/album/511p6iaCuK8Sr0BYdpcfkq,Silverchair,https://open.spotify.com/artist/4iudEcmuPlYNdbP3e1bdn1,2022-01-19,226106,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Glycerine,https://open.spotify.com/track/0l9l90a1zB3wUObtwWbqHy,Sixteen Stone (Remastered),https://open.spotify.com/album/72X9bb0R8LXGnVHZ3O40OK,Bush,https://open.spotify.com/artist/78SHxLdtysAXgywQ4vE0Oa,2021-11-25,266493,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Golden,https://open.spotify.com/track/6xDjH0ixZLfT8p6jSp0rkJ,Feel This,https://open.spotify.com/album/1KRDInixnT3AO7K6HQkKty,Crobot,https://open.spotify.com/artist/4ygqEKxbe61knnDaodGFmi,2022-11-04,237893,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Gone Away (A Song For Starr),https://open.spotify.com/track/3Vxib4vvhfLPyphsln3of2,Year Of The Spider,https://open.spotify.com/album/0XxmvWFp66NnlSxco9i7yr,Cold,https://open.spotify.com/artist/0Gw3a3BkWLwsMLFbOBmo6Q,2021-11-25,194120,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Hanging By A Moment,https://open.spotify.com/track/0wqOReZDnrefefEsrIGeR4,No Name Face,https://open.spotify.com/album/1VKNHcrUppE8i5oAhg4o6k,Lifehouse,https://open.spotify.com/artist/5PokPZn11xzZXyXSfnvIM3,2022-06-28,216066,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Hanging By A Moment,https://open.spotify.com/track/1cRNEme8Bp7V8eNIAeyiAk,No Name Face,https://open.spotify.com/album/73VoR62ltV5NrQfdK06CC6,Lifehouse,https://open.spotify.com/artist/5PokPZn11xzZXyXSfnvIM3,2021-11-25,216066,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Heavy,https://open.spotify.com/track/0VbOBom0Ya2zrlSpv7II1C,Dosage,https://open.spotify.com/album/5YcqcN9ZyZIS2vYYT4WC66,Collective Soul,https://open.spotify.com/artist/4e5V1Q2dKCzbLVMQ8qbTn6,2022-06-28,174912,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Heavy,https://open.spotify.com/track/4XKsdyKsgojxsFOHam52Mr,Dosage,https://open.spotify.com/album/10h0WKev2yYudLvXIVvSFP,Collective Soul,https://open.spotify.com/artist/4e5V1Q2dKCzbLVMQ8qbTn6,2021-11-25,174912,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Hero (feat. Josey Scott),https://open.spotify.com/track/779ooI3rBd0CLqCiiJmtVo,Hero (feat. Josey Scott),https://open.spotify.com/album/4JLTenJ9u07tFnk3On1ypa,"Chad Kroeger, Josey Scott","https://open.spotify.com/artist/7fJYw1vK9yWb8o51I8qHin, https://open.spotify.com/artist/5mNloTgSaf5qCyk48t9NSP",2021-11-25,200480,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Heroin,https://open.spotify.com/track/0leJYiYyZE6jjXCEVYUQAm,"OK, I'M SICK",https://open.spotify.com/album/08VFvUyNPi6G0tc1d4DPU4,Badflower,https://open.spotify.com/artist/3T55D3LMiygE9eSKFpiAye,2021-11-25,281226,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Hesitations,https://open.spotify.com/track/2ulg6v1K4pj8Pf6xzNAZGi,Vulture Culture,https://open.spotify.com/album/7xM1rBcqR7CXC6cVelRRpe,Fangclub,https://open.spotify.com/artist/1rT2DYzj3q6QnrxaqF4jnN,2021-12-31,217560,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Hey Man Nice Shot,https://open.spotify.com/track/5pQEExRHWM9XnghO6bhdLJ,Short Bus (Expanded Edition),https://open.spotify.com/album/6usfQZWUKsRMv9RwApvYw4,Filter,https://open.spotify.com/artist/01WjpKiWVNurV5hjIadB8C,2021-11-25,314440,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
"Hey Man, Nice Shot - Remastered Version",https://open.spotify.com/track/1IyHPt3b6BrhdMwNyk0VM0,Short Bus,https://open.spotify.com/album/0UWwEb7weI9WdpxPzD9aqV,Filter,https://open.spotify.com/artist/01WjpKiWVNurV5hjIadB8C,2022-06-28,314440,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Higher,https://open.spotify.com/track/1ZozJfi8u9cO2Ob8KwiwNT,Human Clay,https://open.spotify.com/album/3Nyjm9NBEdiaiWr2BEaV46,Creed,https://open.spotify.com/artist/43sZBwHjahUvgbx1WNIkIz,2022-06-28,316733,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Higher,https://open.spotify.com/track/0x6gCEDWLyelx0c7CZsok8,Rockklassiker,https://open.spotify.com/album/59zwBnqd0o84TIWPqOovrO,Creed,https://open.spotify.com/artist/43sZBwHjahUvgbx1WNIkIz,2022-11-04,326293,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
Higher,https://open.spotify.com/track/1e5grnGb7YIcX9EuJM1mtB,Greatest Hits,https://open.spotify.com/album/4btSrwp3BOMRmxKwUhbS0Z,Creed,https://open.spotify.com/artist/43sZBwHjahUvgbx1WNIkIz,2021-11-25,326293,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
How You Remind Me,https://open.spotify.com/track/0gmbgwZ8iqyMPmXefof8Yf,Silver Side Up,https://open.spotify.com/album/5fKL7vMTXvhR9tov8Kqt3u,Nickelback,https://open.spotify.com/artist/6deZN1bslXzeGvOLaLMOIF,2022-06-28,223840,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
I Hate Everything About You,https://open.spotify.com/track/6rUp7v3l8yC4TKxAAR5Bmx,Three Days Grace (Expanded Edition),https://open.spotify.com/album/38pfSOHvxHqDWwDnjZ25U5,Three Days Grace,https://open.spotify.com/artist/2xiIXseIJcq3nG7C8fHeBj,2021-11-25,231480,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
I Will Buy You A New Life,https://open.spotify.com/track/2fhfoZqqTJ8jo4HvWseNfM,So Much For The Afterglow,https://open.spotify.com/album/7xk1Tl6UZ8OALZkFEagPsM,Everclear,https://open.spotify.com/artist/694QW15WkebjcrWgQHzRYF,2021-11-25,238133,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
I'll Stick Around,https://open.spotify.com/track/4LGKzrdEeBwR9UHCGlDT0W,Foo Fighters,https://open.spotify.com/album/4EnNuo8fG7dMoxMefbApRY,Foo Fighters,https://open.spotify.com/artist/7jy3rLJdDQY21OgRLCZ9sD,2021-11-25,232533,2021-12-28,The best Grunge heirs' songs. Cover: Creed,Post-Grunge Society
