track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
A Pesar del Tiempo,https://open.spotify.com/track/1UAnqYmOWtyVXNOA8cPQ8r,Lucharé,https://open.spotify.com/album/2TLAq5snR8KdndLMVCzHC4,Mickey Taveras,https://open.spotify.com/artist/1iVpMZKqpnZWfCXO2vIozm,2022-12-30,295626,2023-08-09,¡Cañonazos salseros para persignar la pista de baile!,Salsa Sonidera
Agua Caliente,https://open.spotify.com/track/5HmxRC7UzG9FxGYAm7EsXH,Amanecí Contigo Y Sin Tabú,https://open.spotify.com/album/40PyxT3MBm2aGxKLKKBfBB,Hildemaro,https://open.spotify.com/artist/2jc6xa4fD1dcYzuzGadGic,2022-12-30,239397,2023-08-09,¡Cañonazos salseros para persignar la pista de baile!,Salsa Sonidera
Ahora Quien - Salsa Version,https://open.spotify.com/track/5A32KQZznC2HSqr9qzTl2N,Valio La Pena,https://open.spotify.com/album/4O3yvEN5II2yKWKBPtDLD7,Marc Anthony,https://open.spotify.com/artist/4wLXwxDeWQ8mtUIRPxGiD6,2022-12-30,309586,2023-08-09,¡Cañonazos salseros para persignar la pista de baile!,Salsa Sonidera
Amiga,https://open.spotify.com/track/5WyX397vZTvYQwSrylCka0,Puro Corazón,https://open.spotify.com/album/39gzi20j94Xta3yLFG5wtR,Maelo Ruiz,https://open.spotify.com/artist/3HyrDGPLI0c9Rd8luuO0zw,2022-12-30,255213,2023-08-09,¡Cañonazos salseros para persignar la pista de baile!,Salsa Sonidera
Amor De Papel,https://open.spotify.com/track/2ccabU9T3oFwcM0NnBXxpf,Recogiendo Frutos,https://open.spotify.com/album/5GzoEi3bJsLWwLvEpK4fxm,Tito Gomez,https://open.spotify.com/artist/4zq1okwemKSJbZFDQrp7f2,2022-12-30,296573,2023-08-09,¡Cañonazos salseros para persignar la pista de baile!,Salsa Sonidera
Amor y Control,https://open.spotify.com/track/6UwXptA4X3zXi3cCszekHx,Una Decada,https://open.spotify.com/album/4qZQMejSxUgypvuVUOuY7J,Rubén Blades,https://open.spotify.com/artist/5BwMgvRwlq61SmknvsVIQj,2022-12-30,349640,2023-08-09,¡Cañonazos salseros para persignar la pista de baile!,Salsa Sonidera
Amores Como el Nuestro,https://open.spotify.com/track/3WLXf7K7mIGEBtFq41afce,10 De Coleccion,https://open.spotify.com/album/4l7BTfiKsjv1DoReRxxySR,Jerry Rivera,https://open.spotify.com/artist/7wOZy3KdFVVINgNFFxkxwO,2022-12-30,302360,2023-08-09,¡Cañonazos salseros para persignar la pista de baile!,Salsa Sonidera
Anhelo,https://open.spotify.com/track/68runhwF0SdEN1DFSadXWk,Reclamando Nuestro Espacio,https://open.spotify.com/album/22oTpQbBrBfkrqMsumH3OX,Adolescent's Orquesta,https://open.spotify.com/artist/70nxnxEqDQIEWneRjg2Q4O,2022-12-30,248555,2023-08-09,¡Cañonazos salseros para persignar la pista de baile!,Salsa Sonidera
Anuncio Clasificado / Dámelo,https://open.spotify.com/track/3kqapvD6gg0TlUeqinOX9u,Viva Rosario,https://open.spotify.com/album/68Gx7E0QgelZ6Uvpo9PWzB,Willie Rosario,https://open.spotify.com/artist/24qSVomYxpfAFwzBnKCc8J,2022-12-30,301010,2023-08-09,¡Cañonazos salseros para persignar la pista de baile!,Salsa Sonidera
Aquel Lugar,https://open.spotify.com/track/16c6awlmGfeusU7zoVu5yc,Búscame,https://open.spotify.com/album/76GMXDdpCLC8NwXtv37yYj,Adolescent's Orquesta,https://open.spotify.com/artist/70nxnxEqDQIEWneRjg2Q4O,2022-12-30,231410,2023-08-09,¡Cañonazos salseros para persignar la pista de baile!,Salsa Sonidera
