track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
(Getting Some) Fun out of Life,https://open.spotify.com/track/1WWVlkmJSdLBSiqF2m8Ex2,Dreamland,https://open.spotify.com/album/4DE9KRgAibQ5ZnmDtuGJNB,Madeleine Peyroux,https://open.spotify.com/artist/7nXyULtoL8k7wP9l6kg8Ef,2021-01-19,192173,2022-07-19,La banda sonora para tus cenas en casa.,Cena con Amigos
(Poor Mi) Israelites,https://open.spotify.com/track/6zsH33Xbm0gAtBTx9R2vP0,Intensified,https://open.spotify.com/album/0TmbH6BZWBBmDGHNErPLxa,Desmond Dekker & The Aces,https://open.spotify.com/artist/4fmVPsGxjwP5ruiTEvIcOt,2024-02-05,156786,2022-07-19,La banda sonora para tus cenas en casa.,Cena con Amigos
(Sittin' On) the Dock of the Bay,https://open.spotify.com/track/3zBhihYUHBmGd2bcQIobrF,The Dock of the Bay (Mono),https://open.spotify.com/album/03HMOcANauhLD0WNrMkmLU,Otis Redding,https://open.spotify.com/artist/60df5JBRRPcnSpsIMxxwQm,2024-11-28,163755,2022-07-19,La banda sonora para tus cenas en casa.,Cena con Amigos
(They Long To Be) Close To You,https://open.spotify.com/track/2kyVQg00pphEufGT59M2XH,Close To You,https://open.spotify.com/album/5z8MFnoVUIfVo6MQW0uIul,Carpenters,https://open.spotify.com/artist/1eEfMU2AhEo7XnKgL7c304,2021-01-19,273933,2022-07-19,La banda sonora para tus cenas en casa.,Cena con Amigos
(They Long To Be) Close To You,https://open.spotify.com/track/50q2aUjWoTn6CJIfSPRJQA,Close To You,https://open.spotify.com/album/1CsuCA05y9r7ftG9bGGtWV,Carpenters,https://open.spotify.com/artist/1eEfMU2AhEo7XnKgL7c304,2021-01-19,276000,2022-07-19,La banda sonora para tus cenas en casa.,Cena con Amigos
(You Make Me Feel Like) A Natural Woman,https://open.spotify.com/track/0LXljhKMUgoLv8tLwZ1hmf,Tapestry,https://open.spotify.com/album/12n11cgnpjXKLeqrnIERoS,Carole King,https://open.spotify.com/artist/319yZVtYM9MBGqmSQnMyY6,2024-02-05,229066,2022-07-19,La banda sonora para tus cenas en casa.,Cena con Amigos
6000 Miles,https://open.spotify.com/track/3UvcBuqivTJkZgRoLZ09JC,6000 Miles,https://open.spotify.com/album/3RKr1pYPqHZaAsh6w8SCxk,Sara Pi,https://open.spotify.com/artist/0laMFy7P4AzMlSDFHf6CuE,2021-01-19,178765,2022-07-19,La banda sonora para tus cenas en casa.,Cena con Amigos
About A Girl,https://open.spotify.com/track/48YkpE5enOln5c7jXSTuHL,MTV Unplugged In New York,https://open.spotify.com/album/1To7kv722A8SpZF789MZy7,Nirvana,https://open.spotify.com/artist/6olE6TJLqED3rqDCT0FyPh,2021-01-19,218000,2022-07-19,La banda sonora para tus cenas en casa.,Cena con Amigos
Agua De Beber,https://open.spotify.com/track/6hwrxnBXln6pXeMJc6b6Im,The Astrud Gilberto Album,https://open.spotify.com/album/2kKjfMvfXShAeoRkhRRouE,"Astrud Gilberto, Antônio Carlos Jobim","https://open.spotify.com/artist/5rX2c1zow6hCph8PnnU3kF, https://open.spotify.com/artist/3pO5VjZ4wOHCMBXOvbMISG",2021-01-19,139253,2022-07-19,La banda sonora para tus cenas en casa.,Cena con Amigos
All I Need (feat. Beth Hirsch),https://open.spotify.com/track/6T10XPeC9X5xEaD6tMcK6M,Moon Safari,https://open.spotify.com/album/5dmYtZVJ1bG9RyrZBRrkOA,"Air, Beth Hirsch","https://open.spotify.com/artist/1P6U1dCeHxPui5pIrGmndZ, https://open.spotify.com/artist/7a1nGgiWVcRP4PV6xkXQ96",2021-01-19,268306,2022-07-19,La banda sonora para tus cenas en casa.,Cena con Amigos
