track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
(Can’t Get You) Off My Mind,https://open.spotify.com/track/2nBqFmllpg9RXlWGKpSWQT,(Can’t Get You) Off My Mind,https://open.spotify.com/album/21ML2b7P3BVsthK09Qqn9J,"Tones And I, Young Franco, CHAII","https://open.spotify.com/artist/2NjfBq1NflQcKSeiDooVjY, https://open.spotify.com/artist/6mK0vAO13gT8jWYANyoXAl, https://open.spotify.com/artist/5QYfFIxVcsJtK600MxqtpF",2024-07-05,172265,2021-12-21,The hottest new pop with all the drops. Cover: Sophie and the Giants,New Dance Pop
(It Goes Like) Nanana - Edit,https://open.spotify.com/track/23RoR84KodL5HWvUTneQ1w,(It Goes Like) Nanana [Edit],https://open.spotify.com/album/2LVDNOUUy2g8517ZEtQIcK,Peggy Gou,https://open.spotify.com/artist/2mLA48B366zkELXYx7hcDN,2023-06-20,231545,2021-12-21,The hottest new pop with all the drops. Cover: Sophie and the Giants,New Dance Pop
001,https://open.spotify.com/track/4E9FiSTNbDe7bPjwuKvhxc,001,https://open.spotify.com/album/1YcrrT5zuAkzJx0ztbwdsV,Maude Latour,https://open.spotify.com/artist/3MNLhvqJkWsO6tcjY9ps62,2022-09-30,186810,2021-12-21,The hottest new pop with all the drops. Cover: Sophie and the Giants,New Dance Pop
0800 HEAVEN,https://open.spotify.com/track/4YUgS4PGLSBI6sbKUxaD3D,0800 HEAVEN,https://open.spotify.com/album/40izf85UJ64znlhMKw2a6r,"Nathan Dawe, Joel Corry, Ella Henderson","https://open.spotify.com/artist/2gduEC76ry33RVurAvT05p, https://open.spotify.com/artist/6DgP9otnZw5z6daOntINxp, https://open.spotify.com/artist/7nDsS0l5ZAzMedVRKPP8F1",2023-06-09,159316,2021-12-21,The hottest new pop with all the drops. Cover: Sophie and the Giants,New Dance Pop
0800 HEAVEN,https://open.spotify.com/track/75KZRDouF6WcfkThhnJSvB,0800 HEAVEN,https://open.spotify.com/album/0ufYMOnoFhramYoTojRkJv,"Nathan Dawe, Joel Corry, Ella Henderson","https://open.spotify.com/artist/2gduEC76ry33RVurAvT05p, https://open.spotify.com/artist/6DgP9otnZw5z6daOntINxp, https://open.spotify.com/artist/7nDsS0l5ZAzMedVRKPP8F1",2023-06-09,159316,2021-12-21,The hottest new pop with all the drops. Cover: Sophie and the Giants,New Dance Pop
10 Out Of 10 (feat. Kylie Minogue),https://open.spotify.com/track/11TSwkrxQ7HEOhM8nvzhpj,10 Out Of 10 (feat. Kylie Minogue),https://open.spotify.com/album/58sL2tSx8ZOGPYZQAUNBA0,"Oliver Heldens, Kylie Minogue","https://open.spotify.com/artist/5nki7yRhxgM509M5ADlN1p, https://open.spotify.com/artist/4RVnAU35WRWra6OZ3CbbMA",2023-04-07,170602,2021-12-21,The hottest new pop with all the drops. Cover: Sophie and the Giants,New Dance Pop
100 Lives,https://open.spotify.com/track/1esueU6TI7y7bOwHhOP14K,100 Lives,https://open.spotify.com/album/6zOK13fGEgCUcqCwYySpHu,"Jonas Blue, Eyelar","https://open.spotify.com/artist/1HBjj22wzbscIZ9sEb5dyf, https://open.spotify.com/artist/3u4qXYRgHgU7YtjZt9sduX",2024-07-19,193334,2021-12-21,The hottest new pop with all the drops. Cover: Sophie and the Giants,New Dance Pop
100% Pure Love,https://open.spotify.com/track/46id9snGVXnL2aUR5nISKC,100% Pure Love,https://open.spotify.com/album/1YTJKcEfwPsi53BAPu3RXG,Years & Years,https://open.spotify.com/artist/5vBSrE1xujD2FXYRarbAXc,2022-11-04,180825,2021-12-21,The hottest new pop with all the drops. Cover: Sophie and the Giants,New Dance Pop
10:35,https://open.spotify.com/track/6BePGk3eCan4FqaW2X8Qy3,10:35,https://open.spotify.com/album/77wWx9sOCJiy0wcn0P44NO,"Tiësto, Tate McRae","https://open.spotify.com/artist/2o5jDhtHVPhrJdv3cEQ99Z, https://open.spotify.com/artist/45dkTj5sMRSjrmBSBeiHym",2022-11-04,172252,2021-12-21,The hottest new pop with all the drops. Cover: Sophie and the Giants,New Dance Pop
15 MINUTES,https://open.spotify.com/track/2Dazu1HgFj1geJOfKKFOpf,15 MINUTES,https://open.spotify.com/album/4OFZVvqlg84Czl7td7XddK,Madison Beer,https://open.spotify.com/artist/2kRfqPViCqYdSGhYSM9R0Q,2024-07-19,189192,2021-12-21,The hottest new pop with all the drops. Cover: Sophie and the Giants,New Dance Pop
