track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"1,2,3 STELLA (feat. Geolier)",https://open.spotify.com/track/5QkgH3o4mTEEEn3YdC7txo,DARK BOYS CLUB,https://open.spotify.com/album/1tOSFDBcHBMhts9wghlAf7,"Dark Polo Gang, Geolier","https://open.spotify.com/artist/4CuMwzDzEdlUJMEna38VQ0, https://open.spotify.com/artist/27LlKWxS3KXW7RRAxN5S8s",2022-05-01,136671,2022-05-09,SPINGERE,Club Rap 
100% (feat. Salmo),https://open.spotify.com/track/4Bsfr9fyqjgThu4In7RkE7,100% (feat. Salmo),https://open.spotify.com/album/3Uw4hrJI3XRv2HvChEZuTH,"Luciennn, Salmo","https://open.spotify.com/artist/6qHbYx76y5bQSbBMUYhhuP, https://open.spotify.com/artist/3hBQ4zniNdQf1cqqo6hzuW",2024-06-20,160645,2022-05-09,SPINGERE,Club Rap 
"1234 POSSE (feat. Faneto, Artie 5ive, Astro, Niky Savage, Lito, Low-Red, Kid Yugi, RRARI DAL TACCO)",https://open.spotify.com/track/2zYzOaECWTf16Hdp4bc8Zu,NO REGULAR MUSIC (Deluxe),https://open.spotify.com/album/7MyXBQdWCOgTzq4eORz0fe,"Sadturs, KIID, Faneto, Artie 5ive, Astro, Niky Savage, Lito, Low-Red, Kid Yugi, RRARI DAL TACCO","https://open.spotify.com/artist/4SRpFyqwIrO0xMX39HJnaU, https://open.spotify.com/artist/5oKFHzk5mSd5uJpod1D8aB, https://open.spotify.com/artist/51101YZl9bczaDPDfVHCB4, https://open.spotify.com/artist/2R4kNOwHUUsuDYhKsESVbF, https://open.spotify.com/artist/2pzFTbri7ew8mW2CbYpCNq, https://open.spotify.com/artist/4w9mPW732RnZkoqsy3lRsg, https://open.spotify.com/artist/3Es16vmqYL43ifHZR4YjbO, https://open.spotify.com/artist/6iE4D1r501drzd1fyM6z9N, https://open.spotify.com/artist/0EUR8jz8L936AEbV2Spkca, https://open.spotify.com/artist/30fnIb0InCgAp2IPY17nqd",2025-01-02,278802,2022-05-09,SPINGERE,Club Rap 
181,https://open.spotify.com/track/3yEA1LJvalVoh8ejwq7PHD,BLOCCO 181 – ORIGINAL SOUNDTRACK,https://open.spotify.com/album/7jfOGP1vsNecfYTcwN3AyH,"Salmo, Drillionaire, Verano","https://open.spotify.com/artist/3hBQ4zniNdQf1cqqo6hzuW, https://open.spotify.com/artist/0qts5zYDAeK8dBmrdF2Zwq, https://open.spotify.com/artist/1UY14QmPtbYtJp41TBmquK",2022-05-26,140297,2022-05-09,SPINGERE,Club Rap 
25 ore RMX (feat. Ernia & Shablo),https://open.spotify.com/track/0Q7Y2E8cj8uvNXI3hs9Mvc,Mr. Fini,https://open.spotify.com/album/5W43G0FSXOgTFCSfnnwxcf,"Guè, Ernia, Shablo","https://open.spotify.com/artist/7F2utINZ6tSokSiZTQBE27, https://open.spotify.com/artist/3fhMfkPPzksWuw0hEm4ldm, https://open.spotify.com/artist/6hkKbkZGvAXuvle2FhCnxy",2022-05-01,183724,2022-05-09,SPINGERE,Club Rap 
30ºC,https://open.spotify.com/track/5eyL6waluu7hXrRrWewBFU,30ºC,https://open.spotify.com/album/66o9NYg61y0te154pzWWth,ANNA,https://open.spotify.com/artist/7K80yOTC0Id95gRaOxDG5u,2024-05-31,142615,2022-05-09,SPINGERE,Club Rap 
3SOME (feat. VillaBanks),https://open.spotify.com/track/4wxkiwrHy5KhV5Ob1T8RHB,3SOME (feat. VillaBanks),https://open.spotify.com/album/1YIIGgWV5CCDfAC7FaHy0u,"Rosa Chemical, VillaBanks","https://open.spotify.com/artist/5gYADZXuZoaJwrwfAPbKuH, https://open.spotify.com/artist/3ASAxVN1hNoYfoMcIkzZWL",2024-06-20,122076,2022-05-09,SPINGERE,Club Rap 
Adrenalina,https://open.spotify.com/track/44r0DNbRcHU8KyM1K2AJ0y,Adrenalina,https://open.spotify.com/album/5cXeDgXDMcSMb3tH6EnCaB,"Fred De Palma, JVLI","https://open.spotify.com/artist/0QrUbsrL5imqntAfDl8i7q, https://open.spotify.com/artist/4rj3KWaLAnuxgtMMkypZhf",2023-03-30,180000,2022-05-09,SPINGERE,Club Rap 
ADVICE,https://open.spotify.com/track/3gQkyNcw4YuyeUcFM5d9TB,LISTA 47,https://open.spotify.com/album/3MMMbRt5PJf5zXmFoe94D4,"ANNA, MamboLosco","https://open.spotify.com/artist/7K80yOTC0Id95gRaOxDG5u, https://open.spotify.com/artist/4BFn4jmfqSNaHtPWHTcy41",2022-07-15,183038,2022-05-09,SPINGERE,Club Rap 
Alleluia (feat. Sfera Ebbasta),https://open.spotify.com/track/1MboxS3hV7Wr8UVO59uRth,Milano Demons,https://open.spotify.com/album/202T8cUT1c3oQarCOJBy6m,"Shiva, Sfera Ebbasta","https://open.spotify.com/artist/2K5nCggbhSZ00YCYP5qkZS, https://open.spotify.com/artist/23TFHmajVfBtlRx5MXqgoz",2022-12-30,160051,2022-05-09,SPINGERE,Club Rap 
ALYX (feat. Capo Plaza),https://open.spotify.com/track/39XG4fTadjyZtPYybMqvZA,J,https://open.spotify.com/album/5cmbVE8sridz5LqFNEAWwy,"Lazza, Capo Plaza","https://open.spotify.com/artist/0jdNdfi4vAuVi7a6cPDFBM, https://open.spotify.com/artist/5SulO4l40qDuV9zUGLZx7n",2022-05-01,183027,2022-05-09,SPINGERE,Club Rap 
ALYX (feat. Capo Plaza),https://open.spotify.com/track/5ifarM7jfplX1EqkqMHlDq,J,https://open.spotify.com/album/4vCqEvwOICd6NwnsuhWzUO,"Lazza, Capo Plaza","https://open.spotify.com/artist/0jdNdfi4vAuVi7a6cPDFBM, https://open.spotify.com/artist/5SulO4l40qDuV9zUGLZx7n",2022-07-28,183027,2022-05-09,SPINGERE,Club Rap 
AMIRI BOYS (feat. Capo Plaza),https://open.spotify.com/track/336EcNskIVcF8deRT8m1zY,DARK BOYS CLUB,https://open.spotify.com/album/0yHQkpn5Rv5OjCgvGW7A4v,"Dark Polo Gang, Capo Plaza","https://open.spotify.com/artist/4CuMwzDzEdlUJMEna38VQ0, https://open.spotify.com/artist/5SulO4l40qDuV9zUGLZx7n",2022-05-01,155026,2022-05-09,SPINGERE,Club Rap 
"Amore Mio (feat. Sfera Ebbasta, Jul)",https://open.spotify.com/track/644oTknCDmxS3O8ZQWqt3Q,Popolari,https://open.spotify.com/album/3EktNYSh5CA0vTEsthGVjp,"Rhove, Sfera Ebbasta, Jul","https://open.spotify.com/artist/44DWomjW1oDuxIoBIRpmQ4, https://open.spotify.com/artist/23TFHmajVfBtlRx5MXqgoz, https://open.spotify.com/artist/3IW7ScrzXmPvZhB27hmfgy",2024-03-29,221231,2022-05-09,SPINGERE,Club Rap 
ANELLI E COLLANE (feat. ANNA),https://open.spotify.com/track/0YI32qkEhhUjoGVMGXDm8b,ASPETTANDO LA BELLA VITA,https://open.spotify.com/album/7kPBwGRrSCDXGUuxcD6AWb,"Artie 5ive, ANNA","https://open.spotify.com/artist/2R4kNOwHUUsuDYhKsESVbF, https://open.spotify.com/artist/7K80yOTC0Id95gRaOxDG5u",2024-08-08,189015,2022-05-09,SPINGERE,Club Rap 
ANSIA NO,https://open.spotify.com/track/2yuYI5NFhevxa05se7Qht9,FSK TRAPSHIT REVENGE,https://open.spotify.com/album/4z4zCeqiEjTTBI0a8Uyl0S,FSK SATELLITE,https://open.spotify.com/artist/4UikIA2yhd0jVJSXD9IOJH,2022-05-01,148500,2022-05-09,SPINGERE,Club Rap 
Apparecchiato (feat. Nerissima Serpe),https://open.spotify.com/track/64phbsUhT5naqkPA3L0vXz,Apparecchiato (feat. Nerissima Serpe),https://open.spotify.com/album/5dSZpDWUqAEZUGTjWpJEgv,"Papa V, Nerissima Serpe, Fritu","https://open.spotify.com/artist/0vAALEhfbmllIOX1t7k5KU, https://open.spotify.com/artist/08ppjXEpROUgrG1X0DEquB, https://open.spotify.com/artist/4PYZsCk6AeRr8VjtJ7z1RF",2024-08-08,158624,2022-05-09,SPINGERE,Club Rap 
Apparecchiato (feat. Nerissima Serpe),https://open.spotify.com/track/1jM7qLKYebmZhnjwl2MpTo,Gesù Bambino,https://open.spotify.com/album/73o3cVQvCogUq8jVRJ8DU4,"Papa V, Nerissima Serpe, Fritu","https://open.spotify.com/artist/0vAALEhfbmllIOX1t7k5KU, https://open.spotify.com/artist/08ppjXEpROUgrG1X0DEquB, https://open.spotify.com/artist/4PYZsCk6AeRr8VjtJ7z1RF",2025-01-02,158625,2022-05-09,SPINGERE,Club Rap 
ARGENTINA,https://open.spotify.com/track/3lkiTKxSDxOqZkQnf9FUEo,BIEN O MAL,https://open.spotify.com/album/1HeNYlqvbUDkP97DJ33Kjl,"Trueno, NATHY PELUSO","https://open.spotify.com/artist/2x7PC78TmgqpEIjaGAZ0Oz, https://open.spotify.com/artist/3VHAySZQPlfGlNLslzXYpN",2022-12-30,233214,2022-05-09,SPINGERE,Club Rap 
Ayo,https://open.spotify.com/track/0k6DnZMLoEUH8NGD5zh2SE,Fan of A Fan The Album (Expanded Edition),https://open.spotify.com/album/4neocSMt40stXKK2B8Sy2G,"Chris Brown, Tyga","https://open.spotify.com/artist/7bXgB6jMjp9ATFy66eO08Z, https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp",2022-07-28,225226,2022-05-09,SPINGERE,Club Rap 
Ayy Macarena,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX,Ayy Macarena,https://open.spotify.com/album/3Cse4lihKX7ww99QnZGQAh,Tyga,https://open.spotify.com/artist/5LHRHt1k9lMyONurDHEdrp,2022-07-28,131606,2022-05-09,SPINGERE,Club Rap 
Baby (with J Balvin),https://open.spotify.com/track/3JCqB2HhpIPNNg1O4os8o5,Famoso,https://open.spotify.com/album/5fTgdXawyLC7oZEry7jGEk,"Sfera Ebbasta, J Balvin","https://open.spotify.com/artist/23TFHmajVfBtlRx5MXqgoz, https://open.spotify.com/artist/1vyhD5VmyZ7KMfW5gqLgo5",2022-07-28,193554,2022-05-09,SPINGERE,Club Rap 
Baby (with J Balvin),https://open.spotify.com/track/4L5ZhW0VJeQ6je2iqvqZ4X,Famoso,https://open.spotify.com/album/59znAGeM6NNmzTkkV6MHrT,"Sfera Ebbasta, J Balvin","https://open.spotify.com/artist/23TFHmajVfBtlRx5MXqgoz, https://open.spotify.com/artist/1vyhD5VmyZ7KMfW5gqLgo5",2022-05-01,193554,2022-05-09,SPINGERE,Club Rap 
Baby U Want Me (feat. Geolier & Michelangelo),https://open.spotify.com/track/1VzaOchDWZJ5PliyvO24h7,Lamborghini a Via Marina,https://open.spotify.com/album/2Q3U7ILYYVYLfvWrOLQJXp,"Vale Lambo, Geolier, Michelangelo","https://open.spotify.com/artist/26OG4ryQ7oFAbUNAvYCOgn, https://open.spotify.com/artist/27LlKWxS3KXW7RRAxN5S8s, https://open.spotify.com/artist/1K7IC4qha4KEXySo6yZmnH",2024-01-25,223360,2022-05-09,SPINGERE,Club Rap 
Backwoods,https://open.spotify.com/track/0OOalWuhO3e1fjriNVlvqj,SKINNY BABY,https://open.spotify.com/album/5IMeTLBNo9M0LUxaHZFx4E,Skinny,https://open.spotify.com/artist/1NHdROm8HLgfbar8uCIZGk,2022-05-01,177902,2022-05-09,SPINGERE,Club Rap 
