track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Black Lives Made STEM History,https://open.spotify.com/track/78MBph27OvsmvxCauXGZOx,All One Tribe,https://open.spotify.com/album/1EEVSonqRIjEB0DapNIRs8,Roy Moye III,https://open.spotify.com/artist/1FBZZD3fC7SuYBb8PsZWuf,2022-04-08,194853,2022-04-19,These songs about science will get your kids thinking (and dancing!).,Mad Scientist
Curious - Radio Edit,https://open.spotify.com/track/5G0lNxYMUZFTIr1GL7EgQA,Curious: Think Outside the Pipeline!,https://open.spotify.com/album/0TgG27H7fFvAhb1RWvrAn6,Ants on a Log,https://open.spotify.com/artist/6FhfWrn7f8y6OI8JZV2P3g,2022-04-08,150733,2022-04-19,These songs about science will get your kids thinking (and dancing!).,Mad Scientist
First Kid In Outer Space,https://open.spotify.com/track/0gY02lpe3nwGJkOYF81Byz,Time Out To Rock,https://open.spotify.com/album/0WlUtngG1jOXHTWrBIiL6P,The Not-Its!,https://open.spotify.com/artist/4Eo7yzZ7LoM4Cg8AySUWry,2022-04-08,111013,2022-04-19,These songs about science will get your kids thinking (and dancing!).,Mad Scientist
How Do Volcanoes Work?,https://open.spotify.com/track/4iiTCRH5nnR1QPNgEtJdC5,Ask The StoryBots: Season 2 (Music From The Original Series),https://open.spotify.com/album/1gBVScuQu3oYi98AchR0WR,StoryBots,https://open.spotify.com/artist/6N6lLMxDF4as6slJ878Rgg,2022-04-08,87138,2022-04-19,These songs about science will get your kids thinking (and dancing!).,Mad Scientist
How Do Volcanoes Work?,https://open.spotify.com/track/5lVyjyEWLZluAGYjqFQd9m,Ask The StoryBots: Season 2 (Music From The Original Series),https://open.spotify.com/album/5wSjzGjvhotNbkyZDkYTqE,StoryBots,https://open.spotify.com/artist/6N6lLMxDF4as6slJ878Rgg,2022-04-08,87138,2022-04-19,These songs about science will get your kids thinking (and dancing!).,Mad Scientist
How Plants Grow,https://open.spotify.com/track/3CU2MfdQcEM0FWQXILtv9V,Disney Junior Music: Ready for Preschool Vol. 6,https://open.spotify.com/album/4q63Npjvs1fkfxDz0AwpzZ,"Genevieve Goings, Rob Cantor","https://open.spotify.com/artist/33FChbguJKySyP5Spe5jiN, https://open.spotify.com/artist/1NtYiv70buGwaMspHuD49I",2022-04-08,86210,2022-04-19,These songs about science will get your kids thinking (and dancing!).,Mad Scientist
Hypothesis,https://open.spotify.com/track/51o2AxOpFq2jqLFUTtON90,"Ada Twist, Scientist (Soundtrack from the Netflix Series)",https://open.spotify.com/album/22aQsYeeE3Bo2X2YOa2d1D,"Ada Twist, Scientist Cast",https://open.spotify.com/artist/76oRycbLitZ9oew9UTIByK,2022-04-08,90133,2022-04-19,These songs about science will get your kids thinking (and dancing!).,Mad Scientist
I Am a Paleontologist,https://open.spotify.com/track/0MSqR4unoY5KReMoOP6E2D,Here Comes Science,https://open.spotify.com/album/0DiKDeuH9pBNY9mfiNSpAd,"They Might Be Giants (For Kids), Danny Weinkauf","https://open.spotify.com/artist/18ZrIxk5cW5C0MEeTeQx7O, https://open.spotify.com/artist/00s1oYBnUz6FlP3sdD6x0u",2022-04-08,152106,2022-04-19,These songs about science will get your kids thinking (and dancing!).,Mad Scientist
Let's Explore Space!,https://open.spotify.com/track/5kSNgcL9H7rlZE6PXApxIm,Disney Junior Music: Ready for Preschool Vol. 6,https://open.spotify.com/album/4q63Npjvs1fkfxDz0AwpzZ,"Rob Cantor, Genevieve Goings","https://open.spotify.com/artist/1NtYiv70buGwaMspHuD49I, https://open.spotify.com/artist/33FChbguJKySyP5Spe5jiN",2022-04-08,88743,2022-04-19,These songs about science will get your kids thinking (and dancing!).,Mad Scientist
Nacl (Sodium Chloride) (feat. Chaim Tannenbaum),https://open.spotify.com/track/1gUnpnvaQF9k8HTfIb5BEj,The McGarrigle Hour,https://open.spotify.com/album/2awunlKk3xGVAGNjgmLnWz,"Kate & Anna McGarrigle, Chaim Tannenbaum","https://open.spotify.com/artist/7krh6ZjG7i7jvLGiG3YNJF, https://open.spotify.com/artist/2JS4HUjGLXVcKGvtEjYGW3",2022-04-08,148240,2022-04-19,These songs about science will get your kids thinking (and dancing!).,Mad Scientist
Perry the Platypus Theme,https://open.spotify.com/track/0gG4SZ5weal3dd11pf5SzV,Phineas and Ferb,https://open.spotify.com/album/1mwUxOieg2GvQn4wm5bJR1,Randy Crenshaw,https://open.spotify.com/artist/1uYWNGwHu2d2au8iOXZROv,2022-04-08,47240,2022-04-19,These songs about science will get your kids thinking (and dancing!).,Mad Scientist
"Rocks, Worms, Dirt",https://open.spotify.com/track/7KpdTeXM1O9Yc5PoaYYqJc,"Rocks, Worms, Dirt",https://open.spotify.com/album/7ssIKl6fNClylIsfShi5NC,The Cool Chips,https://open.spotify.com/artist/6tpEDMWC8SoJDtYYNBthcD,2022-04-08,130199,2022-04-19,These songs about science will get your kids thinking (and dancing!).,Mad Scientist
Roy G. Biv,https://open.spotify.com/track/0UG9o1jtxAPt2aZXvWefBS,Here Comes Science,https://open.spotify.com/album/0DiKDeuH9pBNY9mfiNSpAd,They Might Be Giants (For Kids),https://open.spotify.com/artist/18ZrIxk5cW5C0MEeTeQx7O,2022-04-08,127346,2022-04-19,These songs about science will get your kids thinking (and dancing!).,Mad Scientist
Science,https://open.spotify.com/track/6PvmdYQrjnBGGEdMAxCQ1J,Thoughtful Songs For Little People,https://open.spotify.com/album/6LSFxDVMLokDF0TO9kXUSP,Teeny Tiny Stevies,https://open.spotify.com/artist/6hhqb0X8Jas5jt96Okhjov,2022-04-08,220928,2022-04-19,These songs about science will get your kids thinking (and dancing!).,Mad Scientist
Science,https://open.spotify.com/track/6y527slRv6wrd7eM7PjYaM,Thoughtful Songs for Little People,https://open.spotify.com/album/7f8sw4jRMSFZoAykCkd7CA,Teeny Tiny Stevies,https://open.spotify.com/artist/6hhqb0X8Jas5jt96Okhjov,2022-04-08,220928,2022-04-19,These songs about science will get your kids thinking (and dancing!).,Mad Scientist
Science Is Real,https://open.spotify.com/track/0HK0ca4NUq81wKUpBksoSe,Here Comes Science,https://open.spotify.com/album/0nrQFbrmkmXPq57leBGMjt,They Might Be Giants (For Kids),https://open.spotify.com/artist/18ZrIxk5cW5C0MEeTeQx7O,2022-04-08,114426,2022-04-19,These songs about science will get your kids thinking (and dancing!).,Mad Scientist
