track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
All I Want,https://open.spotify.com/track/0NlGoUyOJSuSHmngoibVAs,In A Perfect World (Expanded Edition),https://open.spotify.com/album/1ttGpGzOEi6JDDOHO4qD1y,Kodaline,https://open.spotify.com/artist/4BxCuXFJrSWGi1KHcVqaU4,2025-02-11,305746,2025-02-12,Music to see you through the tough times.,Heartache
All I Want,https://open.spotify.com/track/2PwXOevGUSkU8qaYZjgLq2,In A Perfect World,https://open.spotify.com/album/29Tc7Ue6KVfc5mzXxoMgEL,Kodaline,https://open.spotify.com/artist/4BxCuXFJrSWGi1KHcVqaU4,2025-02-11,305746,2025-02-12,Music to see you through the tough times.,Heartache
All I Want,https://open.spotify.com/track/4Cy0NHJ8Gh0xMdwyM9RkQm,This Is Happening,https://open.spotify.com/album/4hnqM0JK4CM1phwfq1Ldyz,LCD Soundsystem,https://open.spotify.com/artist/066X20Nz7iquqkkCW6Jxy6,2025-02-11,401440,2025-02-12,Music to see you through the tough times.,Heartache
All Too Well (Taylor's Version),https://open.spotify.com/track/3nsfB1vus2qaloUdcBZvDu,Red (Taylor's Version),https://open.spotify.com/album/6kZ42qRrzov54LcAk4onW9,Taylor Swift,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,2025-02-11,329160,2025-02-12,Music to see you through the tough times.,Heartache
Always Remember Us This Way,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk,A Star Is Born Soundtrack (Without Dialogue),https://open.spotify.com/album/3edjzMAVB9RYRd4UcZBchx,Lady Gaga,https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms,2025-02-11,210200,2025-02-12,Music to see you through the tough times.,Heartache
Another Love,https://open.spotify.com/track/7otCGmgp9h4CsR2LhwB6gt,Long Way Down,https://open.spotify.com/album/3oEqMQVxXfn2jGRaauU2iv,Tom Odell,https://open.spotify.com/artist/2txHhyCwHjUEpJjWrEyqyX,2025-02-11,244360,2025-02-12,Music to see you through the tough times.,Heartache
Bad Religion,https://open.spotify.com/track/2pMPWE7PJH1PizfgGRMnR9,channel ORANGE,https://open.spotify.com/album/392p3shh2jkxUxY2VHvlH8,Frank Ocean,https://open.spotify.com/artist/2h93pZq0e7k5yf4dywlkpM,2025-02-11,175453,2025-02-12,Music to see you through the tough times.,Heartache
Be Alright,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,Be Alright,https://open.spotify.com/album/0YZLXTaHLcgl5UdtKDiUXD,Dean Lewis,https://open.spotify.com/artist/3QSQFmccmX81fWCUSPTS7y,2025-02-11,196373,2025-02-12,Music to see you through the tough times.,Heartache
Before You Leave Me,https://open.spotify.com/track/7qoxdajngC0j9VXrcnephA,Before You Leave Me,https://open.spotify.com/album/5RFlSbyzgtiMtN7IzqLOhz,Alex Warren,https://open.spotify.com/artist/0fTSzq9jAh4c36UVb4V7CB,2025-02-11,176178,2025-02-12,Music to see you through the tough times.,Heartache
Blackstar,https://open.spotify.com/track/0Fao855T3klV3REFRFHRF3,Blackstar,https://open.spotify.com/album/2w1YJXWMIco6EBf0CovvVN,David Bowie,https://open.spotify.com/artist/0oSGxfWSnnOXhD2fKuz2Gy,2025-02-11,597933,2025-02-12,Music to see you through the tough times.,Heartache
