track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
20 år på vegen,https://open.spotify.com/track/2z9qzLuCkfRdGNI1u08EyO,Søvnlaus,https://open.spotify.com/album/3O6xwlooceiBfpcZRrtqsp,Hellbillies,https://open.spotify.com/artist/0PqNs9XCK5D16ihtRMuOoU,2021-12-16,246626,2021-12-28,Fantastiske viser fra noen av våre aller beste artister.,Norske viser
2020,https://open.spotify.com/track/2JCskibhK5KQk8v8An371h,2020,https://open.spotify.com/album/3pssxznFPsw3TO2ns1Mey3,Bjørn Eidsvåg,https://open.spotify.com/artist/11Vny8qHe4KR50ZIjhz7sz,2021-12-16,275253,2021-12-28,Fantastiske viser fra noen av våre aller beste artister.,Norske viser
2023,https://open.spotify.com/track/7eM5YIrVzZFcXIe2hZ9IiB,Heil ved - Musikken,https://open.spotify.com/album/5mqPvf7oEXdng9pKsSz9NI,Stein Torleif Bjella,https://open.spotify.com/artist/5S2AgI8b86lQyL14ykyYYm,2023-12-14,195600,2021-12-28,Fantastiske viser fra noen av våre aller beste artister.,Norske viser
Adams Sang (feat. Myra),https://open.spotify.com/track/6HNnIJeTCjp3t3oj30nuW3,Adams Sang (feat. Myra),https://open.spotify.com/album/3s7wpsEiUTSvJwSQ7L3G5Z,"Bjørn Eidsvåg, Myra","https://open.spotify.com/artist/11Vny8qHe4KR50ZIjhz7sz, https://open.spotify.com/artist/6dKpd69v7biGUV6qlwnHm5",2022-01-20,267666,2021-12-28,Fantastiske viser fra noen av våre aller beste artister.,Norske viser
Aldri i livet,https://open.spotify.com/track/7gadRhiN4RURlW5wmPyJ0F,Aldri i livet,https://open.spotify.com/album/4PWBw7XicuhaR6f6D5T36r,No. 4,https://open.spotify.com/artist/24YjyPpqFQi1Oh7PQSBT3J,2021-12-16,188796,2021-12-28,Fantastiske viser fra noen av våre aller beste artister.,Norske viser
Alexander Kiellands plass - Live,https://open.spotify.com/track/1vOMjmVZF9azOFd6SjIQuv,Live in Telemark,https://open.spotify.com/album/1ICtv14N8EWSJKe7GjUIhj,"Lillebjørn Nilsen, Andy Irvine","https://open.spotify.com/artist/2cEkdzGxcB731g81iUsH6e, https://open.spotify.com/artist/1nVYeUhlYzmXf0Dl9yk8P2",2022-03-23,195680,2021-12-28,Fantastiske viser fra noen av våre aller beste artister.,Norske viser
Alle de tinga (allting blei stilt),https://open.spotify.com/track/0iuowI2TuzdWdsoJgHJle0,Like små,https://open.spotify.com/album/0mc6rENGnb9PREGbN4IUao,Trygve Skaug,https://open.spotify.com/artist/1Vd2c4IrEtcO5mrIwbep6n,2021-12-16,263813,2021-12-28,Fantastiske viser fra noen av våre aller beste artister.,Norske viser
Alle Snakker Sant,https://open.spotify.com/track/34gxnmqg4Nbzziv265qul7,Alle Snakker Sant,https://open.spotify.com/album/45MigZAWPOEXhoQfZONmS3,Siri Nilsen,https://open.spotify.com/artist/1tN0vK9jF9KVzvJHzWQaUM,2022-07-14,168373,2021-12-28,Fantastiske viser fra noen av våre aller beste artister.,Norske viser
Alle snakker sant,https://open.spotify.com/track/6Mjz6Kra9NP0qffCIt7ltm,Alle snakker sant,https://open.spotify.com/album/22vJhT8LsQgC27izuQ7Pd3,Siri Nilsen,https://open.spotify.com/artist/1tN0vK9jF9KVzvJHzWQaUM,2022-03-23,168373,2021-12-28,Fantastiske viser fra noen av våre aller beste artister.,Norske viser
Alltid En Lengsel,https://open.spotify.com/track/722vfzS4cD4mWPJfxgMg5L,Alltid En Lengsel,https://open.spotify.com/album/4iLwTl4UIBnwU6bRkVtDd5,Thomas Brøndbo,https://open.spotify.com/artist/1Oe2cHHegzll2In52CHVux,2022-02-17,235373,2021-12-28,Fantastiske viser fra noen av våre aller beste artister.,Norske viser
Alt det som skinner,https://open.spotify.com/track/0HYvxo4SmIg7pS6TDoODUD,Alt det som skinner,https://open.spotify.com/album/2R6Dqa6ORZaDkBXeD9SMbr,Anne Grete Preus,https://open.spotify.com/artist/32mTrXKr7W8Tg4hH4S2Do1,2021-12-16,250403,2021-12-28,Fantastiske viser fra noen av våre aller beste artister.,Norske viser
Alt hu treng,https://open.spotify.com/track/2XGCTjbIcQpNizbHANBfeM,Alt hu treng,https://open.spotify.com/album/3aqmeN6RVHZteNNfIgABEK,Frida Ånnevik,https://open.spotify.com/artist/0SlejFsyHq7i1ZgWoRWdH2,2023-09-21,317706,2021-12-28,Fantastiske viser fra noen av våre aller beste artister.,Norske viser
Alt slik det var laga,https://open.spotify.com/track/3nfuXqTSLAAyVDMgZgjHpc,Alt slik det var laga,https://open.spotify.com/album/0fIYDEa2RR461qmtpaJjUM,Odd Nordstoga,https://open.spotify.com/artist/64zdCzD7lOFBTIpQBSH8Uv,2022-01-06,234496,2021-12-28,Fantastiske viser fra noen av våre aller beste artister.,Norske viser
Annen som du,https://open.spotify.com/track/4DMSneArB5W5BTAz8A2ij4,Annen som du,https://open.spotify.com/album/1WxHEl0KfSA2h25BcoNFGS,Trang Fødsel,https://open.spotify.com/artist/3pOEfaqokP940PuLUoho3l,2024-06-06,217703,2021-12-28,Fantastiske viser fra noen av våre aller beste artister.,Norske viser
Augneblink,https://open.spotify.com/track/531fxFOCsBCuHcEeTjei6D,Alt vi har kjært,https://open.spotify.com/album/3IFHntkbXihZ5r7JkrfyVu,Ine Hoem,https://open.spotify.com/artist/5MTbPbWnnllwgJBsahACzy,2022-03-23,240080,2021-12-28,Fantastiske viser fra noen av våre aller beste artister.,Norske viser
Badebussen,https://open.spotify.com/track/1Ajp5nOYezdcpx3e8CfzMl,Badebussen,https://open.spotify.com/album/3EmJ7JUoTy85Ah0ITqQ7UX,"Stein Torleif Bjella, Hver gang vi møtes","https://open.spotify.com/artist/5S2AgI8b86lQyL14ykyYYm, https://open.spotify.com/artist/24Lqq3mnesl7IljSVFEBEO",2025-01-30,178160,2021-12-28,Fantastiske viser fra noen av våre aller beste artister.,Norske viser
Bak En Sky Heim,https://open.spotify.com/track/1Wpp1RuDRTeZxpwHFDhWiI,Spindelvevriff,https://open.spotify.com/album/1GRdz7YDT3ozghg5VWlSY9,Janove,https://open.spotify.com/artist/43EvPY5EelfMkyqqJ9woOI,2022-07-14,274124,2021-12-28,Fantastiske viser fra noen av våre aller beste artister.,Norske viser
Bak En Sky Heim,https://open.spotify.com/track/4tNknyVhJDxgQxjCZEoqfN,Spindelvevriff,https://open.spotify.com/album/5AkevgUX9GarMJnqW8xV3F,Janove,https://open.spotify.com/artist/43EvPY5EelfMkyqqJ9woOI,2021-12-16,274124,2021-12-28,Fantastiske viser fra noen av våre aller beste artister.,Norske viser
Bak En Sky Heim,https://open.spotify.com/track/5FZQMbggBnCwKMo1UBIU6Z,Spindelvevriff,https://open.spotify.com/album/0yjOYxaM1JEuI8hT2N1d4S,Janove,https://open.spotify.com/artist/43EvPY5EelfMkyqqJ9woOI,2023-06-01,274124,2021-12-28,Fantastiske viser fra noen av våre aller beste artister.,Norske viser
Baklengs ombord,https://open.spotify.com/track/4eUlDBi2cXnnzbcyboq85B,Baklengs ombord,https://open.spotify.com/album/6HUiML7VO1cx3OFKFIE4Av,Halvdan Sivertsen,https://open.spotify.com/artist/4si4vypZaD6Vk7TiHkEXeY,2022-03-23,228853,2021-12-28,Fantastiske viser fra noen av våre aller beste artister.,Norske viser
Balladen om Jonas Falch,https://open.spotify.com/track/5abeWSVef47zFitVZVINU3,Balladen om Jonas Falch,https://open.spotify.com/album/2MjeGxxwzdEZYgUlmdStHg,Ola Bremnes,https://open.spotify.com/artist/2YUcEURAjhrNV7wxBBfq7E,2022-01-20,277040,2021-12-28,Fantastiske viser fra noen av våre aller beste artister.,Norske viser
Beibi kom hjem - Single Edit,https://open.spotify.com/track/6U55Tde9CdKzlRKGbnlEoG,Beibi kom hjem,https://open.spotify.com/album/2QXDcaFzzjLkdt3J30Gi3V,deLillos,https://open.spotify.com/artist/5gsErkGsLeCYCSK0Pxj01N,2024-11-21,224118,2021-12-28,Fantastiske viser fra noen av våre aller beste artister.,Norske viser
Bestevenn,https://open.spotify.com/track/0bQLTkISNpcZ70TbGGisTA,Bestevenn (Bonus Version),https://open.spotify.com/album/7M0cXZCjiZ4tjewFs25Nwy,Odd Nordstoga,https://open.spotify.com/artist/64zdCzD7lOFBTIpQBSH8Uv,2021-12-16,244120,2021-12-28,Fantastiske viser fra noen av våre aller beste artister.,Norske viser
Bonden,https://open.spotify.com/track/3qJ67DQIkl9FnqTcbxqkuf,Bonden,https://open.spotify.com/album/4rhFyhczRVGlYU9zOPYmnE,Sigrid Moldestad,https://open.spotify.com/artist/4l2PfWenotuMdNx3O2QzkM,2021-12-16,284357,2021-12-28,Fantastiske viser fra noen av våre aller beste artister.,Norske viser
Brenner overalt,https://open.spotify.com/track/38okmcjwEQKPa6qQLC16NW,Brenner overalt,https://open.spotify.com/album/2tvHKfP5GG5mpPwaNhvM0D,Trygve Skaug,https://open.spotify.com/artist/1Vd2c4IrEtcO5mrIwbep6n,2021-12-16,244222,2021-12-28,Fantastiske viser fra noen av våre aller beste artister.,Norske viser
Bror,https://open.spotify.com/track/5TWg0DczP5O3aJyVyD0mlh,Bror,https://open.spotify.com/album/3Md4sOQ6TuqSouOgzIqcVP,Ingebjørg Bratland,https://open.spotify.com/artist/2tmt0z174LRgAeAi9MHA9C,2021-12-16,193425,2021-12-28,Fantastiske viser fra noen av våre aller beste artister.,Norske viser
Bror,https://open.spotify.com/track/1585fzVgMIK5BzPXA5a2iS,Hjarteskjell,https://open.spotify.com/album/5LrKrBAJdrfrqdv6kFnugC,Ingebjørg Bratland,https://open.spotify.com/artist/2tmt0z174LRgAeAi9MHA9C,2022-10-06,195906,2021-12-28,Fantastiske viser fra noen av våre aller beste artister.,Norske viser
Bror,https://open.spotify.com/track/1vnOWt0MAEkZGCOzD2snSA,Bror,https://open.spotify.com/album/2hGjZ58iJaDiV8EAX2oxsI,"Kristian Kristensen, Hver gang vi møtes","https://open.spotify.com/artist/75ZTlOo6olxm9thcXVh6Ta, https://open.spotify.com/artist/24Lqq3mnesl7IljSVFEBEO",2023-01-12,194893,2021-12-28,Fantastiske viser fra noen av våre aller beste artister.,Norske viser
Bru over mørke bølger,https://open.spotify.com/track/0BX8d3ykK2rTOI3W5ZMdaf,Bru over mørke bølger,https://open.spotify.com/album/6XUfS1htXyTvLsxZDKLyY4,Trygve Skaug,https://open.spotify.com/artist/1Vd2c4IrEtcO5mrIwbep6n,2021-12-16,299333,2021-12-28,Fantastiske viser fra noen av våre aller beste artister.,Norske viser
Bråtebrann,https://open.spotify.com/track/2dzVpK8VpDFO9icFxoOMBr,Bråtebrann,https://open.spotify.com/album/6DMFNBhXpJOPFpa6KqT6CF,Moddi,https://open.spotify.com/artist/65ltPnFGbTfv1sFjVOZBMM,2022-03-23,148853,2021-12-28,Fantastiske viser fra noen av våre aller beste artister.,Norske viser
Club 7,https://open.spotify.com/track/6BfEYWOivGxDbxf4vM5SUu,Club 7,https://open.spotify.com/album/5HsxpRklriIeoEDbEH7KEw,Eva Weel Skram,https://open.spotify.com/artist/3u2Sz4K3PFfalhDU0vSHT3,2023-03-30,260778,2021-12-28,Fantastiske viser fra noen av våre aller beste artister.,Norske viser
Crescendo i Gågata,https://open.spotify.com/track/6d35rdVufTVqEuaAPLxeMt,Crescendo i Gågata,https://open.spotify.com/album/2HaKiwfbSwXrh7PNISjHuN,Frida Ånnevik,https://open.spotify.com/artist/0SlejFsyHq7i1ZgWoRWdH2,2021-12-16,161386,2021-12-28,Fantastiske viser fra noen av våre aller beste artister.,Norske viser
