track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
180 de grade,https://open.spotify.com/track/3z1U4OMI0NQyfXOlI5hGTB,180 de grade,https://open.spotify.com/album/2lXZd4s1RM51ZyiDxSXsGo,"Juno, Holy Molly","https://open.spotify.com/artist/2oCQSda6vA1t27B5RWXYwb, https://open.spotify.com/artist/4ljZpmnnnA1ezEdylZuNLK",2025-02-06,171684,2024-07-02,Cele mai noi hituri pop românești. Cover: Delia,Hiturile de azi
7 zile de 8 ori,https://open.spotify.com/track/4r8QP0r8oEWjNRiqRa1JyC,7 zile de 8 ori,https://open.spotify.com/album/0cMi3lBoihkgoc2M6GqE0B,"Manuel Riva, IRAIDA","https://open.spotify.com/artist/2hkGkEnyudpE42IU4DBt99, https://open.spotify.com/artist/4vlWcKDxlW0shCIXLuBuov",2024-10-24,154838,2024-07-02,Cele mai noi hituri pop românești. Cover: Delia,Hiturile de azi
"A venit poliția - From ""Candidatul perfect"" The Movie",https://open.spotify.com/track/4ltU2MHw7l9Mbr7NhbNjLV,"A venit poliția (From ""Candidatul perfect"" The Movie)",https://open.spotify.com/album/60yReiUgnULTHtH4aZduQY,Theo Rose,https://open.spotify.com/artist/264Be2Waq137vybMlFYCnu,2024-10-10,144303,2024-07-02,Cele mai noi hituri pop românești. Cover: Delia,Hiturile de azi
Același oraș,https://open.spotify.com/track/6MeoGIs5zRBXhEEwUWSewZ,Același oraș,https://open.spotify.com/album/3yIKJPCbmKQ80UFV6IS7Qh,ADI,https://open.spotify.com/artist/5oB7CsrcdCnwwcHcMHlTjo,2024-12-12,182727,2024-07-02,Cele mai noi hituri pop românești. Cover: Delia,Hiturile de azi
ADN,https://open.spotify.com/track/4UNukwAdvGdJOtoyW9wPOI,ADN,https://open.spotify.com/album/5nR1jSr6mb7egmjowppcHb,"Alina Eremia, David Ciente","https://open.spotify.com/artist/6cpj6MeLF0pLx34Un9Bpj3, https://open.spotify.com/artist/2x33Tw2x7KbILr1FIh92O2",2024-06-27,182000,2024-07-02,Cele mai noi hituri pop românești. Cover: Delia,Hiturile de azi
"Ador, Ador",https://open.spotify.com/track/78uLUCLW30aWAgfjKx5XXF,"Ador, Ador",https://open.spotify.com/album/2bFTwcjDC2cSAhgfkUV45K,AMI,https://open.spotify.com/artist/6ZQhxROkDyYGsijIBDBrhF,2024-06-27,150965,2024-07-02,Cele mai noi hituri pop românești. Cover: Delia,Hiturile de azi
Ai greșit,https://open.spotify.com/track/0wORaL1EhDo4Quewj9LSua,Ai greșit,https://open.spotify.com/album/5zGlVaN0cYPsj21qCndxxg,"Andreea Banica, Andrei Banuta","https://open.spotify.com/artist/1MRQV5l5n4ax84U6CQljVq, https://open.spotify.com/artist/7rtpTWA4CYQOAvg9GD2Xr2",2024-08-22,185223,2024-07-02,Cele mai noi hituri pop românești. Cover: Delia,Hiturile de azi
Alarmă falsă,https://open.spotify.com/track/1WEoUIepliQWyDp2aY0S7L,Alarmă falsă,https://open.spotify.com/album/4WqQP8Rzu8xGQHvdWmmfUy,"Liviu Teodorescu, Eva Timush","https://open.spotify.com/artist/7Ml36YHsejaW7jVjJAhW4a, https://open.spotify.com/artist/4DANv10r5yJS3hjpPJ6zTk",2024-11-07,135766,2024-07-02,Cele mai noi hituri pop românești. Cover: Delia,Hiturile de azi
Alchimistul,https://open.spotify.com/track/7D2WfODZho5lLmMN6MgtIl,Alchimistul,https://open.spotify.com/album/1msF2JTO39BJPj8io9W4e9,IRAIDA,https://open.spotify.com/artist/4vlWcKDxlW0shCIXLuBuov,2024-11-14,151111,2024-07-02,Cele mai noi hituri pop românești. Cover: Delia,Hiturile de azi
Am ales,https://open.spotify.com/track/4mEfnVaMq552vamveh5wxO,Am ales,https://open.spotify.com/album/4Zhwwgl06xlit08mHlQO9X,"Alina Eremia, Killa Fonic","https://open.spotify.com/artist/6cpj6MeLF0pLx34Un9Bpj3, https://open.spotify.com/artist/20SBqzpuFoymhieHTNHUgl",2025-02-06,196600,2024-07-02,Cele mai noi hituri pop românești. Cover: Delia,Hiturile de azi
Am fost,https://open.spotify.com/track/0Zse8E4z0xT7r0EIpvlLBh,Am fost,https://open.spotify.com/album/7DW2hiwY664iXJsSotCA2G,"Ronna Riva, Tostogan's","https://open.spotify.com/artist/76PdoNdwxIcxZOvqpYrrKq, https://open.spotify.com/artist/4FR2mH4PHFMDE5kYj0v1WR",2024-10-24,178666,2024-07-02,Cele mai noi hituri pop românești. Cover: Delia,Hiturile de azi
Am prietene,https://open.spotify.com/track/38Ait9TSXa0EKkMcl6UYYm,Am prietene,https://open.spotify.com/album/7GPtQPdBMxBM3BkXEI0vzn,Alessandra,https://open.spotify.com/artist/70vx3HiFmZozTbVXsBoOiV,2024-09-05,137777,2024-07-02,Cele mai noi hituri pop românești. Cover: Delia,Hiturile de azi
Angela,https://open.spotify.com/track/4Esp2NsgjiutkU3K7khzGZ,Angela,https://open.spotify.com/album/2zyrzFealmUxTrdoAA1ex8,Connect-R,https://open.spotify.com/artist/1omKDrKCcMD79tfK8Vb2Hr,2024-06-27,183000,2024-07-02,Cele mai noi hituri pop românești. Cover: Delia,Hiturile de azi
Anii mei,https://open.spotify.com/track/50nayboEdFGs2Ql0qxFLD9,Anii mei,https://open.spotify.com/album/42ER6DwZiXzS6aalAoXxaR,ADDA,https://open.spotify.com/artist/1lYjAYTw1QBVxIwVrZ1eTy,2024-10-10,149189,2024-07-02,Cele mai noi hituri pop românești. Cover: Delia,Hiturile de azi
Apari în vise,https://open.spotify.com/track/5JA2h10ZUi5vAEZViXJamz,VANILLA BOY,https://open.spotify.com/album/206zVYtuYhyAV3JdVyVoPv,Andrei Ursu,https://open.spotify.com/artist/2ej9sGNpApicrgDhJkcPeW,2024-08-08,168750,2024-07-02,Cele mai noi hituri pop românești. Cover: Delia,Hiturile de azi
Apă și Pământ,https://open.spotify.com/track/0BW2Gto1cME7HTmn6NlPjW,Apă și Pământ,https://open.spotify.com/album/6gtAXlAUBM9gt9uLECMfqG,Feli,https://open.spotify.com/artist/5ckrQzJjIPDPS6EM4V1nmX,2024-09-26,160793,2024-07-02,Cele mai noi hituri pop românești. Cover: Delia,Hiturile de azi
