track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
0 CONFIANZA,https://open.spotify.com/track/3DoQI6dr5XDc7hChrkA1lD,EL TIBURÓN,https://open.spotify.com/album/44MDlLPFwSdNNACGyOlfW3,"Rvfv, Morad","https://open.spotify.com/artist/2CCgb0KApjfQDuTppovpf8, https://open.spotify.com/artist/4az97MtWmBQ5Db3GfDh9j9",2024-05-30,217500,2022-05-12,Il rap è uno sport competitivo 🔥 Cover: Central Cee ,Rap Internazionale
06 Gucci (feat. DaBaby & 21 Savage),https://open.spotify.com/track/4mWbFYZ9P14Ulf1LIFZGhH,06 Gucci (feat. DaBaby & 21 Savage),https://open.spotify.com/album/6K67robZZpglKEFuNQWtsr,"Gucci Mane, DaBaby, 21 Savage","https://open.spotify.com/artist/13y7CgLHjMVRMDqxdx0Xdo, https://open.spotify.com/artist/4r63FhuTkUYltbVAg5TQnk, https://open.spotify.com/artist/1URnnhqYAYcrqrcwql10ft",2023-04-06,178950,2022-05-12,Il rap è uno sport competitivo 🔥 Cover: Central Cee ,Rap Internazionale
100 Million,https://open.spotify.com/track/3EJslhR33350RLGMb6eOAg,100 Million,https://open.spotify.com/album/0DRD7GdJQNalHpKaLhM871,"DIVINE, Karan Aujla","https://open.spotify.com/artist/4Ai0pGz6GhQavjzaRhPTvz, https://open.spotify.com/artist/6DARBhWbfcS9E4yJzcliqQ",2024-01-18,192479,2022-05-12,Il rap è uno sport competitivo 🔥 Cover: Central Cee ,Rap Internazionale
14 Years - Spotify Singles,https://open.spotify.com/track/3UBHeF9BNbMUB3SoGr8pSn,Spotify Singles,https://open.spotify.com/album/5xrn2BgDap9ifTaTrIDf9X,KAHUKX,https://open.spotify.com/artist/3OkbxDtag6zvVnAaa9YLLC,2022-10-21,133312,2022-05-12,Il rap è uno sport competitivo 🔥 Cover: Central Cee ,Rap Internazionale
2 Million Up,https://open.spotify.com/track/5JS1gz9zP4GTy0LZYvSeUK,ONLY BUILT 4 DIAMOND LINKS,https://open.spotify.com/album/3s4uzffoGode9dbtELaVEp,Peezy,https://open.spotify.com/artist/6lOaHNmL3l3hKDGNf0egfs,2022-09-27,159973,2022-05-12,Il rap è uno sport competitivo 🔥 Cover: Central Cee ,Rap Internazionale
22 Carats,https://open.spotify.com/track/1fmVM7nzDB3pUPhPQgzYoT,22 Carats,https://open.spotify.com/album/5Zk8JVmGOQCIfyulE39JCd,"Headie One, Gazo","https://open.spotify.com/artist/6UCQYrcJ6wab6gnQ89OJFh, https://open.spotify.com/artist/5gqmbbfjcikQBzPB5Hv13I",2022-07-26,206036,2022-05-12,Il rap è uno sport competitivo 🔥 Cover: Central Cee ,Rap Internazionale
25 million,https://open.spotify.com/track/2lUDBd7JrgAMltcp6dcd7D,LIVE LIFE FAST,https://open.spotify.com/album/1eVrpJbHRLBbioB9sb5b94,Roddy Ricch,https://open.spotify.com/artist/757aE44tKEUQEqRuT6GnEB,2022-05-10,204626,2022-05-12,Il rap è uno sport competitivo 🔥 Cover: Central Cee ,Rap Internazionale
30 Hours,https://open.spotify.com/track/2CHmgtK8OCL28WtIK96u4N,The Life Of Pablo,https://open.spotify.com/album/7gsWAHLeT0w7es6FofOXk1,Kanye West,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x,2024-04-26,323302,2022-05-12,Il rap è uno sport competitivo 🔥 Cover: Central Cee ,Rap Internazionale
4EVA (feat. Pharrell Williams),https://open.spotify.com/track/3CblJq8QQQ0bb7vwJu8c3v,4EVA (feat. Pharrell Williams),https://open.spotify.com/album/3unS7dpXcZ0MmNBDkp5Hqx,"KAYTRAMINÉ, Aminé, KAYTRANADA, Pharrell Williams","https://open.spotify.com/artist/5oifjQw72WO7Jut07fVWMy, https://open.spotify.com/artist/3Gm5F95VdRxW3mqCn8RPBJ, https://open.spotify.com/artist/6qgnBH6iDM91ipVXv28OMu, https://open.spotify.com/artist/2RdwBSPQiwcmiDo9kixcl8",2023-04-11,190373,2022-05-12,Il rap è uno sport competitivo 🔥 Cover: Central Cee ,Rap Internazionale
4X4,https://open.spotify.com/track/6s8WSX1MxNThrot8ThI6fG,4X4,https://open.spotify.com/album/5HAxzyUfyay8NElNaehsNe,Travis Scott,https://open.spotify.com/artist/0Y5tJX1MQlPlqiwlOH1tJY,2025-01-24,190581,2022-05-12,Il rap è uno sport competitivo 🔥 Cover: Central Cee ,Rap Internazionale
