track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
All-American Girl,https://open.spotify.com/track/2dRPQFwPqAmc42mDRnsDQu,Carnival Ride,https://open.spotify.com/album/5HwzpaqYOZABPnmvl5JYFX,Carrie Underwood,https://open.spotify.com/artist/4xFUf1FHVy696Q1JQZMTRj,2021-06-17,212173,2021-12-21,Songs that show your dad love and appreciation,Father's Day
Anything Like Me,https://open.spotify.com/track/74mZKvZcZzzvbOnt8NfWda,Hits Alive,https://open.spotify.com/album/10XgYRGRtKApBh2P1K9yHS,Brad Paisley,https://open.spotify.com/artist/13YmWQJFwgZrd4bf5IjMY4,2023-05-31,268186,2021-12-21,Songs that show your dad love and appreciation,Father's Day
Babyfather,https://open.spotify.com/track/10kh9WpO4XlJWhJKfW4I7t,Soldier of Love,https://open.spotify.com/album/3QzXOFN7Wh4WgilnraBYAU,Sade,https://open.spotify.com/artist/47zz7sob9NUcODy0BTDvKx,2021-06-17,278640,2021-12-21,Songs that show your dad love and appreciation,Father's Day
Beautiful Boy,https://open.spotify.com/track/4w5TzKwkxg0OXz4vHXFUlW,Instant Karma: The Amnesty International Campaign To Save Darfur (Standard Version),https://open.spotify.com/album/5hJwAMtrAvp9cGLhR3ZmYN,Ben Harper,https://open.spotify.com/artist/45lorWzrKLxfKlWpV7r9CN,2021-06-17,228000,2021-12-21,Songs that show your dad love and appreciation,Father's Day
Beautiful Boy (Darling Boy) - Remastered 2010,https://open.spotify.com/track/5URfZHMlUWTWxPvvSBWcPk,Double Fantasy,https://open.spotify.com/album/1NWA2fPLUAW5df7UGI5thp,John Lennon,https://open.spotify.com/artist/4x1nvY2FN8jxqAFA0DA02H,2022-06-09,245693,2021-12-21,Songs that show your dad love and appreciation,Father's Day
Build Me A Daddy,https://open.spotify.com/track/3udcshOhVkIlkFpqys8H6X,Build Me A Daddy,https://open.spotify.com/album/3wCpymONuF2pwfAyz4mFW3,Luke Bryan,https://open.spotify.com/artist/0BvkDsjIUla7X0k6CSWh1I,2023-05-31,189880,2021-12-21,Songs that show your dad love and appreciation,Father's Day
Butterfly Kisses,https://open.spotify.com/track/1mwCSKK0YRDsgnj2VwyZSU,Simply Bob Carlisle,https://open.spotify.com/album/164ZlumFzgmF1ahd7gzyDn,Bob Carlisle,https://open.spotify.com/artist/4PJHDzdFoQcklrWU18QdsU,2021-06-17,340600,2021-12-21,Songs that show your dad love and appreciation,Father's Day
Cat's in the Cradle,https://open.spotify.com/track/2obblQ6tcePeOEVJV6nEGD,Verities & Balderdash,https://open.spotify.com/album/3nta4nhqWoWjc6LmHIB0kT,Harry Chapin,https://open.spotify.com/artist/42q4Ivs7tAiCZ5C7eG5q4c,2022-06-09,222951,2021-12-21,Songs that show your dad love and appreciation,Father's Day
Color Him Father,https://open.spotify.com/track/4qlk1U68B90hEi37NvCJRK,Color Him Father,https://open.spotify.com/album/5Ups4qqJu7BegTd8JoOU4M,The Winstons,https://open.spotify.com/artist/4Dvqy5ohQ4sUR1sCETSeak,2022-06-09,190080,2021-12-21,Songs that show your dad love and appreciation,Father's Day
Daddy,https://open.spotify.com/track/5pv5vddJx34hzRT9wI0wK2,Dangerously In Love,https://open.spotify.com/album/6oxVabMIqCMJRYN1GqR3Vf,Beyoncé,https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m,2021-06-17,298333,2021-12-21,Songs that show your dad love and appreciation,Father's Day
"Daddy Could Swear, I Declare",https://open.spotify.com/track/2EljJKZd4yCPBhWczgQjoo,Neither One Of Us,https://open.spotify.com/album/7GNfj26cSJZEWvS822NELd,Gladys Knight & The Pips,https://open.spotify.com/artist/0TF2NxkJZPQoX1H53rEFM1,2022-06-09,225146,2021-12-21,Songs that show your dad love and appreciation,Father's Day
Daddy Lessons,https://open.spotify.com/track/71OvX5NNLrmz7rpq1ANTQn,Lemonade,https://open.spotify.com/album/7dK54iZuOxXFarGhXwEXfF,Beyoncé,https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m,2022-06-09,287986,2021-12-21,Songs that show your dad love and appreciation,Father's Day
Daddy Sang Bass,https://open.spotify.com/track/6cyQhHuw8lEXgHGJlXUiR9,The Holy Land,https://open.spotify.com/album/2nydwfDSmSmJaFTNsWK1kG,Johnny Cash,https://open.spotify.com/artist/6kACVPfCOnqzgfEF5ryl0x,2022-06-09,140413,2021-12-21,Songs that show your dad love and appreciation,Father's Day
Daddy Sang Bass,https://open.spotify.com/track/0MHRECaT0Hzq4iqJutJLtz,Johnny Cash - 16 Biggest Hits,https://open.spotify.com/album/1gTWoYHrSitkKvnUJHdJei,Johnny Cash,https://open.spotify.com/artist/6kACVPfCOnqzgfEF5ryl0x,2021-06-17,141840,2021-12-21,Songs that show your dad love and appreciation,Father's Day
Daddy's Hands,https://open.spotify.com/track/2VPnnOGXmejtKqxGY4jg66,Milestones- Greatest Hits,https://open.spotify.com/album/1rMIWKHHf4rEp1li4Z8UZP,Holly Dunn,https://open.spotify.com/artist/5RkW6o1M8sDx2FzeAEoNbH,2021-06-17,209466,2021-12-21,Songs that show your dad love and appreciation,Father's Day
Daddy's Little Girl,https://open.spotify.com/track/2XDxDUxTOMWRoeyl322oG8,Vintage,https://open.spotify.com/album/0JADWCVegOaq8ECTdGtDPy,Michael Bolton,https://open.spotify.com/artist/6YHEMoNPbcheiWS2haGzkn,2022-06-09,132426,2021-12-21,Songs that show your dad love and appreciation,Father's Day
Daddy's Working Boots,https://open.spotify.com/track/0Tz9aAESK5MHPPmolbrPq2,My Tennessee Mountain Home,https://open.spotify.com/album/73GbNR619uJnkCtcgNn45e,Dolly Parton,https://open.spotify.com/artist/32vWCbZh0xZ4o9gkz4PsEU,2021-06-17,173706,2021-12-21,Songs that show your dad love and appreciation,Father's Day
Dance Like Yo Daddy,https://open.spotify.com/track/1gBU2sM7nEhp6HZjWHqOg9,Thank You (Deluxe),https://open.spotify.com/album/5nkgosKhWt1yXRzmjXNV2d,Meghan Trainor,https://open.spotify.com/artist/6JL8zeS1NmiOftqZTRgdTz,2021-06-17,183240,2021-12-21,Songs that show your dad love and appreciation,Father's Day
Dance Like Yo Daddy,https://open.spotify.com/track/6nIMEvZUmWXKp008VsZKDL,Thank You (Deluxe Version),https://open.spotify.com/album/08eweM0IZoZPCCxODbrMoL,Meghan Trainor,https://open.spotify.com/artist/6JL8zeS1NmiOftqZTRgdTz,2022-06-09,183240,2021-12-21,Songs that show your dad love and appreciation,Father's Day
Dance With My Father,https://open.spotify.com/track/7snmvZMLdGGk3l9PcvoYSM,Dance With My Father,https://open.spotify.com/album/43Ci8cugIRwfmkXEyEgfVM,Luther Vandross,https://open.spotify.com/artist/19y5MFBH7gohEdGwKM7QsP,2021-06-17,266000,2021-12-21,Songs that show your dad love and appreciation,Father's Day
Daughter,https://open.spotify.com/track/3p58uPQ08nLtr8IwVGdYKg,Strange Weirdos: Music From And Inspired By The Film Knocked Up,https://open.spotify.com/album/6L1QV8S8MbJxRdm3UqQyz9,Loudon Wainwright III,https://open.spotify.com/artist/3loACRmkzdtOMNJEaB6j8L,2022-06-09,212866,2021-12-21,Songs that show your dad love and appreciation,Father's Day
Daughter,https://open.spotify.com/track/4meS3Oj3s7EgwdsUt5rFBg,Daughter,https://open.spotify.com/album/2W8W1pBcrt8HGtV2TrF7go,Loudon Wainwright III,https://open.spotify.com/artist/3loACRmkzdtOMNJEaB6j8L,2021-06-17,213880,2021-12-21,Songs that show your dad love and appreciation,Father's Day
Daughters,https://open.spotify.com/track/5FPnjikbwlDMULCCCa6ZCJ,Heavier Things,https://open.spotify.com/album/6WivmTXugLZLmAWnZhlz7g,John Mayer,https://open.spotify.com/artist/0hEurMDQu99nJRq8pTxO14,2021-06-17,237906,2021-12-21,Songs that show your dad love and appreciation,Father's Day
Daughters,https://open.spotify.com/track/2cOfceFeMN2YgYaOf3KYJ6,Life Is Good (Deluxe),https://open.spotify.com/album/5fwYiohuGFqJx34Z4s26jI,Nas,https://open.spotify.com/artist/20qISvAhX20dpIbOOzGK3q,2021-06-17,200213,2021-12-21,Songs that show your dad love and appreciation,Father's Day
