track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
3 o'clock blues,https://open.spotify.com/track/7gpV8JIKrNf2GeiXhCXW0X,3 o'clock blues,https://open.spotify.com/album/5qHlckJho80RrUvy864iWR,DC Carnes,https://open.spotify.com/artist/5ZQ80vxl5XEGaFdWzRFXNf,2022-07-29,316241,2022-08-06,Kick back and relax to these chilled Blues classics.,Chilled Blues
A Apolitical Blues,https://open.spotify.com/track/3ApqVYTzkiGRK74zw34X3X,Sailin' Shoes,https://open.spotify.com/album/7uFbv3TYfv44PcjTphXekt,Little Feat,https://open.spotify.com/artist/0ZIwOAzDuGPspzK7yiTc4S,2022-09-12,208133,2022-08-06,Kick back and relax to these chilled Blues classics.,Chilled Blues
A Fool No More,https://open.spotify.com/track/2Qm98Rw4rdfvo14ZOUiZTN,In the Skies,https://open.spotify.com/album/2lN1smqF0snKbzvR6ZY7FJ,Peter Green,https://open.spotify.com/artist/3y1DgnVXqckGJrbwOKchdU,2022-07-29,464666,2022-08-06,Kick back and relax to these chilled Blues classics.,Chilled Blues
A Man And The Blues,https://open.spotify.com/track/5vbw9boDHRHLZiv90e2ZVx,A Man And The Blues,https://open.spotify.com/album/3cx4CSrzwft7UVlsoZxbTZ,Buddy Guy,https://open.spotify.com/artist/2gCsNOpiBaMNh20jQ5prf0,2022-07-29,383200,2022-08-06,Kick back and relax to these chilled Blues classics.,Chilled Blues
Ain't No Sunshine,https://open.spotify.com/track/1ebftgRZcnctL8GpBu0nu8,Texas Cannonball,https://open.spotify.com/album/59wGnewkXsHCgDahKUPBqu,Freddie King,https://open.spotify.com/artist/5dCuFngSPyOOnTAvrC7v2s,2022-07-29,200200,2022-08-06,Kick back and relax to these chilled Blues classics.,Chilled Blues
Ain't No Way,https://open.spotify.com/track/3XpmFvsO8U4kMlVmxcc0AH,Don't Explain,https://open.spotify.com/album/2uyORQ080sXcPN0oO5lXvT,"Joe Bonamassa, Beth Hart","https://open.spotify.com/artist/2SNzxY1OsSCHBLVi77mpPQ, https://open.spotify.com/artist/30TrHDLNCKQVTYWOn9QqOC",2022-07-29,407653,2022-08-06,Kick back and relax to these chilled Blues classics.,Chilled Blues
Ain't Nobody's Business,https://open.spotify.com/track/5AguTIx7t7HqEJHjlizHHs,The Biggest Thing Since Colossus,https://open.spotify.com/album/0JTpT75jTlXCJqAoCw1H4b,Otis Spann,https://open.spotify.com/artist/0xeI9Z0Uhs8bYGBRpqq88X,2022-07-29,315373,2022-08-06,Kick back and relax to these chilled Blues classics.,Chilled Blues
All Over Again,https://open.spotify.com/track/0cEQAulARZ4tEbWCd6Xrrf,Soul Of California,https://open.spotify.com/album/3ad8RL5MvEPhzDyAoXZxzK,"B.B. King, Mark Knopfler","https://open.spotify.com/artist/5xLSa7l4IV1gsQfhAMvl0U, https://open.spotify.com/artist/0FI0kxP0BWurTz8cB8BBug",2022-07-29,293840,2022-08-06,Kick back and relax to these chilled Blues classics.,Chilled Blues
Annie Mae,https://open.spotify.com/track/2zpDRicyt7YqxFVJ2S3uc7,Chill Out,https://open.spotify.com/album/6iOdCnIfgJBuFcg3KAyBAE,John Lee Hooker,https://open.spotify.com/artist/1yNOfXGQNGjAynk77wv85x,2022-07-29,319693,2022-08-06,Kick back and relax to these chilled Blues classics.,Chilled Blues
Are You Sorry?,https://open.spotify.com/track/4LbRwTZ8BWVvUpQyKa1Rv5,Fire It Up,https://open.spotify.com/album/0xqzwyP636qdS8m942j0Rk,Tinsley Ellis,https://open.spotify.com/artist/56LMX8mqaIhJCaxjZBM1on,2022-07-29,463626,2022-08-06,Kick back and relax to these chilled Blues classics.,Chilled Blues
As the Years Go Passing By,https://open.spotify.com/track/1kckU867bAQrTpIdNAwrGP,Slow Blues - 25 Rare Blues Tracks,https://open.spotify.com/album/5IQlmcuc8I8RlY4h9ELihB,"Fenton Robinson, Malone","https://open.spotify.com/artist/5WFeN8vtX0TYqv0IYVbWZT, https://open.spotify.com/artist/7fBebCCi5DajdmGpG4Avja",2022-07-29,288426,2022-08-06,Kick back and relax to these chilled Blues classics.,Chilled Blues
Been Here Before,https://open.spotify.com/track/1R95piP4AI1kIzq9PRJfyF,Kingfish,https://open.spotify.com/album/6fCDiY92JVAorr6HrKStRH,"Christone ""Kingfish"" Ingram",https://open.spotify.com/artist/5jMGnqJkgPaiJzwy5bOcYX,2022-07-29,354954,2022-08-06,Kick back and relax to these chilled Blues classics.,Chilled Blues
Blues Chase up a Rabbit,https://open.spotify.com/track/1sUlYlnaANkXLmv78fRkzA,High Flying Bird,https://open.spotify.com/album/1PKo6UvTCdxihIRNH5qLyA,Judy Henske,https://open.spotify.com/artist/3UtfXMhd36NSwHMvWYuE8A,2022-07-29,159360,2022-08-06,Kick back and relax to these chilled Blues classics.,Chilled Blues
Blues For Duke Robillard,https://open.spotify.com/track/1PZHYEA9oq4VCmXnSjanLk,Mercy Me,https://open.spotify.com/album/1wSy1a6XpkddFp8R8yHeyj,"Ronnie Earl, The Broadcasters","https://open.spotify.com/artist/7xjcFAzlxdwPCfWi3VOuxU, https://open.spotify.com/artist/2qFpRpyF3BTmEGS4V5sXpH",2022-07-29,463400,2022-08-06,Kick back and relax to these chilled Blues classics.,Chilled Blues
Blues for Marili,https://open.spotify.com/track/1n9E1KOzRRexvQ7pyfJpUm,T-Bone Blues,https://open.spotify.com/album/1YPBXkcPa4KYio6Ziyp7d3,T-Bone Walker,https://open.spotify.com/artist/6nPKmEbQmR8jGZEm7ArOFX,2022-09-12,260399,2022-08-06,Kick back and relax to these chilled Blues classics.,Chilled Blues
Breadwinner,https://open.spotify.com/track/2nT0mY6172fHVa71weoplF,Breadwinner,https://open.spotify.com/album/31rWdk9uDmDdhpMSSi8Ar2,Ferris & Sylvester,https://open.spotify.com/artist/1LnhhjMNydIGawXsnfNhCf,2022-07-29,230426,2022-08-06,Kick back and relax to these chilled Blues classics.,Chilled Blues
Chains And Things,https://open.spotify.com/track/5x7Oxaa9EEIx9nw17CC5yW,Indianola Mississippi Seeds,https://open.spotify.com/album/1NgGj5ECcDELHjoQRX2P1l,B.B. King,https://open.spotify.com/artist/5xLSa7l4IV1gsQfhAMvl0U,2022-07-29,293733,2022-08-06,Kick back and relax to these chilled Blues classics.,Chilled Blues
Cold Hearted Woman,https://open.spotify.com/track/1WVh4LQBjRhooTIYmMpAu4,Tin Pan Alley,https://open.spotify.com/album/3zH6FQfxszWNSF4EYmgVhT,Magic Slim,https://open.spotify.com/artist/0uDA9BcTnKIPpNcZX6ZY3x,2022-07-29,322026,2022-08-06,Kick back and relax to these chilled Blues classics.,Chilled Blues
Cold Rain,https://open.spotify.com/track/4lx1OefOTwZqbVp4j5kBBg,"Blues, Ballads",https://open.spotify.com/album/58EIwvZRNocQghwEDsrhxx,Blues Company,https://open.spotify.com/artist/3zL5MUHZLeAAM2ZTSKQr9w,2022-07-29,346906,2022-08-06,Kick back and relax to these chilled Blues classics.,Chilled Blues
"Cold, Cold Feeling",https://open.spotify.com/track/6kucNn22HB0qb2ZPa1BrNl,Ice Pickin',https://open.spotify.com/album/7K0AX1jtXt1iLCtPLM3dab,Albert Collins,https://open.spotify.com/artist/1uFixbBAduJkFAeRKznkvW,2022-07-29,318840,2022-08-06,Kick back and relax to these chilled Blues classics.,Chilled Blues
Come Rain or Come Shine,https://open.spotify.com/track/2dAm3t3HT91qhKEgZFhzmv,Riding with the King,https://open.spotify.com/album/7b0Ysbudh2BH9A853EfxEu,"Eric Clapton, B.B. King","https://open.spotify.com/artist/6PAt558ZEZl0DmdXlnjMgD, https://open.spotify.com/artist/5xLSa7l4IV1gsQfhAMvl0U",2022-07-29,251360,2022-08-06,Kick back and relax to these chilled Blues classics.,Chilled Blues
