track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Aim of the Fate,https://open.spotify.com/track/2NumOTlWMloN11IMF1VUZR,Attack On Titan The Final Season Original Soundtrack 03,https://open.spotify.com/album/4yJM4GL6LVp6Vo5rhBKAMS,KOHTA YAMAMOTO,https://open.spotify.com/artist/2hE2ofc7IKD1iQ39HYU5N4,2023-11-07,220640,2022-06-10,Music from Attack on Titan!  ©諫山創・講談社／「進撃の巨人」The Final Season製作委員会,Attack on Titan
Aim of the Fate,https://open.spotify.com/track/3bFUuk6Ac2aMTQ1A5BJQ4v,TVアニメ「進撃の巨人」 The Final Season Original Soundtrack 03,https://open.spotify.com/album/3rTrVjcIrw83YvtMIYlLJw,KOHTA YAMAMOTO,https://open.spotify.com/artist/2hE2ofc7IKD1iQ39HYU5N4,2023-11-07,220640,2022-06-10,Music from Attack on Titan!  ©諫山創・講談社／「進撃の巨人」The Final Season製作委員会,Attack on Titan
Akatsuki no Requiem,https://open.spotify.com/track/2vH8JFJKfkAgZs1GFlOzGh,Rakuen Eno Shingeki,https://open.spotify.com/album/6BDIotmFsibbcl4s5uaV4D,Linked Horizon,https://open.spotify.com/artist/3eNYrVLcWfjJ9JdH9kiPJO,2022-06-21,240573,2022-06-10,Music from Attack on Titan!  ©諫山創・講談社／「進撃の巨人」The Final Season製作委員会,Attack on Titan
Akuma no Ko,https://open.spotify.com/track/5cRKj1kynNFqiliT2ndZ3y,Akuma no Ko,https://open.spotify.com/album/1dcNDH0hCRrWPz5IGKr1tR,Higuchi Ai,https://open.spotify.com/artist/4GxWcui9BlMJH9VOOK5wav,2022-06-21,227679,2022-06-10,Music from Attack on Titan!  ©諫山創・講談社／「進撃の巨人」The Final Season製作委員会,Attack on Titan
Akuma no Ko,https://open.spotify.com/track/4pw7EuK2WTWGHI51jCKuGJ,Saiaku Saiai,https://open.spotify.com/album/2CtsgdSCPlWeIdcdk2m2iQ,Higuchi Ai,https://open.spotify.com/artist/4GxWcui9BlMJH9VOOK5wav,2022-06-21,229960,2022-06-10,Music from Attack on Titan!  ©諫山創・講談社／「進撃の巨人」The Final Season製作委員会,Attack on Titan
An Ordinary Day,https://open.spotify.com/track/4ETCFFQvtzuKnAf4rRM3J8,Attack On Titan The Final Season Original Soundtrack 03,https://open.spotify.com/album/4yJM4GL6LVp6Vo5rhBKAMS,KOHTA YAMAMOTO,https://open.spotify.com/artist/2hE2ofc7IKD1iQ39HYU5N4,2023-11-07,343653,2022-06-10,Music from Attack on Titan!  ©諫山創・講談社／「進撃の巨人」The Final Season製作委員会,Attack on Titan
An Ordinary Day,https://open.spotify.com/track/7dRSePqAa4bScB706vKeC7,TVアニメ「進撃の巨人」 The Final Season Original Soundtrack 03,https://open.spotify.com/album/3rTrVjcIrw83YvtMIYlLJw,KOHTA YAMAMOTO,https://open.spotify.com/artist/2hE2ofc7IKD1iQ39HYU5N4,2023-11-07,343653,2022-06-10,Music from Attack on Titan!  ©諫山創・講談社／「進撃の巨人」The Final Season製作委員会,Attack on Titan
AOTF-s1,https://open.spotify.com/track/1C9oENPxKhJlRy21acxJNq,Attack on Titan The Final Season Original Soundtrack,https://open.spotify.com/album/6hpEJjz25G99vP0DgMgqqi,Hiroyuki Sawano,https://open.spotify.com/artist/0Riv2KnFcLZA3JSVryRg4y,2022-06-21,477480,2022-06-10,Music from Attack on Titan!  ©諫山創・講談社／「進撃の巨人」The Final Season製作委員会,Attack on Titan
AOTF-s1,https://open.spotify.com/track/4UsCRRCctHBF45wci4a4BR,TVアニメ「進撃の巨人」 The Final Season Original Soundtrack,https://open.spotify.com/album/4RiSh2jF23Dwbpvlt7pjO9,Sawano Hiroyuki,https://open.spotify.com/artist/0Riv2KnFcLZA3JSVryRg4y,2022-02-08,477480,2022-06-10,Music from Attack on Titan!  ©諫山創・講談社／「進撃の巨人」The Final Season製作委員会,Attack on Titan
AOTF-s2,https://open.spotify.com/track/5sXmXSfvguJBhQRDzQMqZ8,TVアニメ「進撃の巨人」 The Final Season Original Soundtrack,https://open.spotify.com/album/4RiSh2jF23Dwbpvlt7pjO9,Hiroyuki Sawano,https://open.spotify.com/artist/0Riv2KnFcLZA3JSVryRg4y,2022-02-08,213346,2022-06-10,Music from Attack on Titan!  ©諫山創・講談社／「進撃の巨人」The Final Season製作委員会,Attack on Titan
