track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
2112 Overture / The Temples Of Syrinx,https://open.spotify.com/track/6Po9FqcwIJq4xQtNZVXY6v,Chronicles,https://open.spotify.com/album/5mf2xdvPd0I88j9jxUWMNM,Rush,https://open.spotify.com/artist/2Hkut4rAAyrQxRdof7FVJq,2018-12-10,405426,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
"21st Century Schizoid Man - Including ""Mirrors""",https://open.spotify.com/track/2MfrET7Nc3StKQcGoZKqr9,In The Court Of The Crimson King (Expanded & Remastered Original Album Mix),https://open.spotify.com/album/75ol9OP8bJaRqzGimpFHDm,King Crimson,https://open.spotify.com/artist/7M1FPw29m5FbicYzS2xdpi,2023-03-23,442580,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
"21st Century Schizoid Man - Including ""Mirrors""",https://open.spotify.com/track/5L7VBYoosmkmiiDlzumdCe,In The Court Of The Crimson King (Expanded & Remastered Original Album Mix),https://open.spotify.com/album/6tVg2Wl9hVKMpHYcAl2V2M,King Crimson,https://open.spotify.com/artist/7M1FPw29m5FbicYzS2xdpi,2023-03-23,442580,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
25 or 6 to 4,https://open.spotify.com/track/65eRcjlStTnk8opG5eIQ8Z,Chicago IX: Chicago's Greatest Hits,https://open.spotify.com/album/5qWGV0fd7hpdptJYI4G9Dd,Chicago,https://open.spotify.com/artist/3iDD7bnsjL9J4fO298r0L0,2018-12-10,293093,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
25 or 6 to 4 - 2002 Remaster,https://open.spotify.com/track/7GqIDx2QVGOpd4r1fZaUUW,Chicago II,https://open.spotify.com/album/0PRgsdDXQ8QPaDUetVF7yN,Chicago,https://open.spotify.com/artist/3iDD7bnsjL9J4fO298r0L0,2018-12-10,289800,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
25 Or 6 To 4 - Remastered,https://open.spotify.com/track/1K5AjxsfnJ8iaptRBngN1Y,Rhino Hi-Five: Chicago (US Release),https://open.spotify.com/album/1MXjqH0djnjzDKSNYf25H4,Chicago,https://open.spotify.com/artist/3iDD7bnsjL9J4fO298r0L0,2018-12-10,289800,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
6:00,https://open.spotify.com/track/1UQn05L6LCftnI9VoNy4Sp,Awake,https://open.spotify.com/album/4jP59Kwqvy3n09eUe1Cge7,Dream Theater,https://open.spotify.com/artist/2aaLAng2L2aWD2FClzwiep,2023-03-23,331440,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
A Quick One (While He's Away) - Live,https://open.spotify.com/track/0KKHHwyEkAqb8Uet6fTgPl,The Rolling Stones Rock And Roll Circus,https://open.spotify.com/album/6EhErbDnPxXjtNjNVWor4i,The Who,https://open.spotify.com/artist/67ea9eGLXYMsO2eYQRui3w,2018-12-10,452373,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
"A Quick One While He's Away - Live ""Rock And Roll Circus"" Version",https://open.spotify.com/track/0J2ykLMJWeJzc46T7mx0XW,The Kids Are Alright,https://open.spotify.com/album/0dHf3EzHyFV4s1JhOyCjGp,The Who,https://open.spotify.com/artist/67ea9eGLXYMsO2eYQRui3w,2018-12-10,444000,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
"A Quick One While He's Away - Live ""Rock And Roll Circus"" Version",https://open.spotify.com/track/4SElXohU0kK8JnmSHIUWCQ,The Kids Are Alright (Remastered),https://open.spotify.com/album/3twpireEUAf36Xk7CEKDnB,The Who,https://open.spotify.com/artist/67ea9eGLXYMsO2eYQRui3w,2018-12-10,444000,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
Aja,https://open.spotify.com/track/2cgNpsfZcBzdgeNPEeCnue,Aja,https://open.spotify.com/album/1hOK2ey9W76x9GnftSRgrw,Steely Dan,https://open.spotify.com/artist/6P7H3ai06vU1sGvdpBwDmE,2023-03-23,477925,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
Aja,https://open.spotify.com/track/0w0Zs8pu4wx9iErRMEG96L,Aja,https://open.spotify.com/album/5Zxv8bCtxjz11jjypNdkEa,Steely Dan,https://open.spotify.com/artist/6P7H3ai06vU1sGvdpBwDmE,2018-12-10,480466,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
Aja,https://open.spotify.com/track/4159HEwd4LdxWqIf9MFJ6Z,The Ultimate Headphone & Hi-Fi Album,https://open.spotify.com/album/1dliFD9SyB1r8CieAw2wwE,Steely Dan,https://open.spotify.com/artist/6P7H3ai06vU1sGvdpBwDmE,2018-12-10,480466,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
Aja,https://open.spotify.com/track/51AIqs0TqA4TI552nerCqa,Aja,https://open.spotify.com/album/51XjnQQ9SR8VSEpxPO9vrW,Steely Dan,https://open.spotify.com/artist/6P7H3ai06vU1sGvdpBwDmE,2018-12-10,480466,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
Bad Reputation,https://open.spotify.com/track/6MQOIEl0hPBaMf4r521xJR,Bad Reputation (Expanded Edition),https://open.spotify.com/album/0DHKadXfnYCAXp28F3HI8U,Thin Lizzy,https://open.spotify.com/artist/6biWAmrHyiMkX49LkycGqQ,2023-03-23,186653,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
Bargain,https://open.spotify.com/track/4Vtl42qX97JBj68TKifBHR,Who's Next (Deluxe Edition),https://open.spotify.com/album/5MqyhhHbT13zsloD3uHhlQ,The Who,https://open.spotify.com/artist/67ea9eGLXYMsO2eYQRui3w,2023-03-23,333586,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
Barracuda,https://open.spotify.com/track/38bHLl4pznhxzRJLuw1OA7,Shaun White Snowboarding: Official Soundtrack,https://open.spotify.com/album/0QWjK3wGoCug92yQIeBdxu,Heart,https://open.spotify.com/artist/34jw2BbxjoYalTp8cJFCPv,2018-12-10,262160,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
Bell Boy,https://open.spotify.com/track/0DkCOLwvtxVPs3ri0XbDLK,Quadrophenia (Super Deluxe Edition),https://open.spotify.com/album/2miMVTH3qNA49YD2BUaIWK,The Who,https://open.spotify.com/artist/67ea9eGLXYMsO2eYQRui3w,2023-03-23,295466,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
Black Betty,https://open.spotify.com/track/0MnI39P9Dze0PSUjetb8Va,The Dukes Of Hazzard (Music From The Motion Picture),https://open.spotify.com/album/0HUuxXsQ1lYDpS99EXlNBI,Ram Jam,https://open.spotify.com/artist/6FITmSxIMsk6TfulFiCIIz,2018-12-10,235520,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
Black Betty,https://open.spotify.com/track/6kooDsorCpWVMGc994XjWN,Ram Jam,https://open.spotify.com/album/4z2REZpvRsVMpHFrsIz7PD,Ram Jam,https://open.spotify.com/artist/6FITmSxIMsk6TfulFiCIIz,2023-03-23,238973,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
By-Tor And The Snow Dog,https://open.spotify.com/track/0hRJNNyjoIlRcrgYVypM2Y,Fly By Night,https://open.spotify.com/album/3ZtICWkqezf0bBTUwY1Khe,Rush,https://open.spotify.com/artist/2Hkut4rAAyrQxRdof7FVJq,2023-03-23,517373,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
Capillarian Crest,https://open.spotify.com/track/4GZ3qSMYlQODUdxAzM1S1E,Blood Mountain,https://open.spotify.com/album/1n8QZFcwx5aQ2LIIlj0iYe,Mastodon,https://open.spotify.com/artist/1Dvfqq39HxvCJ3GvfeIFuT,2023-03-23,265133,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
Car Chase City,https://open.spotify.com/track/5WwKzyAOGvnNqTIs0Tk8ei,The Pick Of Destiny,https://open.spotify.com/album/3tYcwViLCWsT1ssa5p7V7A,Tenacious D,https://open.spotify.com/artist/1XpDYCrUJnvCo9Ez6yeMWh,2023-03-23,162306,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
Cassandra Gemini,https://open.spotify.com/track/7niwGnlrDXwKtNteHbix2i,Frances the Mute,https://open.spotify.com/album/30iqYID1JMBXLVFfErwTSd,The Mars Volta,https://open.spotify.com/artist/75U40yZLLPglFgXbDVnmVs,2023-03-23,285693,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
Chris And Kevin's Excellent Adventure,https://open.spotify.com/track/13oJbeFO66TJtz006GU2Tw,Liquid Tension Experiment,https://open.spotify.com/album/03GeIP6sDuMEQydiQgwJ9M,"Liquid Tension Experiment, Mike Portnoy, John Petrucci, Tony Levin, Jordan Rudess","https://open.spotify.com/artist/0r1s1XoxdoXECGfyChzb2v, https://open.spotify.com/artist/0tXHekFgHjeLensP3Uf2b9, https://open.spotify.com/artist/4zvIE8a1h7L0IED4r4qKk1, https://open.spotify.com/artist/4UjlFZPd9pYcyGhwdcrXvH, https://open.spotify.com/artist/1eAj0NmIiXgqpy5aN4GlsS",2023-03-23,141866,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
Crazy On You,https://open.spotify.com/track/5zH710lFSLtkHbMkslLDjR,Dreamboat Annie,https://open.spotify.com/album/2N0AgtWbCmVoNUl2GN1opH,Heart,https://open.spotify.com/artist/34jw2BbxjoYalTp8cJFCPv,2018-12-10,293440,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
Cross-Eyed Mary,https://open.spotify.com/track/6MBZyLisOWTChcevgFqwVr,Aqualung (Special Edition),https://open.spotify.com/album/0NGM3Ftwjw0dLNpAowmz3x,Jethro Tull,https://open.spotify.com/artist/6w6z8m4WXX7Tub4Rb6Lu7R,2018-12-10,250200,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
Dharma for One - Live,https://open.spotify.com/track/2Bux4j9el8GFOrvAE8dMA3,Living in the Past,https://open.spotify.com/album/4xOhK9LXV4Kz4VI1N7lOSO,Jethro Tull,https://open.spotify.com/artist/6w6z8m4WXX7Tub4Rb6Lu7R,2023-03-23,598093,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
Don't Do It - 2005 Remaster/24 Bit Mastering,https://open.spotify.com/track/3j3OB5PFy7FewVi8l881kN,The Best Of The Box- A Musical History,https://open.spotify.com/album/6idKsZpZsfNfC6FFws8zL4,The Band,https://open.spotify.com/artist/4vpDg7Y7fU982Ds30zawDA,2018-12-10,228360,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
Fire,https://open.spotify.com/track/5LI7PoHEolR8plrf3I16sq,Are You Experienced,https://open.spotify.com/album/7rSZXXHHvIhF4yUFdaOCy9,Jimi Hendrix,https://open.spotify.com/artist/776Uo845nYHJpNaStv1Ds4,2023-03-23,163800,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
First Tube,https://open.spotify.com/track/0pVKmDcMdrbiiGqsztIcL3,Farmhouse,https://open.spotify.com/album/63pJMk3S5vS5e8wrInkDhi,Phish,https://open.spotify.com/artist/5wbIWUzTPuTxTyG6ouQKqz,2018-12-10,405840,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
Frankenstein,https://open.spotify.com/track/2l0Z9fY1E8Bep8opmhmDhq,They Only Come Out At Night,https://open.spotify.com/album/4CNEJF5wYGqhOYEKq8ciu8,The Edgar Winter Group,https://open.spotify.com/artist/7j9PMegEgVN1fNp8NZXNCI,2023-03-23,284293,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
Funky Drummer,https://open.spotify.com/track/61D6PGXxHI5iB10tQGgOEv,In The Jungle Groove,https://open.spotify.com/album/4rRtcWB6mGgeKskivMxK2d,James Brown,https://open.spotify.com/artist/7GaxyUddsPok8BuhxN6OUW,2018-12-10,176533,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
Funky Drummer - Bonus Beat Reprise,https://open.spotify.com/track/0u84hZFHLRZc9TgdDIOXLU,In The Jungle Groove,https://open.spotify.com/album/4IxN6AdKM6psncLNIwLWUs,James Brown,https://open.spotify.com/artist/7GaxyUddsPok8BuhxN6OUW,2018-12-10,176533,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
Geek U.S.A. - 2011 Remaster,https://open.spotify.com/track/7Jh4ySrytQOaDPF4XVUnv1,Siamese Dream (Deluxe Edition),https://open.spotify.com/album/0bQglEvsHphrS19FGODEGo,The Smashing Pumpkins,https://open.spotify.com/artist/40Yq4vzPs9VNUrIBG5Jr2i,2023-03-23,313266,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
Go With The Flow,https://open.spotify.com/track/45DElIx0dXqUH4A88yQFdE,Songs For The Deaf,https://open.spotify.com/album/58HZZpS0wxJKwGjoerg0mk,Queens of the Stone Age,https://open.spotify.com/artist/4pejUc4iciQfgdX6OKulQn,2018-12-10,187120,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
Good Times Bad Times - 1993 Remaster,https://open.spotify.com/track/0QwZfbw26QeUoIy82Z2jYp,Led Zeppelin,https://open.spotify.com/album/3ycjBixZf7S3WpC5WZhhUK,Led Zeppelin,https://open.spotify.com/artist/36QJpDe2go2KgaRleHCDTp,2023-03-23,166266,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
Him Belly No Go Sweet,https://open.spotify.com/track/23mGLE0XzRu6kwf3Phzvhc,Antibalas,https://open.spotify.com/album/2iS8BbypqWnaU4GlJQlJAF,Antibalas,https://open.spotify.com/artist/2KGF6IKZfVGCKfyqcNVGfh,2018-12-10,415946,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
Him Belly No Go Sweet,https://open.spotify.com/track/7DKQHSdpdwA5E29BARhi2a,Antibalas,https://open.spotify.com/album/4yMhiZusgnoNlDBHZks8lG,Antibalas,https://open.spotify.com/artist/2KGF6IKZfVGCKfyqcNVGfh,2018-12-10,415946,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
Hocus Pocus,https://open.spotify.com/track/2uzyiRdvfNI5WxUiItv1y9,The Best Of Focus / Hocus Pocus (Incl WC 2010 Version of 'Hocus Pocus'),https://open.spotify.com/album/55zdxBeCPm7XmuZCeCdRbX,Focus,https://open.spotify.com/artist/0ifzzRKdmtgaHy9cfnnyCR,2018-12-10,402866,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
Hot for Teacher - 2015 Remaster,https://open.spotify.com/track/6QDbGdbJ57Mtkflsg42WV5,1984 (Remastered),https://open.spotify.com/album/3REUXdj5OPKhuDTrTtCBU0,Van Halen,https://open.spotify.com/artist/2cnMpRsOVqtPMfq7YiFE6K,2023-03-23,282746,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
I Wanna Ride You,https://open.spotify.com/track/1zJDoUYkc0nEE0uCeWOphX,Uninvisible,https://open.spotify.com/album/0Vq79tx5GtV8hxrTccSguA,"Medeski, Martin & Wood",https://open.spotify.com/artist/2Hg4SUNDuIn8xIidz9GxFw,2018-12-10,208800,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
I Want To Take You Higher,https://open.spotify.com/track/4aX7pY8AV7oKCcCB5Sfqrs,Greatest Hits,https://open.spotify.com/album/0UM9SydcBtsklCTFgGLvcT,Sly & The Family Stone,https://open.spotify.com/artist/5m8H6zSadhu1j9Yi04VLqD,2018-12-10,321386,2022-05-11,"Focus on the drums, and your inner animal will come alive! In-your-face rock tracks where the drums can't be ignored.",Drum Mania
