track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
11:11,https://open.spotify.com/track/5hFzcSKV67yaLUZohMB8vq,11:11,https://open.spotify.com/album/7eqKwpQasPxFytq7NiUNtO,Buscabulla,https://open.spotify.com/artist/0MoaBi6dSquXp6rrlqlF8R,2024-07-05,208351,2023-09-18,"Very mindful, very demure 🎀",demure 
4TO 23,https://open.spotify.com/track/6zB8TVWUZpQ2UWRxFT1BrI,4TO 23,https://open.spotify.com/album/7HQRMSvgVrlVCxM4k0XdXg,Aitana,https://open.spotify.com/artist/7eLcDZDYHXZCebtQmVFL25,2024-07-05,168320,2023-09-18,"Very mindful, very demure 🎀",demure 
Alibi (with Pabllo Vittar & Yseult),https://open.spotify.com/track/5496lks6V3fh1mZAB6IAap,Alibi (with Pabllo Vittar & Yseult),https://open.spotify.com/album/2m0euKZUDcoyEXHIS5MFCq,"Sevdaliza, Pabllo Vittar, Yseult","https://open.spotify.com/artist/5MraexJKZDrQYzS98kNwie, https://open.spotify.com/artist/6tzRZ39aZlNqlUzQlkuhDV, https://open.spotify.com/artist/1QsdzIKkTT5gDFj8GB1cIX",2024-08-21,161655,2023-09-18,"Very mindful, very demure 🎀",demure 
As It Was,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e,Harry's House,https://open.spotify.com/album/5r36AJ6VOJtp00oxSkBZ5h,Harry Styles,https://open.spotify.com/artist/6KImCVD70vtIoJWnq6nGn3,2023-09-15,167303,2023-09-18,"Very mindful, very demure 🎀",demure 
august,https://open.spotify.com/track/3hUxzQpSfdDqwM3ZTFQY0K,folklore,https://open.spotify.com/album/2fenSS68JI1h4Fo296JfGr,Taylor Swift,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,2024-08-21,261922,2023-09-18,"Very mindful, very demure 🎀",demure 
B.O.T.A. (Baddest Of Them All) - Edit,https://open.spotify.com/track/39JofJHEtg8I4fSyo7Imft,B.O.T.A. (Baddest Of Them All),https://open.spotify.com/album/2lQgd3Svp1ZWAzZPLobAPK,"Eliza Rose, Interplanetary Criminal","https://open.spotify.com/artist/4XC335ouK6pXyq4QiIb8bP, https://open.spotify.com/artist/6uJ51uV5rYzu1MJkC4CceI",2023-09-15,226626,2023-09-18,"Very mindful, very demure 🎀",demure 
Bad Habit,https://open.spotify.com/track/4k6Uh1HXdhtusDW5y8Gbvy,Gemini Rights,https://open.spotify.com/album/3Ks0eeH0GWpY4AU20D5HPD,Steve Lacy,https://open.spotify.com/artist/57vWImR43h4CaDao012Ofp,2023-09-15,232066,2023-09-18,"Very mindful, very demure 🎀",demure 
BEACHY,https://open.spotify.com/track/7gjnP3VGpnDpCVn3ZzmtvW,BEACHY,https://open.spotify.com/album/5xN2TtNpQBicT3t9Ohg6Id,"Daddy Yankee, Omar Courtz","https://open.spotify.com/artist/4VMYDCV2IEDYJArk749S6m, https://open.spotify.com/artist/3E12tRURRvPfHz0hAMCFYc",2023-09-15,168000,2023-09-18,"Very mindful, very demure 🎀",demure 
bien hecho,https://open.spotify.com/track/2jMrMVUprU2f03AZYRpWfB,bien hecho,https://open.spotify.com/album/5MNb2jx4ncbpNMimeEUczU,Humbe,https://open.spotify.com/artist/1b7AEdUSudOQoZF5ebUxCL,2024-01-16,241038,2023-09-18,"Very mindful, very demure 🎀",demure 
BIRDS OF A FEATHER,https://open.spotify.com/track/6dOtVTDdiauQNBQEDOtlAB,HIT ME HARD AND SOFT,https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n,Billie Eilish,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH,2024-08-21,210373,2023-09-18,"Very mindful, very demure 🎀",demure 
