track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
,https://open.spotify.com/track/1X9Vq3UbrHLrFYgv3d12ul,,https://open.spotify.com/album/1CjdLuBEg4yGAWx89Ab48F,,https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of,2021-12-14,0,2022-01-01,Soft and gentle piano interpretations of Jazz classics.,Peaceful Jazz Piano
,https://open.spotify.com/track/2wBb2lAmkZZIioQcJpH8D6,,https://open.spotify.com/album/1szjHU5cFCB4fNgsehF3ID,,https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of,2021-12-14,0,2022-01-01,Soft and gentle piano interpretations of Jazz classics.,Peaceful Jazz Piano
5th Avenue,https://open.spotify.com/track/3O2f2ELDsXkhISN0b1Ge6A,5th Avenue,https://open.spotify.com/album/6gEkpwgILVtUfADGu1x6dl,Kyrie Barnes,https://open.spotify.com/artist/2h0vYX95bmDrALzCLg3Qn6,2023-09-08,146006,2022-01-01,Soft and gentle piano interpretations of Jazz classics.,Peaceful Jazz Piano
A Certain Smile,https://open.spotify.com/track/7bQJp5ntthltjReJmZJjCM,A Certain Smile,https://open.spotify.com/album/0bNDqwI6bxA7cYg235yZvm,Donald Minestra,https://open.spotify.com/artist/4Vp3eoDbOl901ITzOwanhB,2022-06-09,126669,2022-01-01,Soft and gentle piano interpretations of Jazz classics.,Peaceful Jazz Piano
A Favorite Song,https://open.spotify.com/track/4UWncXK8hLTErhTxKPolo2,A Favorite Song,https://open.spotify.com/album/45S8G3m4yS40xNqsXCBJAG,Graydon Poole,https://open.spotify.com/artist/3CXnbwsLsa3i13StMUzT37,2023-06-15,133544,2022-01-01,Soft and gentle piano interpretations of Jazz classics.,Peaceful Jazz Piano
A Flower Is A Lovesome Thing,https://open.spotify.com/track/5igO8dMEr3lvL5hnzP2RxR,A Flower Is A Lovesome Thing,https://open.spotify.com/album/5x49ipf24HQSNzSoGQnGH6,Brandy Charles,https://open.spotify.com/artist/1m1DxePO84p5t8ocvRjlOw,2022-01-13,298000,2022-01-01,Soft and gentle piano interpretations of Jazz classics.,Peaceful Jazz Piano
A Foggy Day - Live: Solo Piano,https://open.spotify.com/track/55uDGKhnSZUKkkksEG5mRl,Rolling Stone Original,https://open.spotify.com/album/1CuLna022h4RkyQpd5CMDP,Bill Charlap,https://open.spotify.com/artist/2QX8yUROOnWTSLFg4sZ9Gg,2021-12-14,138226,2022-01-01,Soft and gentle piano interpretations of Jazz classics.,Peaceful Jazz Piano
A Gentle Dance,https://open.spotify.com/track/0XRh40ZrxLXDEONZywjexP,A Gentle Dance,https://open.spotify.com/album/1gzd7kZ4kZji630lABbjIQ,Joe M. Key,https://open.spotify.com/artist/6u5JdEH2gZlzRb2HfVa9Km,2023-11-17,151400,2022-01-01,Soft and gentle piano interpretations of Jazz classics.,Peaceful Jazz Piano
A Gold Mine,https://open.spotify.com/track/35fRFE9tuodu0faHKmMStZ,A Gold Mine,https://open.spotify.com/album/3bwxkMrG2hvk8b5FkXLQ02,Gottfried Barber,https://open.spotify.com/artist/3xisMaeXXrWN04sf31GVKl,2023-06-08,159506,2022-01-01,Soft and gentle piano interpretations of Jazz classics.,Peaceful Jazz Piano
A Little Dated,https://open.spotify.com/track/5zaEwf7kAkcdAvKJhkYQii,A Little Dated,https://open.spotify.com/album/3KX2Hhf6Udi7UIwUdxaT6D,Tim Walker-Price,https://open.spotify.com/artist/3rRxzD0o5wUqEFkCwaKiI9,2024-02-23,177159,2022-01-01,Soft and gentle piano interpretations of Jazz classics.,Peaceful Jazz Piano
A Lonely Night,https://open.spotify.com/track/50GbbtL8jgX9onuAuqC3Up,A Lonely Night,https://open.spotify.com/album/4hKp0boyi5APIQuQ1Rh9kj,Irvin Smith,https://open.spotify.com/artist/72epe9asXn1RtuXkKrtBcE,2022-11-17,128970,2022-01-01,Soft and gentle piano interpretations of Jazz classics.,Peaceful Jazz Piano
A Love Letter,https://open.spotify.com/track/5WYHkfV8ZIt9bMPLmSGnBr,A Love Letter,https://open.spotify.com/album/6JzplfUI6Epq8iYJX2LK0g,Natalie Meir,https://open.spotify.com/artist/3olbeTBaHv78vZXeoDPq4B,2023-12-15,170965,2022-01-01,Soft and gentle piano interpretations of Jazz classics.,Peaceful Jazz Piano
A Minute To Myself,https://open.spotify.com/track/0ZcjEawIY7jFDUTJdK9QkO,A Minute To Myself,https://open.spotify.com/album/2WzMQD7VpeIWG14dBHSTru,Herman Anderson,https://open.spotify.com/artist/3SoWeHWTQIqJhegPfsR5Wp,2023-08-17,182288,2022-01-01,Soft and gentle piano interpretations of Jazz classics.,Peaceful Jazz Piano
A Nightingale Sang In Berkeley Square,https://open.spotify.com/track/10RuHxKum9NEanMnjISzNF,A Nightingale Sang In Berkeley Square,https://open.spotify.com/album/3sQaHcC5OYhvDmJalmlLoM,George Alec,https://open.spotify.com/artist/6qy9Pwg24brS7agh5Q4q1w,2021-12-14,145250,2022-01-01,Soft and gentle piano interpretations of Jazz classics.,Peaceful Jazz Piano
A Sleepin' Bee,https://open.spotify.com/track/6BMoH1WjyQuNwKrxP1eVNg,A Sleepin' Bee,https://open.spotify.com/album/11yBQcdGh6062GGt9LE6YZ,Jean Fines,https://open.spotify.com/artist/4ihEX5weyJhILB9sbuT5K7,2022-09-13,300036,2022-01-01,Soft and gentle piano interpretations of Jazz classics.,Peaceful Jazz Piano
