track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
A Little More Lost - Acoustic,https://open.spotify.com/track/70NbSCzRvtTy3Sxcf3Gx1e,A Little More Lost (Acoustic),https://open.spotify.com/album/2iczM0WSgNtsVklHPe1ETc,Georgia Ku,https://open.spotify.com/artist/5mYakBbBzPMQTfkVMIgiDM,2023-12-22,150000,2022-12-28,Les meilleurs titres du moment et plus encore en version acoustique.,Hit Acoustique
Alibi - Live Acoustic Version,https://open.spotify.com/track/0WUZr9ZJBtxNlk1dtUh1Xo,Alibi (Live Acoustic Version),https://open.spotify.com/album/4508odBEojE3ak0ADZRoKy,Ella Henderson,https://open.spotify.com/artist/7nDsS0l5ZAzMedVRKPP8F1,2024-02-08,210400,2022-12-28,Les meilleurs titres du moment et plus encore en version acoustique.,Hit Acoustique
Alien - Acoustic,https://open.spotify.com/track/5IYKZF1nw5V0GtxQN7mspQ,Alien (Acoustic),https://open.spotify.com/album/12Nm1go9iMaJPcGcBzOHFU,Dennis Lloyd,https://open.spotify.com/artist/3EOEK57CV77D4ovYVcmiyt,2022-12-21,140810,2022-12-28,Les meilleurs titres du moment et plus encore en version acoustique.,Hit Acoustique
Anti-Hero - Acoustic Version,https://open.spotify.com/track/2d3d9xZutJjmUpntiyHt3F,Anti-Hero (Acoustic Version),https://open.spotify.com/album/5vgWXUueeEU2labRz6TlNv,Taylor Swift,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,2022-12-21,196473,2022-12-28,Les meilleurs titres du moment et plus encore en version acoustique.,Hit Acoustique
As It Was - Spotify Singles,https://open.spotify.com/track/7JBWagcdXEX1dDZTCKUo7R,Spotify Singles,https://open.spotify.com/album/41E4ZK25y5hUaGB6NBzn5w,Sasha Alex Sloan,https://open.spotify.com/artist/4xnihxcoXWK3UqryOSnbw5,2022-12-21,206187,2022-12-28,Les meilleurs titres du moment et plus encore en version acoustique.,Hit Acoustique
Bad Dreams - Acoustic,https://open.spotify.com/track/2J0uAddTaXz5mYhAIKhBXc,Bad Dreams (Acoustic),https://open.spotify.com/album/3w0fo8UhkhtBUi8i3EcSQg,Teddy Swims,https://open.spotify.com/artist/33qOK5uJ8AR2xuQQAhHump,2024-11-21,176019,2022-12-28,Les meilleurs titres du moment et plus encore en version acoustique.,Hit Acoustique
Bad Habits - Acoustic Version,https://open.spotify.com/track/0IkK4SEryuCtbQjm5LRLMZ,Bad Habits (Acoustic Version),https://open.spotify.com/album/6m1jYE77JZX8aJpO5ei2V7,Ed Sheeran,https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V,2022-12-21,232946,2022-12-28,Les meilleurs titres du moment et plus encore en version acoustique.,Hit Acoustique
Beau (feat. Julien Doré) - Version acoustique,https://open.spotify.com/track/5reKvqw1x4bKPk7BcatWiU,Beau (feat. Julien Doré) [Version acoustique],https://open.spotify.com/album/56nhvJWil0JYTO4v0MBEht,"Joseph Kamel, Julien Doré","https://open.spotify.com/artist/5SQFDZOMgKao4hMpULEaoI, https://open.spotify.com/artist/6jStlKLflTMUN6BajxrNlj",2024-03-21,153866,2022-12-28,Les meilleurs titres du moment et plus encore en version acoustique.,Hit Acoustique
beau-papa (acoustique),https://open.spotify.com/track/0wRFR5cUtBNArgtw4F1rw1,beau-papa (acoustique),https://open.spotify.com/album/15csZHfKvpIwsR4UDH24Ox,Vianney,https://open.spotify.com/artist/4Nrd0CtP8txoQhnnlRA6V6,2022-12-21,201280,2022-12-28,Les meilleurs titres du moment et plus encore en version acoustique.,Hit Acoustique
Beautiful Things - Acoustic,https://open.spotify.com/track/7rJkmoGkKjLMIPI9qUQnSy,Beautiful Things (Alternate Versions),https://open.spotify.com/album/5KZ5cuVY1oLvHI1ecqoUJP,Benson Boone,https://open.spotify.com/artist/22wbnEMDvgVIAGdFeek6ET,2024-03-21,201248,2022-12-28,Les meilleurs titres du moment et plus encore en version acoustique.,Hit Acoustique
