track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
(sola),https://open.spotify.com/track/3SdwgzRoY5ZnDt3tsiva5F,(sola),https://open.spotify.com/album/0CpJqtfZSaryVvqYx794z4,Paloma Morphy,https://open.spotify.com/artist/30Ph7pfibYhG9VcdOj7xZw,2024-12-04,148677,2022-02-10,la nueva ola de artistas con urboi & Perdón Amor en portada. 🌊✨ ,la pop~wave
1 veranito sad,https://open.spotify.com/track/7f1hUoR7BI2yQQiRPOclHk,1 veranito sad,https://open.spotify.com/album/3921Wy45yiIeIHlMQmRcBQ,Valentina,https://open.spotify.com/artist/3ins7Wpq5xVFJi8wZdBAFI,2024-06-28,168253,2022-02-10,la nueva ola de artistas con urboi & Perdón Amor en portada. 🌊✨ ,la pop~wave
10 Lágrimas,https://open.spotify.com/track/1Q4kIUJC6FMudx4jHoqMvi,10 Lágrimas,https://open.spotify.com/album/3bLEQfCe9Y6HSWmDyG591u,Greta Ela,https://open.spotify.com/artist/5c8L3nGznkMGwbmyMKVIl8,2022-04-13,198433,2022-02-10,la nueva ola de artistas con urboi & Perdón Amor en portada. 🌊✨ ,la pop~wave
1000 cartas,https://open.spotify.com/track/7Hw9wfTO1svTy8yjpV9sL7,1000 cartas / dsps de un faje,https://open.spotify.com/album/7LOo3kTsO24pNoLDzo7DWG,day2k,https://open.spotify.com/artist/6pthLI3SnpAzmSsdky1iy3,2024-12-04,145479,2022-02-10,la nueva ola de artistas con urboi & Perdón Amor en portada. 🌊✨ ,la pop~wave
123 corre!!,https://open.spotify.com/track/0b6GR6IPooQ1qZ2R9p6hki,123 HYPE!!!,https://open.spotify.com/album/2wCOagrfilkWKnlzukDI9r,"Eliangel, Mau Moctezuma","https://open.spotify.com/artist/2O6bkbT1rbraCDdRKT9nPA, https://open.spotify.com/artist/1oSRId8yJK5I7KMtD5gp3q",2025-02-07,148275,2022-02-10,la nueva ola de artistas con urboi & Perdón Amor en portada. 🌊✨ ,la pop~wave
12x3,https://open.spotify.com/track/0HINQFSerZ6iMfSsaTO3G5,12x3,https://open.spotify.com/album/2yTsZhJ86LtD1hvl8wSRPr,DEKKO,https://open.spotify.com/artist/6ZvYYrrfpb1Z7kICDyxWQE,2022-02-25,159200,2022-02-10,la nueva ola de artistas con urboi & Perdón Amor en portada. 🌊✨ ,la pop~wave
180 km/h,https://open.spotify.com/track/1jsFcYiyt05OXqLnjXxmPe,Y Te Lo Digo Yo,https://open.spotify.com/album/5c1Tq06BqlqyiMlFZKGlxg,Nicole Favre,https://open.spotify.com/artist/6CxqJ4K3JEBR1fz2lQJNN1,2021-12-10,163546,2022-02-10,la nueva ola de artistas con urboi & Perdón Amor en portada. 🌊✨ ,la pop~wave
20 Minutos,https://open.spotify.com/track/64tJTziuLk4Q3NJKT4j0xK,20 Minutos,https://open.spotify.com/album/1IgtGBd7kISzw15xkFwllh,Sharlene,https://open.spotify.com/artist/1gIUNwemvV0ieFYpL6jbEB,2022-05-09,203786,2022-02-10,la nueva ola de artistas con urboi & Perdón Amor en portada. 🌊✨ ,la pop~wave
2000nunca,https://open.spotify.com/track/2HJdRebzIISmN4n00jtuRj,Algo Bien,https://open.spotify.com/album/1aKgmFYfBumxu4Idks5XAd,Kirnbauer,https://open.spotify.com/artist/76KihzDzdR7li8RPVY50EA,2022-03-04,180236,2022-02-10,la nueva ola de artistas con urboi & Perdón Amor en portada. 🌊✨ ,la pop~wave
23,https://open.spotify.com/track/0ajUM9ZopaMpzaOZ0A0sdn,23,https://open.spotify.com/album/0uCNv4sLGPihQDMa0k4xa1,Ivana,https://open.spotify.com/artist/5AXxk4cxkMNsTb4TtwLAQJ,2023-02-24,187741,2022-02-10,la nueva ola de artistas con urboi & Perdón Amor en portada. 🌊✨ ,la pop~wave
911,https://open.spotify.com/track/4H3vXxAi1NYImNSryWmwBr,911,https://open.spotify.com/album/4NE1kh4IIA4WUzAy2XPVyi,"LULÚ, Adrian Be","https://open.spotify.com/artist/0WbhCU7N9haH6aBYhdqP8a, https://open.spotify.com/artist/1cvIlWofyBJLLrxQfX6ZtF",2021-12-10,181894,2022-02-10,la nueva ola de artistas con urboi & Perdón Amor en portada. 🌊✨ ,la pop~wave
A Donde Quiero Estar,https://open.spotify.com/track/2CxzakxMvIWj6EU3LiTuF2,A Donde Quiero Estar,https://open.spotify.com/album/4X6b5zmNAHOGD1zIrBwnEc,Yukun,https://open.spotify.com/artist/4ov9qGZvnL4JWyKXDYSCPB,2021-12-10,201601,2022-02-10,la nueva ola de artistas con urboi & Perdón Amor en portada. 🌊✨ ,la pop~wave
a dónde voy???,https://open.spotify.com/track/6ieFir0Sk20XxcUxp3fIiS,a dónde voy???,https://open.spotify.com/album/5jEf06wCLfv0DIHLJARtKx,"Wuicho kun, Azul de Viena","https://open.spotify.com/artist/5WXiEvcwEw6bgiPBg7Eo2E, https://open.spotify.com/artist/2Ie8P8WAdI3FMvEuWS52pQ",2024-03-08,195096,2022-02-10,la nueva ola de artistas con urboi & Perdón Amor en portada. 🌊✨ ,la pop~wave
