track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
00:00,https://open.spotify.com/track/6Cz19JJwGyVgvYS04kMdSi,00:00,https://open.spotify.com/album/6q25wvCcBnP7cpPxuZfyGD,Lartiste,https://open.spotify.com/artist/6HhnhnxLsowYuuejvku0Bz,2022-10-24,238939,2022-05-13,The hottest 50 tracks in Morocco. Cover: Stormy,Hot Hits Morocco
3ADI JIDAN,https://open.spotify.com/track/2wNNXprT139bOoaBGmc12V,M.I.M,https://open.spotify.com/album/16VwVZ1dFAaCXAeQrsyit8,Dada,https://open.spotify.com/artist/7prKK2GchmQEkgUsAFXEz0,2024-02-03,172500,2022-05-13,The hottest 50 tracks in Morocco. Cover: Stormy,Hot Hits Morocco
3DABI,https://open.spotify.com/track/0e6eVGeec6asBnmE4gTYqA,3DABI,https://open.spotify.com/album/08ZFlBocogt3UFTyEN7Ob4,Draganov,https://open.spotify.com/artist/2g8Pu5gVtDpkYGsP3RLepJ,2023-07-27,202000,2022-05-13,The hottest 50 tracks in Morocco. Cover: Stormy,Hot Hits Morocco
3DABI,https://open.spotify.com/track/4knNlB73rkLODZU03Xjx7x,3DABI,https://open.spotify.com/album/7vNeALOBMp5Ls66hsev84r,Draganov,https://open.spotify.com/artist/2g8Pu5gVtDpkYGsP3RLepJ,2025-02-19,202000,2022-05-13,The hottest 50 tracks in Morocco. Cover: Stormy,Hot Hits Morocco
4 chiffres,https://open.spotify.com/track/5kV9rjO5C8ekF9vFGZdbcw,Flou,https://open.spotify.com/album/67cpbnbv3A8dewZVqfHams,Flenn,https://open.spotify.com/artist/66OYzK2q18j4EVdMqRtf6L,2022-05-12,164010,2022-05-13,The hottest 50 tracks in Morocco. Cover: Stormy,Hot Hits Morocco
4 Kampé,https://open.spotify.com/track/7dzuYJwwtNnfcptmbD58aJ,4 Kampé,https://open.spotify.com/album/7ns1gjXstFSrBTFe81id88,Joé Dwèt Filé,https://open.spotify.com/artist/26zgIfFyTCImkHAp5gwKW8,2025-01-31,214971,2022-05-13,The hottest 50 tracks in Morocco. Cover: Stormy,Hot Hits Morocco
A Bar Song (Tipsy),https://open.spotify.com/track/5fZJQrFKWQLb7FpJXZ1g7K,"Where I've Been, Isn't Where I'm Going",https://open.spotify.com/album/0DLvFVIfwt3OHdK9kGeEM3,Shaboozey,https://open.spotify.com/artist/3y2cIKLjiOlp1Np37WiUdH,2024-07-18,171291,2022-05-13,The hottest 50 tracks in Morocco. Cover: Stormy,Hot Hits Morocco
Abala Ya Bali,https://open.spotify.com/track/2a1dUbvOaZw7vrHNanpi3r,Abala Ya Bali,https://open.spotify.com/album/50QN0SwbM2iAa5DylaLYN1,Ayoub Anbaoui,https://open.spotify.com/artist/2XgBaGUId4RuYzvXYEKikZ,2023-05-29,228925,2022-05-13,The hottest 50 tracks in Morocco. Cover: Stormy,Hot Hits Morocco
Adios,https://open.spotify.com/track/1vKJzr4lZVR0Mc8tAjov7g,Adios,https://open.spotify.com/album/1KClKLGPj7DvHflfSCE6U5,"Rawan Bin Hussain, Daffy","https://open.spotify.com/artist/2EwH8s2tM7Oxp45dIW6oNQ, https://open.spotify.com/artist/1riWTPKcSkoy6FkEqs1ohC",2022-05-12,186858,2022-05-13,The hottest 50 tracks in Morocco. Cover: Stormy,Hot Hits Morocco
Ajini,https://open.spotify.com/track/2u2ZXCZLrm5lJcD8mi9GlG,Ajini,https://open.spotify.com/album/5cKUuxhE06AI8Mc5NfjCKf,Mounim Slimani,https://open.spotify.com/artist/2UaKdyrJWdpkRl9KbwcN38,2023-05-19,168979,2022-05-13,The hottest 50 tracks in Morocco. Cover: Stormy,Hot Hits Morocco
Ajini,https://open.spotify.com/track/5YwpA9KqbnVq05XcP2m2I6,Ajini,https://open.spotify.com/album/2FhuJD75gtB0BbSlrlvcvj,Mounim Slimani,https://open.spotify.com/artist/2UaKdyrJWdpkRl9KbwcN38,2023-03-16,168979,2022-05-13,The hottest 50 tracks in Morocco. Cover: Stormy,Hot Hits Morocco
Alibi (with Pabllo Vittar & Yseult),https://open.spotify.com/track/5496lks6V3fh1mZAB6IAap,Alibi (with Pabllo Vittar & Yseult),https://open.spotify.com/album/2m0euKZUDcoyEXHIS5MFCq,"Sevdaliza, Pabllo Vittar, Yseult","https://open.spotify.com/artist/5MraexJKZDrQYzS98kNwie, https://open.spotify.com/artist/6tzRZ39aZlNqlUzQlkuhDV, https://open.spotify.com/artist/1QsdzIKkTT5gDFj8GB1cIX",2024-07-25,161655,2022-05-13,The hottest 50 tracks in Morocco. Cover: Stormy,Hot Hits Morocco
All Eyez On Me - Gangsta Remix,https://open.spotify.com/track/6hfogGuqhfOcq11ZDjXluc,All Eyez On Me (Gangsta Remix),https://open.spotify.com/album/2WrsRqFFxJUYfibA1mNvzS,"Dj Belite, DNDM","https://open.spotify.com/artist/0kDOao6cVpYBKRLPXokuDF, https://open.spotify.com/artist/49LauQfpd2peE6g1aWbuTA",2023-05-05,165557,2022-05-13,The hottest 50 tracks in Morocco. Cover: Stormy,Hot Hits Morocco
Allo,https://open.spotify.com/track/3aeCyLTeN6ypImKPtdjYjZ,Allo,https://open.spotify.com/album/1JcEpcqvv3IMdtcupUh0yD,"Moha K, Lyna Mahyem","https://open.spotify.com/artist/6o5sl0TGublDPXyMHdMq1E, https://open.spotify.com/artist/0Yj3N31EWXHc6e3eDyJPLP",2023-11-10,195375,2022-05-13,The hottest 50 tracks in Morocco. Cover: Stormy,Hot Hits Morocco
Allo - الو,https://open.spotify.com/track/1mYKk7dWVDcfn8lTJ6CKJV,Allo (الو),https://open.spotify.com/album/5sw19c2WnCbMacw9OzubzT,Balti,https://open.spotify.com/artist/4cgw3nEf6uOQ2NqHwSXErR,2022-06-03,259591,2022-05-13,The hottest 50 tracks in Morocco. Cover: Stormy,Hot Hits Morocco
Allo Oui,https://open.spotify.com/track/06r1Ea7fbuDdbNZewcySTy,Allo Oui,https://open.spotify.com/album/4VlMF9KxBExY0QXUXbtZwn,Cheb Hichem TGV,https://open.spotify.com/artist/3EJQjKomRx3gpoYmP1bEIl,2024-02-23,197722,2022-05-13,The hottest 50 tracks in Morocco. Cover: Stormy,Hot Hits Morocco
