track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
,https://open.spotify.com/track/2CqYEUz87EmtXLpu5QhjrQ,,https://open.spotify.com/album/5ha7u3ly8G0bEDLxidwWRD,artist,https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of,2023-07-04,0,2024-01-15,Trilhas sonoras e grandes clássicos para te ajudar a relaxar durante a leitura.,Música Clássica para Ler
"3 Compositions, Op. 40: No. 2, Berceuse",https://open.spotify.com/track/2fDLC30XLnXwVtASMgsD1b,Violin Lullabies,https://open.spotify.com/album/1WV89BPDvlj7tJ2Jaofx9m,"Amy Beach, Rachel Barton Pine, Matthew Hagle","https://open.spotify.com/artist/1QeC5GwDENQv78O3PCLeZB, https://open.spotify.com/artist/4st8QHJeSvWO1D4OPUgFaf, https://open.spotify.com/artist/1eqPXlE2sSBqKF50vw7YvE",2023-07-04,227426,2024-01-15,Trilhas sonoras e grandes clássicos para te ajudar a relaxar durante a leitura.,Música Clássica para Ler
"5 Pieces, Op. 75, ""the Trees"": No. 5 Granen (the Spruce)",https://open.spotify.com/track/4fU1mpvaRbTqRXZN6JNlRj,"Sibelius: Piano Music, Vol. 4",https://open.spotify.com/album/2Ba4pAgqmtEda6HGoGl7JZ,"Jean Sibelius, Håvard Gimse","https://open.spotify.com/artist/7jzR5qj8vFnSu5JHaXgFEr, https://open.spotify.com/artist/1dk8ZJIE1IET4n4LrxzD6I",2023-07-04,218293,2024-01-15,Trilhas sonoras e grandes clássicos para te ajudar a relaxar durante a leitura.,Música Clássica para Ler
"5 Pieces, Op. 75, ""The Trees"": No. 5 Granen (The Spruce)",https://open.spotify.com/track/5gA69lYP3nCULBTdL3quJO,"Sibelius: Piano Music, Vol. 4",https://open.spotify.com/album/5ua9CNv1DptXlzsA0nYMJ2,"Jean Sibelius, Håvard Gimse","https://open.spotify.com/artist/7jzR5qj8vFnSu5JHaXgFEr, https://open.spotify.com/artist/1dk8ZJIE1IET4n4LrxzD6I",2023-07-04,218293,2024-01-15,Trilhas sonoras e grandes clássicos para te ajudar a relaxar durante a leitura.,Música Clássica para Ler
"Adagio in E Major, K. 261",https://open.spotify.com/track/2vBuaUzWANdghLfM1nF0Yw,Mozart: Works for Violin & Orchestra,https://open.spotify.com/album/4zETVNxxf0HT4iHXV0he0F,"Wolfgang Amadeus Mozart, Pinchas Zukerman, Saint Paul Chamber Orchestra","https://open.spotify.com/artist/4NJhFmfw43RLBLjQvxDuRS, https://open.spotify.com/artist/57J4DccKLul7z7kqfRPiER, https://open.spotify.com/artist/0QjKu8W5tafMCDKKw3xHYT",2023-07-04,517360,2024-01-15,Trilhas sonoras e grandes clássicos para te ajudar a relaxar durante a leitura.,Música Clássica para Ler
"Antiche danze ed arie per liuto, Suite No. 3, P. 172: I. Italiana. Andantino",https://open.spotify.com/track/3pQCRKRbApGrjEpj1r4BKA,"Respighi: Antiche danze ed arie per liuto, Suite No. 3, P. 172: I. Italiana. Andantino",https://open.spotify.com/album/2nC71ZQwT1MZx3lNNy4UPq,"Ottorino Respighi, Filarmonica della Scala, Riccardo Chailly","https://open.spotify.com/artist/7KkUirCiJZhgRN3NbgG98L, https://open.spotify.com/artist/50M4HDvsvjxF5BYChgubmq, https://open.spotify.com/artist/4Kjr1MPMUfuH3QKXtAljNy",2023-07-04,194160,2024-01-15,Trilhas sonoras e grandes clássicos para te ajudar a relaxar durante a leitura.,Música Clássica para Ler
Any Other Name,https://open.spotify.com/track/33B1XmfncHqnfkrYZIcHbD,American Beauty (Original Motion Picture Score),https://open.spotify.com/album/11y3Dzg44npGsTWKtmuzTW,Thomas Newman,https://open.spotify.com/artist/1csBgT42N4pPPs1HJhxXIK,2023-07-04,246626,2024-01-15,Trilhas sonoras e grandes clássicos para te ajudar a relaxar durante a leitura.,Música Clássica para Ler
Appalachian Spring - 1945 Suite: 1. Very slowly,https://open.spotify.com/track/3g98x0UrsfWzpiRR2gmLtR,"Copland: Appalachian Spring; Lincoln Portrait; Fanfare; Rodeo, etc.",https://open.spotify.com/album/5zvghsnDtzK4CVC4blFo9T,"Aaron Copland, Los Angeles Philharmonic, Zubin Mehta","https://open.spotify.com/artist/0nJvyjVTb8sAULPYyA1bqU, https://open.spotify.com/artist/6yeL5iw4hXNZtd8T7FOoFU, https://open.spotify.com/artist/3FEd0qHPFOgcpfw7bCXB4x",2023-07-04,174800,2024-01-15,Trilhas sonoras e grandes clássicos para te ajudar a relaxar durante a leitura.,Música Clássica para Ler
Ave,https://open.spotify.com/track/1uIjVysHAMBXEr8Arx7tfT,All I Need,https://open.spotify.com/album/6JLS96rMyyFzQTlpNuRV51,Pablo Nouvelle,https://open.spotify.com/artist/2OIJq28O1lXrZ2x3NGSk8P,2023-07-04,247600,2024-01-15,Trilhas sonoras e grandes clássicos para te ajudar a relaxar durante a leitura.,Música Clássica para Ler
Avril 14th,https://open.spotify.com/track/1uaGSDFsLdReQgg8p7Obwh,Drukqs,https://open.spotify.com/album/2oJo7cB45gMVuRsaWNwDq2,Aphex Twin,https://open.spotify.com/artist/6kBDZFXuLrZgHnvmPu9NsG,2023-07-04,125520,2024-01-15,Trilhas sonoras e grandes clássicos para te ajudar a relaxar durante a leitura.,Música Clássica para Ler
