track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
AMARSI PER LAVORO,https://open.spotify.com/track/0wfKG2QPt5dtkRYmSAW8MC,AMARSI PER LAVORO,https://open.spotify.com/album/39u0x66QsKKz6vTA470oux,Mazzariello,https://open.spotify.com/artist/2EvBrGxfXTPDSZLkYAeiO1,2025-02-11,181532,2025-02-26,Tutti i brani in gara a Sanremo Giovani 2024!,Sanremo Giovani 2024
Aurora Tropicale,https://open.spotify.com/track/58zElRCN5gQnD2VsHaxJVX,Aurora Tropicale,https://open.spotify.com/album/3FU9P0xpHMHchiSUNl0mBg,Cosmonauti Borghesi,https://open.spotify.com/artist/6yiNkOdDECVs183VjnLDxU,2025-02-11,183004,2025-02-26,Tutti i brani in gara a Sanremo Giovani 2024!,Sanremo Giovani 2024
BELLA BALLA,https://open.spotify.com/track/0rLKX0ka5kahrHmUNd8CX1,BELLA BALLA,https://open.spotify.com/album/5Q9yRedzMdCKKYDoIJe8jp,"Questo e Quello, Francesco Mannella, Stefano","https://open.spotify.com/artist/5b5R5uVklKSNErPuNTyuyI, https://open.spotify.com/artist/51SSin2alKwFv9IJRSMvv7, https://open.spotify.com/artist/4aaZayLUCwWMw5ks67GyyW",2025-02-11,176596,2025-02-26,Tutti i brani in gara a Sanremo Giovani 2024!,Sanremo Giovani 2024
Cielo Aperto,https://open.spotify.com/track/13ApPxDYcUcGUdBfQ8d3Pb,Cielo Aperto,https://open.spotify.com/album/24N5XAT7KkNHWHTc2hARZe,REA,https://open.spotify.com/artist/2WIeVc2TB9As3HeTcPpXev,2025-02-11,201521,2025-02-26,Tutti i brani in gara a Sanremo Giovani 2024!,Sanremo Giovani 2024
Come mare,https://open.spotify.com/track/3IyoDEdAtGY1hVXII9U5pQ,Come mare,https://open.spotify.com/album/2jyOpZYw0wuhzSd13KPzI5,NICOL,https://open.spotify.com/artist/5SHDHLDBneSJWuVN8DAShg,2025-02-11,173545,2025-02-26,Tutti i brani in gara a Sanremo Giovani 2024!,Sanremo Giovani 2024
Diamanti nel fango,https://open.spotify.com/track/3pa0WX5y6IoW3tIxyV005W,Diamanti nel fango,https://open.spotify.com/album/2T2dLo2wiHBLqst8gBHAhN,OrioN,https://open.spotify.com/artist/7IF4qyFcCGkrYb5dbMecQG,2025-02-11,190463,2025-02-26,Tutti i brani in gara a Sanremo Giovani 2024!,Sanremo Giovani 2024
Dimmi tu quando sei pronto per fare l'amore,https://open.spotify.com/track/4BCStGSMq3v68Eh5PrAslv,Dimmi tu quando sei pronto per fare l'amore,https://open.spotify.com/album/5n23zgaM0noCZw9sYHMHIL,"Vale LP, Lil Jolie","https://open.spotify.com/artist/4nTnJuhLXyyNms4wowqmkQ, https://open.spotify.com/artist/2IhanhNfIn38Qjybdt2ie9",2025-02-11,177142,2025-02-26,Tutti i brani in gara a Sanremo Giovani 2024!,Sanremo Giovani 2024
Fiamma,https://open.spotify.com/track/7pxXh1807WG1q0I2F2zuEs,Fiamma,https://open.spotify.com/album/6VZnvxy5ALY1l4hkw5T2cI,SYNERGY,https://open.spotify.com/artist/2KefMFDFdJGjVLv5ZK1rAe,2025-02-11,169208,2025-02-26,Tutti i brani in gara a Sanremo Giovani 2024!,Sanremo Giovani 2024
FLASHBACK,https://open.spotify.com/track/1r3To4NjUA5ChvN3SpI3Vw,FLASHBACK,https://open.spotify.com/album/08inxH81vpwObZ4BBD1uCm,Grelmos,https://open.spotify.com/artist/1u50IuLSHEITB0XFdcMUyY,2025-02-11,171197,2025-02-26,Tutti i brani in gara a Sanremo Giovani 2024!,Sanremo Giovani 2024
Forse Per Sempre,https://open.spotify.com/track/1eoJIBLBrWDrkFxcN9YGXn,Forse Per Sempre,https://open.spotify.com/album/0SdxqbeUd7cOTRkP3kJdRH,SELMI,https://open.spotify.com/artist/52ckPP690n7mGS4jQIDbys,2025-02-11,182500,2025-02-26,Tutti i brani in gara a Sanremo Giovani 2024!,Sanremo Giovani 2024
Goodbye (voglio good vibes),https://open.spotify.com/track/408NzSks0G1KXAcQMr2VvF,Goodbye (voglio good vibes),https://open.spotify.com/album/7iUzTmCb5Q9j4XkQ00Rp7r,Maria Tomba,https://open.spotify.com/artist/37zHkEzE18MxYD5Mg1Hc69,2025-02-11,142000,2025-02-26,Tutti i brani in gara a Sanremo Giovani 2024!,Sanremo Giovani 2024
J'Adore,https://open.spotify.com/track/3f0B5PdjcRhTLYeVIRXm3q,J'Adore,https://open.spotify.com/album/6xghFeXH5eGTocNBwOIamM,Arianna Rozzo,https://open.spotify.com/artist/3ZGslR0ecEgW8SA62gtfqS,2025-02-11,148913,2025-02-26,Tutti i brani in gara a Sanremo Giovani 2024!,Sanremo Giovani 2024
La Nostra Malinconia,https://open.spotify.com/track/4JuTT1xL3ITsQfX9unDXSD,La Nostra Malinconia,https://open.spotify.com/album/2ztWd3Paf5kM8uKyB22evA,Angelica Bove,https://open.spotify.com/artist/0T2LdB8gO5vgY4Ku8bYYx8,2025-02-11,198196,2025-02-26,Tutti i brani in gara a Sanremo Giovani 2024!,Sanremo Giovani 2024
Nuda,https://open.spotify.com/track/5XWIlBkPxDb9bLK03KZk2X,Nuda,https://open.spotify.com/album/3on3PxoQTBSd9JLLVpWdQf,Dea Culpa,https://open.spotify.com/artist/6X4wWxYIAoGnnNN6jh5jPI,2025-02-11,173209,2025-02-26,Tutti i brani in gara a Sanremo Giovani 2024!,Sanremo Giovani 2024
oh my god,https://open.spotify.com/track/2C42NOgiXXkbpRePhTVjO0,oh my god,https://open.spotify.com/album/5eViZ16AVD34GQvTivZzye,mew,https://open.spotify.com/artist/2IUzp4XydH7CtjqGwW2XiU,2025-02-11,183488,2025-02-26,Tutti i brani in gara a Sanremo Giovani 2024!,Sanremo Giovani 2024
Rockstar,https://open.spotify.com/track/1Nxi3qWX2wJ08VeWiSV9By,Rockstar,https://open.spotify.com/album/4E2mpIFXDslDMo14Kp6iWr,Alex Wyse,https://open.spotify.com/artist/4ZRTfGCmMJ305FMDCiD1cZ,2025-02-11,216888,2025-02-26,Tutti i brani in gara a Sanremo Giovani 2024!,Sanremo Giovani 2024
