track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
A Like Supreme,https://open.spotify.com/track/4SxtjfUfvCe4NoeDAY0YhF,A Like Supreme,https://open.spotify.com/album/1SUjyFicDuxu5LdYWdCttO,SAMURAI,https://open.spotify.com/artist/5Lv9Qc7dCi7vps4rQ5MfTV,2023-09-29,228999,2023-09-30,Immerse yourself in the sounds of Night City with the official playlist for Cyberpunk 2077. ,Cyberpunk 2077 Official Playlist
Archangel,https://open.spotify.com/track/7fxDBPivNoMioFrkDkfoM2,Archangel,https://open.spotify.com/album/6TNqcG34gkalsNR5BPTWSr,SAMURAI,https://open.spotify.com/artist/5Lv9Qc7dCi7vps4rQ5MfTV,2023-09-29,179002,2023-09-30,Immerse yourself in the sounds of Night City with the official playlist for Cyberpunk 2077. ,Cyberpunk 2077 Official Playlist
Been Good To Know Ya,https://open.spotify.com/track/136sgok7ZeYKnzzfgM3DBk,Cyberpunk 2077 - Original Score,https://open.spotify.com/album/1B2QrHbMox8vPXUY7rXAFp,Marcin Przybyłowicz,https://open.spotify.com/artist/07vycW8ICLf5hKb22PFWXw,2023-09-29,254560,2023-09-30,Immerse yourself in the sounds of Night City with the official playlist for Cyberpunk 2077. ,Cyberpunk 2077 Official Playlist
Bells Of Laguna Bend,https://open.spotify.com/track/6AwixkGo6RfuNb1ioiwERs,Cyberpunk 2077 - Original Score,https://open.spotify.com/album/1B2QrHbMox8vPXUY7rXAFp,Paul Leonard-Morgan,https://open.spotify.com/artist/0360rTDeUjEyBXaz2Ki00a,2023-09-29,261385,2023-09-30,Immerse yourself in the sounds of Night City with the official playlist for Cyberpunk 2077. ,Cyberpunk 2077 Official Playlist
Black Dog,https://open.spotify.com/track/5Ln8eNkYC9to99zsPEZbS2,Black Dog,https://open.spotify.com/album/34ab3JCEURvhiRF3Cbhwaz,SAMURAI,https://open.spotify.com/artist/5Lv9Qc7dCi7vps4rQ5MfTV,2023-09-29,263573,2023-09-30,Immerse yourself in the sounds of Night City with the official playlist for Cyberpunk 2077. ,Cyberpunk 2077 Official Playlist
Chippin' In,https://open.spotify.com/track/3GR6MLpg7XXplpaXYyzoXa,"Cyberpunk 2077: Radio, Vol. 3 (Original Soundtrack)",https://open.spotify.com/album/4L3cV9CUK0MVXUXLYkWY23,"Damian Ukeje, P.T. Adamczyk, Kerry Eurodyne","https://open.spotify.com/artist/1wfb72UB5sQSOOqiNQUjwl, https://open.spotify.com/artist/27VhXJzIph9c75cBh1e8XM, https://open.spotify.com/artist/6nS0T1lRhLRlaZtnmZ94Up",2023-09-29,215979,2023-09-30,Immerse yourself in the sounds of Night City with the official playlist for Cyberpunk 2077. ,Cyberpunk 2077 Official Playlist
Chippin' In,https://open.spotify.com/track/0UHxkkgI5GfV0XBRA1rqfe,Chippin' In,https://open.spotify.com/album/5NjxLtH4VJE1KHqSC4CSXQ,"SAMURAI, Refused","https://open.spotify.com/artist/5Lv9Qc7dCi7vps4rQ5MfTV, https://open.spotify.com/artist/5sdxGvwxI1TkTA6Pu2jnTb",2023-09-29,213983,2023-09-30,Immerse yourself in the sounds of Night City with the official playlist for Cyberpunk 2077. ,Cyberpunk 2077 Official Playlist
Choke Hold,https://open.spotify.com/track/1IwYMzwT0oJTmWKmIXAM8W,The Phantom Files (From Cyberpunk 2077),https://open.spotify.com/album/70Cg9EoQ42gxXluxkaYGSm,IDRIS,https://open.spotify.com/artist/0Dc2rdPzleezxhvQhQbXuS,2023-09-29,141893,2023-09-30,Immerse yourself in the sounds of Night City with the official playlist for Cyberpunk 2077. ,Cyberpunk 2077 Official Playlist
Cloudy Day,https://open.spotify.com/track/1mJHg0f2yodWG7xmGaj8av,Cyberpunk 2077 - Original Score,https://open.spotify.com/album/1B2QrHbMox8vPXUY7rXAFp,Marcin Przybyłowicz,https://open.spotify.com/artist/07vycW8ICLf5hKb22PFWXw,2023-09-29,305000,2023-09-30,Immerse yourself in the sounds of Night City with the official playlist for Cyberpunk 2077. ,Cyberpunk 2077 Official Playlist
Cyberwildlife Park,https://open.spotify.com/track/36IoogdQKBMpd2Ep2LXnbw,Cyberpunk 2077 - Original Score,https://open.spotify.com/album/1B2QrHbMox8vPXUY7rXAFp,Marcin Przybyłowicz,https://open.spotify.com/artist/07vycW8ICLf5hKb22PFWXw,2023-09-29,132093,2023-09-30,Immerse yourself in the sounds of Night City with the official playlist for Cyberpunk 2077. ,Cyberpunk 2077 Official Playlist
