track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
('Til) I Kissed You,https://open.spotify.com/track/2erTdgDOZmjJNaNhjhWXhJ,The Very Best of The Everly Brothers,https://open.spotify.com/album/4lmdDGcU5u1xk3GCcVJSYT,The Everly Brothers,https://open.spotify.com/artist/4ACplpEqD6JIVgKrafauzs,2021-12-14,146066,2022-04-19,Unforgettable love songs from the 1960s.,60s Love Songs
(Today I Met) The Boy I'm Gonna Marry,https://open.spotify.com/track/2Px4PrbPBMeWB1silbjI5H,The Sound Of Love: The Very Best Of Darlene Love,https://open.spotify.com/album/2KMh9uqFrGblh1Ui23yoXU,Darlene Love,https://open.spotify.com/artist/391oLRVmoTkumiN79HkTWu,2021-12-14,166053,2022-04-19,Unforgettable love songs from the 1960s.,60s Love Songs
(You Make Me Feel Like) A Natural Woman,https://open.spotify.com/track/5K09WxKdlkroDyEVyOSySy,Lady Soul (With Bonus Selections),https://open.spotify.com/album/7lEOKZaOpqP70UYqdLPejG,Aretha Franklin,https://open.spotify.com/artist/7nwUJBm0HE4ZxD3f5cy5ok,2021-12-14,165333,2022-04-19,Unforgettable love songs from the 1960s.,60s Love Songs
(Your Love Keeps Lifting Me) Higher & Higher,https://open.spotify.com/track/4TBBPZks71c60whhq0PgdP,The Ultimate Jackie Wilson,https://open.spotify.com/album/1NXxURGbIYbunQfXmChHAl,Jackie Wilson,https://open.spotify.com/artist/4VnomLtKTm9Ahe1tZfmZju,2021-12-14,181066,2022-04-19,Unforgettable love songs from the 1960s.,60s Love Songs
All I Have to Do Is Dream,https://open.spotify.com/track/7dblNGnRXEBrVJunazs2U5,The Very Best of The Everly Brothers,https://open.spotify.com/album/4lmdDGcU5u1xk3GCcVJSYT,The Everly Brothers,https://open.spotify.com/artist/4ACplpEqD6JIVgKrafauzs,2021-12-14,143333,2022-04-19,Unforgettable love songs from the 1960s.,60s Love Songs
Angel Baby,https://open.spotify.com/track/1HzfcOcxJeGmxgf5a6MK0W,Presenting Rosie & the Originals,https://open.spotify.com/album/76X16nVTLk9S8FrLrAP8ff,Rosie & The Originals,https://open.spotify.com/artist/422gtj7D6L6pvr0GE08lwf,2022-05-30,227600,2022-04-19,Unforgettable love songs from the 1960s.,60s Love Songs
At Last,https://open.spotify.com/track/4Hhv2vrOTy89HFRcjU3QOx,At Last!,https://open.spotify.com/album/7rd4PorIOPjPTy7qdUeeCt,Etta James,https://open.spotify.com/artist/0iOVhN3tnSvgDbcg25JoJb,2022-05-30,179693,2022-04-19,Unforgettable love songs from the 1960s.,60s Love Songs
At Last,https://open.spotify.com/track/3f8V9qPxrPZozXlwnRdsFb,Love Songs From The 60's,https://open.spotify.com/album/7k5rHilcFOYXOyji6NzPfJ,Etta James,https://open.spotify.com/artist/0iOVhN3tnSvgDbcg25JoJb,2022-05-30,182533,2022-04-19,Unforgettable love songs from the 1960s.,60s Love Songs
At Last - Single Version,https://open.spotify.com/track/0CmIALzGn4vHIHJG4n3Q4z,At Last!,https://open.spotify.com/album/2pBhXw3Hi1hBf8FpAtE101,Etta James,https://open.spotify.com/artist/0iOVhN3tnSvgDbcg25JoJb,2021-12-14,182400,2022-04-19,Unforgettable love songs from the 1960s.,60s Love Songs
Baby I Need Your Loving,https://open.spotify.com/track/3aCbwWCYCT3MJjZeUnlcp4,Four Tops,https://open.spotify.com/album/6TPCze8g5Q3yCRYyA42qAm,Four Tops,https://open.spotify.com/artist/7fIvjotigTGWqjIz6EP1i4,2021-12-14,166026,2022-04-19,Unforgettable love songs from the 1960s.,60s Love Songs
Be My Baby,https://open.spotify.com/track/2G2YzndIA6jeWFPBXhUjh5,Be My Baby: The Very Best of The Ronettes,https://open.spotify.com/album/3vLFWR3fLqfY82WGvaLuyV,The Ronettes,https://open.spotify.com/artist/7CyeXFnOrfC1N6z4naIpgo,2021-12-14,160906,2022-04-19,Unforgettable love songs from the 1960s.,60s Love Songs
Blue Velvet,https://open.spotify.com/track/4QelFzhVgLomeQhvKrwM1S,The Best Of Bobby Vinton,https://open.spotify.com/album/4qK4QZUSp8QdoMEm9mrzyA,Bobby Vinton,https://open.spotify.com/artist/6bOYtKnpLPQSfMpS2ilotK,2021-12-14,168093,2022-04-19,Unforgettable love songs from the 1960s.,60s Love Songs
Bring It On Home to Me,https://open.spotify.com/track/0WVTQp3SOCuMr08jh1jweV,The Man Who Invented Soul,https://open.spotify.com/album/3Seie4YIVLWtPw2hQrouNY,Sam Cooke,https://open.spotify.com/artist/6hnWRPzGGKiapVX1UCdEAC,2021-12-14,162533,2022-04-19,Unforgettable love songs from the 1960s.,60s Love Songs
Can't Help Falling In Love,https://open.spotify.com/track/6sE53f6saWW6AwB5V8Z47U,If I Can Dream: Elvis Presley with the Royal Philharmonic Orchestra,https://open.spotify.com/album/3hnTlNIWecT7V0IkxWHeqS,Elvis Presley,https://open.spotify.com/artist/43ZHCT0cAZBISjO8DG9PnE,2021-12-14,198600,2022-04-19,Unforgettable love songs from the 1960s.,60s Love Songs
Can't Help Falling In Love - with The Royal Philharmonic Orchestra,https://open.spotify.com/track/2MRJ3Oqb5yAONPvQyoWnQ9,If I Can Dream: Elvis Presley with the Royal Philharmonic Orchestra,https://open.spotify.com/album/3BYCjGZjrTkilIY7U25fNt,"Elvis Presley, Royal Philharmonic Orchestra","https://open.spotify.com/artist/43ZHCT0cAZBISjO8DG9PnE, https://open.spotify.com/artist/0MvSBMGRQJY3mRwIbJsqF1",2022-05-30,198600,2022-04-19,Unforgettable love songs from the 1960s.,60s Love Songs
Can't Take My Eyes off You,https://open.spotify.com/track/0bfvHnWWOeU1U5XeKyVLbW,Solo,https://open.spotify.com/album/4Sr5ckiFddtONS3KewaXyb,Frankie Valli,https://open.spotify.com/artist/3CDKmzJu6uwEGnPLLZffpD,2021-12-14,203680,2022-04-19,Unforgettable love songs from the 1960s.,60s Love Songs
Chapel Of Love,https://open.spotify.com/track/7vVG9xbmNQrtdSPTi7KDUm,The Very Best of The Dixie Cups: Chapel of Love,https://open.spotify.com/album/3r8dNiqNnFU7hNmQH5Reb8,The Dixie Cups,https://open.spotify.com/artist/7ICvZfP4VHAPZ5Wdt03772,2022-05-30,170786,2022-04-19,Unforgettable love songs from the 1960s.,60s Love Songs
Chapel of Love,https://open.spotify.com/track/4JchWgAG3RZmCLHcEGf9DZ,Chapel of Love,https://open.spotify.com/album/6gBGcBd26IFUPpBjsf6Gin,The Dixie Cups,https://open.spotify.com/artist/7ICvZfP4VHAPZ5Wdt03772,2021-12-14,170874,2022-04-19,Unforgettable love songs from the 1960s.,60s Love Songs
Chapel of Love (Re-Recording),https://open.spotify.com/track/7kW1ZbGUCiOTqan8QKrMI3,The Wonderful World of the 60's - 100 Hit Songs,https://open.spotify.com/album/2g6zIUb6GvP0k5KtLpWOEQ,The Dixie Cups,https://open.spotify.com/artist/7ICvZfP4VHAPZ5Wdt03772,2022-05-30,171066,2022-04-19,Unforgettable love songs from the 1960s.,60s Love Songs
