track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
100 mill,https://open.spotify.com/track/3xNZvhskS5f3NuVC8ldi0x,Kill The King: the mixtape,https://open.spotify.com/album/5XxghpaGYOjMYfaggN0g0t,"A-Reece, Jay Jody","https://open.spotify.com/artist/5TirRF3azWV5OpyufcDCFP, https://open.spotify.com/artist/1S50LM0LZMa0AhCmLvYJdR",2024-09-18,170080,2022-01-02,"Discover your new favourite artists from Africa. Cover:  <a href=""https://open.spotify.com/artist/4TKhxSkqClXrdtUWgKqHVU?si=U3O9-pfZQk6ftAECJfrtAw"">Shallipopi</a>",RADAR Africa 
2022!,https://open.spotify.com/track/5JSTBF0PYzZLRdkJno6J6U,EHHPY NYE,https://open.spotify.com/album/5J0dJWa4XdEUAhoRw3W3Ym,BabyDaiz,https://open.spotify.com/artist/75ffkjzl2yQm2wRvP5QL4s,2022-05-05,114326,2022-01-02,"Discover your new favourite artists from Africa. Cover:  <a href=""https://open.spotify.com/artist/4TKhxSkqClXrdtUWgKqHVU?si=U3O9-pfZQk6ftAECJfrtAw"">Shallipopi</a>",RADAR Africa 
24/48,https://open.spotify.com/track/3GwovMvw7GvDsbolWbHImh,OVMBR: Roses,https://open.spotify.com/album/66LEmqkDYl5OFC62EA5M7q,Odeal,https://open.spotify.com/artist/2BPwxhCvvcb8xDl8GWIjbh,2021-05-03,161211,2022-01-02,"Discover your new favourite artists from Africa. Cover:  <a href=""https://open.spotify.com/artist/4TKhxSkqClXrdtUWgKqHVU?si=U3O9-pfZQk6ftAECJfrtAw"">Shallipopi</a>",RADAR Africa 
4 Days,https://open.spotify.com/track/3rljalHuzBYEsuHNyfaB74,4 Days,https://open.spotify.com/album/3GWcWfl1e0JYX4Wg6vMwxn,Magixx,https://open.spotify.com/artist/0rskhjcLm5BxjwZDRs4142,2024-12-04,154199,2022-01-02,"Discover your new favourite artists from Africa. Cover:  <a href=""https://open.spotify.com/artist/4TKhxSkqClXrdtUWgKqHVU?si=U3O9-pfZQk6ftAECJfrtAw"">Shallipopi</a>",RADAR Africa 
45,https://open.spotify.com/track/7xLP9GqWARDKSoGPsU3126,The Villain I Never Was,https://open.spotify.com/album/7mnGUuvsSbUHZdKkJYdmOg,Black Sherif,https://open.spotify.com/artist/2LiqbH7OhqP0yuaG8VL1wJ,2022-10-13,172800,2022-01-02,"Discover your new favourite artists from Africa. Cover:  <a href=""https://open.spotify.com/artist/4TKhxSkqClXrdtUWgKqHVU?si=U3O9-pfZQk6ftAECJfrtAw"">Shallipopi</a>",RADAR Africa 
4x4 (feat.Tyler ICU),https://open.spotify.com/track/49NvGBWwEs9u6ILQd2snYd,4x4 (feat.Tyler ICU),https://open.spotify.com/album/2yvTYlxrd5JG1gOddqHDAc,"The Therapist, Khalil Harrison, Tyler ICU, Magicsticks","https://open.spotify.com/artist/3rp5xD3dLZnUe7QnXxYrm2, https://open.spotify.com/artist/2zq3Zm57y4TxZRbMZ05CGp, https://open.spotify.com/artist/2oIQCM7hRZI9tS5b9S8rj4, https://open.spotify.com/artist/1IMS1L1ZXuNhPN9HtOdtbz",2024-12-04,203893,2022-01-02,"Discover your new favourite artists from Africa. Cover:  <a href=""https://open.spotify.com/artist/4TKhxSkqClXrdtUWgKqHVU?si=U3O9-pfZQk6ftAECJfrtAw"">Shallipopi</a>",RADAR Africa 
66,https://open.spotify.com/track/1b4kqxvf4kFuB7ACj9Lvve,66,https://open.spotify.com/album/6pTx4o3Ww2KeWMUVtONaGd,"Felo Le Tee, Myztro","https://open.spotify.com/artist/6k8odn7NzzTT4K3NBNtsfV, https://open.spotify.com/artist/6egY1uh8HjHy6TrD0qmQNN",2022-06-30,430714,2022-01-02,"Discover your new favourite artists from Africa. Cover:  <a href=""https://open.spotify.com/artist/4TKhxSkqClXrdtUWgKqHVU?si=U3O9-pfZQk6ftAECJfrtAw"">Shallipopi</a>",RADAR Africa 
Abo Mvelo (feat. Mellow & Sleazy & M.J),https://open.spotify.com/track/0Ek5bneviajgSzZGonWfds,Abo Mvelo (feat. Mellow & Sleazy & M.J),https://open.spotify.com/album/437dkJZjTY2KPRtZAVleKs,"Daliwonga, Mellow & Sleazy, M.J","https://open.spotify.com/artist/0oW137oXCLwA5b4uYRxvIn, https://open.spotify.com/artist/5MJ5f1XKD9yu7aWfG8OGjz, https://open.spotify.com/artist/7bbakrxOYa3yL8DDzjU98P",2022-05-05,480000,2022-01-02,"Discover your new favourite artists from Africa. Cover:  <a href=""https://open.spotify.com/artist/4TKhxSkqClXrdtUWgKqHVU?si=U3O9-pfZQk6ftAECJfrtAw"">Shallipopi</a>",RADAR Africa 
Abotr3 (Patience),https://open.spotify.com/track/6N9GrK3OSdZPgiFnXEnucr,Patience,https://open.spotify.com/album/2PzZi8aAV2myyFYZp6Udna,"Amerado, Black Sherif","https://open.spotify.com/artist/4vNCRfPa5uflWbtrBxEZew, https://open.spotify.com/artist/2LiqbH7OhqP0yuaG8VL1wJ",2022-05-05,178171,2022-01-02,"Discover your new favourite artists from Africa. Cover:  <a href=""https://open.spotify.com/artist/4TKhxSkqClXrdtUWgKqHVU?si=U3O9-pfZQk6ftAECJfrtAw"">Shallipopi</a>",RADAR Africa 
Ah Well,https://open.spotify.com/track/5HWaatDzTxcpOMDVYpvZwj,In Pursuit Of Happiness,https://open.spotify.com/album/7cR90I8NPn64HTVjcDHQpb,"Baaba J, Oladapo, Juls","https://open.spotify.com/artist/151OS9nfrfYQ8UlnakRMek, https://open.spotify.com/artist/6HAro8NBhDtn8csZDPEBuB, https://open.spotify.com/artist/7BIkk865pwBrSZetA8Izic",2024-12-04,192000,2022-01-02,"Discover your new favourite artists from Africa. Cover:  <a href=""https://open.spotify.com/artist/4TKhxSkqClXrdtUWgKqHVU?si=U3O9-pfZQk6ftAECJfrtAw"">Shallipopi</a>",RADAR Africa 
