track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
10 Feet,https://open.spotify.com/track/0yQCHkrxQDVyMc5I8D65yC,Death Race For Love (Bonus Track Version),https://open.spotify.com/album/1btu0SV2DOI5HoFsvUd78F,Juice WRLD,https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz,2022-03-19,212311,2023-06-08,"This is Juice WRLD. The essential tracks, all in one playlist.",This Is Juice WRLD (2)
1400 / 999 Freestyle,https://open.spotify.com/track/75lcPkAkUsKWHGBlGM476R,A Love Letter To You 3,https://open.spotify.com/album/6qRbGZqJ3aQY8N8bcHc1ug,"Trippie Redd, Juice WRLD","https://open.spotify.com/artist/6Xgp2XMz1fhVYe7i6yNAax, https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz",2022-03-19,175954,2023-06-08,"This is Juice WRLD. The essential tracks, all in one playlist.",This Is Juice WRLD (2)
7 Am Freestyle,https://open.spotify.com/track/1hHe7cirScEJWgAS0JFqTL,Future & Juice WRLD Present... WRLD ON DRUGS,https://open.spotify.com/album/6P9PZjWXoCRF5b66BafPKY,"Future, Juice WRLD","https://open.spotify.com/artist/1RyvyyTE3xzB2ZywiAwp0i, https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz",2022-03-19,192906,2023-06-08,"This is Juice WRLD. The essential tracks, all in one playlist.",This Is Juice WRLD (2)
734,https://open.spotify.com/track/26gXWzhL8DZJSU5sODhVTs,Goodbye & Good Riddance (Anniversary),https://open.spotify.com/album/7aObAFaIOcczMSDnfXz5z6,Juice WRLD,https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz,2022-03-19,196146,2023-06-08,"This is Juice WRLD. The essential tracks, all in one playlist.",This Is Juice WRLD (2)
Afterlife,https://open.spotify.com/track/4hEbkVAl2qRs8vZy03tsDi,Future & Juice WRLD Present... WRLD ON DRUGS,https://open.spotify.com/album/6P9PZjWXoCRF5b66BafPKY,Future,https://open.spotify.com/artist/1RyvyyTE3xzB2ZywiAwp0i,2022-03-19,214253,2023-06-08,"This is Juice WRLD. The essential tracks, all in one playlist.",This Is Juice WRLD (2)
Ain't Livin Right (feat. Gunna),https://open.spotify.com/track/0JR7iZZ6Ql79sXW3rbiS3F,Future & Juice WRLD Present... WRLD ON DRUGS,https://open.spotify.com/album/6P9PZjWXoCRF5b66BafPKY,"Future, Juice WRLD, Gunna","https://open.spotify.com/artist/1RyvyyTE3xzB2ZywiAwp0i, https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz, https://open.spotify.com/artist/2hlmm7s2ICUX0LVIhVFlZQ",2022-03-19,230533,2023-06-08,"This is Juice WRLD. The essential tracks, all in one playlist.",This Is Juice WRLD (2)
All Girls Are The Same,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1,Goodbye & Good Riddance,https://open.spotify.com/album/6tkjU4Umpo79wwkgPMV3nZ,Juice WRLD,https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz,2022-03-19,165819,2023-06-08,"This is Juice WRLD. The essential tracks, all in one playlist.",This Is Juice WRLD (2)
Already Dead,https://open.spotify.com/track/1hB3M3POeKMLxcEFEvPeqU,Fighting Demons (Deluxe),https://open.spotify.com/album/1typPCwqyXMfFpvDZAyKew,Juice WRLD,https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz,2022-03-19,231220,2023-06-08,"This is Juice WRLD. The essential tracks, all in one playlist.",This Is Juice WRLD (2)
Armed And Dangerous,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX,Goodbye & Good Riddance,https://open.spotify.com/album/6tkjU4Umpo79wwkgPMV3nZ,Juice WRLD,https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz,2022-03-19,169999,2023-06-08,"This is Juice WRLD. The essential tracks, all in one playlist.",This Is Juice WRLD (2)
Astronauts,https://open.spotify.com/track/2vs5ubqg8QUbfyWZpMfvWe,Future & Juice WRLD Present... WRLD ON DRUGS,https://open.spotify.com/album/6P9PZjWXoCRF5b66BafPKY,"Future, Juice WRLD","https://open.spotify.com/artist/1RyvyyTE3xzB2ZywiAwp0i, https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz",2022-03-19,169920,2023-06-08,"This is Juice WRLD. The essential tracks, all in one playlist.",This Is Juice WRLD (2)
Bad Boy (with Young Thug),https://open.spotify.com/track/43CIWpJaJHRcI4mUSjqgc2,Bad Boy (with Young Thug),https://open.spotify.com/album/5hUFZjxtqYvxm9FGUhHCdE,"Juice WRLD, Young Thug","https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz, https://open.spotify.com/artist/50co4Is1HCEo8bhOyUWKpn",2022-03-19,157355,2023-06-08,"This is Juice WRLD. The essential tracks, all in one playlist.",This Is Juice WRLD (2)
Bad Energy,https://open.spotify.com/track/7d94IqWX2UmSKMGUYSGFJG,Legends Never Die,https://open.spotify.com/album/6n9DKpOxwifT5hOXtgLZSL,Juice WRLD,https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz,2022-03-19,186749,2023-06-08,"This is Juice WRLD. The essential tracks, all in one playlist.",This Is Juice WRLD (2)
Bandit (with YoungBoy Never Broke Again),https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,Bandit (with YoungBoy Never Broke Again),https://open.spotify.com/album/3t6Z2qoBVCS4NHNI25XECH,"Juice WRLD, YoungBoy Never Broke Again","https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz, https://open.spotify.com/artist/7wlFDEWiM5OoIAt8RSli8b",2022-03-19,189322,2023-06-08,"This is Juice WRLD. The essential tracks, all in one playlist.",This Is Juice WRLD (2)
Betrayal - Skit,https://open.spotify.com/track/1p7DC2sFe7aJdO1RZdO3tC,Goodbye & Good Riddance,https://open.spotify.com/album/6tkjU4Umpo79wwkgPMV3nZ,Juice WRLD,https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz,2022-03-19,64194,2023-06-08,"This is Juice WRLD. The essential tracks, all in one playlist.",This Is Juice WRLD (2)
Big,https://open.spotify.com/track/59654ZK5g8mq1Z6E34qBXp,Death Race For Love (Bonus Track Version),https://open.spotify.com/album/1btu0SV2DOI5HoFsvUd78F,Juice WRLD,https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz,2022-03-19,224063,2023-06-08,"This is Juice WRLD. The essential tracks, all in one playlist.",This Is Juice WRLD (2)
Black & White,https://open.spotify.com/track/1fCeXjoRExPP2qwSBh2aST,Goodbye & Good Riddance,https://open.spotify.com/album/6tkjU4Umpo79wwkgPMV3nZ,Juice WRLD,https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz,2022-03-19,186945,2023-06-08,"This is Juice WRLD. The essential tracks, all in one playlist.",This Is Juice WRLD (2)
Blastoff (feat. Juice Wrld & Trippie Redd),https://open.spotify.com/track/2rFsFjq0D9JAmc0APpCO6P,B4 The Storm,https://open.spotify.com/album/6U5j597olXfdjtd6wHd3Cu,"Internet Money, Trippie Redd, Diplo, Juice WRLD","https://open.spotify.com/artist/6MPCFvOQv5cIGfw3jODMF0, https://open.spotify.com/artist/6Xgp2XMz1fhVYe7i6yNAax, https://open.spotify.com/artist/5fMUXHkw8R8eOP2RNVYEZX, https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz",2022-03-19,174729,2023-06-08,"This is Juice WRLD. The essential tracks, all in one playlist.",This Is Juice WRLD (2)
Blood On My Jeans,https://open.spotify.com/track/0fCwrjKfWxF3xQhZrYUw4T,Legends Never Die,https://open.spotify.com/album/6n9DKpOxwifT5hOXtgLZSL,Juice WRLD,https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz,2022-03-19,154767,2023-06-08,"This is Juice WRLD. The essential tracks, all in one playlist.",This Is Juice WRLD (2)
Can't Die,https://open.spotify.com/track/4PPLJAEYBSOcnzr9TZoqf9,Legends Never Die,https://open.spotify.com/album/6n9DKpOxwifT5hOXtgLZSL,Juice WRLD,https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz,2022-03-19,182922,2023-06-08,"This is Juice WRLD. The essential tracks, all in one playlist.",This Is Juice WRLD (2)
Candles,https://open.spotify.com/track/1wa6QQsdSE3X2GbRljGpFk,Goodbye & Good Riddance,https://open.spotify.com/album/6tkjU4Umpo79wwkgPMV3nZ,Juice WRLD,https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz,2022-03-19,183703,2023-06-08,"This is Juice WRLD. The essential tracks, all in one playlist.",This Is Juice WRLD (2)
Cigarettes,https://open.spotify.com/track/1CfuBY3BDdKpooQ9L5zgUc,Fighting Demons (Deluxe),https://open.spotify.com/album/1typPCwqyXMfFpvDZAyKew,Juice WRLD,https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz,2022-03-19,227527,2023-06-08,"This is Juice WRLD. The essential tracks, all in one playlist.",This Is Juice WRLD (2)
Come & Go (with Marshmello),https://open.spotify.com/track/4Lxseh0wN7N0ljiOh8KwbU,Come & Go (with Marshmello),https://open.spotify.com/album/5Cje8lHuyJG88V5Rvx21mm,"Juice WRLD, Marshmello","https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz, https://open.spotify.com/artist/64KEffDW9EtZ1y2vBYgq8T",2022-03-19,205484,2023-06-08,"This is Juice WRLD. The essential tracks, all in one playlist.",This Is Juice WRLD (2)
Conversations,https://open.spotify.com/track/4K06PO78fW4mnBVenxGNob,Legends Never Die,https://open.spotify.com/album/6n9DKpOxwifT5hOXtgLZSL,Juice WRLD,https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz,2022-03-19,181661,2023-06-08,"This is Juice WRLD. The essential tracks, all in one playlist.",This Is Juice WRLD (2)
Demons and Angels (feat. Juice WRLD),https://open.spotify.com/track/3L19besdNQzd342qL78xqm,Hoodie SZN,https://open.spotify.com/album/3r5hf3Cj3EMh1C2saQ8jyt,"A Boogie Wit da Hoodie, Juice WRLD","https://open.spotify.com/artist/31W5EY0aAly4Qieq6OFu6I, https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz",2022-03-19,214592,2023-06-08,"This is Juice WRLD. The essential tracks, all in one playlist.",This Is Juice WRLD (2)
