track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
adrenaline!!!,https://open.spotify.com/track/10Yk9WbT2840l1NK5RWvkq,TAILWIND,https://open.spotify.com/album/6aQawPPAZQ83W5Iy5E702F,TrySail,https://open.spotify.com/artist/3YmAt9U9INQwxAwfgMVfKD,2021-12-21,274146,2022-04-19,"The hottest Anime hits of the 10s. Illustration by <a href=""https://www.instagram.com/nostalook7090/"">NOSTALOOK</a>",Anime Hits 10's
adrenaline!!!,https://open.spotify.com/track/1InmP0qrPm6NgRdRmeMbwI,TAILWIND,https://open.spotify.com/album/0JwVYCw3rL7IMIKtV7nc0e,TrySail,https://open.spotify.com/artist/3YmAt9U9INQwxAwfgMVfKD,2021-12-21,274146,2022-04-19,"The hottest Anime hits of the 10s. Illustration by <a href=""https://www.instagram.com/nostalook7090/"">NOSTALOOK</a>",Anime Hits 10's
Black Rover,https://open.spotify.com/track/0OGw7V8wAI6OsZIQ12JkTP,wizard,https://open.spotify.com/album/5WiacWoGjt3yMoK8vtQ0tz,VK Blanka,https://open.spotify.com/artist/0PYPjvZaOa7bsCq26JOX8d,2021-12-21,209573,2022-04-19,"The hottest Anime hits of the 10s. Illustration by <a href=""https://www.instagram.com/nostalook7090/"">NOSTALOOK</a>",Anime Hits 10's
Brave Shine,https://open.spotify.com/track/46YSff2Rq1ZtN1YVk5cwbZ,DAWN,https://open.spotify.com/album/7EHV2huu8yHAsPjzgmUjka,Aimer,https://open.spotify.com/artist/0bAsR2unSRpn6BQPEnNlZm,2021-12-21,233493,2022-04-19,"The hottest Anime hits of the 10s. Illustration by <a href=""https://www.instagram.com/nostalook7090/"">NOSTALOOK</a>",Anime Hits 10's
Brave Shine,https://open.spotify.com/track/5FD8hfeNHqXqRxaGSxMr4p,DAWN,https://open.spotify.com/album/2fRyWvN5Rq4FRmae80RzF7,Aimer,https://open.spotify.com/artist/0bAsR2unSRpn6BQPEnNlZm,2021-12-21,233493,2022-04-19,"The hottest Anime hits of the 10s. Illustration by <a href=""https://www.instagram.com/nostalook7090/"">NOSTALOOK</a>",Anime Hits 10's
Brave Shine,https://open.spotify.com/track/5CchV8Rh5s2sJ377bUP52Y,Brave Shine,https://open.spotify.com/album/284IHmODFtKRCwM3WRnwOW,Aimer,https://open.spotify.com/artist/0bAsR2unSRpn6BQPEnNlZm,2022-09-15,233973,2022-04-19,"The hottest Anime hits of the 10s. Illustration by <a href=""https://www.instagram.com/nostalook7090/"">NOSTALOOK</a>",Anime Hits 10's
Can Do,https://open.spotify.com/track/0mJfQhcSwE5caboPNv9JL1,CRACK STAR FLASH,https://open.spotify.com/album/671v5gbdhkD96e7YGxQDmB,GRANRODEO,https://open.spotify.com/artist/7nC8veuCttVQlyjhueVUXj,2021-12-21,263773,2022-04-19,"The hottest Anime hits of the 10s. Illustration by <a href=""https://www.instagram.com/nostalook7090/"">NOSTALOOK</a>",Anime Hits 10's
CORE PRIDE,https://open.spotify.com/track/4INELIsugoIEu92tCmHJi8,CORE PRIDE,https://open.spotify.com/album/6nwXhZAaKV9JnSfP9bO9Vw,UVERworld,https://open.spotify.com/artist/6m14xgA0m3w92UM7ujJgky,2021-12-21,257385,2022-04-19,"The hottest Anime hits of the 10s. Illustration by <a href=""https://www.instagram.com/nostalook7090/"">NOSTALOOK</a>",Anime Hits 10's
CORE PRIDE,https://open.spotify.com/track/55n4sFy8tjysBcCjQFwX3A,LIFE 6 SENSE,https://open.spotify.com/album/3a0Fm0IirSryLjMpfPXldU,UVERworld,https://open.spotify.com/artist/6m14xgA0m3w92UM7ujJgky,2021-12-21,258693,2022-04-19,"The hottest Anime hits of the 10s. Illustration by <a href=""https://www.instagram.com/nostalook7090/"">NOSTALOOK</a>",Anime Hits 10's
crossing field,https://open.spotify.com/track/4BvuZVf9KyBN3QiPfeI9hw,LANDSPACE,https://open.spotify.com/album/5HFUxDJPT23Q2VN32WPi3c,LiSA,https://open.spotify.com/artist/0blbVefuxOGltDBa00dspv,2021-12-21,248946,2022-04-19,"The hottest Anime hits of the 10s. Illustration by <a href=""https://www.instagram.com/nostalook7090/"">NOSTALOOK</a>",Anime Hits 10's
crossing field,https://open.spotify.com/track/5RsRhryZD9FdTmxsAaZ2mM,LANDSPACE,https://open.spotify.com/album/5aKVOZqJWL30JXGpimjifo,LiSA,https://open.spotify.com/artist/0blbVefuxOGltDBa00dspv,2021-12-21,248946,2022-04-19,"The hottest Anime hits of the 10s. Illustration by <a href=""https://www.instagram.com/nostalook7090/"">NOSTALOOK</a>",Anime Hits 10's
crossing field,https://open.spotify.com/track/0zxgnfOWkAt0xA30KRoERq,crossing field,https://open.spotify.com/album/30KYUjwlg4U8Rw3rM0GeFs,LiSA,https://open.spotify.com/artist/0blbVefuxOGltDBa00dspv,2022-09-15,250973,2022-04-19,"The hottest Anime hits of the 10s. Illustration by <a href=""https://www.instagram.com/nostalook7090/"">NOSTALOOK</a>",Anime Hits 10's
Crow Song,https://open.spotify.com/track/3gvA4qesNQ2HyBVr34i1q3,Crow Song,https://open.spotify.com/album/6zdGnjO1xFsPr3eEIrjQec,"marina, VISUAL ARTS / Key","https://open.spotify.com/artist/358xRt5CBUd9I19QYV379n, https://open.spotify.com/artist/4XoXFUiabPNKrXxTgHTy0z",2024-12-30,248040,2022-04-19,"The hottest Anime hits of the 10s. Illustration by <a href=""https://www.instagram.com/nostalook7090/"">NOSTALOOK</a>",Anime Hits 10's
Daydream cafe,https://open.spotify.com/track/129V9JvCGREpwD3gHpNJKl,｢ご注文はうさぎですか？｣キャラクターソング・セレクションアルバム／order the songs,https://open.spotify.com/album/2KbaBQLCfWQFrqrUH1e2Cm,Petit Rabbit's,https://open.spotify.com/artist/5l7xE3vT6bXnhBALsAetdE,2023-07-04,255160,2022-04-19,"The hottest Anime hits of the 10s. Illustration by <a href=""https://www.instagram.com/nostalook7090/"">NOSTALOOK</a>",Anime Hits 10's
Daydream cafe,https://open.spotify.com/track/3AdtUKxxIsPEV3nJC0U3Hk,｢ご注文はうさぎですか？｣キャラクターソング・セレクションアルバム／order the songs,https://open.spotify.com/album/2hI6IUBcq7Lmrpk177Gr8q,Petit Rabbit's,https://open.spotify.com/artist/5l7xE3vT6bXnhBALsAetdE,2021-12-21,255160,2022-04-19,"The hottest Anime hits of the 10s. Illustration by <a href=""https://www.instagram.com/nostalook7090/"">NOSTALOOK</a>",Anime Hits 10's
Dramatic Market Ride,https://open.spotify.com/track/4XVdyXUBYR70qhHSKUgZL9,Dramatic Market Ride,https://open.spotify.com/album/3Qn1FGT5fVX03YsHYILUZM,Kitashirakawa Tamako (CV: Aya Suzaki),https://open.spotify.com/artist/0aElBIWdrU7d9yJHSAFSbn,2021-12-21,260493,2022-04-19,"The hottest Anime hits of the 10s. Illustration by <a href=""https://www.instagram.com/nostalook7090/"">NOSTALOOK</a>",Anime Hits 10's
DREAM SOLISTER,https://open.spotify.com/track/59Swm876fBPn9qGsRByJNV,Joy Heart,https://open.spotify.com/album/0EagKH2euPBYoiyJH8oYJa,TRUE,https://open.spotify.com/artist/0UwVT0iMLLAa9SUNENg4te,2021-12-21,300546,2022-04-19,"The hottest Anime hits of the 10s. Illustration by <a href=""https://www.instagram.com/nostalook7090/"">NOSTALOOK</a>",Anime Hits 10's
Escape,https://open.spotify.com/track/19jDGiuezpLTUAy90xnByO,Escape,https://open.spotify.com/album/7iZqNLOolDEbvA1j5zQwO7,Hemenway,https://open.spotify.com/artist/1aelbjRiScFc639v34vNsv,2021-12-21,217586,2022-04-19,"The hottest Anime hits of the 10s. Illustration by <a href=""https://www.instagram.com/nostalook7090/"">NOSTALOOK</a>",Anime Hits 10's
Escape,https://open.spotify.com/track/59jTsPBWKpV3iP9Xj0Ze3S,Escape,https://open.spotify.com/album/0bCJr7yy5E6wAbIVSdT94L,Hemenway,https://open.spotify.com/artist/1aelbjRiScFc639v34vNsv,2021-12-21,217586,2022-04-19,"The hottest Anime hits of the 10s. Illustration by <a href=""https://www.instagram.com/nostalook7090/"">NOSTALOOK</a>",Anime Hits 10's
FLY HIGH!!,https://open.spotify.com/track/3UkKMyzoVlBldomuH0gB82,檸檬,https://open.spotify.com/album/72wMeTT8zmchnljWkNS9Vq,BURNOUT SYNDROMES,https://open.spotify.com/artist/0Oazwl71qoHvXnbSxv0wOT,2021-12-21,244493,2022-04-19,"The hottest Anime hits of the 10s. Illustration by <a href=""https://www.instagram.com/nostalook7090/"">NOSTALOOK</a>",Anime Hits 10's
FLY HIGH!!,https://open.spotify.com/track/3YOZLPRiTuYgItSGO41gPT,檸檬,https://open.spotify.com/album/48IbAUpWY9uLHfJNaiXnkP,BURNOUT SYNDROMES,https://open.spotify.com/artist/0Oazwl71qoHvXnbSxv0wOT,2021-12-21,244493,2022-04-19,"The hottest Anime hits of the 10s. Illustration by <a href=""https://www.instagram.com/nostalook7090/"">NOSTALOOK</a>",Anime Hits 10's
"Gimme! Revolution (From ""Gonna Be the Twin-Tail!!"")",https://open.spotify.com/track/6prVPWb0IjxixFjwo06ADi,Penki (Standard Edition),https://open.spotify.com/album/1XY3l2HM92KroMo4ynFGQu,Maaya Uchida,https://open.spotify.com/artist/4hJl41jTq14yNuc1f3bLe6,2021-12-21,235386,2022-04-19,"The hottest Anime hits of the 10s. Illustration by <a href=""https://www.instagram.com/nostalook7090/"">NOSTALOOK</a>",Anime Hits 10's
GO! GO! MANIAC,https://open.spotify.com/track/1wstHd1OmAsH1Sy9qcPhrk,GO! GO! MANIAC,https://open.spotify.com/album/0t5SvO8PbUct9yZLE38Fbl,Ho - Kago Tea Time,https://open.spotify.com/artist/1cXxia1Q2VDTjWe8X2Jydm,2021-12-21,251320,2022-04-19,"The hottest Anime hits of the 10s. Illustration by <a href=""https://www.instagram.com/nostalook7090/"">NOSTALOOK</a>",Anime Hits 10's
"Go! Go! Maniac (From ""K-On!!)",https://open.spotify.com/track/2RrbTYtbCTdUhTNak4HN9h,"Go! Go! Maniac (From ""K-ON!!)",https://open.spotify.com/album/2y7Bktloeww6fRNdXQz0iL,Ho - Kago Tea Time,https://open.spotify.com/artist/1cXxia1Q2VDTjWe8X2Jydm,2021-12-21,251320,2022-04-19,"The hottest Anime hits of the 10s. Illustration by <a href=""https://www.instagram.com/nostalook7090/"">NOSTALOOK</a>",Anime Hits 10's
Guren no Yumiya,https://open.spotify.com/track/70p3HYq9iHZisJqpDmWd1U,Shingeki no Kiseki,https://open.spotify.com/album/24pr7CLiiJk8rUsXcocSA4,Linked Horizon,https://open.spotify.com/artist/3eNYrVLcWfjJ9JdH9kiPJO,2021-12-21,310680,2022-04-19,"The hottest Anime hits of the 10s. Illustration by <a href=""https://www.instagram.com/nostalook7090/"">NOSTALOOK</a>",Anime Hits 10's
"Hello,world!",https://open.spotify.com/track/1YqVJ2YSgwxWpfuENocF2t,Butterflies,https://open.spotify.com/album/7xEb9qTZuR3LMPETeHR1A5,BUMP OF CHICKEN,https://open.spotify.com/artist/0hSFeqPehe7FtCNWuQ6Bsy,2021-12-21,248453,2022-04-19,"The hottest Anime hits of the 10s. Illustration by <a href=""https://www.instagram.com/nostalook7090/"">NOSTALOOK</a>",Anime Hits 10's
i Love,https://open.spotify.com/track/0h2XBBdwPYP2uJ6g2ZiEcE,azusa,https://open.spotify.com/album/0Z5sUHMdCiRMkqPJwKtXwJ,Azusa,https://open.spotify.com/artist/35jlPjvRx3pLt2yQYbFFRL,2021-12-21,263586,2022-04-19,"The hottest Anime hits of the 10s. Illustration by <a href=""https://www.instagram.com/nostalook7090/"">NOSTALOOK</a>",Anime Hits 10's
I Love,https://open.spotify.com/track/1dn81uNv9YaiSkcN4ed0Ib,Azusa,https://open.spotify.com/album/7wNwrmYurpkiLdwd3uxkQw,Azusa,https://open.spotify.com/artist/35jlPjvRx3pLt2yQYbFFRL,2021-12-21,263586,2022-04-19,"The hottest Anime hits of the 10s. Illustration by <a href=""https://www.instagram.com/nostalook7090/"">NOSTALOOK</a>",Anime Hits 10's
Ikenai Borderline -album version-,https://open.spotify.com/track/0gg1K0zwcNaYyzMeKpRNxT,"TV Animation ""MACROSS DELTA"" VOCAL SONGS COLLECTION ""Walkure Attack!""",https://open.spotify.com/album/2nQJ2Eyi1uAwWcYXeYx6xP,Walkure,https://open.spotify.com/artist/4b1IVV9meynYx65WpsxjbT,2021-12-21,279693,2022-04-19,"The hottest Anime hits of the 10s. Illustration by <a href=""https://www.instagram.com/nostalook7090/"">NOSTALOOK</a>",Anime Hits 10's
JOJO SONO CHINO SADAME,https://open.spotify.com/track/08q2CrXYf1ZaMbcKViPdVA,JOJO SONO CHINO SADAME,https://open.spotify.com/album/0t9GYCbtohYvtA60qUBCHa,Hiroaki Tommy Tominaga,https://open.spotify.com/artist/3Pp8OVTOM4HoXf7Vysq2dZ,2021-12-21,262566,2022-04-19,"The hottest Anime hits of the 10s. Illustration by <a href=""https://www.instagram.com/nostalook7090/"">NOSTALOOK</a>",Anime Hits 10's
Koi wo Shita nowa,https://open.spotify.com/track/4djnzEBxRzNkitxZRPGmzy,Shimetta Natsu no Hajimari,https://open.spotify.com/album/6vpsmEKP8UPBJW8uzdY06r,aiko,https://open.spotify.com/artist/6TDMbiQCWeMClsMr9ORLRK,2021-12-21,360093,2022-04-19,"The hottest Anime hits of the 10s. Illustration by <a href=""https://www.instagram.com/nostalook7090/"">NOSTALOOK</a>",Anime Hits 10's
Make it!,https://open.spotify.com/track/4NhJWyPv20hIvs5oDP0Jga,Make it!,https://open.spotify.com/album/00qBnGSGC1qtAWPVys6cxB,i☆Ris,https://open.spotify.com/artist/5AT0jKTq4D7IVlXsDscmQ1,2021-12-21,252706,2022-04-19,"The hottest Anime hits of the 10s. Illustration by <a href=""https://www.instagram.com/nostalook7090/"">NOSTALOOK</a>",Anime Hits 10's
