track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
(dream),https://open.spotify.com/track/17YNmMy03QLPirmBzWxFa6,melanchole,https://open.spotify.com/album/10WzRaNWnFUQNrW2FpqQSQ,salvia palth,https://open.spotify.com/artist/0pg0Zm8FsGAYy5kdHuBnSo,2024-03-01,84701,2023-02-24,indie tunes with country experimentation featuring music from Frog 🌟🌟🌟,Indie Twang
(dream),https://open.spotify.com/track/39iczvfNkZstM8KY8dNDFC,melanchole,https://open.spotify.com/album/23KJrzHF1IBfjzpRgTtaJx,salvia palth,https://open.spotify.com/artist/0pg0Zm8FsGAYy5kdHuBnSo,2023-08-02,84741,2023-02-24,indie tunes with country experimentation featuring music from Frog 🌟🌟🌟,Indie Twang
16 CARRIAGES,https://open.spotify.com/track/3Fwebmu4BzPUpDtPZo0qHb,16 CARRIAGES,https://open.spotify.com/album/6PeoltoiWQWCyWA0JBHVGN,Beyoncé,https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m,2024-02-12,227250,2023-02-24,indie tunes with country experimentation featuring music from Frog 🌟🌟🌟,Indie Twang
:),https://open.spotify.com/track/36YY9Yeq3XastTeC1e0VmN,:),https://open.spotify.com/album/6UHK8Ur2u73SSq62gwsmFo,The Japanese House,https://open.spotify.com/artist/3IunaFjvNKj98JW89JYv9u,2024-06-21,180568,2023-02-24,indie tunes with country experimentation featuring music from Frog 🌟🌟🌟,Indie Twang
About,https://open.spotify.com/track/4sOPZqn8nkweocgJQZJwmH,Land,https://open.spotify.com/album/36W3NXzrIHvMSnIY8h5em3,Another Michael,https://open.spotify.com/artist/4I29IR2MABOOQXGDdcYA2q,2023-12-08,167445,2023-02-24,indie tunes with country experimentation featuring music from Frog 🌟🌟🌟,Indie Twang
Acolyte,https://open.spotify.com/track/2h0O3uXZW6ClktlgHWGpjy,Birdie,https://open.spotify.com/album/7BOqKE9agoJs91LXKd1pNy,"Slaughter Beach, Dog",https://open.spotify.com/artist/3lWVgSwutPsiJ8Awm7OTKU,2023-07-21,316468,2023-02-24,indie tunes with country experimentation featuring music from Frog 🌟🌟🌟,Indie Twang
Aftertaste,https://open.spotify.com/track/3AinWupnMmlYaOgJGqitFe,Aftertaste,https://open.spotify.com/album/4JA0mBZ4KkCk0clp3d8kLY,Katie Gavin,https://open.spotify.com/artist/0DpJl9MRib7qywJOoYqEZg,2024-07-26,214706,2023-02-24,indie tunes with country experimentation featuring music from Frog 🌟🌟🌟,Indie Twang
All My Thoughts,https://open.spotify.com/track/1hZ8HcjYNAn14cuGSRZT1K,Practice,https://open.spotify.com/album/0pvTFpzVYUErZJTeDO7opu,Free Range,https://open.spotify.com/artist/2aPB7TI5mAleSnK0Fm0YVP,2023-03-03,225062,2023-02-24,indie tunes with country experimentation featuring music from Frog 🌟🌟🌟,Indie Twang
All My Thoughts,https://open.spotify.com/track/1tOdpTjRfTuDiM330DCKDD,Practice,https://open.spotify.com/album/6iKPa0KYi9BmKjhfYiRvS1,Free Range,https://open.spotify.com/artist/2aPB7TI5mAleSnK0Fm0YVP,2024-03-01,225062,2023-02-24,indie tunes with country experimentation featuring music from Frog 🌟🌟🌟,Indie Twang
All The People,https://open.spotify.com/track/57bKfKNtMDKNbnLBM8grVL,All The People,https://open.spotify.com/album/5d8DEQYEV1n4xcWLJj4fHF,Daisy the Great,https://open.spotify.com/artist/0SrIPejckovMwhrN3MZFPB,2024-09-27,191981,2023-02-24,indie tunes with country experimentation featuring music from Frog 🌟🌟🌟,Indie Twang
Amy,https://open.spotify.com/track/3owz5csR9o9BTxkaHWa4MP,Amy,https://open.spotify.com/album/3St5d6fnFu6CkkWOiN4pCv,Flyte,https://open.spotify.com/artist/3ZKyADicHqelBDeADLutiu,2023-09-08,216044,2023-02-24,indie tunes with country experimentation featuring music from Frog 🌟🌟🌟,Indie Twang
Angel's Eye,https://open.spotify.com/track/1k9LP39OXvFgSVrk7qncVb,"Box for Buddy, Box for Star",https://open.spotify.com/album/3wSIO65dy3pAoBjKBybOcV,This Is Lorelei,https://open.spotify.com/artist/0GmYGGZZIU8vHbI0bAXZun,2024-06-14,231349,2023-02-24,indie tunes with country experimentation featuring music from Frog 🌟🌟🌟,Indie Twang
Angels Bowling,https://open.spotify.com/track/6i7nxi0UXihzEUoIaU9Mku,Angels Bowling,https://open.spotify.com/album/18IQDpZlz1jlYmnKy3graV,Darryl Rahn,https://open.spotify.com/artist/2eogPRB3PTDU7KOd99s4UA,2023-02-23,138673,2023-02-24,indie tunes with country experimentation featuring music from Frog 🌟🌟🌟,Indie Twang
another sublet,https://open.spotify.com/track/5QXO4uPk1FdznZEGqTJsLb,another sublet,https://open.spotify.com/album/3j4TeXExZfONFBsnukEMuG,Runnner,https://open.spotify.com/artist/7adlRX57hqe6Pc4YHrSGG0,2023-12-08,182720,2023-02-24,indie tunes with country experimentation featuring music from Frog 🌟🌟🌟,Indie Twang
Ashes,https://open.spotify.com/track/0OVAeW31O5lvcjtfTLIGrK,Ashes,https://open.spotify.com/album/5QWoRFLjMx1SwW4fJaGoCT,Kelley McRae,https://open.spotify.com/artist/5jisWKblA5tIYYDLfTOKle,2023-03-24,240707,2023-02-24,indie tunes with country experimentation featuring music from Frog 🌟🌟🌟,Indie Twang
Astronaut,https://open.spotify.com/track/39XuhccP5xec13dC02yIS0,Astronaut,https://open.spotify.com/album/2otQW146DtK0V0TiOVe83O,Katie Toupin,https://open.spotify.com/artist/3tUGR3ozsws0k6X36EX6UH,2023-02-23,202966,2023-02-24,indie tunes with country experimentation featuring music from Frog 🌟🌟🌟,Indie Twang
Away From The Castle,https://open.spotify.com/track/0lQd2j6DVcXvRFRsat7Cwz,Away From The Castle,https://open.spotify.com/album/4oEso7P9WBi868KZPWpJAg,Video Age,https://open.spotify.com/artist/4aTQ05Ddh21E2CJFSZy7ZW,2023-08-11,222908,2023-02-24,indie tunes with country experimentation featuring music from Frog 🌟🌟🌟,Indie Twang
Away From The Castle,https://open.spotify.com/track/73oTXbmbelMf3lVJBuLlf7,Away From The Castle,https://open.spotify.com/album/2QbX68So8TZjAmUzpvmt6R,Video Age,https://open.spotify.com/artist/4aTQ05Ddh21E2CJFSZy7ZW,2023-10-27,222908,2023-02-24,indie tunes with country experimentation featuring music from Frog 🌟🌟🌟,Indie Twang
Baby I Love You,https://open.spotify.com/track/0OZUOHveCKcJ0QDDA5NAfP,Baby I Love You,https://open.spotify.com/album/0x1A7vjuUSkQUqMd0ziPrr,flora cash,https://open.spotify.com/artist/6GpcBKNmZDIrRzYkPJu7Wd,2024-02-02,225372,2023-02-24,indie tunes with country experimentation featuring music from Frog 🌟🌟🌟,Indie Twang
Backyard Lover,https://open.spotify.com/track/4WWfv1skKJIFfIQ8nMrdPz,Backyard Lover,https://open.spotify.com/album/3sp3hZrdzuJhePyY76mlAg,Merce Lemon,https://open.spotify.com/artist/4u2LxHDBsFDH3J9NumXSCH,2024-07-12,328348,2023-02-24,indie tunes with country experimentation featuring music from Frog 🌟🌟🌟,Indie Twang
Bad Luck Bad Habit,https://open.spotify.com/track/0o394lDZL07bwAv8K11yDj,Bad Luck Bad Habit,https://open.spotify.com/album/2K0GCEkTtUgBXWk1KGyzeA,Alycia Lang,https://open.spotify.com/artist/7tjNex1evNPneJtpH3Lps8,2024-02-23,210256,2023-02-24,indie tunes with country experimentation featuring music from Frog 🌟🌟🌟,Indie Twang
Ballad of the Texas King,https://open.spotify.com/track/3Lm2Em6yWbpOVEX8WDJ92j,Cut Worms,https://open.spotify.com/album/2RcDC3U0dfYCrniJkBbtE2,Cut Worms,https://open.spotify.com/artist/2upjmNmngAXZcra9dQRR2l,2023-07-28,183030,2023-02-24,indie tunes with country experimentation featuring music from Frog 🌟🌟🌟,Indie Twang
Beige,https://open.spotify.com/track/0FfZudphGgQTGeEV6AhmOs,Goodpain,https://open.spotify.com/album/0tg6msTvhHx8glztrBii80,Yoke Lore,https://open.spotify.com/artist/7FU0xCgmSYQEiBeevUqQ4S,2024-04-14,204208,2023-02-24,indie tunes with country experimentation featuring music from Frog 🌟🌟🌟,Indie Twang
Beige,https://open.spotify.com/track/7uYQELhe7g6QLIzZDOlhbW,Goodpain,https://open.spotify.com/album/7soDnur2TfBoEJETTCws91,Yoke Lore,https://open.spotify.com/artist/7FU0xCgmSYQEiBeevUqQ4S,2023-02-23,204208,2023-02-24,indie tunes with country experimentation featuring music from Frog 🌟🌟🌟,Indie Twang
Besties,https://open.spotify.com/track/5Rb1SPunxB1aKDfaYQLwI7,Besties,https://open.spotify.com/album/4vzxEXWrTCI4AZQJ3x8gy1,"Black Country, New Road",https://open.spotify.com/artist/3PP6ghmOlDl2jaKaH0avUN,2025-01-31,216757,2023-02-24,indie tunes with country experimentation featuring music from Frog 🌟🌟🌟,Indie Twang
Better Friends,https://open.spotify.com/track/2oxPRS0DjGNecUpumDubt8,Thread,https://open.spotify.com/album/4ngbnWenF6xcw6gtZzGOFH,Bedroom,https://open.spotify.com/artist/7COP1HCvVq1cIpZcLQYoNe,2023-04-28,286535,2023-02-24,indie tunes with country experimentation featuring music from Frog 🌟🌟🌟,Indie Twang
Better Friends,https://open.spotify.com/track/5aH2jkj6VAeuoFfAxdDFo7,Better Friends,https://open.spotify.com/album/1xAaeRGN7LploVcEwBR6TW,Bedroom,https://open.spotify.com/artist/7COP1HCvVq1cIpZcLQYoNe,2023-03-17,286535,2023-02-24,indie tunes with country experimentation featuring music from Frog 🌟🌟🌟,Indie Twang
