track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
AFFETMEM,https://open.spotify.com/track/3WCrBnWabeuTk2wr6UwaYV,AFFETMEM,https://open.spotify.com/album/0vbSMu4srfpPlajCl3bWcg,BLOK3,https://open.spotify.com/artist/1GMwSpFzrLd12jUX15bHB6,2023-11-29,182117,2024-07-02,"Bu yıl yıldızı parlayanlar, editörlerimizin seçkisiyle. Kapak: M Lisa",Yılın Çıkışları 2024
Anlamazsın,https://open.spotify.com/track/7gmPl6nVQMF2BXSvqnQ8jl,Anlamazsın,https://open.spotify.com/album/411o74FUmvbK83Xz3oFKzP,Oktay Kaya,https://open.spotify.com/artist/1IzCD2oRv26GGAFle2tTg7,2023-11-29,196800,2024-07-02,"Bu yıl yıldızı parlayanlar, editörlerimizin seçkisiyle. Kapak: M Lisa",Yılın Çıkışları 2024
Ara Sıcak,https://open.spotify.com/track/7tdqNYEPYjv2oSL3EKB8Vu,Ara Sıcak,https://open.spotify.com/album/3ymtkW72HtG3DoRJm4rD1c,Baran Mengüç,https://open.spotify.com/artist/07eEGn8bSAJF9sUqeTtAmN,2024-12-04,216472,2024-07-02,"Bu yıl yıldızı parlayanlar, editörlerimizin seçkisiyle. Kapak: M Lisa",Yılın Çıkışları 2024
ARABA,https://open.spotify.com/track/5tjWDHOCqsbKPuiivil0BM,ARABA,https://open.spotify.com/album/6qk5ajwfXB8QplASyF7lXH,M Lisa,https://open.spotify.com/artist/7CLojerj7StFcAX03tA8Pc,2024-12-04,133333,2024-07-02,"Bu yıl yıldızı parlayanlar, editörlerimizin seçkisiyle. Kapak: M Lisa",Yılın Çıkışları 2024
arada bi bak,https://open.spotify.com/track/693aOCxgupWwDOwwzu4P1V,arada bi bak,https://open.spotify.com/album/04XGVK9ZLAUuL0nY0SgWOX,Berrin Keklikler,https://open.spotify.com/artist/64Cq76lbrG6XZOZPo5Giwl,2024-12-04,171572,2024-07-02,"Bu yıl yıldızı parlayanlar, editörlerimizin seçkisiyle. Kapak: M Lisa",Yılın Çıkışları 2024
Artık Aşk Yok,https://open.spotify.com/track/6CMx9eDNa5EZit5z43cR02,Artık Aşk Yok,https://open.spotify.com/album/1vsMcOnfVAhwHjJWhQTmOt,Pote,https://open.spotify.com/artist/3An8TOx1mvz4SViPhsGSUB,2023-11-29,119513,2024-07-02,"Bu yıl yıldızı parlayanlar, editörlerimizin seçkisiyle. Kapak: M Lisa",Yılın Çıkışları 2024
Ateşe Düştüm,https://open.spotify.com/track/3auN910HHNYykQo8i9q5J1,Ateşe Düştüm,https://open.spotify.com/album/1lvm6v5QA0VkNPw58h8Ezi,Mert Demir,https://open.spotify.com/artist/1Zj4GtouAnxHq4qw7ooLfm,2023-11-29,230161,2024-07-02,"Bu yıl yıldızı parlayanlar, editörlerimizin seçkisiyle. Kapak: M Lisa",Yılın Çıkışları 2024
Bağımlıyım Tenine,https://open.spotify.com/track/31kOqM6XzCyKXMxYnhIDF9,Bağımlıyım Tenine,https://open.spotify.com/album/4Muz2oRuw0rh2j0yobqZ6L,Ceren Sagu,https://open.spotify.com/artist/4F85cxjAmlT0r7DZKu3ABX,2024-12-04,127605,2024-07-02,"Bu yıl yıldızı parlayanlar, editörlerimizin seçkisiyle. Kapak: M Lisa",Yılın Çıkışları 2024
BELLYDANCING,https://open.spotify.com/track/74HBdKMibHlpW312HTFReN,BELLYDANCING,https://open.spotify.com/album/6D1c9gOUIaHAdY9ixKx47n,INJI,https://open.spotify.com/artist/0Z4Ir8usNVcAdCSQl0fQki,2023-11-29,122520,2024-07-02,"Bu yıl yıldızı parlayanlar, editörlerimizin seçkisiyle. Kapak: M Lisa",Yılın Çıkışları 2024
Ben Değilim,https://open.spotify.com/track/4Fcoc1T0sMSATaxoidF4ei,Ben Değilim,https://open.spotify.com/album/7sJGFksC9dYJlNG2wELOjt,Mela Bedel,https://open.spotify.com/artist/55WpZ8ig2SFNvQpDHPUrgY,2024-12-04,222613,2024-07-02,"Bu yıl yıldızı parlayanlar, editörlerimizin seçkisiyle. Kapak: M Lisa",Yılın Çıkışları 2024
