track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
19 Somethin' - Greatest Hits Version,https://open.spotify.com/track/0ElpjZyX8YBiXuYcDC1Ci9,Greatest Hits,https://open.spotify.com/album/5HvSGPXR4k3PHspJrJTIqw,Mark Wills,https://open.spotify.com/artist/0dlwjJe4kg9TgOMN184bJF,2019-08-15,200466,2022-01-02,A compilation of the all-time biggest hits in Country Music. Cover: Dolly Parton,Country's Greatest Hits
9 to 5,https://open.spotify.com/track/4w3tQBXhn5345eUXDGBWZG,9 To 5 And Odd Jobs,https://open.spotify.com/album/64Ky1tqKPfwxhJs6msphWd,Dolly Parton,https://open.spotify.com/artist/32vWCbZh0xZ4o9gkz4PsEU,2023-02-14,162466,2022-01-02,A compilation of the all-time biggest hits in Country Music. Cover: Dolly Parton,Country's Greatest Hits
"A Good Hearted Woman - Live at Western Place, Dallas, Texas - September 25, 1974",https://open.spotify.com/track/1B3wswoDyVdEbWO9lmEzSk,Greatest Hits,https://open.spotify.com/album/5Fx4B1UYRtbc3sbhca9OZo,"Waylon Jennings, Willie Nelson","https://open.spotify.com/artist/7wCjDgV6nqBsHguQXPAaIM, https://open.spotify.com/artist/5W5bDNCqJ1jbCgTxDD0Cb3",2019-08-15,178600,2022-01-02,A compilation of the all-time biggest hits in Country Music. Cover: Dolly Parton,Country's Greatest Hits
Achy Breaky Heart,https://open.spotify.com/track/2EoIt9vdgFRNW03u5IvFsQ,Some Gave All,https://open.spotify.com/album/2Rh2JyaBjJwPMFR9Dl60nV,Billy Ray Cyrus,https://open.spotify.com/artist/60rpJ9SgigSd16DOAG7GSa,2019-08-15,203373,2022-01-02,A compilation of the all-time biggest hits in Country Music. Cover: Dolly Parton,Country's Greatest Hits
Act Naturally,https://open.spotify.com/track/762yvPz59OMgb7gGLws6Vi,"All-Time Greatest Hits, Vol. 1",https://open.spotify.com/album/38YMI8jMA7RotlUBZJNtcs,Buck Owens,https://open.spotify.com/artist/2FMZn5P3WATd7Il6FgPJNu,2023-02-14,143306,2022-01-02,A compilation of the all-time biggest hits in Country Music. Cover: Dolly Parton,Country's Greatest Hits
Act Naturally,https://open.spotify.com/track/3JWEMzwpcWCvu4Qw1BIbYi,All-Time Greatest Hits,https://open.spotify.com/album/6c31q0EiGPqzNVDKfQzyzt,Buck Owens,https://open.spotify.com/artist/2FMZn5P3WATd7Il6FgPJNu,2019-08-15,143693,2022-01-02,A compilation of the all-time biggest hits in Country Music. Cover: Dolly Parton,Country's Greatest Hits
Ain't Nothing 'Bout You,https://open.spotify.com/track/6CkydK3NOAMScIhViRzXoB,#1s ... and then some,https://open.spotify.com/album/1ZXM9jY3Bsg12KXgwftBrO,Brooks & Dunn,https://open.spotify.com/artist/0XKOBt59crntr7HQXXO8Yz,2019-08-15,199413,2022-01-02,A compilation of the all-time biggest hits in Country Music. Cover: Dolly Parton,Country's Greatest Hits
All the Gold In California,https://open.spotify.com/track/6yLDMogQVRdVmwlh8uw526,Straight Ahead (Expanded Edition),https://open.spotify.com/album/1XNfE0t3kM8zV4XVqPDHNQ,Larry Gatlin & The Gatlin Brothers,https://open.spotify.com/artist/0KzlJXg6A3NVSCkRjecKnS,2019-08-15,157533,2022-01-02,A compilation of the all-time biggest hits in Country Music. Cover: Dolly Parton,Country's Greatest Hits
Amazed,https://open.spotify.com/track/6iNcyWk5iUEY7P9zeTc5hm,Playlist: The Very Best Of Lonestar,https://open.spotify.com/album/6FoiXUlfC8amjO8yqmYZM5,Lonestar,https://open.spotify.com/artist/3qbnxnvUqR14MJ9g8QwZJK,2019-08-15,239986,2022-01-02,A compilation of the all-time biggest hits in Country Music. Cover: Dolly Parton,Country's Greatest Hits
American Kids,https://open.spotify.com/track/1dgWTMoHwTUnQhOQ8SR5fV,The Big Revival,https://open.spotify.com/album/2R5PAxygJ4YeRuSwoalKam,Kenny Chesney,https://open.spotify.com/artist/3grHWM9bx2E9vwJCdlRv9O,2019-08-15,182960,2022-01-02,A compilation of the all-time biggest hits in Country Music. Cover: Dolly Parton,Country's Greatest Hits
