track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
10 разів,https://open.spotify.com/track/4dAuvPHdQazF5XfO4KRWuC,10 разів,https://open.spotify.com/album/1j6iDmoFGrP1GYt6z68dQM,temstime,https://open.spotify.com/artist/2EKtYTgQP4Lu1PFE6yzEUi,2024-09-13,128727,2024-07-02,Актуальні хіти та проривні новинки незалежної місцевої музики. Обкладинка: Лівінстон,інді
18,https://open.spotify.com/track/5x6VqIJDnLWPw1cK4TAHZb,18,https://open.spotify.com/album/3VmQF84374S6TgqE5ZTJ8J,ESELISHA,https://open.spotify.com/artist/5bNRVyulb3jLRbGj5zfRHE,2024-09-13,161685,2024-07-02,Актуальні хіти та проривні новинки незалежної місцевої музики. Обкладинка: Лівінстон,інді
7.62 мм,https://open.spotify.com/track/3tzOlbflkkp35cndRVdGho,7.62 мм,https://open.spotify.com/album/3NCblVp7Ul5wKjHj0fNldl,dity inzheneriv,https://open.spotify.com/artist/3MtohoQqvZFtmRTwzp0xSH,2024-06-27,195622,2024-07-02,Актуальні хіти та проривні новинки незалежної місцевої музики. Обкладинка: Лівінстон,інді
Bird of Pray,https://open.spotify.com/track/0YM3CotMLnoTBVwMCJzYeV,Bird of Pray,https://open.spotify.com/album/2zFjd5mjFDv6LKG1wpV9rM,Ziferblat,https://open.spotify.com/artist/1PYz5uoK1NSdWERupvt8BR,2025-01-24,179000,2024-07-02,Актуальні хіти та проривні новинки незалежної місцевої музики. Обкладинка: Лівінстон,інді
BLACKOUT,https://open.spotify.com/track/6RUESkzMM2mEtWNSZ6IDFS,BLACKOUT,https://open.spotify.com/album/7s5BkwEVarOEvg1Dw5g6sV,"NAHABA, SARCOMA HORROR","https://open.spotify.com/artist/04tU9FZKM1yztRPdLV7Wbm, https://open.spotify.com/artist/1DH5gB0AVs87Vg3webgJAV",2025-01-24,222439,2024-07-02,Актуальні хіти та проривні новинки незалежної місцевої музики. Обкладинка: Лівінстон,інді
Bohun,https://open.spotify.com/track/2XRpoAViyPcNdpcsdwkXi3,Bohun,https://open.spotify.com/album/5NkvD6R19ar48gZgFAPMx7,LATEXFAUNA,https://open.spotify.com/artist/23z16jDNwdZLV9fvE7KliP,2024-06-27,203125,2024-07-02,Актуальні хіти та проривні новинки незалежної місцевої музики. Обкладинка: Лівінстон,інді
Chill,https://open.spotify.com/track/2yzsXXNRknOFyQErVLduvn,Errors,https://open.spotify.com/album/5zZIX2DNs2XRpthIiPmqw9,"Entely, Keay","https://open.spotify.com/artist/5cFCsmewxHM5wQb55vhqTS, https://open.spotify.com/artist/2HLvWnuUDbB4wNQaLLwbud",2025-01-02,202466,2024-07-02,Актуальні хіти та проривні новинки незалежної місцевої музики. Обкладинка: Лівінстон,інді
Dobroho ranku,https://open.spotify.com/track/2xfA5qFr0hbd1cXnNhwNUu,Dobroho ranku,https://open.spotify.com/album/47n464V7jEcpdMw4GWREB1,Zbaraski,https://open.spotify.com/artist/6EOVp4jyP5ovNOhqtJu7Eg,2024-07-12,158010,2024-07-02,Актуальні хіти та проривні новинки незалежної місцевої музики. Обкладинка: Лівінстон,інді
Dopamine,https://open.spotify.com/track/32HdzDi2uXk2F2kMVM3GdZ,Dopamine,https://open.spotify.com/album/34z8xW6RkytWeiUVbdsPIV,"Entely, Keay","https://open.spotify.com/artist/5cFCsmewxHM5wQb55vhqTS, https://open.spotify.com/artist/2HLvWnuUDbB4wNQaLLwbud",2024-12-06,189230,2024-07-02,Актуальні хіти та проривні новинки незалежної місцевої музики. Обкладинка: Лівінстон,інді
DVD,https://open.spotify.com/track/5DOUS7y3JEvH5w7ZPlZU6m,DVD,https://open.spotify.com/album/5o5bCyWIsXJoKZSUiucJi6,Shmiska,https://open.spotify.com/artist/0896FugzPOpBDwYEfhMAVY,2025-01-02,166317,2024-07-02,Актуальні хіти та проривні новинки незалежної місцевої музики. Обкладинка: Лівінстон,інді
Evidence,https://open.spotify.com/track/0lgw3WqZTvPxF0SD6qLy2Y,Evidence,https://open.spotify.com/album/3wbVUd1XQVEBnwoDyqgV2l,Aircraft,https://open.spotify.com/artist/6lXlMyoAYN845deOonN7Q0,2024-10-18,309802,2024-07-02,Актуальні хіти та проривні новинки незалежної місцевої музики. Обкладинка: Лівінстон,інді
GLASSS,https://open.spotify.com/track/30SrM2TjL9vyUFt6WqoBj6,GLASSS,https://open.spotify.com/album/42Z92EsFfUt3t50KYWiOBn,NAHABA,https://open.spotify.com/artist/04tU9FZKM1yztRPdLV7Wbm,2024-06-27,174720,2024-07-02,Актуальні хіти та проривні новинки незалежної місцевої музики. Обкладинка: Лівінстон,інді
Hitaus,https://open.spotify.com/track/2oYJHfK9hEjXYfoWSshNao,Mene hitae,https://open.spotify.com/album/2T4nDwOEjtQhbAUjjUFtOG,Zbaraski,https://open.spotify.com/artist/6EOVp4jyP5ovNOhqtJu7Eg,2024-07-26,195308,2024-07-02,Актуальні хіти та проривні новинки незалежної місцевої музики. Обкладинка: Лівінстон,інді
Illuminate,https://open.spotify.com/track/33j9HQeIEVzo1oCxQC4yN4,Illuminate,https://open.spotify.com/album/0vbAYgA0e7WagOOzvB2KXd,"Entely, Keay","https://open.spotify.com/artist/5cFCsmewxHM5wQb55vhqTS, https://open.spotify.com/artist/2HLvWnuUDbB4wNQaLLwbud",2024-11-07,275555,2024-07-02,Актуальні хіти та проривні новинки незалежної місцевої музики. Обкладинка: Лівінстон,інді
la puta,https://open.spotify.com/track/2xj1W14h3B8lbAnvg8HKFU,la puta,https://open.spotify.com/album/3IDcvx5t8DNHDgEI2aNM0y,The Curly,https://open.spotify.com/artist/1JK4hfx5B8oTtjsfYgaOeD,2024-12-06,113000,2024-07-02,Актуальні хіти та проривні новинки незалежної місцевої музики. Обкладинка: Лівінстон,інді
Love is,https://open.spotify.com/track/6Fz9RGmLKm3WkQ0eNaWva5,Love is,https://open.spotify.com/album/70vlYc51NI1SMVxfNY634Q,Денис Бойко,https://open.spotify.com/artist/6WeOuFNrKka0uJRcCaJiIc,2024-06-27,177600,2024-07-02,Актуальні хіти та проривні новинки незалежної місцевої музики. Обкладинка: Лівінстон,інді
Lucerna,https://open.spotify.com/track/27b7hrOY8fkjVom9DGyXO8,Lucerna,https://open.spotify.com/album/19yBWt7K3v0P5Oox896P3X,LATEXFAUNA,https://open.spotify.com/artist/23z16jDNwdZLV9fvE7KliP,2024-10-09,376000,2024-07-02,Актуальні хіти та проривні новинки незалежної місцевої музики. Обкладинка: Лівінстон,інді
