track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
$WING,https://open.spotify.com/track/79yXiVM8QbotM46zcevzUO,$WING,https://open.spotify.com/album/24nqMPW9CLAZj0rIZL2tB7,FEVER 333,https://open.spotify.com/artist/1B0155rdv175D1tQ8VH7Oy,2024-04-16,172353,2021-12-30,Need to get your energy level up? This will help!,Energy Booster Rock
(I Can't Get No) Satisfaction - Mono Version,https://open.spotify.com/track/2PzU4IB8Dr6mxV3lHuaG34,Out Of Our Heads,https://open.spotify.com/album/2Q5MwpTmtjscaS34mJFXQQ,The Rolling Stones,https://open.spotify.com/artist/22bE4uQ6baNwSHPVcDxLCe,2021-12-16,222813,2021-12-30,Need to get your energy level up? This will help!,Energy Booster Rock
11:11,https://open.spotify.com/track/3HtazJXet39mz8SqZwm5NP,Eleven Eleven,https://open.spotify.com/album/4ojK5MjWXa8blo3bAyOVbJ,Dinosaur Pile-Up,https://open.spotify.com/artist/4MQsNhP9u10g1xuxaJBF0S,2023-07-23,244677,2021-12-30,Need to get your energy level up? This will help!,Energy Booster Rock
3's & 7's,https://open.spotify.com/track/44JEbGi3NxptsEuxDNGiAR,Era Vulgaris,https://open.spotify.com/album/1w71aBHYJ1zTOsSsmr2Fca,Queens of the Stone Age,https://open.spotify.com/artist/4pejUc4iciQfgdX6OKulQn,2024-01-23,214066,2021-12-30,Need to get your energy level up? This will help!,Energy Booster Rock
3's & 7's,https://open.spotify.com/track/63wsuMhok6GgcBRd2strGk,Era Vulgaris,https://open.spotify.com/album/64SL0QEXxulD2QgwJmJbUL,Queens of the Stone Age,https://open.spotify.com/artist/4pejUc4iciQfgdX6OKulQn,2023-09-24,214066,2021-12-30,Need to get your energy level up? This will help!,Energy Booster Rock
99 Red Balloons,https://open.spotify.com/track/0rOTMSSa6yscfOrGnzfheM,Stomping Ground,https://open.spotify.com/album/3T8jR4mkcdaLCsyaP8nQ1r,Goldfinger,https://open.spotify.com/artist/7sVQKNtdP2NylxMgbNOJMM,2021-12-16,229173,2021-12-30,Need to get your energy level up? This will help!,Energy Booster Rock
A Warrior's Call,https://open.spotify.com/track/5mNbJIYaKkphf5WqwhXhva,Beyond Hell / Above Heaven,https://open.spotify.com/album/2gBziT8McYGmC7Vzf4BsK9,Volbeat,https://open.spotify.com/artist/0L5fC7Ogm2YwgqVCRcF1bT,2021-12-16,263080,2021-12-30,Need to get your energy level up? This will help!,Energy Booster Rock
abcdefu (angrier),https://open.spotify.com/track/1EQFOouqdKYdpbNoOHRVO2,abcdefu (angrier),https://open.spotify.com/album/23M1xUF2RoRSvXtpwQP4rJ,GAYLE,https://open.spotify.com/artist/2VSHKHBTiXWplO8lxcnUC9,2023-01-31,159836,2021-12-30,Need to get your energy level up? This will help!,Energy Booster Rock
Absolute Zero,https://open.spotify.com/track/14EORgkbXqIx5K4Haucmnb,"House of Gold & Bones, Part 1",https://open.spotify.com/album/2nCHgPLLyIgxFKUBYuMKPn,Stone Sour,https://open.spotify.com/artist/49qiE8dj4JuNdpYGRPdKbF,2021-12-16,229840,2021-12-30,Need to get your energy level up? This will help!,Energy Booster Rock
Alcohol,https://open.spotify.com/track/5B0cWUeFpYUGP50B7iGrHE,Alcohol,https://open.spotify.com/album/7njC1QirOre5gVQomwx1j9,Lazy Queen,https://open.spotify.com/artist/1U9zqBUEcScanms647YanK,2022-03-24,221720,2021-12-30,Need to get your energy level up? This will help!,Energy Booster Rock
Alive,https://open.spotify.com/track/1L94M3KIu7QluZe63g64rv,Ten,https://open.spotify.com/album/5B4PYA7wNN4WdEXdIJu58a,Pearl Jam,https://open.spotify.com/artist/1w5Kfo2jwwIPruYS2UWh56,2021-12-16,340907,2021-12-30,Need to get your energy level up? This will help!,Energy Booster Rock
