track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
1.3 - Original Mix,https://open.spotify.com/track/76CwcDRccDzNjrBJLkuDsY,Deception EP,https://open.spotify.com/album/5odEuc1NfixSZpdlC5Wt7w,Vågh,https://open.spotify.com/artist/4CCDoIlomaVNquOackuAtd,2021-09-16,355117,2021-12-28,"<a href=""spotify:artist:6TshTCYwh9ySzOO6Jy4Ux2""> Maya Jane Coles</a>' favorite tracks. Updated regularly. Curated by Maya Jane Coles Discover more track IDs playlists <a href=""spotify:genre:track_id"">here</a>.",Maya Jane Coles' track IDs
11.44 (AM Version),https://open.spotify.com/track/1CVPBzdKl1bJ9zDZbkCNpw,Woman-Hood Chapter 1 EP,https://open.spotify.com/album/1ZdVzluYo79Nd2mE7W4z1s,Lyric,https://open.spotify.com/artist/4YOr4jXlrBof5DTU1KDafk,2022-07-29,212082,2021-12-28,"<a href=""spotify:artist:6TshTCYwh9ySzOO6Jy4Ux2""> Maya Jane Coles</a>' favorite tracks. Updated regularly. Curated by Maya Jane Coles Discover more track IDs playlists <a href=""spotify:genre:track_id"">here</a>.",Maya Jane Coles' track IDs
Ancestors,https://open.spotify.com/track/4M4pvnVwdpQnd7wPIQI3h4,A Sufi And A Killer,https://open.spotify.com/album/3FfW96Pt3UxQlchDVhkaFi,Gonjasufi,https://open.spotify.com/artist/6pdYN3jOHWteVALy9sKGEf,2022-07-29,156586,2021-12-28,"<a href=""spotify:artist:6TshTCYwh9ySzOO6Jy4Ux2""> Maya Jane Coles</a>' favorite tracks. Updated regularly. Curated by Maya Jane Coles Discover more track IDs playlists <a href=""spotify:genre:track_id"">here</a>.",Maya Jane Coles' track IDs
Ancestors,https://open.spotify.com/track/025iViTyEpPYeaF4eWm20O,Warp Records Sampler 2010,https://open.spotify.com/album/3g3Z2HbOvMoGlG9r3KxyBy,Gonjasufi,https://open.spotify.com/artist/6pdYN3jOHWteVALy9sKGEf,2022-07-29,157466,2021-12-28,"<a href=""spotify:artist:6TshTCYwh9ySzOO6Jy4Ux2""> Maya Jane Coles</a>' favorite tracks. Updated regularly. Curated by Maya Jane Coles Discover more track IDs playlists <a href=""spotify:genre:track_id"">here</a>.",Maya Jane Coles' track IDs
Ancestors,https://open.spotify.com/track/1eYsvMckAi04KcmRBvbtV2,A Sufi And A Killer (Bonus Track Version),https://open.spotify.com/album/01L5H2Xyj7K43SeJSY2s4y,Gonjasufi,https://open.spotify.com/artist/6pdYN3jOHWteVALy9sKGEf,2022-07-29,157466,2021-12-28,"<a href=""spotify:artist:6TshTCYwh9ySzOO6Jy4Ux2""> Maya Jane Coles</a>' favorite tracks. Updated regularly. Curated by Maya Jane Coles Discover more track IDs playlists <a href=""spotify:genre:track_id"">here</a>.",Maya Jane Coles' track IDs
Annihilate The World & Start All Over,https://open.spotify.com/track/6B1Wi5Cu0V8dSlsu1o4i3T,Annihilate The World & Start All Over,https://open.spotify.com/album/1IvuaFYrXMgYehTdCuJUkj,Paranoid London,https://open.spotify.com/artist/0KyUH5WmspOhuIQAnw42Fb,2021-09-16,494254,2021-12-28,"<a href=""spotify:artist:6TshTCYwh9ySzOO6Jy4Ux2""> Maya Jane Coles</a>' favorite tracks. Updated regularly. Curated by Maya Jane Coles Discover more track IDs playlists <a href=""spotify:genre:track_id"">here</a>.",Maya Jane Coles' track IDs
Atonia,https://open.spotify.com/track/4r8QRUSkgtoBQYRjhRX2Me,Traumatismo 12,https://open.spotify.com/album/3TeCrp9S0gE3MB19c8MT7D,Arkan,https://open.spotify.com/artist/2cr1yLhEpDBjgc7o4dn2vH,2021-09-16,335293,2021-12-28,"<a href=""spotify:artist:6TshTCYwh9ySzOO6Jy4Ux2""> Maya Jane Coles</a>' favorite tracks. Updated regularly. Curated by Maya Jane Coles Discover more track IDs playlists <a href=""spotify:genre:track_id"">here</a>.",Maya Jane Coles' track IDs
Axe Nord-Sud,https://open.spotify.com/track/1HsMIxRWkaae0ju7JIEGxh,Territory III,https://open.spotify.com/album/1VE2bwwZHlkMUdTOScdIMg,Ténèbre,https://open.spotify.com/artist/6vzW5RpSfm0rFhNouR5J3E,2021-09-16,335714,2021-12-28,"<a href=""spotify:artist:6TshTCYwh9ySzOO6Jy4Ux2""> Maya Jane Coles</a>' favorite tracks. Updated regularly. Curated by Maya Jane Coles Discover more track IDs playlists <a href=""spotify:genre:track_id"">here</a>.",Maya Jane Coles' track IDs
Babylon a Burn - Jake Robertz Remix,https://open.spotify.com/track/0XiVeTc9Q4AONIkE916xMA,Worlds Collide Remixed,https://open.spotify.com/album/5wCom3NrqRHnWSidPku2Zz,"Aftrlyfe, Rider Shafique, Jake Robertz","https://open.spotify.com/artist/7mbw58Fb9n2Ng9v0F3gE6E, https://open.spotify.com/artist/3Q0LSoV64A2FTwAFCzyDyq, https://open.spotify.com/artist/3ZXVfURG8LY8OX4lY4SYhG",2021-09-16,186000,2021-12-28,"<a href=""spotify:artist:6TshTCYwh9ySzOO6Jy4Ux2""> Maya Jane Coles</a>' favorite tracks. Updated regularly. Curated by Maya Jane Coles Discover more track IDs playlists <a href=""spotify:genre:track_id"">here</a>.",Maya Jane Coles' track IDs
Badlands,https://open.spotify.com/track/4GhHrgsaiQsuMQCHTGa87C,Badlands,https://open.spotify.com/album/1xYRPoZyZL4hCMJfKuViZO,Brennan Savage,https://open.spotify.com/artist/6SSmy635N3a4oWmPk85xpK,2022-07-29,106987,2021-12-28,"<a href=""spotify:artist:6TshTCYwh9ySzOO6Jy4Ux2""> Maya Jane Coles</a>' favorite tracks. Updated regularly. Curated by Maya Jane Coles Discover more track IDs playlists <a href=""spotify:genre:track_id"">here</a>.",Maya Jane Coles' track IDs
Badman,https://open.spotify.com/track/5NkbtBoUOsID3oD8EfqUZR,Still Life,https://open.spotify.com/album/1VJqseeHvHzPZInUpzxYoY,Instinct (UK),https://open.spotify.com/artist/2sl9ekjwH9yLHO9JLA7BVH,2021-09-16,331580,2021-12-28,"<a href=""spotify:artist:6TshTCYwh9ySzOO6Jy4Ux2""> Maya Jane Coles</a>' favorite tracks. Updated regularly. Curated by Maya Jane Coles Discover more track IDs playlists <a href=""spotify:genre:track_id"">here</a>.",Maya Jane Coles' track IDs
Blooming - Brame & Hamo Remix,https://open.spotify.com/track/0V0LuHEeOLczTGpPOJEVIO,Blooming EP,https://open.spotify.com/album/6irUDp1xFlAKOX9UHuEgwq,"Madben, Brame & Hamo","https://open.spotify.com/artist/1Ky9YENYbC5XUBRGLQUZBY, https://open.spotify.com/artist/0GH3NHvWddE49Egn2D5aRg",2021-09-16,341489,2021-12-28,"<a href=""spotify:artist:6TshTCYwh9ySzOO6Jy4Ux2""> Maya Jane Coles</a>' favorite tracks. Updated regularly. Curated by Maya Jane Coles Discover more track IDs playlists <a href=""spotify:genre:track_id"">here</a>.",Maya Jane Coles' track IDs
Cake a Blow,https://open.spotify.com/track/266O0ONX1Fl6Hx1DpND3sb,Cake a Blow,https://open.spotify.com/album/1zkQgRC0p1zhenbI2vt6UL,"Nikes, MoonDoctoR, FreshtillDef","https://open.spotify.com/artist/6QHax4rcnBPAAfj1n26YNQ, https://open.spotify.com/artist/5bVR7EKHmtLsjjE7MtCIm7, https://open.spotify.com/artist/503Cv0ES3BtLIqnp95So1N",2022-07-29,216000,2021-12-28,"<a href=""spotify:artist:6TshTCYwh9ySzOO6Jy4Ux2""> Maya Jane Coles</a>' favorite tracks. Updated regularly. Curated by Maya Jane Coles Discover more track IDs playlists <a href=""spotify:genre:track_id"">here</a>.",Maya Jane Coles' track IDs
Cake a Blow,https://open.spotify.com/track/5I3ArKM5WGXBEBQRIUayXx,Cake a Blow,https://open.spotify.com/album/1rNggyTs6elu8OIcwOE1hn,"Nikes, MoonDoctoR, FreshtillDef","https://open.spotify.com/artist/6QHax4rcnBPAAfj1n26YNQ, https://open.spotify.com/artist/5bVR7EKHmtLsjjE7MtCIm7, https://open.spotify.com/artist/503Cv0ES3BtLIqnp95So1N",2022-07-29,216000,2021-12-28,"<a href=""spotify:artist:6TshTCYwh9ySzOO6Jy4Ux2""> Maya Jane Coles</a>' favorite tracks. Updated regularly. Curated by Maya Jane Coles Discover more track IDs playlists <a href=""spotify:genre:track_id"">here</a>.",Maya Jane Coles' track IDs
Can’t Stand It,https://open.spotify.com/track/0YgkRyRI9TN0rKqwuWsrHK,Blast Off Through the Wicker,https://open.spotify.com/album/5nkVWnfrsHKXJSfqP9IGjI,Art Feynman,https://open.spotify.com/artist/6XlzzwOhKSberPLmwDEmkc,2022-07-29,341117,2021-12-28,"<a href=""spotify:artist:6TshTCYwh9ySzOO6Jy4Ux2""> Maya Jane Coles</a>' favorite tracks. Updated regularly. Curated by Maya Jane Coles Discover more track IDs playlists <a href=""spotify:genre:track_id"">here</a>.",Maya Jane Coles' track IDs
Celesta 33,https://open.spotify.com/track/5LiR4vN7hWQwv7OJKsfbj3,Klockworks 26,https://open.spotify.com/album/30AmILfevLO4r5k7HAIMP1,Stef Mendesidis,https://open.spotify.com/artist/0V2TzRR7BczSNMxDyCIL1J,2021-09-16,308235,2021-12-28,"<a href=""spotify:artist:6TshTCYwh9ySzOO6Jy4Ux2""> Maya Jane Coles</a>' favorite tracks. Updated regularly. Curated by Maya Jane Coles Discover more track IDs playlists <a href=""spotify:genre:track_id"">here</a>.",Maya Jane Coles' track IDs
Channeling Pain,https://open.spotify.com/track/0rdNHSO1pIkIZer895nvOm,No Justice No Peace,https://open.spotify.com/album/5oWXPHjjXF9OOZnWHyZOzJ,Octo Octa,https://open.spotify.com/artist/2GH8Mzo3Ur1AdOnGUUpt17,2021-09-16,350117,2021-12-28,"<a href=""spotify:artist:6TshTCYwh9ySzOO6Jy4Ux2""> Maya Jane Coles</a>' favorite tracks. Updated regularly. Curated by Maya Jane Coles Discover more track IDs playlists <a href=""spotify:genre:track_id"">here</a>.",Maya Jane Coles' track IDs
