track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"An Wasserflüssen Babylon, BWV 653b",https://open.spotify.com/track/0rM0wg4nLQdDmIk1WBdK1I,A Bach Notebook for Trumpet,https://open.spotify.com/album/3oyHLWOMoQwVzCxGGxfF0j,"Johann Sebastian Bach, Jonathan Freeman-Attwood, Daniel-Ben Pienaar","https://open.spotify.com/artist/5aIqB5nVVvmFsvSdExz408, https://open.spotify.com/artist/6QSDlKg81IXYYk42hBlYPF, https://open.spotify.com/artist/7iwR9G70t54peZ58sYF9CF",2021-11-10,201544,2021-12-21,"He perfected counterpoint, set the bar for cello suites, and absolutely loved a curly white wig: JS Bach played a huge part in shaping all the classical music we enjoy today. Discover why, right here.",This Is Bach
"An Wasserflüssen Babylon, BWV 653b",https://open.spotify.com/track/2TCo3RZZJlf6Cth4DRAiwx,A Bach Notebook for Trumpet,https://open.spotify.com/album/5PrYmZfoHjgI1ranj7Glh0,"Johann Sebastian Bach, Jonathan Freeman-Attwood, Daniel-Ben Pienaar","https://open.spotify.com/artist/5aIqB5nVVvmFsvSdExz408, https://open.spotify.com/artist/6QSDlKg81IXYYk42hBlYPF, https://open.spotify.com/artist/7iwR9G70t54peZ58sYF9CF",2022-07-01,201544,2021-12-21,"He perfected counterpoint, set the bar for cello suites, and absolutely loved a curly white wig: JS Bach played a huge part in shaping all the classical music we enjoy today. Discover why, right here.",This Is Bach
"Bach, JS / Orch. Marriner: Was mir behagt, ist nur die muntre Jagd, BWV 208 ""Jagdkantate"": IX. Aria. ""Schafe können sicher weiden""",https://open.spotify.com/track/2JOXTg7PdMetphuHjckQHI,The Best of the Academy,https://open.spotify.com/album/36WjHyPNQ0Itp7qlZ9KWkR,"Johann Sebastian Bach, Sir Neville Marriner, Academy of St. Martin in the Fields, Ian Watson","https://open.spotify.com/artist/5aIqB5nVVvmFsvSdExz408, https://open.spotify.com/artist/6NUhQz7eAEsZvjEHTKHux9, https://open.spotify.com/artist/77CaCn32H4mOMQA7UElzfF, https://open.spotify.com/artist/1YrW2DkwvE0TWg7sjvB9pF",2021-11-10,277440,2021-12-21,"He perfected counterpoint, set the bar for cello suites, and absolutely loved a curly white wig: JS Bach played a huge part in shaping all the classical music we enjoy today. Discover why, right here.",This Is Bach
"Bach, JS: Concerto for Four Pianos in A Minor, BWV 1065: I. Allegro",https://open.spotify.com/track/41xh0S7KvmpSeQq3jjWxIC,Bach: Keyboard Concertos,https://open.spotify.com/album/30Tv1tpCJciX7TAbdFyobi,"Johann Sebastian Bach, Alexandre Tharaud, Les Violons du Roy, Bernard Labadie","https://open.spotify.com/artist/5aIqB5nVVvmFsvSdExz408, https://open.spotify.com/artist/5HG9Eg7Ik8ZuNtMyGYTxLG, https://open.spotify.com/artist/0JjlFfPu43HSIHEUP3zKvP, https://open.spotify.com/artist/0z1Xm1EDwfBTBpsMQlBFOD",2021-11-10,226893,2021-12-21,"He perfected counterpoint, set the bar for cello suites, and absolutely loved a curly white wig: JS Bach played a huge part in shaping all the classical music we enjoy today. Discover why, right here.",This Is Bach
"Bach, JS: Concerto for Four Pianos in A Minor, BWV 1065: II. Largo",https://open.spotify.com/track/0VWoObL6qtPElJHIOygiym,Bach: Keyboard Concertos,https://open.spotify.com/album/30Tv1tpCJciX7TAbdFyobi,"Johann Sebastian Bach, Alexandre Tharaud, Bernard Labadie, Les Violins du Roy","https://open.spotify.com/artist/5aIqB5nVVvmFsvSdExz408, https://open.spotify.com/artist/5HG9Eg7Ik8ZuNtMyGYTxLG, https://open.spotify.com/artist/0z1Xm1EDwfBTBpsMQlBFOD, https://open.spotify.com/artist/2FW9YUjDeOjcN18L7g2ERn",2021-11-10,150893,2021-12-21,"He perfected counterpoint, set the bar for cello suites, and absolutely loved a curly white wig: JS Bach played a huge part in shaping all the classical music we enjoy today. Discover why, right here.",This Is Bach
"Bach, JS: Partita for Solo Violin No. 2 in D Minor, BWV 1004: V. Chaconne",https://open.spotify.com/track/5Z1kjTgKJVWvEizpZc3G1S,Bach: Solo Violin Sonatas,https://open.spotify.com/album/0knRC3vjeWfuxfQ2EHlKEj,"Johann Sebastian Bach, Itzhak Perlman","https://open.spotify.com/artist/5aIqB5nVVvmFsvSdExz408, https://open.spotify.com/artist/0hIG9FXgjQxT8fKaYceFbA",2021-11-10,946800,2021-12-21,"He perfected counterpoint, set the bar for cello suites, and absolutely loved a curly white wig: JS Bach played a huge part in shaping all the classical music we enjoy today. Discover why, right here.",This Is Bach
"Brandenburg Concerto No. 3 in G Major, BWV 1048: I. [Allegro]",https://open.spotify.com/track/4tXktBBrKGTebkYjvzFA3i,Bach: Six Concertos for the Margrave of Brandenburg,https://open.spotify.com/album/0ZWboVnn5YWjPEB79FCwWV,"Johann Sebastian Bach, Trevor Pinnock, European Brandenburg Ensemble","https://open.spotify.com/artist/5aIqB5nVVvmFsvSdExz408, https://open.spotify.com/artist/25mbgceDJKxXGP8c5FmC83, https://open.spotify.com/artist/2T2bi3cWva2cY4A3FMGVzZ",2021-11-10,332320,2021-12-21,"He perfected counterpoint, set the bar for cello suites, and absolutely loved a curly white wig: JS Bach played a huge part in shaping all the classical music we enjoy today. Discover why, right here.",This Is Bach
"Brandenburg Concerto No. 3 in G Major, BWV 1048: II. [Adagio]",https://open.spotify.com/track/1WElPRZWP8kDIQm2fY5dJu,Bach: Six Concertos for the Margrave of Brandenburg,https://open.spotify.com/album/0ZWboVnn5YWjPEB79FCwWV,"Johann Sebastian Bach, Trevor Pinnock, European Brandenburg Ensemble","https://open.spotify.com/artist/5aIqB5nVVvmFsvSdExz408, https://open.spotify.com/artist/25mbgceDJKxXGP8c5FmC83, https://open.spotify.com/artist/2T2bi3cWva2cY4A3FMGVzZ",2021-11-10,89960,2021-12-21,"He perfected counterpoint, set the bar for cello suites, and absolutely loved a curly white wig: JS Bach played a huge part in shaping all the classical music we enjoy today. Discover why, right here.",This Is Bach
"Brandenburg Concerto No. 4 in G Major, BWV 1049: I. Allegro",https://open.spotify.com/track/24UDkOLbWHqmjPgD1UJmyC,J. S. Bach: Brandenburg Concertos,https://open.spotify.com/album/7oGJFBRDBmwXfQXcJD6X15,"Johann Sebastian Bach, Freiburger Barockorchester","https://open.spotify.com/artist/5aIqB5nVVvmFsvSdExz408, https://open.spotify.com/artist/2fJKxKjBxD1X1NkkG78qai",2021-11-10,402226,2021-12-21,"He perfected counterpoint, set the bar for cello suites, and absolutely loved a curly white wig: JS Bach played a huge part in shaping all the classical music we enjoy today. Discover why, right here.",This Is Bach
"Brandenburg Concerto No. 4 in G Major, BWV 1049: II. Andante",https://open.spotify.com/track/6gi9UGQqI7ff5ABqz9fBEb,J. S. Bach: Brandenburg Concertos,https://open.spotify.com/album/7oGJFBRDBmwXfQXcJD6X15,"Johann Sebastian Bach, Freiburger Barockorchester","https://open.spotify.com/artist/5aIqB5nVVvmFsvSdExz408, https://open.spotify.com/artist/2fJKxKjBxD1X1NkkG78qai",2021-11-10,219946,2021-12-21,"He perfected counterpoint, set the bar for cello suites, and absolutely loved a curly white wig: JS Bach played a huge part in shaping all the classical music we enjoy today. Discover why, right here.",This Is Bach
