track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
All That You Are,https://open.spotify.com/track/6V7BW7mCfARAhKOlI4SkuM,Blue Hours,https://open.spotify.com/album/1tqkCIUs7aGktIJ2J5WKFz,Bear's Den,https://open.spotify.com/artist/0nJaMZM8paoA5HEUTUXPqi,2022-12-22,250760,2023-01-14,Rustig aan doen op zondag met deze zachte popliedjes.,Easy On Sunday
All That You Are,https://open.spotify.com/track/7G1EM2JFj32L6UBsPJrhoH,All That You Are,https://open.spotify.com/album/5QKtAAUxkQLhKT1hLX910o,Bear's Den,https://open.spotify.com/artist/0nJaMZM8paoA5HEUTUXPqi,2024-04-18,251271,2023-01-14,Rustig aan doen op zondag met deze zachte popliedjes.,Easy On Sunday
Alonica,https://open.spotify.com/track/02CUxAiWvvEq6pLItneLQ6,a beautiful blur,https://open.spotify.com/album/198gsVHJBnvsKSdLbucwVI,LANY,https://open.spotify.com/artist/49tQo2QULno7gxHutgccqF,2023-07-13,238346,2023-01-14,Rustig aan doen op zondag met deze zachte popliedjes.,Easy On Sunday
Alonica,https://open.spotify.com/track/1T2gpycmBlJ0RkTcIe7f26,Alonica,https://open.spotify.com/album/4CeQZSPYxRCFhibNMSXdwu,LANY,https://open.spotify.com/artist/49tQo2QULno7gxHutgccqF,2024-04-18,238346,2023-01-14,Rustig aan doen op zondag met deze zachte popliedjes.,Easy On Sunday
Alonica,https://open.spotify.com/track/3T3pJzBLz5TH7x1Fgdgkbp,Alonica,https://open.spotify.com/album/7owkJnuBJhDX0TwPFEEoYr,LANY,https://open.spotify.com/artist/49tQo2QULno7gxHutgccqF,2023-07-13,238346,2023-01-14,Rustig aan doen op zondag met deze zachte popliedjes.,Easy On Sunday
Always Waiting,https://open.spotify.com/track/4cLQpjdFdKjCuPf4crxuh1,Home Again,https://open.spotify.com/album/79VDAdjzMMGoftIbw5feYN,Michael Kiwanuka,https://open.spotify.com/artist/0bzfPKdbXL5ezYW2z3UGQj,2022-12-22,271026,2023-01-14,Rustig aan doen op zondag met deze zachte popliedjes.,Easy On Sunday
And So I Grow,https://open.spotify.com/track/6ODXo2jtBLbsVlnDFIVglV,And So I Grow,https://open.spotify.com/album/47dKXU9d4G8QbfcfKS8aHy,Eva Valery,https://open.spotify.com/artist/0K95TlYJ2SvJbL3CZ3ui3p,2023-12-28,218411,2023-01-14,Rustig aan doen op zondag met deze zachte popliedjes.,Easy On Sunday
And the Birds Sing,https://open.spotify.com/track/27IQtqCIy1KfK9TQGlG4jp,Metal & Wood,https://open.spotify.com/album/6FXR4DEIYONPfvnTAW1XJV,Tyrone Wells,https://open.spotify.com/artist/5zeCSgiRyezbfLiGOpKAsR,2022-12-22,222213,2023-01-14,Rustig aan doen op zondag met deze zachte popliedjes.,Easy On Sunday
Angel Child,https://open.spotify.com/track/13oIo7ceUwD6RCxPfGJyhX,Angel Child,https://open.spotify.com/album/6ecE7tM2AG6ZhVVzELMz8b,Douwe Bob,https://open.spotify.com/artist/6VSZeMeJlVPGoR2nfB6UxD,2025-01-25,220620,2023-01-14,Rustig aan doen op zondag met deze zachte popliedjes.,Easy On Sunday
Answer Phone,https://open.spotify.com/track/0vYNMCubrGX6XHpX0KrGOe,Answer Phone,https://open.spotify.com/album/64J78r5rx9qs9ZJZ4xSkBt,Tom Odell,https://open.spotify.com/artist/2txHhyCwHjUEpJjWrEyqyX,2023-12-15,160019,2023-01-14,Rustig aan doen op zondag met deze zachte popliedjes.,Easy On Sunday
Apricity,https://open.spotify.com/track/0FoYbh9V3vpHDk5CSBvXWv,Accidental Pictures,https://open.spotify.com/album/3fz3kqKLpDiVvJT3dzuTRK,Ruud Houweling,https://open.spotify.com/artist/2IONeTGcpMPwB3v6CCyLQ8,2024-02-09,165040,2023-01-14,Rustig aan doen op zondag met deze zachte popliedjes.,Easy On Sunday
April May July,https://open.spotify.com/track/3EgKkA6iQQuLPslOjBhCKy,April May July,https://open.spotify.com/album/3bMEZTYOu3CTfpKhAwMxOc,OSKA,https://open.spotify.com/artist/4aT85lix0NSNB6w9Ozzksq,2024-04-25,233893,2023-01-14,Rustig aan doen op zondag met deze zachte popliedjes.,Easy On Sunday
Autumn Love,https://open.spotify.com/track/236HZ8DhG7k0cXgem99oPP,Autumn Love,https://open.spotify.com/album/2aENqkLbaJgieNQX7fqDdl,Isaac Roux,https://open.spotify.com/artist/7tPhoEe9VD1m37VqUiC6hA,2023-12-14,198434,2023-01-14,Rustig aan doen op zondag met deze zachte popliedjes.,Easy On Sunday
Autumn Love,https://open.spotify.com/track/6iBI0LmXBzcexTweRPjkPP,Autumn Love,https://open.spotify.com/album/2NTUSfIlrjzhVvEoYb9BLK,Isaac Roux,https://open.spotify.com/artist/7tPhoEe9VD1m37VqUiC6hA,2024-02-15,198434,2023-01-14,Rustig aan doen op zondag met deze zachte popliedjes.,Easy On Sunday
Baby Blue - Acoustic,https://open.spotify.com/track/40iPujUUM58f2qsC7KKjg5,Baby Blue (Acoustic),https://open.spotify.com/album/6vJn1u5GBTMDUM4OLyQ13c,Penny Roox,https://open.spotify.com/artist/5DXArm1WRDZcLjxEAsEDdg,2025-01-25,185114,2023-01-14,Rustig aan doen op zondag met deze zachte popliedjes.,Easy On Sunday
Back,https://open.spotify.com/track/2tJ0GB8yDrGSHahyBHjDrB,Blackbird (Deluxe),https://open.spotify.com/album/6UzCkpGRJ4ojKeYUGKfyEc,Blackbird,https://open.spotify.com/artist/5SU9mZVaI9pRXgXmIhG1fL,2022-12-22,218398,2023-01-14,Rustig aan doen op zondag met deze zachte popliedjes.,Easy On Sunday
