track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
A Long Walk,https://open.spotify.com/track/1CeizRCGEYPWooEeVfmyFL,"Who Is Jill Scott? - Words and Sounds, Vol. 1",https://open.spotify.com/album/620y2xi6SkUb6IZlnnWxuG,Jill Scott,https://open.spotify.com/artist/6AVLthptCPhfrxlHadOBJD,2024-03-01,280973,2024-03-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/lakeithstanfield3/"">LaKeith Stanfield</a> ",LaKeith Stanfield's Taste
All I Do,https://open.spotify.com/track/0k3fBeBIcok5gbYQyQbxP5,Hotter Than July,https://open.spotify.com/album/1ZuQduJGh0lBynUsfzD1tH,Stevie Wonder,https://open.spotify.com/artist/7guDJrEfX3qb6FEbdPA5qi,2024-03-01,306666,2024-03-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/lakeithstanfield3/"">LaKeith Stanfield</a> ",LaKeith Stanfield's Taste
Angela (Theme From Taxi),https://open.spotify.com/track/4iKU4J0AjDeDXOCgpuol0C,Touchdown,https://open.spotify.com/album/5ooWmAVLqcWvDDOid6hCC6,Bob James,https://open.spotify.com/artist/6ryjbFyWBZho9KGXqKZdqQ,2024-03-01,345160,2024-03-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/lakeithstanfield3/"">LaKeith Stanfield</a> ",LaKeith Stanfield's Taste
Another Life,https://open.spotify.com/track/2f9mmR37OEceYERbXml0Nj,Black Messiah,https://open.spotify.com/album/5Hfbag0SsHxafx1SySFSX6,D'Angelo,https://open.spotify.com/artist/336vr2M3Va0FjyvB55lJEd,2024-03-01,358626,2024-03-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/lakeithstanfield3/"">LaKeith Stanfield</a> ",LaKeith Stanfield's Taste
Around the World in a Day,https://open.spotify.com/track/4H8ryNZ7GR5V25EhWe4bHp,Around The World In A Day,https://open.spotify.com/album/27SA4Pkelh2pbwbVEORPOM,Prince,https://open.spotify.com/artist/5a2EaR3hamoenG9rDuVn8j,2024-03-01,208293,2024-03-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/lakeithstanfield3/"">LaKeith Stanfield</a> ",LaKeith Stanfield's Taste
Babylon (feat. Kendrick Lamar),https://open.spotify.com/track/6Aj2H0Z0v0JgnSfPEwCgW0,Z,https://open.spotify.com/album/2qCyMMQ785sPH4Yx25GQZ8,"SZA, Kendrick Lamar","https://open.spotify.com/artist/7tYKF4w9nC0nq9CsPZTHyP, https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg",2024-03-01,234284,2024-03-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/lakeithstanfield3/"">LaKeith Stanfield</a> ",LaKeith Stanfield's Taste
Bag Lady,https://open.spotify.com/track/7BgUcOjSOlKJXASLgJ6bx1,Mama's Gun,https://open.spotify.com/album/3cADvHRdKniF9ELCn1zbGH,Erykah Badu,https://open.spotify.com/artist/7IfculRW2WXyzNQ8djX8WX,2024-03-01,348893,2024-03-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/lakeithstanfield3/"">LaKeith Stanfield</a> ",LaKeith Stanfield's Taste
Clique,https://open.spotify.com/track/65rRB2mspD309xE6YimZTl,Kanye West Presents Good Music Cruel Summer,https://open.spotify.com/album/0bcOGgwJpwBjfFBTApoqSn,"Kanye West, JAY-Z, Big Sean","https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x, https://open.spotify.com/artist/3nFkdlSjzX9mRTtwJOzDYB, https://open.spotify.com/artist/0c173mlxpT3dSFRgMO8XPh",2024-03-01,293613,2024-03-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/lakeithstanfield3/"">LaKeith Stanfield</a> ",LaKeith Stanfield's Taste
Cranes in the Sky,https://open.spotify.com/track/48EjSdYh8wz2gBxxqzrsLe,A Seat at the Table,https://open.spotify.com/album/3Yko2SxDk4hc6fncIBQlcM,Solange,https://open.spotify.com/artist/2auiVi8sUZo17dLy1HwrTU,2024-03-01,250973,2024-03-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/lakeithstanfield3/"">LaKeith Stanfield</a> ",LaKeith Stanfield's Taste
Didn't Cha Know,https://open.spotify.com/track/7pv80uUHfocFqfTytu1MVi,Mama's Gun,https://open.spotify.com/album/3cADvHRdKniF9ELCn1zbGH,Erykah Badu,https://open.spotify.com/artist/7IfculRW2WXyzNQ8djX8WX,2024-03-01,238733,2024-03-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/lakeithstanfield3/"">LaKeith Stanfield</a> ",LaKeith Stanfield's Taste
Don't Touch My Hair (feat. Sampha),https://open.spotify.com/track/2TyCAfhwu5tRqFW8VnGMIL,A Seat at the Table,https://open.spotify.com/album/3Yko2SxDk4hc6fncIBQlcM,"Solange, Sampha","https://open.spotify.com/artist/2auiVi8sUZo17dLy1HwrTU, https://open.spotify.com/artist/2WoVwexZuODvclzULjPQtm",2024-03-01,257546,2024-03-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/lakeithstanfield3/"">LaKeith Stanfield</a> ",LaKeith Stanfield's Taste
Eventually,https://open.spotify.com/track/5M4yti0QxgqJieUYaEXcpw,Currents,https://open.spotify.com/album/79dL7FLiJFOO0EoehUHQBv,Tame Impala,https://open.spotify.com/artist/5INjqkS1o8h1imAzPqGZBb,2024-03-01,318591,2024-03-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/lakeithstanfield3/"">LaKeith Stanfield</a> ",LaKeith Stanfield's Taste
Falaise,https://open.spotify.com/track/3rkJH9BaiCWpRY718WTkBP,Crush,https://open.spotify.com/album/1WwZwdTICfaZI51BIIEN9z,Floating Points,https://open.spotify.com/artist/2AR42Ur9PcchQDtEdwkv4L,2024-03-01,234320,2024-03-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/lakeithstanfield3/"">LaKeith Stanfield</a> ",LaKeith Stanfield's Taste
Forever,https://open.spotify.com/track/5UsLjwBaTHBX4ektWIr4XX,Relapse: Refill,https://open.spotify.com/album/7MZzYkbHL9Tk3O6WeD4Z0Z,"Drake, Kanye West, Lil Wayne, Eminem","https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4, https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x, https://open.spotify.com/artist/55Aa2cqylxrFIXC767Z865, https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR",2024-03-01,357706,2024-03-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/lakeithstanfield3/"">LaKeith Stanfield</a> ",LaKeith Stanfield's Taste
Fuck That,https://open.spotify.com/track/3VlCIYEdNORYA3OF5K0nQm,The Money Store,https://open.spotify.com/album/1PQDjdBpHPikAodJqjzm6a,Death Grips,https://open.spotify.com/artist/5RADpgYLOuS2ZxDq7ggYYH,2024-03-01,144866,2024-03-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/lakeithstanfield3/"">LaKeith Stanfield</a> ",LaKeith Stanfield's Taste
Fuck Up Some Commas,https://open.spotify.com/track/49zD0wr2S3d0lZPib0K4e1,DS2 (Deluxe),https://open.spotify.com/album/0fUy6IdLHDpGNwavIlhEsl,Future,https://open.spotify.com/artist/1RyvyyTE3xzB2ZywiAwp0i,2024-03-01,237400,2024-03-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/lakeithstanfield3/"">LaKeith Stanfield</a> ",LaKeith Stanfield's Taste
Get MuNNY,https://open.spotify.com/track/0ZKCq8E5QS4lRjEtFvZqZX,New Amerykah Part Two: Return Of The Ankh,https://open.spotify.com/album/1MOub955Uer957RVqqkF2a,Erykah Badu,https://open.spotify.com/artist/7IfculRW2WXyzNQ8djX8WX,2024-03-01,325960,2024-03-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/lakeithstanfield3/"">LaKeith Stanfield</a> ",LaKeith Stanfield's Taste
"Gone Baby, Don't Be Long",https://open.spotify.com/track/0QQDaKW7eRRoqvbLCylzrn,New Amerykah Part Two: Return Of The Ankh,https://open.spotify.com/album/1MOub955Uer957RVqqkF2a,Erykah Badu,https://open.spotify.com/artist/7IfculRW2WXyzNQ8djX8WX,2024-03-01,279720,2024-03-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/lakeithstanfield3/"">LaKeith Stanfield</a> ",LaKeith Stanfield's Taste
Great Day,https://open.spotify.com/track/2teH8BAM9q2oSmBre5hiQM,Madvillainy,https://open.spotify.com/album/19bQiwEKhXUBJWY6oV3KZk,"Madvillain, Madlib, MF DOOM","https://open.spotify.com/artist/2aoFQUeHD1U7pL098lRsDU, https://open.spotify.com/artist/5LhTec3c7dcqBvpLRWbMcf, https://open.spotify.com/artist/2pAWfrd7WFF3XhVt9GooDL",2024-03-01,136920,2024-03-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/lakeithstanfield3/"">LaKeith Stanfield</a> ",LaKeith Stanfield's Taste
He's Able - Live,https://open.spotify.com/track/537bauuRZw1QMo3Ya4vZrz,Kirk Franklin and the Family,https://open.spotify.com/album/4b1c7FWhyhIZ6OYINCx107,Kirk Franklin,https://open.spotify.com/artist/4akybxRTGHJZ1DXjLhJ1qu,2024-03-01,245666,2024-03-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/lakeithstanfield3/"">LaKeith Stanfield</a> ",LaKeith Stanfield's Taste
HiiiJack,https://open.spotify.com/track/4N0VFSI2wJu2NzwUuI0sMz,Z,https://open.spotify.com/album/2qCyMMQ785sPH4Yx25GQZ8,SZA,https://open.spotify.com/artist/7tYKF4w9nC0nq9CsPZTHyP,2024-03-01,222164,2024-03-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/lakeithstanfield3/"">LaKeith Stanfield</a> ",LaKeith Stanfield's Taste
Hope,https://open.spotify.com/track/2QLNDKL7hZyh2OZ8UL9WrV,Negro Swan,https://open.spotify.com/album/7bvmGyFDwpHNRRRZJ0AHvn,"Blood Orange, Diddy, Tei Shi","https://open.spotify.com/artist/6LEeAFiJF8OuPx747e1wxR, https://open.spotify.com/artist/59wfkuBoNyhDMQGCljbUbA, https://open.spotify.com/artist/1xcMOgFUM1IYZE22YjCvsL",2024-03-01,239767,2024-03-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/lakeithstanfield3/"">LaKeith Stanfield</a> ",LaKeith Stanfield's Taste
I Get High,https://open.spotify.com/track/39ZxeUDHT7jEpRmpQP3W03,Lost Soul Treasures,https://open.spotify.com/album/20WuVQc0Fwu3qvX6MtYfJY,Freda Payne,https://open.spotify.com/artist/0701Axu6yvUIoctaKMbDIZ,2024-03-01,191026,2024-03-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/lakeithstanfield3/"">LaKeith Stanfield</a> ",LaKeith Stanfield's Taste
I Want You,https://open.spotify.com/track/2gmWJA9oF4GD2Vw5QoRqu1,I Want You (Deluxe Edition),https://open.spotify.com/album/28nUWsyczStUhYKXTY1IoW,Marvin Gaye,https://open.spotify.com/artist/3koiLjNrgRTNbOwViDipeA,2024-03-01,274400,2024-03-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/lakeithstanfield3/"">LaKeith Stanfield</a> ",LaKeith Stanfield's Taste
In Plain Sight,https://open.spotify.com/track/5QB8pXweZvjJSjtRwGta5Y,2nd Draft,https://open.spotify.com/album/4mv6oCtJD78x7RGXcoMlTT,Celia Hollander,https://open.spotify.com/artist/0LdvtStWB1M2XlcR9D6IhA,2024-03-01,156135,2024-03-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/lakeithstanfield3/"">LaKeith Stanfield</a> ",LaKeith Stanfield's Taste
In Your Eyes,https://open.spotify.com/track/4jmLj7bALZTQoe93dT623W,IV,https://open.spotify.com/album/5wAGlQICfKYQfaBppnUbmP,"BADBADNOTGOOD, Charlotte Day Wilson","https://open.spotify.com/artist/65dGLGjkw3UbddUg2GKQoZ, https://open.spotify.com/artist/3GQboECxDT1xqPPWC30p7v",2024-03-01,247054,2024-03-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/lakeithstanfield3/"">LaKeith Stanfield</a> ",LaKeith Stanfield's Taste
Is There Any Love?,https://open.spotify.com/track/56E90Gd3rewecCDWDOu0cw,Don't Cry Little Tree,https://open.spotify.com/album/0AIUxk9imh4WNCQU072NKj,Trevor Dandy,https://open.spotify.com/artist/5c2Ex16nxDvgZqUPgOGCWA,2024-03-01,272800,2024-03-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/lakeithstanfield3/"">LaKeith Stanfield</a> ",LaKeith Stanfield's Taste
Island Man,https://open.spotify.com/track/7gnPCgm9lvI9C2vKNKTJFM,Do Better,https://open.spotify.com/album/2zk21tKHcNtvlKXw5qEOnl,Htiekal,https://open.spotify.com/artist/7msuTfFRpVfnoKJL8YUF7Q,2024-03-01,184424,2024-03-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/lakeithstanfield3/"">LaKeith Stanfield</a> ",LaKeith Stanfield's Taste
Jesus Walks,https://open.spotify.com/track/5g1vtHqi9uV7xtYeCcFOBx,The College Dropout,https://open.spotify.com/album/4Uv86qWpGTxf7fU7lG5X6F,Kanye West,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x,2024-03-01,193733,2024-03-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/lakeithstanfield3/"">LaKeith Stanfield</a> ",LaKeith Stanfield's Taste
Love Rain,https://open.spotify.com/track/3ghPYXzDWs7UtQo22Hod62,"Who Is Jill Scott? - Words and Sounds, Vol. 1",https://open.spotify.com/album/620y2xi6SkUb6IZlnnWxuG,Jill Scott,https://open.spotify.com/artist/6AVLthptCPhfrxlHadOBJD,2024-03-01,252133,2024-03-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/lakeithstanfield3/"">LaKeith Stanfield</a> ",LaKeith Stanfield's Taste
Magnolia,https://open.spotify.com/track/50w9wN70lWHaIe8atNxDtn,Preludes,https://open.spotify.com/album/6Q8TOtacVTE5deiLFh2hEj,Flaer,https://open.spotify.com/artist/0PiMvUJDkqg4AAfl8CP1Di,2024-03-01,188410,2024-03-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/lakeithstanfield3/"">LaKeith Stanfield</a> ",LaKeith Stanfield's Taste
Masterpiece,https://open.spotify.com/track/07qj9w93jk1eA2TGAd6kxj,5,https://open.spotify.com/album/57EkTny9UjqpLhFzMO4Hdb,SAULT,https://open.spotify.com/artist/1uRxRKC7d9zwYGSRflTKDR,2024-03-01,344680,2024-03-02,"Sophisticated palates only. Curated by: <a href=""https://www.instagram.com/lakeithstanfield3/"">LaKeith Stanfield</a> ",LaKeith Stanfield's Taste
