track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
1 dari 1000,https://open.spotify.com/track/73sNYWU4Qe1WEiUyMMNz6q,1 dari 1000,https://open.spotify.com/album/0xe2k3gc4rs7MAwqhiIdHT,Ashira Zamita,https://open.spotify.com/artist/7u6zt5ZVx1yiUWbCzCyD2l,2024-07-25,234972,2024-01-30,Deretan musik Indonesia terpopuler saat ini.  Cover: Yura Yunita,Puncak Klasemen
24,https://open.spotify.com/track/1dODOcUBb5SrXflh3L4zjE,24,https://open.spotify.com/album/547AToKcvgV26kOjsuvUhR,NIKI,https://open.spotify.com/artist/2kxP07DLgs4xlWz8YHlvfh,2024-01-26,246466,2024-01-30,Deretan musik Indonesia terpopuler saat ini.  Cover: Yura Yunita,Puncak Klasemen
3..2..1,https://open.spotify.com/track/5HhDOVqVmGWGCcQRbsN21j,3..2..1,https://open.spotify.com/album/3O0PRgNKpvjVgCbGvaA4rg,Rendy Pandugo,https://open.spotify.com/artist/04u3fc37nHFKN7GJTSIwI8,2024-07-11,203356,2024-01-30,Deretan musik Indonesia terpopuler saat ini.  Cover: Yura Yunita,Puncak Klasemen
Abadi,https://open.spotify.com/track/6iXTMSSD6diBMzSS8JnVbm,Abadi,https://open.spotify.com/album/3kxlPmmRHWpYYH2xZRoRuX,Ziva Magnolya,https://open.spotify.com/artist/2wZWkw5jo8P4NVonVanxYd,2024-09-19,232212,2024-01-30,Deretan musik Indonesia terpopuler saat ini.  Cover: Yura Yunita,Puncak Klasemen
Ada,https://open.spotify.com/track/483I1QLE05iH81ReYgF2BK,Ada,https://open.spotify.com/album/6oP8VmNt84dc4Kn00FM46C,"Lyodra, Afgan","https://open.spotify.com/artist/6Sv2jkzH9sWQjwghW5ArMG, https://open.spotify.com/artist/4cgBCGxtlfap2g6jveB7du",2024-01-26,210801,2024-01-30,Deretan musik Indonesia terpopuler saat ini.  Cover: Yura Yunita,Puncak Klasemen
Adam & Eve,https://open.spotify.com/track/63vscEc34aVwFMsdYM88gd,Adam & Eve,https://open.spotify.com/album/0DIay3dTps5nQRfq3LLcss,Stephanie Poetri,https://open.spotify.com/artist/0HS00NN7MAfF59aJnfcxSO,2024-12-12,205714,2024-01-30,Deretan musik Indonesia terpopuler saat ini.  Cover: Yura Yunita,Puncak Klasemen
Aduh,https://open.spotify.com/track/4hqNaY8uNHrPzW4l3ulDSo,Aduh,https://open.spotify.com/album/2vz25rEFGA1ziNgy70BJus,MALIQ & D'Essentials,https://open.spotify.com/artist/18PmEN8ZiHBQlDpxrgR2xs,2024-01-26,196897,2024-01-30,Deretan musik Indonesia terpopuler saat ini.  Cover: Yura Yunita,Puncak Klasemen
affa iyah (feat. Basboi),https://open.spotify.com/track/2ce4QtgMJ9123s78zwprXB,affa iyah (feat. Basboi),https://open.spotify.com/album/4NVrxWTYO3d7ZfW4FmGo3h,"Salma Salsabil, Basboi","https://open.spotify.com/artist/1y46m0kIaKwnodL0ElvQIs, https://open.spotify.com/artist/0mmlthXmJKSeIhvmXso3z9",2024-08-08,220753,2024-01-30,Deretan musik Indonesia terpopuler saat ini.  Cover: Yura Yunita,Puncak Klasemen
Aku Bukan Untukmu,https://open.spotify.com/track/19zaLmqBM228wDPvrQyEUl,Aku Bukan Untukmu,https://open.spotify.com/album/0eXUnKcyUFHZnDoBMQM6YD,Anggi Marito,https://open.spotify.com/artist/1JvbNeV9zG9Sew1JyaWsyx,2025-01-16,232533,2024-01-30,Deretan musik Indonesia terpopuler saat ini.  Cover: Yura Yunita,Puncak Klasemen
Aku Memilihmu,https://open.spotify.com/track/7EKp3CMq9Eb0TF8TLsDne4,Aku Memilihmu,https://open.spotify.com/album/4Eupz9BkITuFqlHttMeu9K,"Brisia Jodie, Fabio Asher","https://open.spotify.com/artist/0GxxkBLH2uLa4b3URWudGb, https://open.spotify.com/artist/6FTLayBxjkQeanFdUusk1I",2024-01-26,231700,2024-01-30,Deretan musik Indonesia terpopuler saat ini.  Cover: Yura Yunita,Puncak Klasemen
Aku Mengerti (Prologue Version),https://open.spotify.com/track/3ps6Y7PHQ9rh6HbHnu0IFd,Prologue,https://open.spotify.com/album/5xGgVRebfE9c1LkYPdK21s,Stereo Wall,https://open.spotify.com/artist/0kw7tMniMnrp9Pcr7vgDAm,2024-01-26,225195,2024-01-30,Deretan musik Indonesia terpopuler saat ini.  Cover: Yura Yunita,Puncak Klasemen
Aku Rindu,https://open.spotify.com/track/11QKUeLa6ajdMEMNAQkAlm,Aku Rindu,https://open.spotify.com/album/3INvE4pj4A0qvcoCGMG2l5,Isyana Sarasvati,https://open.spotify.com/artist/05CRzFTp7TouOXPuH6Tapu,2024-06-27,248512,2024-01-30,Deretan musik Indonesia terpopuler saat ini.  Cover: Yura Yunita,Puncak Klasemen
Aku Takdirmu,https://open.spotify.com/track/7yDYXmJ8NAoYeVolXv9E5K,Aku Takdirmu,https://open.spotify.com/album/6syB0IkH8vdpQBUQAnY25C,Marion Jola,https://open.spotify.com/artist/5Bh3L78YDNSWljRR1JO5C5,2024-05-16,245086,2024-01-30,Deretan musik Indonesia terpopuler saat ini.  Cover: Yura Yunita,Puncak Klasemen
Aku Tanpa Kamu Tanpa Aku,https://open.spotify.com/track/4fA9T5ifvSebKMJTr1HeN0,Aku Tanpa Kamu Tanpa Aku,https://open.spotify.com/album/3mWgjnE8LPJeJSIy6dEHsm,"Budi Doremi, Anggi Marito","https://open.spotify.com/artist/6Ifk2cbxyVzT41jLexYCas, https://open.spotify.com/artist/1JvbNeV9zG9Sew1JyaWsyx",2024-11-21,267392,2024-01-30,Deretan musik Indonesia terpopuler saat ini.  Cover: Yura Yunita,Puncak Klasemen
Alunan Mimpi,https://open.spotify.com/track/6hZfPTq3EWkbA5E8BMJgOj,Alunan Mimpi,https://open.spotify.com/album/1yAUInJLR2QCL7eUb1htG5,Nyoman Paul,https://open.spotify.com/artist/53tuXn4uXfDqZYhAFMxZdt,2025-01-09,246107,2024-01-30,Deretan musik Indonesia terpopuler saat ini.  Cover: Yura Yunita,Puncak Klasemen
Andai Sampai Akhir Usia,https://open.spotify.com/track/6d9b6k20BqCZMRyoNoXsQT,Andai Sampai Akhir Usia,https://open.spotify.com/album/1zmhc4y1L9rwKNgJ9rkBJ0,Judika,https://open.spotify.com/artist/5fS7aONqrIhiw6YzgKVOsd,2025-02-13,309987,2024-01-30,Deretan musik Indonesia terpopuler saat ini.  Cover: Yura Yunita,Puncak Klasemen
