track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
1+1 É Pouco,https://open.spotify.com/track/5aQ7X8vHzu7zWsFBjPvQEV,MAGNÉTICO,https://open.spotify.com/album/1aEf8qXaEIHLbAeaKE9bNG,"WD, DJ 2F, Mc Soffia","https://open.spotify.com/artist/0h1aO8j7tyQ45Ws8xnjcq5, https://open.spotify.com/artist/3tkq9ZnBaejLPLRpg8kGET, https://open.spotify.com/artist/2aPCjzfki5HgFLrse785FT",2024-06-26,157500,2022-05-27,"Os hits e novidades de artistas LGBTQIAPN+ estão aqui. Foto: Boombeat, Jaloo",GLOW Brasil
18 dias / 13 cm,https://open.spotify.com/track/1TZGE8ByEKYJUge6agf7T2,18 dias / 13 cm,https://open.spotify.com/album/3oEBnUW2q7VFXb9X7kr3ps,"Bruno Gadiol, Valesca Popozuda","https://open.spotify.com/artist/0UlEgLbUMrAuiWGptQzCJ3, https://open.spotify.com/artist/0IpLJsvZHA1op1pw8GAoPu",2024-06-26,143333,2022-05-27,"Os hits e novidades de artistas LGBTQIAPN+ estão aqui. Foto: Boombeat, Jaloo",GLOW Brasil
5 Minutinhos - Ao Vivo,https://open.spotify.com/track/0olqsq6LOpziaBUDIPvR0I,"Serenata da GG, Vol. 1 (Ao Vivo)",https://open.spotify.com/album/2rKJHBwHEuztGQqjBkDDAK,Gloria Groove,https://open.spotify.com/artist/7rXMvXRnWHaSwnVvPeUUfw,2024-06-26,185816,2022-05-27,"Os hits e novidades de artistas LGBTQIAPN+ estão aqui. Foto: Boombeat, Jaloo",GLOW Brasil
A QUEDA,https://open.spotify.com/track/2s9BO8c0co0PmgBiUoTT17,A QUEDA,https://open.spotify.com/album/1nrGJRwyxKMNnGB8Rz1QJR,Gloria Groove,https://open.spotify.com/artist/7rXMvXRnWHaSwnVvPeUUfw,2022-04-29,172500,2022-05-27,"Os hits e novidades de artistas LGBTQIAPN+ estão aqui. Foto: Boombeat, Jaloo",GLOW Brasil
AEIOU,https://open.spotify.com/track/49QWN3Hq99FriZqIWEISYQ,AEIOU,https://open.spotify.com/album/6SeOld4CS4Le8JuxMmkfXP,"Rebecca, Pabllo Vittar, Vivi","https://open.spotify.com/artist/5MS6HieNmKxzkAM8amE8sr, https://open.spotify.com/artist/6tzRZ39aZlNqlUzQlkuhDV, https://open.spotify.com/artist/4UhPHvXjn0st73ksfh8DjU",2023-07-14,166121,2022-05-27,"Os hits e novidades de artistas LGBTQIAPN+ estão aqui. Foto: Boombeat, Jaloo",GLOW Brasil
Agora Vai!,https://open.spotify.com/track/1xQZMFLNckpSQzwleLBKyL,Agora Vai!,https://open.spotify.com/album/6l4qzArQvDKnzRLmFkrHE2,"Giovani Cidreira, Linn da Quebrada","https://open.spotify.com/artist/2SBQT5mUZ07UXABDj12pH1, https://open.spotify.com/artist/5gGBopc7iw8yLqwxfPIv3t",2022-11-25,266118,2022-05-27,"Os hits e novidades de artistas LGBTQIAPN+ estão aqui. Foto: Boombeat, Jaloo",GLOW Brasil
Aladim,https://open.spotify.com/track/1s1DSGM5SUKUvokcTSXQpB,Aladim,https://open.spotify.com/album/52Ixv92K027g2pRKJVeoCj,"HITMAKER, Ella","https://open.spotify.com/artist/0Otd1ReHJtVAzwAuRj09Zg, https://open.spotify.com/artist/31SKzF14gxaCl4RlK8YrvA",2023-09-02,145588,2022-05-27,"Os hits e novidades de artistas LGBTQIAPN+ estão aqui. Foto: Boombeat, Jaloo",GLOW Brasil
Alasca,https://open.spotify.com/track/5nb97cpmD6U9FpO8VJ3jnm,Alasca,https://open.spotify.com/album/69Sxc4uQUdJ6bgi2f2gZlD,Jotta A,https://open.spotify.com/artist/1q0fWAYirCJgGf8ysLla6y,2022-12-09,276521,2022-05-27,"Os hits e novidades de artistas LGBTQIAPN+ estão aqui. Foto: Boombeat, Jaloo",GLOW Brasil
Alibi (with Pabllo Vittar & Yseult),https://open.spotify.com/track/5496lks6V3fh1mZAB6IAap,Alibi (with Pabllo Vittar & Yseult),https://open.spotify.com/album/2m0euKZUDcoyEXHIS5MFCq,"Sevdaliza, Pabllo Vittar, Yseult","https://open.spotify.com/artist/5MraexJKZDrQYzS98kNwie, https://open.spotify.com/artist/6tzRZ39aZlNqlUzQlkuhDV, https://open.spotify.com/artist/1QsdzIKkTT5gDFj8GB1cIX",2024-07-12,161655,2022-05-27,"Os hits e novidades de artistas LGBTQIAPN+ estão aqui. Foto: Boombeat, Jaloo",GLOW Brasil
AMEIANOITE,https://open.spotify.com/track/0K3u2t8YNuJ5NR9lKC1frv,AMEIANOITE,https://open.spotify.com/album/6FFId2lzLb6mUkKaCdQSvB,"Pabllo Vittar, Gloria Groove","https://open.spotify.com/artist/6tzRZ39aZlNqlUzQlkuhDV, https://open.spotify.com/artist/7rXMvXRnWHaSwnVvPeUUfw",2024-01-15,165996,2022-05-27,"Os hits e novidades de artistas LGBTQIAPN+ estão aqui. Foto: Boombeat, Jaloo",GLOW Brasil
