track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
#Natural,https://open.spotify.com/track/3y7XIu4NloDcCSekDbCvf6,#333,https://open.spotify.com/album/53fIYm90YSwnseipgrVr6M,"Paty Cantú, Juhn","https://open.spotify.com/artist/7K9rdoOJSiKXoVXPlSkGKT, https://open.spotify.com/artist/2LmcxBak1alK1bf7d1beTr",2022-01-04,227266,2022-02-10,¡Nosotras sólo queremos divertirnos! ,Noche de Amigas
+Linda,https://open.spotify.com/track/5cBrOhKDyiJF9bPGUHKkG0,+Linda,https://open.spotify.com/album/5ka8beHlVQAFdRm6IaZ9JQ,Dalex,https://open.spotify.com/artist/0KPX4Ucy9dk82uj4GpKesn,2022-01-04,161748,2022-02-10,¡Nosotras sólo queremos divertirnos! ,Noche de Amigas
1 2 3,https://open.spotify.com/track/3rxs4C8FPu0DcuKVaZlUCu,Éxitos,https://open.spotify.com/album/39823i6I0X4cFWoCQPZWOd,El Simbolo,https://open.spotify.com/artist/276SjaOhqPfWqk3eDTDrz3,2022-01-04,219933,2022-02-10,¡Nosotras sólo queremos divertirnos! ,Noche de Amigas
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",https://open.spotify.com/album/1jHSAfCHKUFx5imuezI7HE,"Sofía Reyes, Jason Derulo, De La Ghetto","https://open.spotify.com/artist/0haZhu4fFKt0Ag94kZDiz2, https://open.spotify.com/artist/07YZf4WDAMNwqr4jfgOZ8y, https://open.spotify.com/artist/3EiLUeyEcA6fbRPSHkG5kb",2022-03-24,201526,2022-02-10,¡Nosotras sólo queremos divertirnos! ,Noche de Amigas
11 PM,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d,11:11,https://open.spotify.com/album/3YIUNL7qFE8NP3X3zaYSND,Maluma,https://open.spotify.com/artist/1r4hJ1h58CWwUQe3MxPuau,2022-01-04,175733,2022-02-10,¡Nosotras sólo queremos divertirnos! ,Noche de Amigas
4:00 Am,https://open.spotify.com/track/0nKZlu3HzZf4bPadqgcCf1,4:00 Am,https://open.spotify.com/album/3PyqxObc3UYhD7kzfosAGT,"DRVGON, Ricci Motora, Mcfly Beatz","https://open.spotify.com/artist/37vToaFAbOnhryTntSN8DI, https://open.spotify.com/artist/2oL4B91SK3EFgxWT51FHv2, https://open.spotify.com/artist/3krBRCYZOlmE4Xs8ALedOI",2022-02-01,187200,2022-02-10,¡Nosotras sólo queremos divertirnos! ,Noche de Amigas
7 rings,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,"thank u, next",https://open.spotify.com/album/2fYhqwDWXjbpjaIJPEfKFw,Ariana Grande,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,2022-03-24,178626,2022-02-10,¡Nosotras sólo queremos divertirnos! ,Noche de Amigas
About Damn Time,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3,About Damn Time,https://open.spotify.com/album/4JApkbiesQxv5drdEZRlZC,Lizzo,https://open.spotify.com/artist/56oDRnqbIiwx4mymNEv7dS,2022-05-12,191822,2022-02-10,¡Nosotras sólo queremos divertirnos! ,Noche de Amigas
Acapulco,https://open.spotify.com/track/3eJH2nAjvNXdmPfBkALiPZ,Acapulco,https://open.spotify.com/album/76f2Wq7QxiHImxzsYwiXWW,Jason Derulo,https://open.spotify.com/artist/07YZf4WDAMNwqr4jfgOZ8y,2022-03-24,139672,2022-02-10,¡Nosotras sólo queremos divertirnos! ,Noche de Amigas
Adan y Eva,https://open.spotify.com/track/132ALUzVLmqYB4UsBj5qD6,Homerun,https://open.spotify.com/album/0qJkFmVwwNXP6fvSemDZqn,Paulo Londra,https://open.spotify.com/artist/3vQ0GE3mI0dAaxIMYe5g7z,2022-01-04,256971,2022-02-10,¡Nosotras sólo queremos divertirnos! ,Noche de Amigas
