track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
(It Goes Like) Nanana - Edit,https://open.spotify.com/track/23RoR84KodL5HWvUTneQ1w,(It Goes Like) Nanana [Edit],https://open.spotify.com/album/2LVDNOUUy2g8517ZEtQIcK,Peggy Gou,https://open.spotify.com/artist/2mLA48B366zkELXYx7hcDN,2024-05-31,231545,2024-06-05,The biggest festival of the year. The official playlist for Glastonbury 2024.,Glastonbury 2024
2002,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,Speak Your Mind (Deluxe),https://open.spotify.com/album/7lPoGKpCGgdKFAxpudhAH5,Anne-Marie,https://open.spotify.com/artist/1zNqDE7qDGCsyzJwohVaoX,2024-05-31,186986,2024-06-05,The biggest festival of the year. The official playlist for Glastonbury 2024.,Glastonbury 2024
20s,https://open.spotify.com/track/62Vz24WH66GYadBPFJKwT7,20s,https://open.spotify.com/album/4CAB4B2b8yi1NYcqmz3ZDc,Bow Anderson,https://open.spotify.com/artist/6ObN9YNBliscJOImQp4UZO,2024-05-31,184457,2024-06-05,The biggest festival of the year. The official playlist for Glastonbury 2024.,Glastonbury 2024
51st State,https://open.spotify.com/track/5hiUBcY7ZvytQfWOOfV1pA,The Ghost Of Cain,https://open.spotify.com/album/3Nb8Vso3Q3eCYymVqicVRV,New Model Army,https://open.spotify.com/artist/7n1EM42Fseebd9H2p8eWWS,2024-05-31,155333,2024-06-05,The biggest festival of the year. The official playlist for Glastonbury 2024.,Glastonbury 2024
a girl like me,https://open.spotify.com/track/2KzkWP9RYW1xz4gqDRArQd,a girl like me,https://open.spotify.com/album/51gIsdlU8UIgzSgDJrEr9Z,flowerovlove,https://open.spotify.com/artist/1JspXUvEv3D9ddMeLNqYWj,2024-05-31,162628,2024-06-05,The biggest festival of the year. The official playlist for Glastonbury 2024.,Glastonbury 2024
A New England,https://open.spotify.com/track/0IfjReTYtafqN3uCfO3Xva,Life's a Riot with Spy vs. Spy,https://open.spotify.com/album/7McfyVgOfvdfyREan8IHHC,Billy Bragg,https://open.spotify.com/artist/5yXAFDZNUNyO92l5WTImkO,2024-05-31,134933,2024-06-05,The biggest festival of the year. The official playlist for Glastonbury 2024.,Glastonbury 2024
About You Now,https://open.spotify.com/track/1ctdfJSzp6qF2iDAVdDrfl,Change,https://open.spotify.com/album/1xY00CnzzvXjYZjZEUS4qI,Sugababes,https://open.spotify.com/artist/7rZNSLWMjTbwdLNskFbzFf,2024-05-31,212400,2024-06-05,The biggest festival of the year. The official playlist for Glastonbury 2024.,Glastonbury 2024
All I Need,https://open.spotify.com/track/5FUXuii2C6UdjHevv4yKsN,All I Need,https://open.spotify.com/album/5eAXhrI7B70r6wH7P3P2Fe,[IVY],https://open.spotify.com/artist/3bXszy3HMRqUhnON4Bpojw,2024-05-31,166896,2024-06-05,The biggest festival of the year. The official playlist for Glastonbury 2024.,Glastonbury 2024
All My Friends,https://open.spotify.com/track/2Ud3deeqLAG988pfW0Kwcl,Sound of Silver,https://open.spotify.com/album/1R8kkopLT4IAxzMMkjic6X,LCD Soundsystem,https://open.spotify.com/artist/066X20Nz7iquqkkCW6Jxy6,2024-05-31,462266,2024-06-05,The biggest festival of the year. The official playlist for Glastonbury 2024.,Glastonbury 2024
All Night Long,https://open.spotify.com/track/7b4twDZXjQf8gyQGSvySZd,All Night Long,https://open.spotify.com/album/6v4ZkEMI1Q20fX4Yrg7d2v,Chris Stussy,https://open.spotify.com/artist/3BxjasMelf9pKaE4f7Y0So,2024-05-31,234525,2024-06-05,The biggest festival of the year. The official playlist for Glastonbury 2024.,Glastonbury 2024
All Together Now,https://open.spotify.com/track/3FMwO7SOz9VTn9ii3Zkk0j,Spartacus,https://open.spotify.com/album/7w7T49LesvAibOIcxebMCw,The Farm,https://open.spotify.com/artist/3lN1TG4RIoaJCff6Ck9KUR,2024-05-31,342920,2024-06-05,The biggest festival of the year. The official playlist for Glastonbury 2024.,Glastonbury 2024
All U Gotta Do,https://open.spotify.com/track/1Uk6kqbSTNFBqXACE4Vv6A,All U Gotta Do,https://open.spotify.com/album/5eBnGbTjE9gIFh7IC01EEI,Bou,https://open.spotify.com/artist/35dxfY1wywqVRUEaVuMm13,2024-05-31,225785,2024-06-05,The biggest festival of the year. The official playlist for Glastonbury 2024.,Glastonbury 2024
Always,https://open.spotify.com/track/77eb7DGxwuA3ID69HQeDsE,W.L. (Deluxe),https://open.spotify.com/album/6dakS3ouiZyccOIdrBBKcu,The Snuts,https://open.spotify.com/artist/4AzAfQNuAyKOFG4DZMsdAo,2024-06-04,203949,2024-06-05,The biggest festival of the year. The official playlist for Glastonbury 2024.,Glastonbury 2024
Always Like This,https://open.spotify.com/track/73M2Vb5MfZh8iGKudkMtlw,I Had The Blues But I Shook Them Loose,https://open.spotify.com/album/4X0bhkSBOfcnOPyfG5Ef6a,Bombay Bicycle Club,https://open.spotify.com/artist/3pTE9iaJTkWns3mxpNQlJV,2024-05-31,245640,2024-06-05,The biggest festival of the year. The official playlist for Glastonbury 2024.,Glastonbury 2024
Angel,https://open.spotify.com/track/1kiw6IXeTauPy3L964yxoZ,MADRA,https://open.spotify.com/album/1Z04cqirpWoJhEi9iovmqw,NewDad,https://open.spotify.com/artist/1yz8XixOiIJJ9IxjbnfYV6,2024-05-31,199220,2024-06-05,The biggest festival of the year. The official playlist for Glastonbury 2024.,Glastonbury 2024
Another Minute with You,https://open.spotify.com/track/1sqixLUSTJKPHCSBc42egp,"The ""Debut"" Mix Tape",https://open.spotify.com/album/1VE5Uk8DePg4HcYTlT3Tvt,Ryan McMullan,https://open.spotify.com/artist/4tqPTKknmeQK1uDEFVfX4G,2024-05-31,164757,2024-06-05,The biggest festival of the year. The official playlist for Glastonbury 2024.,Glastonbury 2024
"Archie, Marry Me",https://open.spotify.com/track/5GAB1X0AJq2EZjxXP9zMFt,Alvvays,https://open.spotify.com/album/1j3pIPXjLIFkp84OfVUsNT,Alvvays,https://open.spotify.com/artist/3kzwYV3OCB010YfXMF0Avt,2024-05-31,196560,2024-06-05,The biggest festival of the year. The official playlist for Glastonbury 2024.,Glastonbury 2024
