track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
A Que Te Pego Mi Mania,https://open.spotify.com/track/2DqE06M2IHNcPE1O17nP9T,Originales,https://open.spotify.com/album/0iYfoInNEmGbbEIksf1PCu,Grupo Mania,https://open.spotify.com/artist/2RqhDUsFkCJbhHntsnCVqp,2023-10-27,247560,2023-11-11,Los temas que los Cangrejeros de Santurce están escuchando.,Cangrejeros: Game Day
BEACHY,https://open.spotify.com/track/7gjnP3VGpnDpCVn3ZzmtvW,BEACHY,https://open.spotify.com/album/5xN2TtNpQBicT3t9Ohg6Id,"Daddy Yankee, Omar Courtz","https://open.spotify.com/artist/4VMYDCV2IEDYJArk749S6m, https://open.spotify.com/artist/3E12tRURRvPfHz0hAMCFYc",2023-10-27,168000,2023-11-11,Los temas que los Cangrejeros de Santurce están escuchando.,Cangrejeros: Game Day
BONITA,https://open.spotify.com/track/6pLYGP1FGsfhUFb3s9X1mz,BONITA,https://open.spotify.com/album/1ufDxUWa07eVx4iakS8DVO,Daddy Yankee,https://open.spotify.com/artist/4VMYDCV2IEDYJArk749S6m,2023-11-17,169842,2023-11-11,Los temas que los Cangrejeros de Santurce están escuchando.,Cangrejeros: Game Day
CALOR,https://open.spotify.com/track/3fbPAnQhNaUlIMaYtyNvk9,CALOR,https://open.spotify.com/album/6Wje6XhXvKPW2hgMs2Jse8,"Nicky Jam, Beéle","https://open.spotify.com/artist/1SupJlEpv7RS2tPNRaHViT, https://open.spotify.com/artist/7a0XAaPaK2aDSqa8p3QnC7",2023-10-27,200769,2023-11-11,Los temas que los Cangrejeros de Santurce están escuchando.,Cangrejeros: Game Day
CAMPEÓN,https://open.spotify.com/track/7IatvjEcXEeeXnHC2gMZ2j,LEGENDADDY,https://open.spotify.com/album/3rlJCPz7s7bTifG57wjFpt,Daddy Yankee,https://open.spotify.com/artist/4VMYDCV2IEDYJArk749S6m,2023-10-27,194515,2023-11-11,Los temas que los Cangrejeros de Santurce están escuchando.,Cangrejeros: Game Day
CLASSY 101,https://open.spotify.com/track/6XSqqQIy7Lm7SnwxS4NrGx,CLASSY 101,https://open.spotify.com/album/4jtQUtS4ABgER3DnGfKJCv,"Feid, Young Miko","https://open.spotify.com/artist/2LRoIwlKmHjgvigdNGBHNo, https://open.spotify.com/artist/3qsKSpcV3ncke3hw52JSMB",2023-10-27,195986,2023-11-11,Los temas que los Cangrejeros de Santurce están escuchando.,Cangrejeros: Game Day
Columbia,https://open.spotify.com/track/6XbtvPmIpyCbjuT0e8cQtp,Columbia,https://open.spotify.com/album/07kam1Dks7GIucbSelfvyX,Quevedo,https://open.spotify.com/artist/52iwsT98xCoGgiGntTiR7K,2023-10-27,186000,2023-11-11,Los temas que los Cangrejeros de Santurce están escuchando.,Cangrejeros: Game Day
Como Baila,https://open.spotify.com/track/42O2akMQYjvot4U1EIKAI0,Lo Esencial,https://open.spotify.com/album/6b4o4OtvkL4JOlFZIewnmH,Grupo Mania,https://open.spotify.com/artist/2RqhDUsFkCJbhHntsnCVqp,2023-10-27,261933,2023-11-11,Los temas que los Cangrejeros de Santurce están escuchando.,Cangrejeros: Game Day
Condename A Tu Amor,https://open.spotify.com/track/2C40I3YZiqsNlpBxQ4O1y7,Condename,https://open.spotify.com/album/096iagjZ8Ax48eV49j8P3Q,Tito Rojas,https://open.spotify.com/artist/2kgCV0fFS0wt3q6M5B39nH,2023-10-27,361773,2023-11-11,Los temas que los Cangrejeros de Santurce están escuchando.,Cangrejeros: Game Day
De Vuelta Pa' La Vuelta,https://open.spotify.com/track/7AUhck1sPy11OExQmDDx4P,De Vuelta Pa' La Vuelta,https://open.spotify.com/album/1mFvOlraT4JKt4D7aGb9tc,"Daddy Yankee, Marc Anthony","https://open.spotify.com/artist/4VMYDCV2IEDYJArk749S6m, https://open.spotify.com/artist/4wLXwxDeWQ8mtUIRPxGiD6",2023-10-27,231593,2023-11-11,Los temas que los Cangrejeros de Santurce están escuchando.,Cangrejeros: Game Day
Dos Locos,https://open.spotify.com/track/3mx8WfEOjeUB1a0fpFxQmi,Confesiones,https://open.spotify.com/album/4QVEewz5D2YmstuFp83v0e,Monchy & Alexandra,https://open.spotify.com/artist/3rs3EOlJ8jyPpdGiQ9Mhub,2023-10-27,246640,2023-11-11,Los temas que los Cangrejeros de Santurce están escuchando.,Cangrejeros: Game Day
El Perdedor,https://open.spotify.com/track/27ze5t5tIDPlVits0KRbxT,K.O.B. Live,https://open.spotify.com/album/03Sa02WIHEwH8lHfbipmrz,Aventura,https://open.spotify.com/artist/1qto4hHid1P71emI6Fd8xi,2023-10-27,215213,2023-11-11,Los temas que los Cangrejeros de Santurce están escuchando.,Cangrejeros: Game Day
El Rey de la Puntualidad,https://open.spotify.com/track/0E4o4reybByGwmGnfSDi1S,Lo Qué Pide la Gente,https://open.spotify.com/album/1ytBPWZAHfEI6VUwCdY8Ag,Fania All Stars,https://open.spotify.com/artist/1OdyhpUABf8avaZ9r8nI1u,2023-11-17,402360,2023-11-11,Los temas que los Cangrejeros de Santurce están escuchando.,Cangrejeros: Game Day
