track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
#Ysya2020 Vol. 5 - Silbando,https://open.spotify.com/track/6TI490muJ6RgFsYJc626BZ,#Ysya2020 Vol. 5 - Silbando,https://open.spotify.com/album/7cQuRxvG0SivoV6YCyrJY5,"YSY A, CLUB HATS","https://open.spotify.com/artist/2qWK8K2Jfh67UqtwY8tCW6, https://open.spotify.com/artist/3Nk2mAv4k4ZOzrP5tpXL2G",2022-01-04,119438,2022-01-24,"Palos de ayer, clásicos para siempre. Foto: Bad Bunny.",Trap viejito
"0 Sentimientos (Remix) [feat. Baby Rasta, Noriel, Darkiel, Messiah & Lyan]",https://open.spotify.com/track/3gYco8uoFBmpxqYlz3Zhs7,Chosen Few: New Generation,https://open.spotify.com/album/3OrduFrOK2uqkUdlzdeUnj,"Boy Wonder CF, Jon Z, Baby Rasta, Noriel, Darkiel, Messiah, LYAN, High Quality","https://open.spotify.com/artist/01nUdqwuIHCHLZNP2TvYVF, https://open.spotify.com/artist/5bWUlnPx9OYKsLiUJrhCA1, https://open.spotify.com/artist/0GgyFUpOyzWDRDqx8FCTDN, https://open.spotify.com/artist/3RtNN1VnooWEn3KQk03DUL, https://open.spotify.com/artist/4z19QMyPVRwbd4Fs2LisBa, https://open.spotify.com/artist/0tR60pwxQ5WKjPxQcKoCQ7, https://open.spotify.com/artist/5XxL3trG0x8T7rJeYHyEbQ, https://open.spotify.com/artist/2Lm6S3Y98EHssR7Y9teg9G",2022-06-08,335736,2022-01-24,"Palos de ayer, clásicos para siempre. Foto: Bad Bunny.",Trap viejito
"0 Sentimientos (Remix) [feat. Noriel, Darkiel, Lyan, Messiah & Baby Rasta]",https://open.spotify.com/track/4COGASZEbAxmH6k5gYMo6G,"0 Sentimientos (Remix) [feat. Noriel, Darkiel, Lyan, Messiah & Baby Rasta]",https://open.spotify.com/album/4dd7tLtioKjtq7v9byyPV6,"Jon Z, Noriel, Darkiel, Lyan, Messiah, Baby Rasta","https://open.spotify.com/artist/5bWUlnPx9OYKsLiUJrhCA1, https://open.spotify.com/artist/3RtNN1VnooWEn3KQk03DUL, https://open.spotify.com/artist/4z19QMyPVRwbd4Fs2LisBa, https://open.spotify.com/artist/2GzKA5uPf3Nef6JjkUNk4H, https://open.spotify.com/artist/0tR60pwxQ5WKjPxQcKoCQ7, https://open.spotify.com/artist/0GgyFUpOyzWDRDqx8FCTDN",2022-01-04,335736,2022-01-24,"Palos de ayer, clásicos para siempre. Foto: Bad Bunny.",Trap viejito
2.0.1.9,https://open.spotify.com/track/2FPE3JcSvRoCNSC96KAyvB,Atrevido,https://open.spotify.com/album/1xBoZOfcOsqd77V6AENKYC,"Trueno, Taiu, TATOOL, Yesan 雪山","https://open.spotify.com/artist/2x7PC78TmgqpEIjaGAZ0Oz, https://open.spotify.com/artist/5szJHKg5xeUlQ9pTqzdpic, https://open.spotify.com/artist/0shHIQr8VamXbzM66kwGQo, https://open.spotify.com/artist/6pJPxDgaE0H343SrASnY9J",2022-06-08,99724,2022-01-24,"Palos de ayer, clásicos para siempre. Foto: Bad Bunny.",Trap viejito
20.1.9,https://open.spotify.com/track/5nHQCnYQIfzSc0Cai3KrXZ,Atrevido,https://open.spotify.com/album/7AHKVMfKtUv9P06zjFHsGB,"Trueno, Taiu, TATOOL, Yesan 雪山","https://open.spotify.com/artist/2x7PC78TmgqpEIjaGAZ0Oz, https://open.spotify.com/artist/5szJHKg5xeUlQ9pTqzdpic, https://open.spotify.com/artist/0shHIQr8VamXbzM66kwGQo, https://open.spotify.com/artist/6pJPxDgaE0H343SrASnY9J",2022-01-04,99724,2022-01-24,"Palos de ayer, clásicos para siempre. Foto: Bad Bunny.",Trap viejito
24,https://open.spotify.com/track/2KYqHEGZhYxbB0w3O9p9L9,24,https://open.spotify.com/album/4QefABr1DLTsrqSmuu2Bf8,"Duki, Kidd Keo, Juicy J","https://open.spotify.com/artist/1bAftSH8umNcGZ0uyV7LMg, https://open.spotify.com/artist/0VZrPa7mWAYXH4CwmYk8Km, https://open.spotify.com/artist/5gCRApTajqwbnHHPbr2Fpi",2022-01-04,228893,2022-01-24,"Palos de ayer, clásicos para siempre. Foto: Bad Bunny.",Trap viejito
25/8,https://open.spotify.com/track/4NqQaovM14WR2hNPMFxgjb,YHLQMDLG,https://open.spotify.com/album/5lJqux7orBlA1QzyiBGti1,Bad Bunny,https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X,2022-01-04,243275,2022-01-24,"Palos de ayer, clásicos para siempre. Foto: Bad Bunny.",Trap viejito
47 - Remix,https://open.spotify.com/track/6IoKSUyNOOheJRjiuGb1ew,47 (Remix),https://open.spotify.com/album/0uwIB5LyXa2riRyWUwKiJA,"Anuel AA, Sinfonico, Farruko, Ñengo Flow, Casper Magico, Darell, Bad Bunny, Lil Geniuz","https://open.spotify.com/artist/2R21vXR83lH98kGeO99Y66, https://open.spotify.com/artist/17vZy9fIIt6woqdWfc7UCy, https://open.spotify.com/artist/329e4yvIujISKGKz1BZZbO, https://open.spotify.com/artist/12vb80Km0Ew53ABfJOepVz, https://open.spotify.com/artist/1fux65HMCBvfJHqlBc4Nno, https://open.spotify.com/artist/1TtXnWcUs0FCkaZDPGYHdf, https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X, https://open.spotify.com/artist/7nuTWfojdN0o8d7NGDo71U",2022-01-04,517809,2022-01-24,"Palos de ayer, clásicos para siempre. Foto: Bad Bunny.",Trap viejito
47 - Remix,https://open.spotify.com/track/2kQDcD7adY2odZLLfIexFj,47 (Remix),https://open.spotify.com/album/7hlRNdjFs9DEPTrHhzFwYu,"Anuel AA, Ñengo Flow, Sinfonico, Lil Geniuz, Farruko, Casper Magico, Darell, Bad Bunny","https://open.spotify.com/artist/2R21vXR83lH98kGeO99Y66, https://open.spotify.com/artist/12vb80Km0Ew53ABfJOepVz, https://open.spotify.com/artist/17vZy9fIIt6woqdWfc7UCy, https://open.spotify.com/artist/7nuTWfojdN0o8d7NGDo71U, https://open.spotify.com/artist/329e4yvIujISKGKz1BZZbO, https://open.spotify.com/artist/1fux65HMCBvfJHqlBc4Nno, https://open.spotify.com/artist/1TtXnWcUs0FCkaZDPGYHdf, https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X",2022-06-08,517599,2022-01-24,"Palos de ayer, clásicos para siempre. Foto: Bad Bunny.",Trap viejito
5 Stars (feat. Polimá Westcoast),https://open.spotify.com/track/7KAveXwQ5xzdHT6GDlNIBu,5 Stars (feat. Polimá Westcoast),https://open.spotify.com/album/6rkXVqUqFTSeBe611ar0La,"C. Tangana, Duki, Neo Pistea, Polimá Westcoast","https://open.spotify.com/artist/5TYxZTjIPqKM8K8NuP9woO, https://open.spotify.com/artist/1bAftSH8umNcGZ0uyV7LMg, https://open.spotify.com/artist/01m2XZ7m7rAz6KY3scTdaV, https://open.spotify.com/artist/768O5GliF0bqscyghggrbE",2022-05-10,244971,2022-01-24,"Palos de ayer, clásicos para siempre. Foto: Bad Bunny.",Trap viejito
