track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
1000 Nights,https://open.spotify.com/track/2mb32CDk3XusDc87vjeAoG,Truce - EP,https://open.spotify.com/album/5qeKpDQFyotJjLh61pUZQo,FRENSHIP,https://open.spotify.com/artist/7xEFii6utZmQ61kX59HmLH,2021-08-10,240293,2022-05-09,Digging deep into the history of 10s pop: Cover: Ariana Grande.,Deep Dive: 10s Pop
11 Blocks,https://open.spotify.com/track/7nZBRPj89rgeZ5eBLp2J7P,11 Blocks,https://open.spotify.com/album/57rHDJLhLfj9IrMxzaj8UX,Wrabel,https://open.spotify.com/artist/7r2uG6BlFXKcwmh9ItqlII,2021-08-10,222213,2022-05-09,Digging deep into the history of 10s pop: Cover: Ariana Grande.,Deep Dive: 10s Pop
90's Honey,https://open.spotify.com/track/4ygDeLod53IBCO4RnKREIj,90's Honey,https://open.spotify.com/album/0dOalXvwV3CJhIxc2C5OgD,Sophomore,https://open.spotify.com/artist/4uAFBCjJVGXAlRRE74ITal,2022-02-10,192000,2022-05-09,Digging deep into the history of 10s pop: Cover: Ariana Grande.,Deep Dive: 10s Pop
A Different Way,https://open.spotify.com/track/6LvdozquoSOWcBMfvrtwpV,Euphoric Pop,https://open.spotify.com/album/5EmsjkHHj0hffC1dm1BFiQ,"DJ Snake, Lauv","https://open.spotify.com/artist/540vIaP2JwjQb9dm3aArA4, https://open.spotify.com/artist/5JZ7CnR6gTvEMKX4g70Amv",2022-05-11,198285,2022-05-09,Digging deep into the history of 10s pop: Cover: Ariana Grande.,Deep Dive: 10s Pop
A Different Way (with Lauv),https://open.spotify.com/track/0Wv5wuenRLI3BcwgT3HPIP,A Different Way (with Lauv),https://open.spotify.com/album/4urwuJbStO1K5ph63U7AZv,"DJ Snake, Lauv","https://open.spotify.com/artist/540vIaP2JwjQb9dm3aArA4, https://open.spotify.com/artist/5JZ7CnR6gTvEMKX4g70Amv",2021-08-10,198285,2022-05-09,Digging deep into the history of 10s pop: Cover: Ariana Grande.,Deep Dive: 10s Pop
A Different Way (with Lauv),https://open.spotify.com/track/1YMBg7rOjxzbya0fPOYfNX,A Different Way (with Lauv),https://open.spotify.com/album/4PSoaA9rxBDYfrROdI17b9,"DJ Snake, Lauv","https://open.spotify.com/artist/540vIaP2JwjQb9dm3aArA4, https://open.spotify.com/artist/5JZ7CnR6gTvEMKX4g70Amv",2022-05-11,198285,2022-05-09,Digging deep into the history of 10s pop: Cover: Ariana Grande.,Deep Dive: 10s Pop
A Little Longer,https://open.spotify.com/track/4ofJfEEpdRojamBiNRrc1P,A Little Longer,https://open.spotify.com/album/5Qc2UN7pa0IDFdlUHxFPBR,"KIDDO, shy martin, Sid Rosco","https://open.spotify.com/artist/5pXe6yFchq1oyYK3rq2A8i, https://open.spotify.com/artist/7eCmccnRwPmRnWPw61x6jM, https://open.spotify.com/artist/5WUm8pP5PRs8GWdeJRHl7N",2021-08-10,203531,2022-05-09,Digging deep into the history of 10s pop: Cover: Ariana Grande.,Deep Dive: 10s Pop
Addicted To You,https://open.spotify.com/track/0xIVvRmjztR1AwuHrkhH41,True,https://open.spotify.com/album/02h9kO2oLKnLtycgbElKsw,Avicii,https://open.spotify.com/artist/1vCWHaC5f2uS3yhpwWbIA6,2021-08-10,148386,2022-05-09,Digging deep into the history of 10s pop: Cover: Ariana Grande.,Deep Dive: 10s Pop
Addicted To You,https://open.spotify.com/track/4eDYMhIin1pSLIG96f1aD0,True,https://open.spotify.com/album/2H6i2CrWgXE1HookLu8Au0,Avicii,https://open.spotify.com/artist/1vCWHaC5f2uS3yhpwWbIA6,2022-05-11,148386,2022-05-09,Digging deep into the history of 10s pop: Cover: Ariana Grande.,Deep Dive: 10s Pop
Addicted To You,https://open.spotify.com/track/5mlMPToYlPHYT5uccaG6cc,True (Bonus Edition),https://open.spotify.com/album/50oWFJ0mDEeMa74ElsdAp3,Avicii,https://open.spotify.com/artist/1vCWHaC5f2uS3yhpwWbIA6,2022-05-11,148386,2022-05-09,Digging deep into the history of 10s pop: Cover: Ariana Grande.,Deep Dive: 10s Pop
