track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"2 Nouvelles compositions: No. 1, À Grenade",https://open.spotify.com/track/0MpSYvhdG3z5tiyKK0qwJ9,"Rossini: Piano Music, Vol. 10",https://open.spotify.com/album/4yqoIlUqL3UtCLluRi2BXl,"Gioachino Rossini, Giuseppina Bridelli, Alessandro Marangoni","https://open.spotify.com/artist/0roWUeP7Ac4yK4VN6L2gF4, https://open.spotify.com/artist/4n8jCS36j50D3Hm6V75gKl, https://open.spotify.com/artist/0OlYS1Nvt0W68RQpXv2eq9",2019-11-20,227813,2021-12-21,"The greatest operatic and orchestral works of Rossini, featuring William Tell, The Barber of Seville and Cinderella.",This Is Rossini
"2 Nouvelles compositions: No. 1, À Grenade",https://open.spotify.com/track/7iZLJBIdSEj4cCNkIkYDoY,"Rossini: Piano Music, Vol. 10",https://open.spotify.com/album/2jT0pTgizGCywSfSkSA6nV,"Gioachino Rossini, Giuseppina Bridelli, Alessandro Marangoni","https://open.spotify.com/artist/0roWUeP7Ac4yK4VN6L2gF4, https://open.spotify.com/artist/4n8jCS36j50D3Hm6V75gKl, https://open.spotify.com/artist/0OlYS1Nvt0W68RQpXv2eq9",2022-06-28,227813,2021-12-21,"The greatest operatic and orchestral works of Rossini, featuring William Tell, The Barber of Seville and Cinderella.",This Is Rossini
"Armida, Act I: Sinfonia",https://open.spotify.com/track/441mds6ACUa6pLmEg6gqZw,"Rossini: Complete Overtures, Vol. 4",https://open.spotify.com/album/3BPOFrEqoNhAHHSgnGoCNn,"Gioachino Rossini, Prague Sinfonia, Christian Benda","https://open.spotify.com/artist/0roWUeP7Ac4yK4VN6L2gF4, https://open.spotify.com/artist/2rslujXEON2msrHEXH3VjL, https://open.spotify.com/artist/0BJkJ1ZYbOXeQMhQLT1Uhy",2019-11-20,367306,2021-12-21,"The greatest operatic and orchestral works of Rossini, featuring William Tell, The Barber of Seville and Cinderella.",This Is Rossini
"Armida, Act I: Sinfonia",https://open.spotify.com/track/5czLSRyPx1vfpxzvnJUqzU,"Rossini: Complete Overtures, Vol. 4",https://open.spotify.com/album/68KJcjZbLWI1YpCodH8Ixa,"Gioachino Rossini, Prague Sinfonia, Christian Benda","https://open.spotify.com/artist/0roWUeP7Ac4yK4VN6L2gF4, https://open.spotify.com/artist/2rslujXEON2msrHEXH3VjL, https://open.spotify.com/artist/0BJkJ1ZYbOXeQMhQLT1Uhy",2022-06-28,367306,2021-12-21,"The greatest operatic and orchestral works of Rossini, featuring William Tell, The Barber of Seville and Cinderella.",This Is Rossini
Canzonetta spagnuola,https://open.spotify.com/track/4XSwn2DpUy5ZbzcCmrBSqN,"Rossini: Piano Music, Vol. 10",https://open.spotify.com/album/2jT0pTgizGCywSfSkSA6nV,"Gioachino Rossini, Giuseppina Bridelli, Alessandro Marangoni","https://open.spotify.com/artist/0roWUeP7Ac4yK4VN6L2gF4, https://open.spotify.com/artist/4n8jCS36j50D3Hm6V75gKl, https://open.spotify.com/artist/0OlYS1Nvt0W68RQpXv2eq9",2022-06-28,128933,2021-12-21,"The greatest operatic and orchestral works of Rossini, featuring William Tell, The Barber of Seville and Cinderella.",This Is Rossini
Canzonetta spagnuola,https://open.spotify.com/track/5qr0sWi6M8T3WVx4yty5jq,"Rossini: Piano Music, Vol. 10",https://open.spotify.com/album/4yqoIlUqL3UtCLluRi2BXl,"Gioachino Rossini, Giuseppina Bridelli, Alessandro Marangoni","https://open.spotify.com/artist/0roWUeP7Ac4yK4VN6L2gF4, https://open.spotify.com/artist/4n8jCS36j50D3Hm6V75gKl, https://open.spotify.com/artist/0OlYS1Nvt0W68RQpXv2eq9",2019-11-20,128933,2021-12-21,"The greatest operatic and orchestral works of Rossini, featuring William Tell, The Barber of Seville and Cinderella.",This Is Rossini
Duetto buffo di due gatti,https://open.spotify.com/track/6fNJ1XGd7DQOaOUemy5sVH,Rossini-Oeuvres vocales-Duo des chats-Ave maria-Promenade,https://open.spotify.com/album/1hWOXOktfgLpGq9WB5STV4,"Gioachino Rossini, Evelyne Razimowsky, Michel Piquemal, Jean-Claude Pennetier, Ensemble Vocal Michel Piquemal","https://open.spotify.com/artist/0roWUeP7Ac4yK4VN6L2gF4, https://open.spotify.com/artist/2tUtMDZs0o4u6KrgxJmJNg, https://open.spotify.com/artist/3NbsF5A8yWeNRdypH3AeKB, https://open.spotify.com/artist/4TsvA4Q8I8fXcOWAwzb5cb, https://open.spotify.com/artist/2vdKvMmKhaVXxJH0PmEchL",2019-11-20,185560,2021-12-21,"The greatest operatic and orchestral works of Rossini, featuring William Tell, The Barber of Seville and Cinderella.",This Is Rossini
Giovanna d'Arco - Cantata a voce sola con piano,https://open.spotify.com/track/0su1j6PMTNcPfo7ftQQWru,Rossini: Giovanna d'Arco; 19 songs,https://open.spotify.com/album/3VVwrNDAiowYFUeK5DSYZQ,"Gioachino Rossini, Cecilia Bartoli, Charles Spencer","https://open.spotify.com/artist/0roWUeP7Ac4yK4VN6L2gF4, https://open.spotify.com/artist/3uw6GzeL10NfFrcikMo9Na, https://open.spotify.com/artist/1rJfq4FTiCrG734zcybxQN",2019-11-20,975493,2021-12-21,"The greatest operatic and orchestral works of Rossini, featuring William Tell, The Barber of Seville and Cinderella.",This Is Rossini
Il barbiere di Siviglia / Act 2: No. 15 Temporale (Thunderstorm),https://open.spotify.com/track/3mb8XLlJgkjq2gpuS8coAc,Rossini: Il Barbiere di Siviglia,https://open.spotify.com/album/2kSCA5c2qEXVIGmvtGwIXQ,"Gioachino Rossini, Bavarian Radio Symphony Orchestra, Bruno Bartoletti","https://open.spotify.com/artist/0roWUeP7Ac4yK4VN6L2gF4, https://open.spotify.com/artist/74gWOpgM97HU3Mn8A8d0Vm, https://open.spotify.com/artist/7drPVBAlMSneq1rZuNM3FQ",2019-11-20,184840,2021-12-21,"The greatest operatic and orchestral works of Rossini, featuring William Tell, The Barber of Seville and Cinderella.",This Is Rossini
"Il barbiere di Siviglia, Act I: No. 8, Aria. A un dottor della mia sorte",https://open.spotify.com/track/6EUtAuCpqmZvnjNczByRBy,Rossini: Il barbiere di Siviglia; La Cenerentola; L'Italiana in Algeri; Il viaggio a Reims,https://open.spotify.com/album/7u9uW03SaWgRSaDEQyWmN8,"Gioachino Rossini, Enzo Dara, London Symphony Orchestra, Claudio Abbado","https://open.spotify.com/artist/0roWUeP7Ac4yK4VN6L2gF4, https://open.spotify.com/artist/03SZ5zVrrY9ydcNEqpaQrZ, https://open.spotify.com/artist/5yxyJsFanEAuwSM5kOuZKc, https://open.spotify.com/artist/6HclTVD03WSY6GUpN16BkP",2019-11-20,366226,2021-12-21,"The greatest operatic and orchestral works of Rossini, featuring William Tell, The Barber of Seville and Cinderella.",This Is Rossini
