track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Cae el Sol / Planta (SEP7IMO DIA),https://open.spotify.com/track/0tkUZvL9ZbNLnzJ4jHeiOL,SEP7IMO DIA,https://open.spotify.com/album/0HUncweJW3LTO0YOvOEX4a,Soda Stereo,https://open.spotify.com/artist/7An4yvF7hDYDolN4m5zKBp,2020-02-27,320040,2022-06-30,"Cierra los ojos, y deja que la música haga el resto.",Soda Stereo: Para volar
Coral,https://open.spotify.com/track/13fEiuZo5A4aiPNRds3OpM,Comfort Y Musica Para Volar,https://open.spotify.com/album/5RJLKN7ucuVaRAUzNKtKB8,Soda Stereo,https://open.spotify.com/artist/7An4yvF7hDYDolN4m5zKBp,2020-02-27,222133,2022-06-30,"Cierra los ojos, y deja que la música haga el resto.",Soda Stereo: Para volar
Corazón Delator - Remasterizado 2007,https://open.spotify.com/track/2zaZ81JI8KbYaL7210BB0U,Doble Vida (Remastered),https://open.spotify.com/album/0mEY1U7SZdIwDWylFm2UC4,Soda Stereo,https://open.spotify.com/artist/7An4yvF7hDYDolN4m5zKBp,2020-02-27,312840,2022-06-30,"Cierra los ojos, y deja que la música haga el resto.",Soda Stereo: Para volar
Crema De Estrellas - Remasterizado 2007,https://open.spotify.com/track/7KdHxPQklzjdmiaORyNQGb,Sueño Stereo (Remastered),https://open.spotify.com/album/1A3VRbn7Kto2ov0LkSY0eg,Soda Stereo,https://open.spotify.com/artist/7An4yvF7hDYDolN4m5zKBp,2020-02-27,277120,2022-06-30,"Cierra los ojos, y deja que la música haga el resto.",Soda Stereo: Para volar
Ecos - Remasterizado 2007,https://open.spotify.com/track/1Dti4H4XC1IetaCDpI8MU0,Nada Personal (Remastered),https://open.spotify.com/album/0hyq754QnaKHYpH32QnWqs,Soda Stereo,https://open.spotify.com/artist/7An4yvF7hDYDolN4m5zKBp,2020-02-27,297733,2022-06-30,"Cierra los ojos, y deja que la música haga el resto.",Soda Stereo: Para volar
Efecto Doppler - Remasterizado 2007,https://open.spotify.com/track/78fEwrT5UGW1CZfFnEqmUk,Sueño Stereo (Remastered),https://open.spotify.com/album/1A3VRbn7Kto2ov0LkSY0eg,Soda Stereo,https://open.spotify.com/artist/7An4yvF7hDYDolN4m5zKBp,2020-02-27,302800,2022-06-30,"Cierra los ojos, y deja que la música haga el resto.",Soda Stereo: Para volar
En la Ciudad de la Furia - MTV Unplugged,https://open.spotify.com/track/2p4FOWHHd2A6TBmTkdt1G0,Comfort Y Musica Para Volar,https://open.spotify.com/album/5RJLKN7ucuVaRAUzNKtKB8,Soda Stereo,https://open.spotify.com/artist/7An4yvF7hDYDolN4m5zKBp,2020-02-27,522000,2022-06-30,"Cierra los ojos, y deja que la música haga el resto.",Soda Stereo: Para volar
En Remolinos - Remasterizado 2007,https://open.spotify.com/track/79Q5YxAu9UhTGtG70k9sIR,Dynamo (Remastered),https://open.spotify.com/album/4bfwXuecOmNVlPM5RStAiQ,Soda Stereo,https://open.spotify.com/artist/7An4yvF7hDYDolN4m5zKBp,2020-02-27,277186,2022-06-30,"Cierra los ojos, y deja que la música haga el resto.",Soda Stereo: Para volar
Fue - Remasterizado 2007,https://open.spotify.com/track/71ymTqjg6wUvgNksseSgbC,Dynamo (Remastered),https://open.spotify.com/album/4bfwXuecOmNVlPM5RStAiQ,Soda Stereo,https://open.spotify.com/artist/7An4yvF7hDYDolN4m5zKBp,2020-02-27,232933,2022-06-30,"Cierra los ojos, y deja que la música haga el resto.",Soda Stereo: Para volar
Moirè - Remasterizado 2007,https://open.spotify.com/track/0DrAH8PKnAIbFqAfnMlpzG,Sueño Stereo (Remastered),https://open.spotify.com/album/1A3VRbn7Kto2ov0LkSY0eg,Soda Stereo,https://open.spotify.com/artist/7An4yvF7hDYDolN4m5zKBp,2020-02-27,242373,2022-06-30,"Cierra los ojos, y deja que la música haga el resto.",Soda Stereo: Para volar
Pasos - Remasterizado 2007,https://open.spotify.com/track/7KMxBakqV7SKVrS6qDv2yq,Sueño Stereo (Remastered),https://open.spotify.com/album/1A3VRbn7Kto2ov0LkSY0eg,Soda Stereo,https://open.spotify.com/artist/7An4yvF7hDYDolN4m5zKBp,2020-02-27,233706,2022-06-30,"Cierra los ojos, y deja que la música haga el resto.",Soda Stereo: Para volar
Planeador,https://open.spotify.com/track/1css4Yf4FaorSKniMFMdJw,Comfort Y Musica Para Volar,https://open.spotify.com/album/5RJLKN7ucuVaRAUzNKtKB8,Soda Stereo,https://open.spotify.com/artist/7An4yvF7hDYDolN4m5zKBp,2020-02-27,275173,2022-06-30,"Cierra los ojos, y deja que la música haga el resto.",Soda Stereo: Para volar
Planta - Remasterizado 2007,https://open.spotify.com/track/2Qmv6bDN1yazfH5OrhSlI9,Sueño Stereo (Remastered),https://open.spotify.com/album/1A3VRbn7Kto2ov0LkSY0eg,Soda Stereo,https://open.spotify.com/artist/7An4yvF7hDYDolN4m5zKBp,2020-02-27,292573,2022-06-30,"Cierra los ojos, y deja que la música haga el resto.",Soda Stereo: Para volar
Sonoman (Banda De Sonido),https://open.spotify.com/track/3KNdFPnW6CcRJOo7ONL2mg,Comfort Y Musica Para Volar,https://open.spotify.com/album/5RJLKN7ucuVaRAUzNKtKB8,Soda Stereo,https://open.spotify.com/artist/7An4yvF7hDYDolN4m5zKBp,2020-02-27,205466,2022-06-30,"Cierra los ojos, y deja que la música haga el resto.",Soda Stereo: Para volar
Sweet Sahumerio - Remasterizado 2007,https://open.spotify.com/track/0GcU3ZhlnF5k3vKjqPRifa,Dynamo (Remastered),https://open.spotify.com/album/4bfwXuecOmNVlPM5RStAiQ,Soda Stereo,https://open.spotify.com/artist/7An4yvF7hDYDolN4m5zKBp,2020-02-27,363360,2022-06-30,"Cierra los ojos, y deja que la música haga el resto.",Soda Stereo: Para volar
X Playo - Remasterizado 2007,https://open.spotify.com/track/743BAjD2J8pskuff8fP3Vx,Sueño Stereo (Remastered),https://open.spotify.com/album/1A3VRbn7Kto2ov0LkSY0eg,Soda Stereo,https://open.spotify.com/artist/7An4yvF7hDYDolN4m5zKBp,2020-02-27,247826,2022-06-30,"Cierra los ojos, y deja que la música haga el resto.",Soda Stereo: Para volar
