track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
10 Things I Hate About You,https://open.spotify.com/track/6Jkm5kUldvIqxzI1Pa7nXH,10 Things I Hate About You,https://open.spotify.com/album/26hYEKjKZU1sTC4mUPpVI6,Leah Kate,https://open.spotify.com/artist/6oWOHAOyBUn6aJlKIPJK9r,2022-11-15,157138,2023-06-18,"pop woke up and chose chaos. cover: LISA, ROSALÍA",POP EDGE
10 Things I Hate About You,https://open.spotify.com/track/7I4XALvCb2VEmOCtGUe5uY,Alive and Unwell,https://open.spotify.com/album/6s1pB9DnJEgdQVEXDzHsgB,Leah Kate,https://open.spotify.com/artist/6oWOHAOyBUn6aJlKIPJK9r,2022-11-15,157138,2023-06-18,"pop woke up and chose chaos. cover: LISA, ROSALÍA",POP EDGE
29,https://open.spotify.com/track/3gXWe15nwrjfhjYQ5RqLx7,29,https://open.spotify.com/album/4SCO1XGo1Lv43OighlwqsL,Demi Lovato,https://open.spotify.com/artist/6S2OmqARrzebs0tKUEyXyp,2022-11-15,163027,2023-06-18,"pop woke up and chose chaos. cover: LISA, ROSALÍA",POP EDGE
A Dangerous Thing,https://open.spotify.com/track/0PDlmmYkuQCUAFhMXvtlsU,The Gods We Can Touch,https://open.spotify.com/album/5z1xjvymitc0DJETtvVmaX,AURORA,https://open.spotify.com/artist/1WgXqy2Dd70QQOU7Ay074N,2022-11-15,215573,2023-06-18,"pop woke up and chose chaos. cover: LISA, ROSALÍA",POP EDGE
A Dangerous Thing,https://open.spotify.com/track/3Ola5gPTe1NK9GgnVgLoVX,A Dangerous Thing,https://open.spotify.com/album/0JyKCwmc6Ye0J88dwkm8uj,AURORA,https://open.spotify.com/artist/1WgXqy2Dd70QQOU7Ay074N,2024-01-16,215573,2023-06-18,"pop woke up and chose chaos. cover: LISA, ROSALÍA",POP EDGE
abcdefu,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,abcdefu,https://open.spotify.com/album/6tUQPKlpR4x1gjrXTtOImI,GAYLE,https://open.spotify.com/artist/2VSHKHBTiXWplO8lxcnUC9,2022-11-15,168601,2023-06-18,"pop woke up and chose chaos. cover: LISA, ROSALÍA",POP EDGE
Baby,https://open.spotify.com/track/4KNk5VS4bR4nUVvnJwVmUE,Baby,https://open.spotify.com/album/7guVedOngStKyoYMzMdWzj,Charli xcx,https://open.spotify.com/artist/25uiPmTg16RbhZWAqwLBy5,2022-11-15,159920,2023-06-18,"pop woke up and chose chaos. cover: LISA, ROSALÍA",POP EDGE
Beggin For Thread,https://open.spotify.com/track/4PvD06Pmbm2rHG2JjSlElF,Goddess (Deluxe),https://open.spotify.com/album/1eeYYgK208xvkCEGkYqWah,BANKS,https://open.spotify.com/artist/2xe8IXgCTpwHE3eA9hTs4n,2022-11-15,249739,2023-06-18,"pop woke up and chose chaos. cover: LISA, ROSALÍA",POP EDGE
Billion Dollar Bitch,https://open.spotify.com/track/1NXsoL5kWo6j41SP1NUpLF,Billion Dollar Bitch,https://open.spotify.com/album/5MiVQWINwHLDiOGTb20f0a,"Mia Rodriguez, Baby Tate","https://open.spotify.com/artist/7Hsfh7YZzoyojYWQeMSHID, https://open.spotify.com/artist/3IJ21966TwNZI24MwZHMu4",2024-01-16,188442,2023-06-18,"pop woke up and chose chaos. cover: LISA, ROSALÍA",POP EDGE
Billion Dollar Bitch (feat. Yung Baby Tate),https://open.spotify.com/track/2ERxhNVMT1Fd5fNyX6CIcW,Billion Dollar Bitch (feat. Yung Baby Tate),https://open.spotify.com/album/3fuXDz3sxWe8k9Ny9iqB0O,"Mia Rodriguez, Baby Tate","https://open.spotify.com/artist/7Hsfh7YZzoyojYWQeMSHID, https://open.spotify.com/artist/3IJ21966TwNZI24MwZHMu4",2022-11-15,188442,2023-06-18,"pop woke up and chose chaos. cover: LISA, ROSALÍA",POP EDGE
Bitches These Days,https://open.spotify.com/track/1Ls9hQqVRPIIWnylIlHg48,Bitches These Days,https://open.spotify.com/album/0B3EG9By8Xd8gTcNUYh0Wo,Olivia O'Brien,https://open.spotify.com/artist/1QRj3hoop9Mv5VvHQkwPEp,2022-11-15,143428,2023-06-18,"pop woke up and chose chaos. cover: LISA, ROSALÍA",POP EDGE
Bite Me,https://open.spotify.com/track/6dfwRetlyLPBoQzdufbOWj,Love Sux,https://open.spotify.com/album/5pkQpJAHxy9BzwA7E1UWxF,Avril Lavigne,https://open.spotify.com/artist/0p4nmQO2msCgU4IF37Wi3j,2022-11-15,159746,2023-06-18,"pop woke up and chose chaos. cover: LISA, ROSALÍA",POP EDGE
BLEED,https://open.spotify.com/track/4PQeiGGiaWjaujJWPjZswy,BLEED,https://open.spotify.com/album/6OQwaX0jFbUlUDdrF2dETa,Evie Irie,https://open.spotify.com/artist/2ReivzVeWl6GawKNyVTLmK,2024-01-16,182398,2023-06-18,"pop woke up and chose chaos. cover: LISA, ROSALÍA",POP EDGE
Bois Lie (feat. Machine Gun Kelly),https://open.spotify.com/track/2lHktSigIAZqf7BkA7NRS7,Love Sux,https://open.spotify.com/album/7hH7rqTATIJ9DaYwWEdNLb,"Avril Lavigne, mgk","https://open.spotify.com/artist/0p4nmQO2msCgU4IF37Wi3j, https://open.spotify.com/artist/6TIYQ3jFPwQSRmorSezPxX",2022-11-15,163321,2023-06-18,"pop woke up and chose chaos. cover: LISA, ROSALÍA",POP EDGE
Boyfriend,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj,Boyfriend,https://open.spotify.com/album/4jUfPmvZGiRRJwULbfk1dc,Dove Cameron,https://open.spotify.com/artist/2W8yFh0Ga6Yf3jiayVxwkE,2022-11-15,153000,2023-06-18,"pop woke up and chose chaos. cover: LISA, ROSALÍA",POP EDGE
Brad Pitt,https://open.spotify.com/track/603NmSpDReeERhC8heOeVB,Brad Pitt / Goosebumps,https://open.spotify.com/album/6hqILisIRev9wwnscJlwjR,MØ,https://open.spotify.com/artist/0bdfiayQAKewqEvaU6rXCv,2022-11-15,181706,2023-06-18,"pop woke up and chose chaos. cover: LISA, ROSALÍA",POP EDGE
Breakfast,https://open.spotify.com/track/6GUiIbJ834FcHewby3PwV0,Breakfast,https://open.spotify.com/album/7HWnZ3HvfiVjEIyFWC4Qlf,Dove Cameron,https://open.spotify.com/artist/2W8yFh0Ga6Yf3jiayVxwkE,2022-11-15,148470,2023-06-18,"pop woke up and chose chaos. cover: LISA, ROSALÍA",POP EDGE
Children In The Dark,https://open.spotify.com/track/1ZN3EnL4tP2Zkh8DovRgS6,Children In The Dark,https://open.spotify.com/album/1JTKZkNMSUvvZy4hGsXJKI,AViVA,https://open.spotify.com/artist/50tDsT4wwq8FCMJNkn1D67,2024-01-16,178842,2023-06-18,"pop woke up and chose chaos. cover: LISA, ROSALÍA",POP EDGE
cinderella's dead,https://open.spotify.com/track/5MWXOo8DJwgODtPGaietNz,cinderella's dead,https://open.spotify.com/album/7xynMeclusR20e0CXvvSOS,EMELINE,https://open.spotify.com/artist/4S38gbKfKkEbty2YAIDIlV,2022-11-15,120666,2023-06-18,"pop woke up and chose chaos. cover: LISA, ROSALÍA",POP EDGE
Close,https://open.spotify.com/track/6BjW5OmG3t8KoibCQGxW5J,Close,https://open.spotify.com/album/0qnu5fodeC4uxonNF1G22f,CXLOE,https://open.spotify.com/artist/6M25WWmNO7wK1DnKmd3z6R,2022-11-15,197013,2023-06-18,"pop woke up and chose chaos. cover: LISA, ROSALÍA",POP EDGE
counting crimes,https://open.spotify.com/track/3EsFsEIcsdf4r5Y9UuW0yC,counting crimes,https://open.spotify.com/album/1v48gFxTeyWAeZDcB06sQW,Nessa Barrett,https://open.spotify.com/artist/7pwufEBGfggjoI8twqlsmQ,2022-11-15,182676,2023-06-18,"pop woke up and chose chaos. cover: LISA, ROSALÍA",POP EDGE
Cry,https://open.spotify.com/track/2au4DyNFX59VLV5elmhagj,Cry,https://open.spotify.com/album/0hble8eLgWuU9xMZVwn7EU,Cat & Calmell,https://open.spotify.com/artist/0SaaipFXHYbYDLDB6atAoR,2024-01-16,189628,2023-06-18,"pop woke up and chose chaos. cover: LISA, ROSALÍA",POP EDGE
Cure For Me,https://open.spotify.com/track/33WTgxRdPBQQpVCMXpNxhO,The Gods We Can Touch,https://open.spotify.com/album/5z1xjvymitc0DJETtvVmaX,AURORA,https://open.spotify.com/artist/1WgXqy2Dd70QQOU7Ay074N,2022-11-15,201640,2023-06-18,"pop woke up and chose chaos. cover: LISA, ROSALÍA",POP EDGE
Cure For Me,https://open.spotify.com/track/7kEva2rxsNMn07fyfZMRRn,Cure For Me,https://open.spotify.com/album/0wmk4PJg0PWWaADQeAVO6N,AURORA,https://open.spotify.com/artist/1WgXqy2Dd70QQOU7Ay074N,2024-01-16,201640,2023-06-18,"pop woke up and chose chaos. cover: LISA, ROSALÍA",POP EDGE
Daisy,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk,Daisy,https://open.spotify.com/album/5tRhwDUyr3HypAaJysxUki,Ashnikko,https://open.spotify.com/artist/3PyJHH2wyfQK3WZrk9rpmP,2022-11-15,146523,2023-06-18,"pop woke up and chose chaos. cover: LISA, ROSALÍA",POP EDGE
