track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
'Round Midnight,https://open.spotify.com/track/5rVp4lUeVnreDokWtWJ08a,'Round Midnight,https://open.spotify.com/album/21hu6rdw1Tj3lake6poRGg,Nick Osman Trio,https://open.spotify.com/artist/2Al01GKqZ47q0irdqBXMQr,2023-05-25,214236,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
"'Round Midnight - Live At Palais Des Congres, Paris / 1999",https://open.spotify.com/track/55dXdlQMp4kxbN3z50CYJq,Whisper Not,https://open.spotify.com/album/62mXx6KyfhkdLrLivZbe53,Keith Jarrett Trio,https://open.spotify.com/artist/3OJGG2blZ0c3YTOMSKZaHj,2022-05-18,403760,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
A Certain Sadness,https://open.spotify.com/track/3rNEyZg9zAnT5djNUpsUSc,A Certain Sadness,https://open.spotify.com/album/432pjknSR4Z25xrKOo7ZNo,Monica Borrfors,https://open.spotify.com/artist/6kQLrF8BwbKymqwvCJJzLb,2022-05-18,339826,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
A Few Odd Jobs,https://open.spotify.com/track/3iqhWCI6anGEfsGuHgTOCm,A Few Odd Jobs,https://open.spotify.com/album/32mipwmPBIaktTnArY4kJt,Tore Lundblad,https://open.spotify.com/artist/4zNremLzDLV4qylYjP0nR2,2022-11-10,192807,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
A Glimpse Of The Future,https://open.spotify.com/track/6D3Imkm2BqdYhn1RoFVGmY,A Glimpse Of The Future,https://open.spotify.com/album/5qXuFVg88DnAFDpYtl9A9S,Nelly Vernon,https://open.spotify.com/artist/2QTDEcFCA6jvoJwQsm3TpS,2023-08-17,149015,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
A Hero Lives Another Day,https://open.spotify.com/track/5R5fWpRXhe5YqmtZ2WPzw0,A Hero Lives Another Day,https://open.spotify.com/album/15BIymmR9Y0raWZcbcFs6n,Claudia Torrek,https://open.spotify.com/artist/2vTJc7s0MUGFXfXVK8TypJ,2022-11-10,186768,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
A Hundred Dreams from Now,https://open.spotify.com/track/2R9KveaVtFgiiEC6KSF9un,A Hundred Dreams from Now,https://open.spotify.com/album/1OLQClJexwEK6xNTb5mU4L,Ray Bryant,https://open.spotify.com/artist/617L0tV5Y7lMvUHGHR43AR,2022-05-18,206040,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
A Hundred Dreams from Now,https://open.spotify.com/track/0VIr8A09UYvMTrGw0Um7op,Presenting Ray Bryant,https://open.spotify.com/album/4hoqZsjtH7nMw3KO3tbPwq,Ray Bryant,https://open.spotify.com/artist/617L0tV5Y7lMvUHGHR43AR,2022-06-29,206053,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
Abisko,https://open.spotify.com/track/65zFbHuyUdai6WFwtPAkix,Abisko,https://open.spotify.com/album/0Lkn1OWDVLcaxHR9hOmyBp,Norberg,https://open.spotify.com/artist/4clALHmaxBpsJ0aWHb3Rdy,2022-11-10,168190,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
Aesthete,https://open.spotify.com/track/0oJWmWozI8Hgn9kxkv6vaL,Aesthete,https://open.spotify.com/album/3PJ0KtKGlCir7TYGmQaZ8q,Billy Hicks Quartet,https://open.spotify.com/artist/4ICOVaHa5cPigwgMb9opB5,2023-01-05,222459,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
After You've Gone,https://open.spotify.com/track/1gl8PiCrspI8S4psbqjDgy,Be Cool,https://open.spotify.com/album/1mZiyKK7JnEeisBpPWvk7D,Eddie Henderson,https://open.spotify.com/artist/4LMsUGCTzMsLYcL90zb8sF,2022-05-18,424243,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
Alba,https://open.spotify.com/track/0S2mPQyeW7ivA6HIyxR7pB,Echoes,https://open.spotify.com/album/00TmCrY8qOym3jKstft5fx,Søren Bebe Trio,https://open.spotify.com/artist/32sqNe2WFtog9WufAVd8EI,2022-05-18,264920,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
All My Love,https://open.spotify.com/track/7ncpKFg4IUzVIjnSPTD98y,All My Love,https://open.spotify.com/album/31hSeksEGpMamJ3hUKAmJ1,The Collective,https://open.spotify.com/artist/36tnEBoX2HE41bmQi1xWKP,2022-11-10,238113,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
Almost Blue,https://open.spotify.com/track/5VMVG1XzdiIY8dGnwaKiDJ,Sings Two Portraits Of Chet Baker,https://open.spotify.com/album/7CgSA98wX3HgocA6IL5F9T,Fay Claassen,https://open.spotify.com/artist/5NRdz3sJhdfzGhHE9zK5Lz,2022-05-18,336866,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
Alone Together,https://open.spotify.com/track/3lBFgKoGy3rAHejRPzeeTM,The Art Of The Ballad,https://open.spotify.com/album/1Lk2q3F58c6vU6egnTHIMa,Chet Baker,https://open.spotify.com/artist/3rxeQlsv0Sc2nyYaZ5W71T,2022-05-18,409133,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
An Evening In Vienna,https://open.spotify.com/track/3bop0vSSbniMVgkYuOCEKR,An Evening In Vienna,https://open.spotify.com/album/3WfIRV65RyKAJeVTXR4WEr,George Kuntz Four,https://open.spotify.com/artist/6bPFM0SEcXOJwLr0aY024d,2023-08-24,184135,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
Anse Source d'Argent,https://open.spotify.com/track/4jl1mBMyPdpDh0mYadTZhR,Anse Source d'Argent,https://open.spotify.com/album/78HJ40CFyeOvdOhGy9LItG,Jenny Jones,https://open.spotify.com/artist/4EDpGeRNin742qDkiwBE1X,2023-01-12,238077,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
At Dusk,https://open.spotify.com/track/0XVdTFUuT5GpxURuICaFKK,At Dusk,https://open.spotify.com/album/5uRwkihneepvVSGokwLDNO,Hara Noda,https://open.spotify.com/artist/6ezFSYpcIHmJfQ0ZrGQmyh,2022-11-10,204751,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
Autumn Leaves,https://open.spotify.com/track/4cBpmIjCDJ9k5o0EHaDZkp,Nat King Cole - Unforgettable,https://open.spotify.com/album/5UF70dBT0xrMvQkPj4nJqk,Nat King Cole,https://open.spotify.com/artist/7v4imS0moSyGdXyLgVTIV7,2022-05-18,161766,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
B Minor Waltz - Remastered 2003,https://open.spotify.com/track/1G8ZiodFtDX5tNHwvxcllW,You Must Believe In Spring (Remastered Version),https://open.spotify.com/album/2B583jxnkHmIyBU6Z8VlmI,Bill Evans,https://open.spotify.com/artist/4jXfFzeP66Zy67HM2mvIIF,2022-05-18,196026,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
"Baby, Won't You Please Come Home",https://open.spotify.com/track/4iOFAH9FahG23udXHi83G9,Dream with Dean,https://open.spotify.com/album/3yHEoxFfjdoM0zJjsApvFL,Dean Martin,https://open.spotify.com/artist/49e4v89VmlDcFCMyDv9wQ9,2022-05-18,134213,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
Ballad Of The Sad Young Men - Live,https://open.spotify.com/track/7KUTZdBEWzHjdf9Hwr5FHT,Tribute,https://open.spotify.com/album/2AUplxqaiqTaDpY9QsCgPx,Keith Jarrett Trio,https://open.spotify.com/artist/3OJGG2blZ0c3YTOMSKZaHj,2022-09-08,422200,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
Ballade for the Very Sad and Very Tired Lotus Eaters,https://open.spotify.com/track/4JZPaFrRUNSYjvLfvQNaGQ,"Hodges: Front and Center, Vol. 1",https://open.spotify.com/album/28dVtoSWcKtalEahjQqnxv,Owen Broder,https://open.spotify.com/artist/6IPqNkZOxgZ3lAubAiVtWy,2023-06-22,253106,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
Ballade for the Very Sad and Very Tired Lotus Eaters,https://open.spotify.com/track/7CxYBXp6hBFnnyYm7ivNCd,"Hodges: Front and Center, Vol. 1",https://open.spotify.com/album/0RzxAxiOOJgClVialkdLmD,Owen Broder,https://open.spotify.com/artist/6IPqNkZOxgZ3lAubAiVtWy,2022-10-13,253106,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
Before It's Time to Say Goodbye,https://open.spotify.com/track/4lj4cW45UP5tQ8AhRxnQi9,Songbook,https://open.spotify.com/album/1iygnpMlnC5R3HtPJ6dIF3,Kenny Garrett,https://open.spotify.com/artist/0Vz0vgVrclNJlHBLrgjklY,2022-05-18,317946,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
Being the problem,https://open.spotify.com/track/2wJkGPUzUHcdDCPHe0bF4b,Being the problem,https://open.spotify.com/album/7j8VO9KD9r54qiFTQevH8T,Mabon Clarke Quartet,https://open.spotify.com/artist/1PxVNcTPbAGfnt4i21wDzc,2023-12-22,176337,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
"Bewitched, Bothered and Bewildered",https://open.spotify.com/track/2aROA14wjchRPpxJMrhzKm,"Songs: The Art of the Trio, Vol. 3",https://open.spotify.com/album/4XrD4Ta5YWbmJ1O1I4qnS9,Brad Mehldau,https://open.spotify.com/artist/2vI9KFm0fwSfPrpEgOeIbq,2022-09-08,358533,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
Black Coffee,https://open.spotify.com/track/2Rejh16NV462TwiGGf5YNL,Ella Fitzgerald - First Lady Of Song,https://open.spotify.com/album/7n5UUn75pwadVsF2nujN0V,Ella Fitzgerald,https://open.spotify.com/artist/5V0MlUE1Bft0mbLlND7FJz,2022-05-18,210400,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
Black Forest Rose,https://open.spotify.com/track/46KhjnbImVzXTidxnZeqzH,Black Forest Rose,https://open.spotify.com/album/6uCZP5InNgoKOxh8WPQkYz,Yorkville,https://open.spotify.com/artist/6VR3RgGN43zxy9ckRugsXn,2022-10-13,269500,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
Blackberry Winter - Take 9,https://open.spotify.com/track/58TYwpwO71uvA0QFOXHqhX,Bop-Be,https://open.spotify.com/album/7DM12JfJHYoxEVUUZkkHCC,Keith Jarrett,https://open.spotify.com/artist/0F3Aew9DSd6fb6192K1K0Y,2022-05-18,217186,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
Blame It on My Youth,https://open.spotify.com/track/1i6PhtGyfiWmnDg6BBaigZ,"The Art of the Trio, Vol. 1",https://open.spotify.com/album/3MIOYuA2uqGXFiwDbBK9Fc,Brad Mehldau,https://open.spotify.com/artist/2vI9KFm0fwSfPrpEgOeIbq,2022-05-18,377066,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
Blue And Sentimental,https://open.spotify.com/track/78ntGe4xyecZHg9exQWwK6,Plays Count Basie,https://open.spotify.com/album/7ETDHJ9yletBCxNx0ipr1x,Oscar Peterson,https://open.spotify.com/artist/6zkX5fhrSD4tdVOmimR9wB,2022-05-18,146093,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
Blue In Green,https://open.spotify.com/track/0xze9SRrm4Ul5LA4N1MtcE,Take This,https://open.spotify.com/album/4RI8UIrsKK3pODBLuYJo9r,Jacky Terrasson,https://open.spotify.com/artist/2I5A4xP3QGJEDKGhhXMAVr,2022-06-29,179586,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
Blue In Green,https://open.spotify.com/track/4B4B5pOvFvjYYNqulRp5rR,Take This,https://open.spotify.com/album/2jZzBodrUR86EwaUNSBuqv,Jacky Terrasson,https://open.spotify.com/artist/2I5A4xP3QGJEDKGhhXMAVr,2022-05-18,179586,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
Blue In Green (Take 3),https://open.spotify.com/track/60p18YXhrzLNrAaUXL8Bu6,Portrait In Jazz [Keepnews Collection],https://open.spotify.com/album/7dlYNvbD4QYDL3sSkTCjxi,"Bill Evans, Scott LaFaro, Paul Motian","https://open.spotify.com/artist/4jXfFzeP66Zy67HM2mvIIF, https://open.spotify.com/artist/4g7uUySyORXh2KgDEhgxXa, https://open.spotify.com/artist/4VIPZJwfn4EGbJxYVHJ0WX",2022-09-01,325786,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
Blue Romance,https://open.spotify.com/track/7AL3evf6T03lEluSTET854,Blue Romance,https://open.spotify.com/album/1SgyP8odpNQGFuRojV3XEH,Chris Memento,https://open.spotify.com/artist/6dLMos1sm6vC0KWbloaCXb,2022-11-10,242000,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
Blueberry Street,https://open.spotify.com/track/6YeUTstb4pY8jUE3xWhX0d,Blueberry Street,https://open.spotify.com/album/1RDmHgLLP027hDRFZxg0Fo,Danny Ryan Jazz Band,https://open.spotify.com/artist/3xs6vmsEWnke7fTjjn0n3j,2022-11-10,255734,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
Body And Soul,https://open.spotify.com/track/06xd6gNwwXK51BD4RJ0Khd,Ballads,https://open.spotify.com/album/4SaSGPT2uxIgJcMSCNvO1x,Freddie Hubbard,https://open.spotify.com/artist/0fTHKjepK5HWOrb2rkS5Em,2022-09-08,389733,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
Body And Soul,https://open.spotify.com/track/5B1XEvV3NaVPulBCafMGZg,Stan Getz Plays (Clef Records LPR),https://open.spotify.com/album/5VDjsnQKRNJyR90or4Tsjw,Stan Getz,https://open.spotify.com/artist/0FMucZsEnCxs5pqBjHjIc8,2022-05-18,195480,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
Born To Be Blue,https://open.spotify.com/track/0JbZXKGdbTWcE9Eqs0UYtx,Helen Merill,https://open.spotify.com/album/5ilzjsH4ER5ZaytJwnmn3C,Helen Merrill,https://open.spotify.com/artist/4JHlHSUko0ivu6fXYT8J2q,2022-05-18,315026,2022-05-19,Sad and gloomy instrumental Jazz.,Sad Jazz
