track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
18HUNNA (feat. Dave),https://open.spotify.com/track/2tC6dm3WkOKYcgS2nZybmg,Music x Road,https://open.spotify.com/album/6J41exElcUa6rK5SJmjV6S,"Headie One, Dave","https://open.spotify.com/artist/6UCQYrcJ6wab6gnQ89OJFh, https://open.spotify.com/artist/6Ip8FS7vWT1uKkJSweANQK",2022-10-23,189321,2023-04-01,Go hard or go home!,Drill Work
6am in Brighton,https://open.spotify.com/track/0pvPWDLzZcWFyXO2VantXA,6am in Brighton,https://open.spotify.com/album/5fuMhXg7UxrJWnm8qbWIVW,ArrDee,https://open.spotify.com/artist/7m0BsF0t3K9WQFgKoPejfk,2022-10-23,194366,2023-04-01,Go hard or go home!,Drill Work
A92 x Fumez The Engineer - Plugged In Freestyle,https://open.spotify.com/track/0goOUCNL6MYrqSVvGhvsxw,A92 x Fumez The Engineer - Plugged In Freestyle,https://open.spotify.com/album/2d2jGNehp3V4MKWusgvMbk,"Fumez The Engineer, A92, Offica","https://open.spotify.com/artist/0ksX396B3t2Gt8kwr0BJZk, https://open.spotify.com/artist/5uWT1NONby2BqNCu42fdDc, https://open.spotify.com/artist/3z9G13I73VCCZgf2j7i8q2",2022-10-23,240000,2023-04-01,Go hard or go home!,Drill Work
Ain't It Different (feat. AJ Tracey & Stormzy),https://open.spotify.com/track/6NJfIydBMYrXvlaXsFxmc8,Ain't It Different (feat. AJ Tracey & Stormzy),https://open.spotify.com/album/4DlHEcnhhUJbLuRvaOfdxC,"Headie One, AJ Tracey, Stormzy","https://open.spotify.com/artist/6UCQYrcJ6wab6gnQ89OJFh, https://open.spotify.com/artist/4Xi6LSfFqv26XgP9NKN26U, https://open.spotify.com/artist/2SrSdSvpminqmStGELCSNd",2022-10-23,196363,2023-04-01,Go hard or go home!,Drill Work
AirForce,https://open.spotify.com/track/3DLRRpaDETZYltj3KZ7kxo,AirForce,https://open.spotify.com/album/3ADX90oQVwuiHPT5ki5426,DigDat,https://open.spotify.com/artist/47rT8CoKTbr0S945AGgATQ,2022-10-23,221467,2023-04-01,Go hard or go home!,Drill Work
Back 2 Back,https://open.spotify.com/track/4o48inbA3UIzhN6bXmw7mq,Cold Feet,https://open.spotify.com/album/4PoW2QPYyGG7KqLYffTtym,"Rimzee, Dirtbike Lb, K-Trap","https://open.spotify.com/artist/65QlWmtWjcK3CPBung0ATT, https://open.spotify.com/artist/3LxQ9uN2B3DAn7riENlpcQ, https://open.spotify.com/artist/39XT9gMoNmMCOlvTTR273m",2022-10-23,188333,2023-04-01,Go hard or go home!,Drill Work
Bad One,https://open.spotify.com/track/55HHh45WOyOZtF4cPMR1W0,Bad One,https://open.spotify.com/album/2dRuU6vLhrV2PJDhX1I9uR,Private Zero,https://open.spotify.com/artist/2cxn83GFC9Ye95Ot9Z9dEf,2022-10-23,134142,2023-04-01,Go hard or go home!,Drill Work
Bella latina,https://open.spotify.com/track/1Win7IcNsGoZZBNtP85Lu4,Bella latina,https://open.spotify.com/album/52rEOwEWDXZOkJC4Rfp31p,French The Kid,https://open.spotify.com/artist/4k1cMkJjG3UCRptckbpAnC,2022-10-23,181900,2023-04-01,Go hard or go home!,Drill Work
Block 6 x Fumez The Engineer - Plugged In Freestyle,https://open.spotify.com/track/7esgTfwtLhISeKP7GgTsSP,Block 6 x Fumez The Engineer - Plugged In Freestyle,https://open.spotify.com/album/5nyybgL9emIvbudSnVbyAm,"Fumez The Engineer, Block 6, Lucii","https://open.spotify.com/artist/0ksX396B3t2Gt8kwr0BJZk, https://open.spotify.com/artist/4greawD4iPVecLHKENer73, https://open.spotify.com/artist/3aa1GMnXua8XTpaTcozfKR",2022-10-23,205714,2023-04-01,Go hard or go home!,Drill Work
"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",https://open.spotify.com/track/6uvMKqNlrSvcC4NaKnrwjZ,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",https://open.spotify.com/album/3ucQ8ogD2Li2U0rwkrdwlx,"Tion Wayne, Russ Millions, ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign, Darkoo","https://open.spotify.com/artist/7b79bQFziJFedJb75k6hFt, https://open.spotify.com/artist/3FoFW2AoUGRHBacC6i4x4p, https://open.spotify.com/artist/7m0BsF0t3K9WQFgKoPejfk, https://open.spotify.com/artist/63ebc5zUpJ36aoTDQJHa9B, https://open.spotify.com/artist/2uIRmVaCVpHQjaVgph5clS, https://open.spotify.com/artist/4Dokdwa3WB7ilQ2c2qvIBL, https://open.spotify.com/artist/5AiY4bxeXerLXx03JADdQv, https://open.spotify.com/artist/14CHVeJGrR5xgUGQFV5BVM, https://open.spotify.com/artist/4QSTyDpxsKmv3UfavVUImR",2022-10-23,278085,2023-04-01,Go hard or go home!,Drill Work
Bringing It Back,https://open.spotify.com/track/3inbZcvbbcwJFgEzZgANwE,Bringing It Back,https://open.spotify.com/album/51NcaYxQV6atdnmrCtQoc7,"Digga D, AJ Tracey","https://open.spotify.com/artist/57n1OF36WvtOeATY6WQ6iw, https://open.spotify.com/artist/4Xi6LSfFqv26XgP9NKN26U",2022-10-23,190937,2023-04-01,Go hard or go home!,Drill Work
Bumpy Johnson,https://open.spotify.com/track/1kxu6GYmdIdEATyPLBDAc0,No More Leaks,https://open.spotify.com/album/1HTdVIlFgO8o2Oby5rdXs0,Central Cee,https://open.spotify.com/artist/5H4yInM5zmHqpKIoMNAx4r,2022-10-23,161666,2023-04-01,Go hard or go home!,Drill Work
Call Me A Spartan,https://open.spotify.com/track/3tvtBZEkBPhrusKwj0Bhft,Call Me A Spartan,https://open.spotify.com/album/0L3E3Q7E8vGe64qn30FuUN,Harlem Spartans,https://open.spotify.com/artist/2tdPAMw1puUwZNvRo3Rq4g,2022-10-23,220000,2023-04-01,Go hard or go home!,Drill Work
Can't Be Us,https://open.spotify.com/track/2hZ17zF5a03Ly4by80wI2M,Can't Be Us,https://open.spotify.com/album/2dDf3sv8pGnm8Oa9eC86IM,"Headie One, Abra Cadabra, Bandokay","https://open.spotify.com/artist/6UCQYrcJ6wab6gnQ89OJFh, https://open.spotify.com/artist/1ZHk8dteZz6Vi2HFp4hGoM, https://open.spotify.com/artist/0CqfkYr7CBuSySa4wUBChE",2022-10-23,201555,2023-04-01,Go hard or go home!,Drill Work
"Circles (feat. OFB, Bandokay & Double Lz)",https://open.spotify.com/track/5TazMTxxEsLZMwnjjdb5t9,"Circles (feat. OFB, Bandokay & Double Lz)",https://open.spotify.com/album/0CnIY05VI9uCGgZ8ufPXHS,"Deno, Bandokay, Double Lz, OFB","https://open.spotify.com/artist/58ICshZ0AgBMNJiLHK3U8l, https://open.spotify.com/artist/0CqfkYr7CBuSySa4wUBChE, https://open.spotify.com/artist/4Al9wqYpl2Yi1XfUrDrZmS, https://open.spotify.com/artist/0koPE9U3b5XYArKa7R2TLm",2022-10-23,179154,2023-04-01,Go hard or go home!,Drill Work
Commitment Issues,https://open.spotify.com/track/5w3CtwPT5e0k8zg2LyjvNN,Commitment Issues,https://open.spotify.com/album/0RHc0eLRmJ7dFidneiGXeX,Central Cee,https://open.spotify.com/artist/5H4yInM5zmHqpKIoMNAx4r,2022-10-23,150663,2023-04-01,Go hard or go home!,Drill Work
Corn,https://open.spotify.com/track/4aaEROAXVunrYjS556YxAn,Corn,https://open.spotify.com/album/5hf9tYrWhDC5ZdKy7f9Kx8,2smokeyy,https://open.spotify.com/artist/4MUA591QaNW7xiMlMgBJV2,2022-10-23,201398,2023-04-01,Go hard or go home!,Drill Work
