track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
1979 It's Dancing Time (Full Length Album Mix),https://open.spotify.com/track/4HeTM95uOsZgfZkj0WKJ3P,Music Man,https://open.spotify.com/album/2uo8Z48H5MLZEok6e01JQ8,Revanche,https://open.spotify.com/artist/2JhFT8njG4DcTuLQAo0Bi9,2022-05-17,519546,2022-05-26,"Disco forever. Deeper cuts, forgotten gems and 8 minute versions.",Disco Decadence
24 Hours a Day,https://open.spotify.com/track/3hGTJe3xGgJKTR39eg6pIN,Northern Soul Keep the Faith,https://open.spotify.com/album/5y658PIi7zfsQGgWXgKj2B,Barbara Pennington,https://open.spotify.com/artist/4RREsGLwQNfpiQQ6cID4KR,2022-05-17,192240,2022-05-26,"Disco forever. Deeper cuts, forgotten gems and 8 minute versions.",Disco Decadence
A Night in New York - Remastered,https://open.spotify.com/track/3Rnj5AkLsMjZ7LCkptJHx2,Kid Creole - Ze August Darnell Sessions (Remastered 2018),https://open.spotify.com/album/06HUHbkpeBZfsVhLpZxUfJ,Elbow Bones And The Racketeers,https://open.spotify.com/artist/3ybGU1QPtfQ5QJHmaPjqmj,2022-05-17,261293,2022-05-26,"Disco forever. Deeper cuts, forgotten gems and 8 minute versions.",Disco Decadence
Ai No Corrida,https://open.spotify.com/track/40ajOocKCulUQ4EsqGgU57,The Dude,https://open.spotify.com/album/7IDq3nYy4yEhd2ob3ydXOu,Quincy Jones,https://open.spotify.com/artist/3rxIQc9kWT6Ueg4BhnOwRK,2022-05-17,386360,2022-05-26,"Disco forever. Deeper cuts, forgotten gems and 8 minute versions.",Disco Decadence
Ai No Corrida,https://open.spotify.com/track/0SzAKZYTUvDLqlPgllEb3N,The Dude,https://open.spotify.com/album/2GD9TjWG3Tu4JygAZniBY0,"Quincy Jones, Charles May","https://open.spotify.com/artist/3rxIQc9kWT6Ueg4BhnOwRK, https://open.spotify.com/artist/4IyqKACrQ4rsRa3M9KpZaB",2022-07-15,386360,2022-05-26,"Disco forever. Deeper cuts, forgotten gems and 8 minute versions.",Disco Decadence
Ain't No Mountain High Enough,https://open.spotify.com/track/06xAJjt8HY09e14cLmBmgP,Inner Life,https://open.spotify.com/album/2DqaJOmf1G5MxRPSRonwlB,Inner Life,https://open.spotify.com/artist/39fymbns0snQudVbD1hZjX,2023-09-18,479573,2022-05-26,"Disco forever. Deeper cuts, forgotten gems and 8 minute versions.",Disco Decadence
Ain't No Mountain High Enough,https://open.spotify.com/track/51uChSR8zp4cui4tLqiXb6,Inner Life,https://open.spotify.com/album/7ldc7KAIZ3JmsuCwIHcS2B,Inner Life,https://open.spotify.com/artist/39fymbns0snQudVbD1hZjX,2022-05-17,479600,2022-05-26,"Disco forever. Deeper cuts, forgotten gems and 8 minute versions.",Disco Decadence
Angel in My Pocket - Extended Version,https://open.spotify.com/track/3oLeHyYhacSx9LTy7jQiTZ,Magical Night (Greatest Hits Special Price),https://open.spotify.com/album/4oJxJx3YxgItQdfcihMD0f,Change,https://open.spotify.com/artist/2fJ2vi4PUSxyvYaeq0FTbE,2022-05-17,429813,2022-05-26,"Disco forever. Deeper cuts, forgotten gems and 8 minute versions.",Disco Decadence
"Automatic - 12"" Special Remix",https://open.spotify.com/track/0FCyuLdiv6YXC8YvbYkDM3,Break Out (1983 Version - Expanded Edition),https://open.spotify.com/album/6h1sv7NHAZA7tiErfICYLM,The Pointer Sisters,https://open.spotify.com/artist/2kreKea2n96dXjcyAU9j5N,2022-05-17,366360,2022-05-26,"Disco forever. Deeper cuts, forgotten gems and 8 minute versions.",Disco Decadence
"Bad Girls - 12"" Version",https://open.spotify.com/track/0qWZZsiCMibvawWrBOAyhD,Bad Girls (Deluxe Edition),https://open.spotify.com/album/4h63dypm4IYSGfCDe2Gcz6,Donna Summer,https://open.spotify.com/artist/2eogQKWWoohI3BSnoG7E2U,2022-05-17,295125,2022-05-26,"Disco forever. Deeper cuts, forgotten gems and 8 minute versions.",Disco Decadence
