track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
BAD GIRL (Prod. Czaer),https://open.spotify.com/track/4yCQYX8eKL1XYJmGglSV1A,Street Woman Fighter(SWF) Special,https://open.spotify.com/album/3iW6rZmhiSLNveTOrX26z6,"LACHICA, CHUNG HA","https://open.spotify.com/artist/0vqjEQRfmE1Sov92UQRJMp, https://open.spotify.com/artist/2PSJ6YriU7JsFucxACpU7Y",2021-11-24,194053,2022-05-15,Enjoy M.Net's dance battle show Street Woman Fighter's original & inserted songs. (댄스 배틀 프로그램 스트릿 우먼 파이터의 발매곡과 삽입곡들을 만나보세요.),Street Woman Fighter
BANG BANG BANG,https://open.spotify.com/track/3dI59jLoFMjMAyUAyRZnkE,MADE,https://open.spotify.com/album/2SPrl8C8pgSM5gXbAiyJHY,BIGBANG,https://open.spotify.com/artist/4Kxlr1PRlDKEB0ekOCyHgX,2021-11-24,220177,2022-05-15,Enjoy M.Net's dance battle show Street Woman Fighter's original & inserted songs. (댄스 배틀 프로그램 스트릿 우먼 파이터의 발매곡과 삽입곡들을 만나보세요.),Street Woman Fighter
Better,https://open.spotify.com/track/2k44rKotfi2k55hwwiCImN,BETTER - The 10th Album,https://open.spotify.com/album/3YXfuI3E6OxcrtXnjAgNkM,BoA,https://open.spotify.com/artist/4muJrGMndyYWqZtfk8OWy4,2021-11-24,199640,2022-05-15,Enjoy M.Net's dance battle show Street Woman Fighter's original & inserted songs. (댄스 배틀 프로그램 스트릿 우먼 파이터의 발매곡과 삽입곡들을 만나보세요.),Street Woman Fighter
Born This Way,https://open.spotify.com/track/6r2BECwMgEoRb5yLfp0Hca,Born This Way (Special Edition),https://open.spotify.com/album/5maeycU97NHBgwRr2h2A4O,Lady Gaga,https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms,2021-11-24,260252,2022-05-15,Enjoy M.Net's dance battle show Street Woman Fighter's original & inserted songs. (댄스 배틀 프로그램 스트릿 우먼 파이터의 발매곡과 삽입곡들을 만나보세요.),Street Woman Fighter
Boss Bitch,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k,Boss Bitch,https://open.spotify.com/album/4pmyFpGicLLIgNPc1TQXKc,Doja Cat,https://open.spotify.com/artist/5cj0lLjcoR7YOSnhnX0Po5,2021-11-24,134239,2022-05-15,Enjoy M.Net's dance battle show Street Woman Fighter's original & inserted songs. (댄스 배틀 프로그램 스트릿 우먼 파이터의 발매곡과 삽입곡들을 만나보세요.),Street Woman Fighter
CAVIAR,https://open.spotify.com/track/2aGMvjT2nOUiPM5IcHrCR5,Street Woman Fighter(SWF) Special,https://open.spotify.com/album/3iW6rZmhiSLNveTOrX26z6,"CocaNButter, CL","https://open.spotify.com/artist/2S9wwY3J0HrwZHZ6vRPl2q, https://open.spotify.com/artist/0tzSBCPJZmHTdOA3ZV2mN3",2021-11-24,147359,2022-05-15,Enjoy M.Net's dance battle show Street Woman Fighter's original & inserted songs. (댄스 배틀 프로그램 스트릿 우먼 파이터의 발매곡과 삽입곡들을 만나보세요.),Street Woman Fighter
Cold Blooded,https://open.spotify.com/track/34JfHOd0fcefm4FSPSrIhF,Cold Blooded,https://open.spotify.com/album/4CTDrZw6m0dTJX17OCEbfZ,Jessi,https://open.spotify.com/artist/64k5e9kV9MdukXjFrR5R37,2021-11-24,150053,2022-05-15,Enjoy M.Net's dance battle show Street Woman Fighter's original & inserted songs. (댄스 배틀 프로그램 스트릿 우먼 파이터의 발매곡과 삽입곡들을 만나보세요.),Street Woman Fighter
Dat $tick,https://open.spotify.com/track/4bdJHQp90ymjEIkkYhcENB,Dat $tick,https://open.spotify.com/album/7AKJUjNR4hlNcbj55lP5LA,Rich Brian,https://open.spotify.com/artist/2IDLDx25HU1nQMKde4n61a,2021-11-24,126666,2022-05-15,Enjoy M.Net's dance battle show Street Woman Fighter's original & inserted songs. (댄스 배틀 프로그램 스트릿 우먼 파이터의 발매곡과 삽입곡들을 만나보세요.),Street Woman Fighter
Desperado,https://open.spotify.com/track/2f6FeSVRU7OINi0OLkeFqj,OFF DUTY,https://open.spotify.com/album/5bC4Moqxle03k5N2RbhVun,Dynamicduo,https://open.spotify.com/artist/4nvFFLtv7ZqoTr83387uK4,2021-11-24,218386,2022-05-15,Enjoy M.Net's dance battle show Street Woman Fighter's original & inserted songs. (댄스 배틀 프로그램 스트릿 우먼 파이터의 발매곡과 삽입곡들을 만나보세요.),Street Woman Fighter
Deva,https://open.spotify.com/track/3E1xYL2UsFo5N6FwBOIctp,Deva (feat. Suku),https://open.spotify.com/album/1BsGP2AUnuAuY81U6RHfrk,"Ape Drums, Sukuward","https://open.spotify.com/artist/4HJnsUVBubdKJ2aV0sr48u, https://open.spotify.com/artist/0HTe090uRvK2wjx8rdIOl3",2021-11-24,175517,2022-05-15,Enjoy M.Net's dance battle show Street Woman Fighter's original & inserted songs. (댄스 배틀 프로그램 스트릿 우먼 파이터의 발매곡과 삽입곡들을 만나보세요.),Street Woman Fighter
Fire,https://open.spotify.com/track/2EwOnaGCrPjbmyZlt76NN4,2NE1 1st Mini Album,https://open.spotify.com/album/5WyEkWi7ZPMrVSbU1Cabba,2NE1,https://open.spotify.com/artist/1l0mKo96Jh9HVYONcRl3Yp,2021-11-24,222840,2022-05-15,Enjoy M.Net's dance battle show Street Woman Fighter's original & inserted songs. (댄스 배틀 프로그램 스트릿 우먼 파이터의 발매곡과 삽입곡들을 만나보세요.),Street Woman Fighter
Freaks,https://open.spotify.com/track/29r4I5RTxDR440DkqhbD9s,Excuse My French,https://open.spotify.com/album/5Llp1V2yhpdGle13fM1EWh,"French Montana, Nicki Minaj","https://open.spotify.com/artist/6vXTefBL93Dj5IqAWq6OTv, https://open.spotify.com/artist/0hCNtLu0JehylgoiP8L4Gh",2021-11-24,181920,2022-05-15,Enjoy M.Net's dance battle show Street Woman Fighter's original & inserted songs. (댄스 배틀 프로그램 스트릿 우먼 파이터의 발매곡과 삽입곡들을 만나보세요.),Street Woman Fighter
Hello from Honey J,https://open.spotify.com/track/0hXgzHXW0AZTOssjWVrxWT,Honey J - SWF,https://open.spotify.com/album/7y4C4He2W2BNgw6QVt4eNF,Honey J,https://open.spotify.com/artist/7GLNucMzWyvNW8FAabALKi,2021-11-24,11808,2022-05-15,Enjoy M.Net's dance battle show Street Woman Fighter's original & inserted songs. (댄스 배틀 프로그램 스트릿 우먼 파이터의 발매곡과 삽입곡들을 만나보세요.),Street Woman Fighter
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",https://open.spotify.com/track/5b2bu6yyATC1zMXDGScJ2d,Listen (Deluxe),https://open.spotify.com/album/3UEEPh5wsdhP7SKC31yvhu,"David Guetta, AFROJACK, Bebe Rexha, Nicki Minaj","https://open.spotify.com/artist/1Cs0zKBU1kc0i8ypK3B9ai, https://open.spotify.com/artist/4D75GcNG95ebPtNvoNVXhz, https://open.spotify.com/artist/64M6ah0SkkRsnPGtGiRAbb, https://open.spotify.com/artist/0hCNtLu0JehylgoiP8L4Gh",2021-11-24,192560,2022-05-15,Enjoy M.Net's dance battle show Street Woman Fighter's original & inserted songs. (댄스 배틀 프로그램 스트릿 우먼 파이터의 발매곡과 삽입곡들을 만나보세요.),Street Woman Fighter
