track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
5 Pa´ Las 12,https://open.spotify.com/track/5FmBAWbO9P6LL7BGzEhPGi,"Ring, Ring Villancicos Navideños Con Rondalla Y Coro Infantil Suarez",https://open.spotify.com/album/3F1y5I7WJzIlNpE6fr6Q19,Rondalla Y Coro Infantil Suarez,https://open.spotify.com/artist/49T57226vsQSeHWDLAdC6q,2023-12-01,183360,2023-11-23,"Que no falte la música, la familia y los amigos.",¡Felices Fiestas!
A Dormir Juntitos - 2022 Remastered,https://open.spotify.com/track/2HQup8ilMYnrFItOgE3ejB,Aqui Esperandote (2022 Remastered),https://open.spotify.com/album/6ApzwpEyl3kRuptjNKIqHW,"Liz, Eddy Herrera","https://open.spotify.com/artist/4zLCaxN5L394pfzaKd3Yqb, https://open.spotify.com/artist/4yNdrUaF54csrLixVTnqzC",2023-11-22,282693,2023-11-23,"Que no falte la música, la familia y los amigos.",¡Felices Fiestas!
A Dormir Juntitos - Liz featuring Eddy Herrera,https://open.spotify.com/track/3mra5ShNolELD0KNrMQo9D,Paso Firme,https://open.spotify.com/album/2PTAdKOYVSne2pTCLnjRtP,Eddy Herrera,https://open.spotify.com/artist/4yNdrUaF54csrLixVTnqzC,2023-12-15,282706,2023-11-23,"Que no falte la música, la familia y los amigos.",¡Felices Fiestas!
Abusadora,https://open.spotify.com/track/5mCvkhkAvwNnUsIt2PN9Al,Serie 2000,https://open.spotify.com/album/7DZr03Gh34452PtpkVRc5m,Wilfrido Vargas,https://open.spotify.com/artist/5LCDv4TvYRQD5ehflOBEh4,2023-12-15,249813,2023-11-23,"Que no falte la música, la familia y los amigos.",¡Felices Fiestas!
Aguinaldo Con Billo,https://open.spotify.com/track/6lY38LRQnrma0j02GhP0me,Billo 74,https://open.spotify.com/album/0GQb89N563CubetrKf5w7F,Billo's Caracas Boys,https://open.spotify.com/artist/38zyliF0xdJKS7k1BIEuL6,2023-12-01,192253,2023-11-23,"Que no falte la música, la familia y los amigos.",¡Felices Fiestas!
Aguinaldo Con Billo,https://open.spotify.com/track/5lEGMU8m1Ah5MgD1vBYb8t,"Clásicos de Oro de Billo Caracas Boy's, Vol II",https://open.spotify.com/album/6eMolS4wBsvJPuehofhm9W,Billo's Caracas Boys,https://open.spotify.com/artist/38zyliF0xdJKS7k1BIEuL6,2023-12-15,193800,2023-11-23,"Que no falte la música, la familia y los amigos.",¡Felices Fiestas!
Ahora Quien - Salsa Version,https://open.spotify.com/track/5A32KQZznC2HSqr9qzTl2N,Valio La Pena,https://open.spotify.com/album/4O3yvEN5II2yKWKBPtDLD7,Marc Anthony,https://open.spotify.com/artist/4wLXwxDeWQ8mtUIRPxGiD6,2023-11-22,309586,2023-11-23,"Que no falte la música, la familia y los amigos.",¡Felices Fiestas!
Aires De Navidad,https://open.spotify.com/track/0LdlVrH3R9PCfaVNNVANgl,Asalto Navideño: Vol. 1 & 2,https://open.spotify.com/album/2m2jXwkrxiFkmfjYArZRQw,"Héctor Lavoe, Willie Colón, Yomo Toro","https://open.spotify.com/artist/7opp16lU7VM3l2WBdGMYHP, https://open.spotify.com/artist/7x5Slu7yTE5icZjNsc3OzW, https://open.spotify.com/artist/112OOUPY3pq7Hr35s3po6E",2023-11-22,223200,2023-11-23,"Que no falte la música, la familia y los amigos.",¡Felices Fiestas!
Amparito,https://open.spotify.com/track/7JROzRIIqOlXCLeqKUMhb2,Super Éxitos Maracaibo 15,https://open.spotify.com/album/2eosHIm0MBOnhvbiBANIH5,Maracaibo 15,https://open.spotify.com/artist/1V6FooKFiokndcPHKJ4Tmz,2023-11-22,192466,2023-11-23,"Que no falte la música, la familia y los amigos.",¡Felices Fiestas!
Apiádate de Mi,https://open.spotify.com/track/3SHvRyQDsmumq48SF7jtVk,Victor Manuelle (3 CD Box Set),https://open.spotify.com/album/4BZSWWLwSlgBUQZqAvqLYL,Víctor Manuelle,https://open.spotify.com/artist/4N5fp4zhTsVITZTVfsXpc2,2023-11-22,304640,2023-11-23,"Que no falte la música, la familia y los amigos.",¡Felices Fiestas!
