track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
A La Antigüita,https://open.spotify.com/track/798ahLNEcoFER7Vywg1FMT,Vamos Bien,https://open.spotify.com/album/4CK4qIkDBB1Knqwzkm12RZ,Calibre 50,https://open.spotify.com/artist/4jogXSSvlyMkODGSZ2wc2P,2021-12-29,156266,2022-06-03,¡De amor y desamor! Las canciones que no pueden faltar a la hora de llevar gallo.,La Serenata
A Mí Me Gustas Tú,https://open.spotify.com/track/3yLPsviVDfHgXFo6VAcq6z,A Mí Me Gustas Tú,https://open.spotify.com/album/3E8pEagTMZOFpfTppkRIHy,"Los Rojos, Duelo, Oscar Iván Trevíno","https://open.spotify.com/artist/4N76v8ETS7Q5sod9W0dgIo, https://open.spotify.com/artist/0nnp7oJpY2J6yZOqtdKaWq, https://open.spotify.com/artist/5pPdYQPzWpb1XnsNqE6OOz",2023-01-04,186400,2022-06-03,¡De amor y desamor! Las canciones que no pueden faltar a la hora de llevar gallo.,La Serenata
Acá Entre Nos,https://open.spotify.com/track/2FDFz5TuYlpP180AUicAcl,Que De Raro Tiene,https://open.spotify.com/album/2h6LhZi0civVoLcIe6WSx3,Vicente Fernández,https://open.spotify.com/artist/4PPoI9LuYeFX8V674Z1R6l,2021-12-29,195373,2022-06-03,¡De amor y desamor! Las canciones que no pueden faltar a la hora de llevar gallo.,La Serenata
Ahora y siempre,https://open.spotify.com/track/5J32HBvOLwvvJmgwRhn8fh,Serenata con Los Tecolines,https://open.spotify.com/album/5B8WnefLZ6ako5S6eUa7mb,Los Tecolines,https://open.spotify.com/artist/3NnhZWS3bdFwcm1GPkzcNv,2021-12-29,173146,2022-06-03,¡De amor y desamor! Las canciones que no pueden faltar a la hora de llevar gallo.,La Serenata
Amaneci Entre Tus Brazos - En Vivo,https://open.spotify.com/track/2wUyUpg8oOrvZ2MsEHph0m,El Concierto,https://open.spotify.com/album/6efyUFJcUK18KRFTMoxNSI,Luis Miguel,https://open.spotify.com/artist/2nszmSgqreHSdJA3zWPyrW,2021-12-29,150600,2022-06-03,¡De amor y desamor! Las canciones que no pueden faltar a la hora de llevar gallo.,La Serenata
Amor Platónico,https://open.spotify.com/track/6VFimaHK7Mv5GO5NrqGYu1,Amor Platónico,https://open.spotify.com/album/1RejCnEA2V94czIZo8uuhC,Los Tucanes De Tijuana,https://open.spotify.com/artist/014WIDx7H4BRCHB1faiisK,2023-01-04,179506,2022-06-03,¡De amor y desamor! Las canciones que no pueden faltar a la hora de llevar gallo.,La Serenata
"Amor, Amor de Mis Amores",https://open.spotify.com/track/4TETxb4ElOE3AtrNgQO6PO,Que No Se Apague La Música,https://open.spotify.com/album/11TUtenhdCYRiv1xEQxaZl,Ángela Aguilar,https://open.spotify.com/artist/3abT87tqQ4Q5PA5nw6CYyH,2021-12-29,113619,2022-06-03,¡De amor y desamor! Las canciones que no pueden faltar a la hora de llevar gallo.,La Serenata
Amorcito corazón,https://open.spotify.com/track/73WX2V6JVfyQYYIG3K76i8,15 Inmortales de Pedro Infante,https://open.spotify.com/album/0EUGqkj07wWx27XADAq3Ba,Pedro Infante,https://open.spotify.com/artist/7y33enVLfDvft6HGNmcxdV,2021-12-29,181720,2022-06-03,¡De amor y desamor! Las canciones que no pueden faltar a la hora de llevar gallo.,La Serenata
Besos Y Copas,https://open.spotify.com/track/5gXJjrNk3kwPkz8toXQTxf,Soy Lo Prohibido,https://open.spotify.com/album/4kI870RBIpDEXCJfDOpyt4,Alicia Villarreal,https://open.spotify.com/artist/6Hf2g14O2TP25JUNZuvIgn,2021-12-29,178813,2022-06-03,¡De amor y desamor! Las canciones que no pueden faltar a la hora de llevar gallo.,La Serenata
Bonita,https://open.spotify.com/track/5O59qe8KiEjw5ztBelzWQp,Cancionero,https://open.spotify.com/album/51lIIXFRzYwMB0SgdgEKTn,Javier Solís,https://open.spotify.com/artist/7jerD1mbWgyDukHAmCvdCj,2021-12-29,176226,2022-06-03,¡De amor y desamor! Las canciones que no pueden faltar a la hora de llevar gallo.,La Serenata
Bonita,https://open.spotify.com/track/2tpi3j9rsfTLPnDpjOKx6c,Bonita,https://open.spotify.com/album/7bGnSqeUZubEgipuCpf6QR,Los Dorados,https://open.spotify.com/artist/6VDUE5mi2qDbQZT07GdYoE,2021-12-29,201064,2022-06-03,¡De amor y desamor! Las canciones que no pueden faltar a la hora de llevar gallo.,La Serenata
Bonita,https://open.spotify.com/track/5CYjYxgqGkYVXP70iVasim,Bonita,https://open.spotify.com/album/0GrIKHwtfk4TpzwwJh9QPu,Los Dorados,https://open.spotify.com/artist/3q0KiiH0SqZoOftCEZNAis,2021-12-29,201084,2022-06-03,¡De amor y desamor! Las canciones que no pueden faltar a la hora de llevar gallo.,La Serenata
Bonita,https://open.spotify.com/track/5TdIP1VCcWF1CRw810RRqc,Bonita,https://open.spotify.com/album/263Byb9kFZxoZMcmPEbKca,Los Dorados,https://open.spotify.com/artist/5whwFeuDSOzWgGAUs8KTUI,2021-12-29,201084,2022-06-03,¡De amor y desamor! Las canciones que no pueden faltar a la hora de llevar gallo.,La Serenata
Bonita,https://open.spotify.com/track/5jZ4F989lTH5jcFxT6ccbP,Bonita,https://open.spotify.com/album/6YQnsEvPHOX3aSZsconRkP,Los Dorados,https://open.spotify.com/artist/3q0KiiH0SqZoOftCEZNAis,2021-12-29,201168,2022-06-03,¡De amor y desamor! Las canciones que no pueden faltar a la hora de llevar gallo.,La Serenata
Bonita - Remastered,https://open.spotify.com/track/2S0ERU4u9ewCl05h49kPy8,Antología: La Colección Definitiva (Remastered),https://open.spotify.com/album/08rIJVdq2JHzYYuhtV6JoO,Javier Solís,https://open.spotify.com/artist/7jerD1mbWgyDukHAmCvdCj,2021-12-29,175813,2022-06-03,¡De amor y desamor! Las canciones que no pueden faltar a la hora de llevar gallo.,La Serenata
Caray,https://open.spotify.com/track/3SPqDiyU1dKcWfBBWpPEC3,Todo,https://open.spotify.com/album/6X4xZK2oV8ydJDnIMpL5TX,Juan Gabriel,https://open.spotify.com/artist/2MRBDr0crHWE5JwPceFncq,2021-12-29,229040,2022-06-03,¡De amor y desamor! Las canciones que no pueden faltar a la hora de llevar gallo.,La Serenata
