track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
(Entre Paréntesis),https://open.spotify.com/track/68viiGZoRbLCjsy5xD4VrU,Las Mujeres Ya No Lloran,https://open.spotify.com/album/3fonA82Hl7huJiQCwKkzGA,"Shakira, Grupo Frontera","https://open.spotify.com/artist/0EmeFodog0BfCgMzAIvKQp, https://open.spotify.com/artist/6XkjpgcEsYab502Vr1bBeW",2024-04-05,168896,2022-09-07,Las grandes del Despecho y el Género Popular. Foto: Alan Ramírez & Yeison Jiménez,La + Popular
100 Años,https://open.spotify.com/track/4XKC4nfeXgyd4KQDu8arKL,100 Años,https://open.spotify.com/album/1LmIj33OFO9d1XMh9jRecz,"Carlos Rivera, Maluma","https://open.spotify.com/artist/39yVoqm6sYFvvqF1RciUVf, https://open.spotify.com/artist/1r4hJ1h58CWwUQe3MxPuau",2022-08-12,185074,2022-09-07,Las grandes del Despecho y el Género Popular. Foto: Alan Ramírez & Yeison Jiménez,La + Popular
2 Veces,https://open.spotify.com/track/2G5kj8gYNAVM4pQ0IBBaGA,2 Veces,https://open.spotify.com/album/0ddW33CDTAi75BC9ELsXSJ,"Los Plebes del Rancho de Ariel Camacho, Christian Nodal","https://open.spotify.com/artist/6cnl6Jz97730GUS8zEAK77, https://open.spotify.com/artist/0XwVARXT135rw8lyw1EeWP",2022-08-12,189066,2022-09-07,Las grandes del Despecho y el Género Popular. Foto: Alan Ramírez & Yeison Jiménez,La + Popular
200 COPAS,https://open.spotify.com/track/0aZnyTWJNgdzYoOiaW8HKG,KG0516,https://open.spotify.com/album/5CS8E6JVACItYto4OOJoPW,KAROL G,https://open.spotify.com/artist/790FomKkXshlbRYZFtlgla,2022-08-12,217213,2022-09-07,Las grandes del Despecho y el Género Popular. Foto: Alan Ramírez & Yeison Jiménez,La + Popular
77,https://open.spotify.com/track/7y2KhPccpkgRSMa3GDXjQq,77,https://open.spotify.com/album/7J0iDOtfo7qkB5sMNc8vbq,"Peso Pluma, Eladio Carrion","https://open.spotify.com/artist/12GqGscKJx3aE4t07u7eVZ, https://open.spotify.com/artist/5XJDexmWFLWOkjOEjOVX3e",2023-05-12,215745,2022-09-07,Las grandes del Despecho y el Género Popular. Foto: Alan Ramírez & Yeison Jiménez,La + Popular
Acapulco,https://open.spotify.com/track/5xWl4EKIDgoBEekNbNDrvJ,Acapulco,https://open.spotify.com/album/1Tef5lg7nycsUlABVz41Cy,Jhonny Rivera,https://open.spotify.com/artist/5TDSNRe3rVLJhxjIhxfcUx,2023-09-15,183759,2022-09-07,Las grandes del Despecho y el Género Popular. Foto: Alan Ramírez & Yeison Jiménez,La + Popular
Adicta al Dolor,https://open.spotify.com/track/0V0350NvG0jvbiUTXPzIXU,Adicta al Dolor,https://open.spotify.com/album/4s8Cb35rdzwYijUoRpXCPL,Marbelle,https://open.spotify.com/artist/3UMc63PbdGvuOzUk0Gd1Fg,2022-08-12,173670,2022-09-07,Las grandes del Despecho y el Género Popular. Foto: Alan Ramírez & Yeison Jiménez,La + Popular
Adiós Amor,https://open.spotify.com/track/0HhtLyMxtbpaZon5A8OQU6,Me Dejé Llevar,https://open.spotify.com/album/3K9yYCwXWBRI8KrIpt2cC5,Christian Nodal,https://open.spotify.com/artist/0XwVARXT135rw8lyw1EeWP,2024-04-05,199320,2022-09-07,Las grandes del Despecho y el Género Popular. Foto: Alan Ramírez & Yeison Jiménez,La + Popular
Adiós Amor,https://open.spotify.com/track/63bmZnBN1CiJ9sA4qTEe8y,Me Dejé Llevar,https://open.spotify.com/album/2XHw4PFHT6srg7dxA3yrKv,Christian Nodal,https://open.spotify.com/artist/0XwVARXT135rw8lyw1EeWP,2022-08-12,199320,2022-09-07,Las grandes del Despecho y el Género Popular. Foto: Alan Ramírez & Yeison Jiménez,La + Popular
Adiós Amor,https://open.spotify.com/track/1AfE3gHrlA57QOTemKuVDb,Cena Mexicana,https://open.spotify.com/album/6PZrzKy73syaMZvWZku2lv,Christian Nodal,https://open.spotify.com/artist/0XwVARXT135rw8lyw1EeWP,2022-11-04,202480,2022-09-07,Las grandes del Despecho y el Género Popular. Foto: Alan Ramírez & Yeison Jiménez,La + Popular
Ajena,https://open.spotify.com/track/7srhcfKVVgCyrBCEmmei90,Ajena,https://open.spotify.com/album/5FT5JbCNLUB6SO7eruWV65,"Jhon Alex Castaño, Daniel Merak","https://open.spotify.com/artist/5pbzj8JGUpUCMHESd1yHFv, https://open.spotify.com/artist/2L6yVNlAxswKK2Lv2qS9BK",2023-09-08,180644,2022-09-07,Las grandes del Despecho y el Género Popular. Foto: Alan Ramírez & Yeison Jiménez,La + Popular
Alaska,https://open.spotify.com/track/607ZGkxOxHJUVDEU3MZl86,Alaska,https://open.spotify.com/album/6un8b7BMCwlYBFxbf3rSnZ,"Camilo, Grupo Firme","https://open.spotify.com/artist/28gNT5KBp7IjEOQoevXf9N, https://open.spotify.com/artist/1dKdetem2xEmjgvyymzytS",2022-08-26,241106,2022-09-07,Las grandes del Despecho y el Género Popular. Foto: Alan Ramírez & Yeison Jiménez,La + Popular
Alch Si,https://open.spotify.com/track/5cWgwbui8BasfjCXvBZ7UA,Alch Si,https://open.spotify.com/album/7rCPyUIciqYswpRXTa1JYc,"Carin Leon, Grupo Frontera","https://open.spotify.com/artist/66ihevNkSYNzRAl44dx6jJ, https://open.spotify.com/artist/6XkjpgcEsYab502Vr1bBeW",2023-12-01,153953,2022-09-07,Las grandes del Despecho y el Género Popular. Foto: Alan Ramírez & Yeison Jiménez,La + Popular
Alguien Más - Versión Regional,https://open.spotify.com/track/3Br6gkQqhN4obEhaucA7Sh,Alguien Más (Versión Regional),https://open.spotify.com/album/6e6r99qv7LJue8WVljNOqk,"Andy Rivera, Carin Leon","https://open.spotify.com/artist/7hIqJfRYGBWWT1Qxu6Cpd2, https://open.spotify.com/artist/66ihevNkSYNzRAl44dx6jJ",2022-08-12,136125,2022-09-07,Las grandes del Despecho y el Género Popular. Foto: Alan Ramírez & Yeison Jiménez,La + Popular
Amiga,https://open.spotify.com/track/5fB1anQrnZBMnSjilCnAZ8,Amiga,https://open.spotify.com/album/1Zc6hqIINyRhDkyvLNV1e8,"Marilyn Patiño, Lady Yuliana","https://open.spotify.com/artist/0QRuYvK5g5MBK4r27OyRmh, https://open.spotify.com/artist/3WLVEbpQIsYvDslZadgxO2",2023-04-14,205840,2022-09-07,Las grandes del Despecho y el Género Popular. Foto: Alan Ramírez & Yeison Jiménez,La + Popular
