track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
11 Beers (feat. Jake Owen),https://open.spotify.com/track/6R7nxAdrHuQXHGRrDc9Rit,11 Beers (feat. Jake Owen),https://open.spotify.com/album/0NMpxcd0QLTrDqJ9bb58Qw,"The Reklaws, Jake Owen","https://open.spotify.com/artist/37lYaYPWOHjKXBD33S6LNv, https://open.spotify.com/artist/1n2pb9Tsfe4SwAjmUac6YT",2023-11-10,204333,2022-07-31,Country hits that will have you singing every word. Cover: Morgan Wallen,Country Favourites
23,https://open.spotify.com/track/1ZpPaBDswjV3VSUKqLDXPE,23,https://open.spotify.com/album/2LTt0pFwjPS5Zdc7tlmwyl,Chayce Beckham,https://open.spotify.com/artist/5ujvZU2thXjZgFKPUt1rDt,2025-01-31,228144,2022-07-31,Country hits that will have you singing every word. Cover: Morgan Wallen,Country Favourites
23,https://open.spotify.com/track/2ixkIrn45mNfdLDLHuyfRt,23,https://open.spotify.com/album/2iooIm9txIXCow2rvSg7Aa,Chayce Beckham,https://open.spotify.com/artist/5ujvZU2thXjZgFKPUt1rDt,2022-07-21,228144,2022-07-31,Country hits that will have you singing every word. Cover: Morgan Wallen,Country Favourites
23,https://open.spotify.com/track/4PuAqZlL1tkidkuxfDlLbF,23,https://open.spotify.com/album/3i5LIueVgxjgCu1TIZOraP,Sam Hunt,https://open.spotify.com/artist/2kucQ9jQwuD8jWdtR9Ef38,2022-07-21,179720,2022-07-31,Country hits that will have you singing every word. Cover: Morgan Wallen,Country Favourites
28,https://open.spotify.com/track/5iJKGpnFfvbjZJeAtwXfCj,The Great American Bar Scene,https://open.spotify.com/album/1U0Z7QjSzlg3gMeUOuUldz,Zach Bryan,https://open.spotify.com/artist/40ZNYROS4zLfyyBSs2PGe2,2024-11-08,233333,2022-07-31,Country hits that will have you singing every word. Cover: Morgan Wallen,Country Favourites
4×4×U,https://open.spotify.com/track/0ZHdP6TzcInPSdQwQ1fkBZ,4×4×U,https://open.spotify.com/album/0mfQ7QpjPEoeHZJZdGOsZD,Lainey Wilson,https://open.spotify.com/artist/6tPHARSq45lQ8BSALCfkFC,2024-11-22,239453,2022-07-31,Country hits that will have you singing every word. Cover: Morgan Wallen,Country Favourites
5 Foot 9,https://open.spotify.com/track/6AqwH2Y9FJwhUE2dCSkw1u,5 Foot 9,https://open.spotify.com/album/5CTNA7y4WYhLcCd8ijsnRr,Tyler Hubbard,https://open.spotify.com/artist/3BEV5FcxOtkQJ7lLRKMh3V,2022-08-18,189780,2022-07-31,Country hits that will have you singing every word. Cover: Morgan Wallen,Country Favourites
5 Leaf Clover,https://open.spotify.com/track/2RbIoEQeXBoJzWt09eitEI,5 Leaf Clover,https://open.spotify.com/album/6Aa81tDuPFATzb61ZQNTmM,Luke Combs,https://open.spotify.com/artist/718COspgdWOnwOFpJHRZHS,2023-05-04,211053,2022-07-31,Country hits that will have you singing every word. Cover: Morgan Wallen,Country Favourites
7500 OBO,https://open.spotify.com/track/7A4WmJcWx6KrVRfQ2CP8e7,Here On Earth,https://open.spotify.com/album/1txWLNMKiZ5K6ezFMtyjLM,Tim McGraw,https://open.spotify.com/artist/6roFdX1y5BYSbp60OTJWMd,2023-01-13,221400,2022-07-31,Country hits that will have you singing every word. Cover: Morgan Wallen,Country Favourites
A Lot More Free,https://open.spotify.com/track/0duALa6UlxVWqEqpmhv73p,A Lot More Free,https://open.spotify.com/album/3Sh0mtX324JgZ6UXvzgD47,Max McNown,https://open.spotify.com/artist/340PS4ZcZ4UCBgyrXzEjcp,2025-01-31,198920,2022-07-31,Country hits that will have you singing every word. Cover: Morgan Wallen,Country Favourites
After A Few,https://open.spotify.com/track/1z6wl2rwKatfmza6usanWw,After A Few,https://open.spotify.com/album/5Z6UUS0n3Oz7i2bDLEdbWL,Travis Denning,https://open.spotify.com/artist/6CegFHnUqJcOBipgphZ2CJ,2022-08-04,213493,2022-07-31,Country hits that will have you singing every word. Cover: Morgan Wallen,Country Favourites
Ahead of Our Time,https://open.spotify.com/track/3l0z706WPwEyD1i5sSjlxD,Ahead Of Our Time,https://open.spotify.com/album/2RFEvvzKbTk5hvSG1gJW6J,James Barker Band,https://open.spotify.com/artist/54lUDwCk35ihJuK3yJCqHA,2024-05-10,187594,2022-07-31,Country hits that will have you singing every word. Cover: Morgan Wallen,Country Favourites
Ain't Doin' Jack,https://open.spotify.com/track/1cF5gDFBHOprIKwzFORNjH,Ain't Doin' Jack,https://open.spotify.com/album/1URccwrkhVDXNb8uowWWhk,Josh Ross,https://open.spotify.com/artist/1ZGTSMjK1D2HrpPTOh916U,2024-01-12,160680,2022-07-31,Country hits that will have you singing every word. Cover: Morgan Wallen,Country Favourites
Ain't No Love In Oklahoma (From Twisters: The Album),https://open.spotify.com/track/6GG4yyk3UATdBfTHVgI8PB,Ain't No Love In Oklahoma (From Twisters: The Album),https://open.spotify.com/album/7x1eLsPizad7dHnqCGQODx,Luke Combs,https://open.spotify.com/artist/718COspgdWOnwOFpJHRZHS,2025-02-06,210950,2022-07-31,Country hits that will have you singing every word. Cover: Morgan Wallen,Country Favourites
