track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Aldri (feat. Stig Brenner),https://open.spotify.com/track/3cEKjhMPsniyB9WzoAKDVK,Aldri (feat. Stig Brenner),https://open.spotify.com/album/4g2PPVFSHfRVx734MRmzT0,"Ina Wroldsen, Stig Brenner","https://open.spotify.com/artist/7hssUdpvtY5oiARaUDgFZ3, https://open.spotify.com/artist/35j3Bv3gRKUHbiFSxVjjIf",2023-11-29,173142,2024-07-02,💔 den triste versjonen #SpotifyWrapped,2023: the sad version (2)
Alt du vil ha,https://open.spotify.com/track/2KXJ72ZpSjz0xmKYOMVVpR,Alt du vil ha,https://open.spotify.com/album/6dsfejRmoxSAwJD4mu7Zxa,"Isah, Maria Mena, Hver gang vi møtes","https://open.spotify.com/artist/5kZZsRShoba2QQpDAv9P0B, https://open.spotify.com/artist/3rTRHzFfbTk5GL3LpYZGHR, https://open.spotify.com/artist/24Lqq3mnesl7IljSVFEBEO",2023-11-29,181555,2024-07-02,💔 den triste versjonen #SpotifyWrapped,2023: the sad version (2)
Anywhere,https://open.spotify.com/track/4wKrpu9sDhiSe7jWXhKelm,A Grey Area,https://open.spotify.com/album/2m7UZMFoKqkCSz1KEX6in0,JP Saxe,https://open.spotify.com/artist/66W9LaWS0DPdL7Sz8iYGYe,2023-11-29,191200,2024-07-02,💔 den triste versjonen #SpotifyWrapped,2023: the sad version (2)
At Your Worst,https://open.spotify.com/track/2k8qzTJTHY1m3osbMtayIy,Silence Between Songs,https://open.spotify.com/album/0Q0rJ81u7O4EFCpqkcwJJ2,Madison Beer,https://open.spotify.com/artist/2kRfqPViCqYdSGhYSM9R0Q,2023-11-29,178874,2024-07-02,💔 den triste versjonen #SpotifyWrapped,2023: the sad version (2)
august,https://open.spotify.com/track/3hUxzQpSfdDqwM3ZTFQY0K,folklore,https://open.spotify.com/album/2fenSS68JI1h4Fo296JfGr,Taylor Swift,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,2023-11-29,261922,2024-07-02,💔 den triste versjonen #SpotifyWrapped,2023: the sad version (2)
Awkward,https://open.spotify.com/track/1DwFRzuCCcU7iogXAieS6V,"Hey mom, don’t worry I’m fine",https://open.spotify.com/album/6zclTvnQt7riaa8pLl99Ba,LOVA,https://open.spotify.com/artist/1l2NYhptmHjo64MDOcej1x,2023-11-29,153176,2024-07-02,💔 den triste versjonen #SpotifyWrapped,2023: the sad version (2)
Black Friday,https://open.spotify.com/track/1XTY6rA7XQosc0ynkkE9kN,Black Friday,https://open.spotify.com/album/0BdmqjXLz0L6gF78ldUYHp,Tom Odell,https://open.spotify.com/artist/2txHhyCwHjUEpJjWrEyqyX,2023-11-29,221510,2024-07-02,💔 den triste versjonen #SpotifyWrapped,2023: the sad version (2)
Call Your Mom (with Lizzy McAlpine),https://open.spotify.com/track/3fKpSA5w8iqLe9sNdIDESW,Call Your Mom (with Lizzy McAlpine),https://open.spotify.com/album/2b2RIvl7kxH6XQ0A8Yejku,"Noah Kahan, Lizzy McAlpine","https://open.spotify.com/artist/2RQXRUsr4IW1f3mKyKsy4B, https://open.spotify.com/artist/1GmsPCcpKgF9OhlNXjOsbS",2023-11-29,278670,2024-07-02,💔 den triste versjonen #SpotifyWrapped,2023: the sad version (2)
ceilings,https://open.spotify.com/track/2L9N0zZnd37dwF0clgxMGI,five seconds flat,https://open.spotify.com/album/68L5xVV9wydotfDXEik7eD,Lizzy McAlpine,https://open.spotify.com/artist/1GmsPCcpKgF9OhlNXjOsbS,2023-11-29,182887,2024-07-02,💔 den triste versjonen #SpotifyWrapped,2023: the sad version (2)
Cool About It,https://open.spotify.com/track/5PJH1U5Iie893v48Fl9yaC,the record,https://open.spotify.com/album/0e9GjrztzBw8oMC6n2CDeI,"boygenius, Julien Baker, Phoebe Bridgers, Lucy Dacus","https://open.spotify.com/artist/1hLiboQ98IQWhpKeP9vRFw, https://open.spotify.com/artist/12zbUHbPHL5DGuJtiUfsip, https://open.spotify.com/artist/1r1uxoy19fzMxunt3ONAkG, https://open.spotify.com/artist/07D1Bjaof0NFlU32KXiqUP",2023-11-29,180000,2024-07-02,💔 den triste versjonen #SpotifyWrapped,2023: the sad version (2)
Dagene,https://open.spotify.com/track/25FS0ztvFZVMpVyYiqUKsx,Dagene,https://open.spotify.com/album/41sgFLH3ullYaSckj7sF5X,Morgan Sulele,https://open.spotify.com/artist/3EaDukxGx5viO0MTLW1a5X,2023-11-29,158728,2024-07-02,💔 den triste versjonen #SpotifyWrapped,2023: the sad version (2)
Danser videre i livet,https://open.spotify.com/track/6iAzs8DCRsCDkr3UCyptXO,Danser videre i livet,https://open.spotify.com/album/3wxT9Wlh4aNztvhOJWrOKo,"Hkeem, Makosir","https://open.spotify.com/artist/46XcyK8FnyCJJlvYCUwVZH, https://open.spotify.com/artist/0G7lEqLdSyAiUGMB1P9nsh",2023-11-29,155148,2024-07-02,💔 den triste versjonen #SpotifyWrapped,2023: the sad version (2)
Daylight,https://open.spotify.com/track/1odExI7RdWc4BT515LTAwj,Daylight,https://open.spotify.com/album/6NcI39WPu4kY6Tul11nhSv,David Kushner,https://open.spotify.com/artist/33NVpKoXjItPwUJTMZIOiY,2023-11-29,212953,2024-07-02,💔 den triste versjonen #SpotifyWrapped,2023: the sad version (2)
drunk text,https://open.spotify.com/track/0KpWiHVmIFDTvai20likX4,drunk text,https://open.spotify.com/album/0lcfkucXPJH7zGSHbUXUjZ,Henry Moodie,https://open.spotify.com/artist/7hr9W3IjXcm3UlLY7guLk5,2023-11-29,187263,2024-07-02,💔 den triste versjonen #SpotifyWrapped,2023: the sad version (2)
Dry These Tears,https://open.spotify.com/track/1aAjDbZ6LqPhB8IvTRYNOK,Dry These Tears/Tuck Me In,https://open.spotify.com/album/1KsCy6QrVciQcxXhxwPmbJ,Hannah Storm,https://open.spotify.com/artist/5wUnpBAfC90M9OSMO7umpL,2023-11-29,182918,2024-07-02,💔 den triste versjonen #SpotifyWrapped,2023: the sad version (2)
Falling Behind,https://open.spotify.com/track/4KGGeE7RJsgLNZmnxGFlOj,Everything I Know About Love,https://open.spotify.com/album/0Ydm84ftyiWRGOIFkdl30L,Laufey,https://open.spotify.com/artist/7gW0r5CkdEUMm42w9XpyZO,2023-11-29,173640,2024-07-02,💔 den triste versjonen #SpotifyWrapped,2023: the sad version (2)
Floden,https://open.spotify.com/track/0XzWcSh30W1H1o4ZiyI90j,Hver Gang Vi Møtes 2023,https://open.spotify.com/album/272tAO2vDpKaaD1FjHTeRY,"Emma Steinbakken, Hver gang vi møtes","https://open.spotify.com/artist/3GIadM69XShFZNB3gP67Td, https://open.spotify.com/artist/24Lqq3mnesl7IljSVFEBEO",2023-11-29,212962,2024-07-02,💔 den triste versjonen #SpotifyWrapped,2023: the sad version (2)
"Gå bli lykkelig, du",https://open.spotify.com/track/7BW1YkNQ1lsCKBE2UXXQpS,"Gå bli lykkelig, du",https://open.spotify.com/album/4jp2qk1lRXaEk8FhnvKm2g,Chris Holsten,https://open.spotify.com/artist/63Dir7MyAhpGcHU3rOh3uF,2023-11-29,187281,2024-07-02,💔 den triste versjonen #SpotifyWrapped,2023: the sad version (2)
Happy Again,https://open.spotify.com/track/6JuYlCjEoV9Sv2fRFqnRIe,Happy Again,https://open.spotify.com/album/39jSSdovMUWcpGfBztEPay,LOVA,https://open.spotify.com/artist/1l2NYhptmHjo64MDOcej1x,2023-11-29,154125,2024-07-02,💔 den triste versjonen #SpotifyWrapped,2023: the sad version (2)
