track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Ain't No Stoppin' Us Now,https://open.spotify.com/track/4Ymk3pqpkGx19gyxxUj5LK,McFadden & Whitehead,https://open.spotify.com/album/49y7YFLvKz54gVZZzHbAzs,McFadden & Whitehead,https://open.spotify.com/artist/3iQM78Xg0wJnGZhgVNLPmY,2021-09-21,420986,2019-05-26,All your Disco favorites. Cover: Sylvester,Disco Forever
And the Beat Goes On,https://open.spotify.com/track/7oQ1wkBmYSBEC2x7U08dvn,The Whispers: Greatest Hits,https://open.spotify.com/album/5tBvVqK2M7wiBwOQEcnRkp,The Whispers,https://open.spotify.com/artist/2XzHxDFTNywDd5ReMhgxkg,2021-09-21,454253,2019-05-26,All your Disco favorites. Cover: Sylvester,Disco Forever
Bad Girls,https://open.spotify.com/track/4Nh6q5ZWiGS5BVGQryoOMp,Greatest Hits: Donna Summer,https://open.spotify.com/album/7bPWboTwpdLvVoazPT37BO,Donna Summer,https://open.spotify.com/artist/2eogQKWWoohI3BSnoG7E2U,2019-05-26,236533,2019-05-26,All your Disco favorites. Cover: Sylvester,Disco Forever
Bad Girls,https://open.spotify.com/track/1ibRqifchaAfeNdQGpbRVW,Bad Girls,https://open.spotify.com/album/58GjBhQvLHwfQFJtdP9Oxg,Donna Summer,https://open.spotify.com/artist/2eogQKWWoohI3BSnoG7E2U,2021-09-21,295106,2019-05-26,All your Disco favorites. Cover: Sylvester,Disco Forever
Best of My Love,https://open.spotify.com/track/2M2WJ7gBlcKNxdhyfPp9zY,Rejoice,https://open.spotify.com/album/7iJCy3T66FJmXT7LGVd3QA,The Emotions,https://open.spotify.com/artist/64CuUOOirKmdAYLQSfaOyr,2021-09-21,220560,2019-05-26,All your Disco favorites. Cover: Sylvester,Disco Forever
Billie Jean,https://open.spotify.com/track/0JW9adkIsVTKexxkj653yx,Michael Jackson: The Ultimate Collection,https://open.spotify.com/album/2cDcNwNCq8Xq8SplfcxUIg,Michael Jackson,https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm,2019-05-26,292960,2019-05-26,All your Disco favorites. Cover: Sylvester,Disco Forever
Blame It on the Boogie,https://open.spotify.com/track/3qI94hINNNeb4S7xQi18lS,Destiny,https://open.spotify.com/album/46yTC334aJI4QTv4lkzj3a,The Jacksons,https://open.spotify.com/artist/2yrbLiuBmc9j81lTX3XUuI,2021-09-21,214200,2019-05-26,All your Disco favorites. Cover: Sylvester,Disco Forever
Boogie Nights,https://open.spotify.com/track/4NTSDu34al733aIuUWVJHo,Too Hot to Handle (Expanded Edition),https://open.spotify.com/album/1QeIO9ArYBB9vLiODTtWy8,Heatwave,https://open.spotify.com/artist/6D7h7R79IZjqJC2GM2wzyY,2023-10-20,303640,2019-05-26,All your Disco favorites. Cover: Sylvester,Disco Forever
Boogie Oogie Oogie,https://open.spotify.com/track/1Rl9GHgsflyIVqBRyO45Zo,A Taste Of Honey,https://open.spotify.com/album/4QJA3YXQdpLhuIztkSgrpo,A Taste Of Honey,https://open.spotify.com/artist/1ii6e2pv8VIRwnTER71rMl,2021-09-21,245173,2019-05-26,All your Disco favorites. Cover: Sylvester,Disco Forever
Boogie Oogie Oogie - Re-Recorded,https://open.spotify.com/track/3roA54tWFHAeiZKThfOmgL,100 Disco Hits of the '70s & '80s (Re-Recorded Versions),https://open.spotify.com/album/1lgcwmrLLaoiW5Q125ZFG7,A Taste Of Honey,https://open.spotify.com/artist/1ii6e2pv8VIRwnTER71rMl,2019-05-26,324106,2019-05-26,All your Disco favorites. Cover: Sylvester,Disco Forever
Boogie Wonderland,https://open.spotify.com/track/6ztstiyZL6FXzh4aG46ZPD,I Am,https://open.spotify.com/album/4RLVTxnuVN5ZWZqBFnaaQt,"Earth, Wind & Fire, The Emotions","https://open.spotify.com/artist/4QQgXkCYTt3BlENzhyNETg, https://open.spotify.com/artist/64CuUOOirKmdAYLQSfaOyr",2021-09-21,288293,2019-05-26,All your Disco favorites. Cover: Sylvester,Disco Forever
Born to Be Alive,https://open.spotify.com/track/3XIEWK1V9n25PS9Vb6axj5,Born to Be Alive,https://open.spotify.com/album/0kVK9lFFTzhnEb4ETElbCD,Patrick Hernandez,https://open.spotify.com/artist/1CcEgi464SWZsKY5579u7z,2019-05-26,188133,2019-05-26,All your Disco favorites. Cover: Sylvester,Disco Forever
Brick House,https://open.spotify.com/track/7gf8RSp7UMX1RvztvmlzNZ,Motown 1970s,https://open.spotify.com/album/7gTwgHVeWVTYUTeMowxXNM,Commodores,https://open.spotify.com/artist/6twIAGnYuIT1pncMAsXnEm,2019-05-26,209506,2019-05-26,All your Disco favorites. Cover: Sylvester,Disco Forever
"Can't Get Enough Of Your Love, Babe",https://open.spotify.com/track/3ky8x7UQb6XGpD8CC4xAnu,Barry White's Greatest Hits,https://open.spotify.com/album/6N6jG28QRHnZ7Cd2ihsmmO,Barry White,https://open.spotify.com/artist/3rfgbfpPSfXY40lzRK7Syt,2019-05-26,270333,2019-05-26,All your Disco favorites. Cover: Sylvester,Disco Forever
"Can't Get Enough Of Your Love, Babe",https://open.spotify.com/track/3mWpUEBYnv9SIFWfixSJFx,Can't Get Enough,https://open.spotify.com/album/42Si9RbdXYGWQsfNTzjlnG,Barry White,https://open.spotify.com/artist/3rfgbfpPSfXY40lzRK7Syt,2021-09-21,274000,2019-05-26,All your Disco favorites. Cover: Sylvester,Disco Forever
Car Wash,https://open.spotify.com/track/1tJtx09XQnxaynZLOaTNfZ,Car Wash,https://open.spotify.com/album/0MRZwmzgulNr9oSGomArxL,Rose Royce,https://open.spotify.com/artist/1OxJzMLmR9l5zPLap9OxuO,2019-05-26,312354,2019-05-26,All your Disco favorites. Cover: Sylvester,Disco Forever
Car Wash - Long Version,https://open.spotify.com/track/2pbWkjtGtjkzBdZ95GFINm,Car Wash,https://open.spotify.com/album/1lUemDpotxT7p1aCGSvWDz,Rose Royce,https://open.spotify.com/artist/1OxJzMLmR9l5zPLap9OxuO,2021-09-21,307573,2019-05-26,All your Disco favorites. Cover: Sylvester,Disco Forever
Celebration,https://open.spotify.com/track/3K7Q9PHUWPTaknlbFPThn2,Celebrate!,https://open.spotify.com/album/2kc4mhFRsoIRVD0XEYnwhI,Kool & The Gang,https://open.spotify.com/artist/3VNITwohbvU5Wuy5PC6dsI,2021-09-21,298866,2019-05-26,All your Disco favorites. Cover: Sylvester,Disco Forever
Celebration - Single Version,https://open.spotify.com/track/1pGCWtHyUUUx2RMjYnaCGw,Totally '80s For Kids,https://open.spotify.com/album/3rvuKtdAV2z6Gza7iZxcyd,Kool & The Gang,https://open.spotify.com/artist/3VNITwohbvU5Wuy5PC6dsI,2019-05-26,221573,2019-05-26,All your Disco favorites. Cover: Sylvester,Disco Forever
Daddy Cool,https://open.spotify.com/track/3WMbD1OyfKuwWDWMNbPQ4g,Take The Heat Off Me,https://open.spotify.com/album/1KQUrny9y5zGpktF6hAGd4,Boney M.,https://open.spotify.com/artist/54R6Y0I7jGUCveDTtI21nb,2021-09-21,208600,2019-05-26,All your Disco favorites. Cover: Sylvester,Disco Forever
"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",https://open.spotify.com/track/1SwyDb5qUcLjukFqSCRqxy,"Dance, Dance, Dance: The Best of Chic",https://open.spotify.com/album/0XRRSLnVrtXMI6cyVCacjd,CHIC,https://open.spotify.com/artist/0Xf8oDAJYd2D0k3NLI19OV,2021-09-21,501466,2019-05-26,All your Disco favorites. Cover: Sylvester,Disco Forever
Dancer,https://open.spotify.com/track/4lteGaLzU5veJOe6wnOvz4,Outline,https://open.spotify.com/album/71NzsQgmjQ5rIm33Hpjv2V,Gino Soccio,https://open.spotify.com/artist/3q2AjYY7FmiMh29bKki4EE,2019-05-26,508120,2019-05-26,All your Disco favorites. Cover: Sylvester,Disco Forever
Dancing Queen,https://open.spotify.com/track/0GjEhVFGZW8afUYGChu3Rr,Arrival,https://open.spotify.com/album/1V6a99EbTTIegOhWoPxYI9,ABBA,https://open.spotify.com/artist/0LcJLqbBmaGUft1e9Mm8HV,2021-09-21,230400,2019-05-26,All your Disco favorites. Cover: Sylvester,Disco Forever
Disco Circus - Hardrock Stricker 'Acid Circus' Punkin' Out Disco Mix,https://open.spotify.com/track/6E65t3G6dyrwDWgCzNV2Ew,Kick Out the 12's,https://open.spotify.com/album/4HlosVSpJcYCg4Fy3Ki1cl,Martin Circus,https://open.spotify.com/artist/0pNjQDSNKLgvRkFO99TNHC,2019-05-26,425066,2019-05-26,All your Disco favorites. Cover: Sylvester,Disco Forever
Disco Inferno - Edit,https://open.spotify.com/track/3GXo1eWlT2flv4x01l5OTu,Playlist: The Best Of The Trammps,https://open.spotify.com/album/2fbPRtAt1i5f68lZegx1iB,The Trammps,https://open.spotify.com/artist/1zgNpeHQe8GulzfVkYP2VK,2021-09-21,215626,2019-05-26,All your Disco favorites. Cover: Sylvester,Disco Forever
Disco Inferno - Single Edit,https://open.spotify.com/track/22ff60cZy4APp7bzESHLR8,Rhino Hi-Five: The Trammps,https://open.spotify.com/album/6eAq1OY2L1F3qleomkvtX7,The Trammps,https://open.spotify.com/artist/1zgNpeHQe8GulzfVkYP2VK,2019-05-26,191573,2019-05-26,All your Disco favorites. Cover: Sylvester,Disco Forever
