track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Ain't A Thing (feat. Bonn),https://open.spotify.com/track/3MhNgzZwFtUF6jSr6pRSkW,TIM,https://open.spotify.com/album/6Ad1E9vl75ZB3Ir87zwXIJ,"Avicii, Bonn","https://open.spotify.com/artist/1vCWHaC5f2uS3yhpwWbIA6, https://open.spotify.com/artist/7Io0XduXk7aOHFHA7sLru2",2019-06-17,183660,2022-05-13,"If you or someone you know is struggling, you aren’t alone.  loveislouder.com/prevent",Tim: The Extended Story
Bad Reputation (feat. Joe Janiak),https://open.spotify.com/track/0HZgYFimoJG9Ijy8InUWcV,TIM,https://open.spotify.com/album/6Ad1E9vl75ZB3Ir87zwXIJ,"Avicii, Joe Janiak","https://open.spotify.com/artist/1vCWHaC5f2uS3yhpwWbIA6, https://open.spotify.com/artist/142TY556WknD1ZRV8XilJQ",2019-06-17,205416,2022-05-13,"If you or someone you know is struggling, you aren’t alone.  loveislouder.com/prevent",Tim: The Extended Story
Excuse Me Mr Sir (feat. Vargas & Lagola),https://open.spotify.com/track/5dVUSdsePmEKkq4ryfrobU,TIM,https://open.spotify.com/album/6Ad1E9vl75ZB3Ir87zwXIJ,"Avicii, Vargas & Lagola","https://open.spotify.com/artist/1vCWHaC5f2uS3yhpwWbIA6, https://open.spotify.com/artist/2fVW2ix4ANKiofDZIsy1XR",2019-06-17,187752,2022-05-13,"If you or someone you know is struggling, you aren’t alone.  loveislouder.com/prevent",Tim: The Extended Story
Fades Away (feat. Noonie Bao),https://open.spotify.com/track/6aPDvttLmezuUlv60ExTH9,TIM,https://open.spotify.com/album/6Ad1E9vl75ZB3Ir87zwXIJ,"Avicii, Noonie Bao","https://open.spotify.com/artist/1vCWHaC5f2uS3yhpwWbIA6, https://open.spotify.com/artist/1vIuPjtFhqIPE2n9W2ePgO",2019-06-17,178958,2022-05-13,"If you or someone you know is struggling, you aren’t alone.  loveislouder.com/prevent",Tim: The Extended Story
Freak (feat. Bonn),https://open.spotify.com/track/6NVjujGb9fnl25fjzm5dTy,TIM,https://open.spotify.com/album/6Ad1E9vl75ZB3Ir87zwXIJ,"Avicii, Bonn","https://open.spotify.com/artist/1vCWHaC5f2uS3yhpwWbIA6, https://open.spotify.com/artist/7Io0XduXk7aOHFHA7sLru2",2019-06-17,179479,2022-05-13,"If you or someone you know is struggling, you aren’t alone.  loveislouder.com/prevent",Tim: The Extended Story
Heart Upon My Sleeve (feat. Imagine Dragons),https://open.spotify.com/track/6kXNnS7JJz0nAv4XEwEmQJ,TIM,https://open.spotify.com/album/6Ad1E9vl75ZB3Ir87zwXIJ,"Avicii, Imagine Dragons","https://open.spotify.com/artist/1vCWHaC5f2uS3yhpwWbIA6, https://open.spotify.com/artist/53XhwfbYqKCa1cC15pYq2q",2019-06-17,254165,2022-05-13,"If you or someone you know is struggling, you aren’t alone.  loveislouder.com/prevent",Tim: The Extended Story
Heaven,https://open.spotify.com/track/0vrmHPfoBadXVr2n0m1aqZ,TIM,https://open.spotify.com/album/6Ad1E9vl75ZB3Ir87zwXIJ,Avicii,https://open.spotify.com/artist/1vCWHaC5f2uS3yhpwWbIA6,2019-06-17,277261,2022-05-13,"If you or someone you know is struggling, you aren’t alone.  loveislouder.com/prevent",Tim: The Extended Story
Hold The Line (feat. A R I Z O N A),https://open.spotify.com/track/6EBlOYNcZ8MrdEov9lEdV6,TIM,https://open.spotify.com/album/6Ad1E9vl75ZB3Ir87zwXIJ,"Avicii, A R I Z O N A","https://open.spotify.com/artist/1vCWHaC5f2uS3yhpwWbIA6, https://open.spotify.com/artist/7hOGhpa8RMSuDOWntGIAJt",2019-06-17,171785,2022-05-13,"If you or someone you know is struggling, you aren’t alone.  loveislouder.com/prevent",Tim: The Extended Story
Never Leave Me (feat. Joe Janiak),https://open.spotify.com/track/7zGEU6BXl2c4TxpzIAr7BI,TIM,https://open.spotify.com/album/6Ad1E9vl75ZB3Ir87zwXIJ,"Avicii, Joe Janiak","https://open.spotify.com/artist/1vCWHaC5f2uS3yhpwWbIA6, https://open.spotify.com/artist/142TY556WknD1ZRV8XilJQ",2019-06-17,171726,2022-05-13,"If you or someone you know is struggling, you aren’t alone.  loveislouder.com/prevent",Tim: The Extended Story
Peace Of Mind (feat. Vargas & Lagola),https://open.spotify.com/track/6ZEYvUSgON3J5Qe1RYi3Jo,TIM,https://open.spotify.com/album/6Ad1E9vl75ZB3Ir87zwXIJ,"Avicii, Vargas & Lagola","https://open.spotify.com/artist/1vCWHaC5f2uS3yhpwWbIA6, https://open.spotify.com/artist/2fVW2ix4ANKiofDZIsy1XR",2019-06-17,180000,2022-05-13,"If you or someone you know is struggling, you aren’t alone.  loveislouder.com/prevent",Tim: The Extended Story
