track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
#menow,https://open.spotify.com/track/4lIAPwAU6R8PAy2WhykC4i,Unlock My World,https://open.spotify.com/album/48DcB4A9LV3DugLTILN1D9,fromis_9,https://open.spotify.com/artist/24nUVBIlCGi4twz4nYxJum,2023-06-07,169906,2021-12-21,Everyday should be a happy day when you listen to this fun K-Pop playlist.,Morning K-Pop!
"1, 2, 3",https://open.spotify.com/track/1qpH7j4JRNbnv1aRysrdOH,COMPLETE WITH YOU,https://open.spotify.com/album/3txbVI8WFHrkcnEV6JGIXx,AB6IX,https://open.spotify.com/artist/4y0wFJ5jmCUNRLZfsw1I7g,2022-01-24,212415,2021-12-21,Everyday should be a happy day when you listen to this fun K-Pop playlist.,Morning K-Pop!
24/7,https://open.spotify.com/track/5kfHQviez9l9OJI5TfQ9Dn,24/7,https://open.spotify.com/album/5HT3wgiyTWNmBeIL6LPFaS,"Moon Yeon, seizetheday","https://open.spotify.com/artist/2EgZaRnWb6ucGVmoyrXH1s, https://open.spotify.com/artist/4QOj43HDq0domGAuo3naZB",2022-04-19,186500,2021-12-21,Everyday should be a happy day when you listen to this fun K-Pop playlist.,Morning K-Pop!
36.5,https://open.spotify.com/track/4jAdC1wuRgCLLFJVHeV1rV,36.5,https://open.spotify.com/album/3wZtpqg44tzmRFtObM3AZT,SHAUN,https://open.spotify.com/artist/72nLe76yBFSlP6VBzME358,2021-12-06,216800,2021-12-21,Everyday should be a happy day when you listen to this fun K-Pop playlist.,Morning K-Pop!
3D (feat. Jack Harlow),https://open.spotify.com/track/6ehWdR7cGDXnT7aKEASJxE,3D (feat. Jack Harlow),https://open.spotify.com/album/4DKnznk5VbGVvAOYBbQrZJ,"Jung Kook, Jack Harlow","https://open.spotify.com/artist/6HaGTQPmzraVmaVxvz6EUc, https://open.spotify.com/artist/2LIk90788K0zvyj2JJVwkJ",2024-03-27,201812,2021-12-21,Everyday should be a happy day when you listen to this fun K-Pop playlist.,Morning K-Pop!
3D (Justin Timberlake Remix),https://open.spotify.com/track/2mHw0KoEyDw8Yaw3yPoke6,3D (Justin Timberlake Remix),https://open.spotify.com/album/4SNBgrYqk2aV4LyXbTSkYA,"Jung Kook, Justin Timberlake","https://open.spotify.com/artist/6HaGTQPmzraVmaVxvz6EUc, https://open.spotify.com/artist/31TPClRtHm23RisEBtV3X7",2024-03-27,160942,2021-12-21,Everyday should be a happy day when you listen to this fun K-Pop playlist.,Morning K-Pop!
5 in the morning,https://open.spotify.com/track/4YQN70aa8969if12I9dKDb,Just Dream,https://open.spotify.com/album/6MgV3YkvyVKip90eLKZGuN,WOO JEE WON,https://open.spotify.com/artist/073SnC1tmMizW8NO0qbCLU,2021-12-06,215234,2021-12-21,Everyday should be a happy day when you listen to this fun K-Pop playlist.,Morning K-Pop!
908,https://open.spotify.com/track/5v4l1NU3qXQSdAk9cnXlfo,I can't believe it's not butter!,https://open.spotify.com/album/5uEHa8xxNTOAovSEx0dmz5,Keumbee,https://open.spotify.com/artist/1NwyafFmvijU7E9b1PjgQm,2022-03-23,203816,2021-12-21,Everyday should be a happy day when you listen to this fun K-Pop playlist.,Morning K-Pop!
ABCD,https://open.spotify.com/track/0V2passWyAXnON67kfAj7y,NA,https://open.spotify.com/album/5zQI9dFbS9TrhvC9clgjz7,NAYEON,https://open.spotify.com/artist/1VwDG9aBflQupaFNjUru9A,2024-06-21,162840,2021-12-21,Everyday should be a happy day when you listen to this fun K-Pop playlist.,Morning K-Pop!
After LIKE,https://open.spotify.com/track/2gYj9lubBorOPIVWsTXugG,After LIKE,https://open.spotify.com/album/0nzRF7khA2UDSZa9T0B6Da,IVE,https://open.spotify.com/artist/6RHTUrRF63xao58xh9FXYJ,2022-08-24,176973,2021-12-21,Everyday should be a happy day when you listen to this fun K-Pop playlist.,Morning K-Pop!
Again,https://open.spotify.com/track/3obitKwgSPRoPGqmWcHD13,The Best Album ‘Needle & Bubble’,https://open.spotify.com/album/5O8z5SrdPPz3gP2TS6viUu,NU'EST,https://open.spotify.com/artist/1iQfn1B8V25iQoolQakyAZ,2022-03-23,206373,2021-12-21,Everyday should be a happy day when you listen to this fun K-Pop playlist.,Morning K-Pop!
Ahead Of Time - Edit,https://open.spotify.com/track/0ZW7hTNZJTipdzfN7Qf9hC,Ahead Of Time,https://open.spotify.com/album/2TcMsU5q8BRbONX55U9ZX0,"Baltra, 박혜진 Park Hye Jin","https://open.spotify.com/artist/2tEyBfwGBfQgLXeAJW0MgC, https://open.spotify.com/artist/6niigcazB2JPcpasZfZvq1",2022-03-23,244638,2021-12-21,Everyday should be a happy day when you listen to this fun K-Pop playlist.,Morning K-Pop!
All day,https://open.spotify.com/track/7Bq0FJoAyF8IkP1Nvf7pWd,All day,https://open.spotify.com/album/0CniEgYHyS14wnEYavLt52,STAFFY,https://open.spotify.com/artist/5tZxKZ5NAn3qdQJHmzxSji,2022-05-16,150508,2021-12-21,Everyday should be a happy day when you listen to this fun K-Pop playlist.,Morning K-Pop!
Alright,https://open.spotify.com/track/3YwRisfTPmDXtZ1Lnz6Fpr,Alright,https://open.spotify.com/album/4tPe3h6ShVtDHo3TOeyqIL,"Ares Carter, BUMKEY","https://open.spotify.com/artist/5fSYYJ4qdUSyvj2q0YdHEF, https://open.spotify.com/artist/3vhZuZdMksbnJwoE3AwpXq",2021-12-06,198165,2021-12-21,Everyday should be a happy day when you listen to this fun K-Pop playlist.,Morning K-Pop!
Amusement Park,https://open.spotify.com/track/1TUkEXQrskATO9SoB4QMUN,Amusement Park,https://open.spotify.com/album/1azcqabc4kDgRNMWFA02wZ,BAEKHYUN,https://open.spotify.com/artist/4ufh0WuMZh6y4Dmdnklvdl,2021-12-06,256693,2021-12-21,Everyday should be a happy day when you listen to this fun K-Pop playlist.,Morning K-Pop!
Answer : Love Myself,https://open.spotify.com/track/2X3UgVLSA4wYriGIQyYmMA,Love Yourself 結 'Answer',https://open.spotify.com/album/43wFM1HquliY3iwKWzPN4y,BTS,https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX,2022-07-04,251279,2021-12-21,Everyday should be a happy day when you listen to this fun K-Pop playlist.,Morning K-Pop!
Answer : Love Myself,https://open.spotify.com/track/4eVkn18rN4GguUWOsR6Use,Love Yourself 結 'Answer',https://open.spotify.com/album/2lATw9ZAVp7ILQcOKPCPqp,BTS,https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX,2021-12-06,251279,2021-12-21,Everyday should be a happy day when you listen to this fun K-Pop playlist.,Morning K-Pop!
Armageddon,https://open.spotify.com/track/6i8MbzVn4nzyjUcSoVcz7B,Armageddon - The 1st Album,https://open.spotify.com/album/058hCti9Bupb5CJc6bd3VB,aespa,https://open.spotify.com/artist/6YVMFz59CuY7ngCxTxjpxE,2024-06-21,196466,2021-12-21,Everyday should be a happy day when you listen to this fun K-Pop playlist.,Morning K-Pop!
ATHLETIC GIRL,https://open.spotify.com/track/0qu54GVbhmBFjpsgiG32PL,ATHLETIC GIRL,https://open.spotify.com/album/3Weg79SFmoXNRUSn08QSPZ,H1-KEY,https://open.spotify.com/artist/5GwQwY63I9hrUUFlQB8FYU,2022-01-11,212613,2021-12-21,Everyday should be a happy day when you listen to this fun K-Pop playlist.,Morning K-Pop!
